Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 6 2018,Ifaistos Lemnos,65,,Panathinaikos OPAP,93,,,
Sat Oct 6 2018,Rethymno Cretan Kings,64,,PAOK,81,,,
Sat Oct 6 2018,AEK Athens,80,,Peristeri Vikos Cola,83,,,
Sat Oct 6 2018,Promitheas Patras,83,,Kolossos H Hotels,68,,,
Sun Oct 7 2018,Aris,73,,Lavrio Aegean Cargo,70,,,
Sun Oct 7 2018,Holargos,78,,Olympiacos,88,,,
Sun Oct 7 2018,Kymis Seajets,93,,Panionios,89,,,
Sat Oct 13 2018,PAOK,71,,AEK Athens,91,,,
Sat Oct 13 2018,Panathinaikos OPAP,84,,Aris,70,,,
Sat Oct 13 2018,Panionios,64,,Ifaistos Lemnos,86,,,
Sat Oct 13 2018,Kolossos H Hotels,60,,Holargos,74,,,
Sat Oct 13 2018,Peristeri Vikos Cola,76,,Promitheas Patras,73,,,
Sat Oct 13 2018,Lavrio Aegean Cargo,77,,Rethymno Cretan Kings,72,,,
Sun Oct 14 2018,Olympiacos,77,,Kymis Seajets,74,,,
Sat Oct 20 2018,Promitheas Patras,56,,PAOK,81,,,
Sat Oct 20 2018,Holargos,62,,Peristeri Vikos Cola,71,,,
Sat Oct 20 2018,AEK Athens,66,,Rethymno Cretan Kings,57,,,
Sat Oct 20 2018,Kymis Seajets,90,,Kolossos H Hotels,97,,,
Sun Oct 21 2018,Lavrio Aegean Cargo,63,,Panathinaikos OPAP,108,,,
Sun Oct 21 2018,Aris,66,,Panionios,70,,,
Mon Oct 22 2018,Ifaistos Lemnos,46,,Olympiacos,83,,,
Sat Oct 27 2018,Kolossos H Hotels,76,,Ifaistos Lemnos,82,,,
Sat Oct 27 2018,PAOK,68,,Holargos,74,,,
Sat Oct 27 2018,Peristeri Vikos Cola,87,,Kymis Seajets,56,,,
Sat Oct 27 2018,Panionios,60,,Lavrio Aegean Cargo,90,,,
Sat Oct 27 2018,AEK Athens,69,,Promitheas Patras,79,,,
Mon Oct 29 2018,Olympiacos,68,,Aris,64,,,
Mon Oct 29 2018,Rethymno Cretan Kings,64,,Panathinaikos OPAP,88,,,
Sat Nov 10 2018,Holargos,63,,AEK Athens,73,,,
Sat Nov 10 2018,Kymis Seajets,60,,PAOK,78,,,
Sat Nov 10 2018,Promitheas Patras,73,,Rethymno Cretan Kings,72,,,
Sat Nov 10 2018,Aris,72,,Kolossos H Hotels,61,,,
Sun Nov 11 2018,Lavrio Aegean Cargo,63,,Olympiacos,102,,,
Sun Nov 11 2018,Ifaistos Lemnos,81,,Peristeri Vikos Cola,89,,,
Mon Nov 12 2018,Panathinaikos OPAP,88,,Panionios,67,,,
Sat Nov 17 2018,PAOK,79,,Ifaistos Lemnos,80,,,
Sat Nov 17 2018,Promitheas Patras,69,,Holargos,57,,,
Sat Nov 17 2018,AEK Athens,78,,Kymis Seajets,67,,,
Sat Nov 17 2018,Kolossos H Hotels,71,,Lavrio Aegean Cargo,69,,,
Sat Nov 17 2018,Rethymno Cretan Kings,72,,Panionios,88,,,
Sun Nov 18 2018,Peristeri Vikos Cola,68,,Aris,62,,,
Sun Nov 18 2018,Olympiacos,70,,Panathinaikos OPAP,79,,,
Sat Nov 24 2018,Lavrio Aegean Cargo,78,,Peristeri Vikos Cola,87,,,
Sat Nov 24 2018,Kymis Seajets,61,,Promitheas Patras,94,,,
Sat Nov 24 2018,Holargos,76,,Rethymno Cretan Kings,83,,,
Sun Nov 25 2018,Ifaistos Lemnos,69,,AEK Athens,83,,,
Sun Nov 25 2018,Aris,79,,PAOK,95,,,
Mon Nov 26 2018,Panionios,72,,Olympiacos,98,,,
Sat Dec 8 2018,AEK Athens,81,,Aris,77,,,
Sat Dec 8 2018,Promitheas Patras,67,,Ifaistos Lemnos,82,,,
Sat Dec 8 2018,PAOK,77,,Lavrio Aegean Cargo,64,,,
Sat Dec 8 2018,Kolossos H Hotels,80,,Panionios,88,,,
Sun Dec 9 2018,Holargos,66,,Kymis Seajets,57,,,
Sun Dec 9 2018,Rethymno Cretan Kings,60,,Olympiacos,84,,,
Mon Dec 10 2018,Peristeri Vikos Cola,75,,Panathinaikos OPAP,80,,,
Sat Dec 15 2018,Lavrio Aegean Cargo,64,,AEK Athens,83,,,
Sat Dec 15 2018,Panionios,71,,Peristeri Vikos Cola,74,,,
Sat Dec 15 2018,Aris,61,,Promitheas Patras,71,,,
Sat Dec 15 2018,Kymis Seajets,64,,Rethymno Cretan Kings,78,,,
Sat Dec 15 2018,Olympiacos,86,,Kolossos H Hotels,67,,,
Sun Dec 16 2018,Ifaistos Lemnos,62,,Holargos,65,,,
Sun Dec 16 2018,Panathinaikos OPAP,93,,PAOK,83,,,
Sat Dec 22 2018,Holargos,59,,Aris,58,,,
Sat Dec 22 2018,Kymis Seajets,74,,Ifaistos Lemnos,81,,,
Sat Dec 22 2018,Promitheas Patras,85,,Lavrio Aegean Cargo,73,,,
Sat Dec 22 2018,Rethymno Cretan Kings,63,,Kolossos H Hotels,74,,,
Sun Dec 23 2018,Peristeri Vikos Cola,69,,Olympiacos,92,,,
Sun Dec 23 2018,AEK Athens,79,,Panathinaikos OPAP,111,,,
Sun Dec 23 2018,PAOK,73,,Panionios,69,,,
Sat Dec 29 2018,Panionios,62,,AEK Athens,73,,,
Sat Dec 29 2018,Lavrio Aegean Cargo,71,,Holargos,82,,,
Sat Dec 29 2018,Aris,57,,Kymis Seajets,75,,,
Sat Dec 29 2018,Kolossos H Hotels,70,,Peristeri Vikos Cola,73,,,
Sat Dec 29 2018,Ifaistos Lemnos,85,,Rethymno Cretan Kings,82,,,
Sun Dec 30 2018,Olympiacos,78,,PAOK,68,,,
Sun Dec 30 2018,Panathinaikos OPAP,86,,Promitheas Patras,69,,,
Sat Jan 5 2019,Kymis Seajets,68,,Lavrio Aegean Cargo,86,,,
Sat Jan 5 2019,Promitheas Patras,74,,Panionios,60,,,
Sat Jan 5 2019,Rethymno Cretan Kings,64,,Peristeri Vikos Cola,80,,,
Sat Jan 5 2019,PAOK,75,,Kolossos H Hotels,60,,,
Sun Jan 6 2019,Ifaistos Lemnos,54,,Aris,65,,,
Sun Jan 6 2019,AEK Athens,75,,Olympiacos,101,,,
Sun Jan 6 2019,Holargos,64,,Panathinaikos OPAP,86,,,
Sat Jan 12 2019,Kolossos H Hotels,79,,AEK Athens,94,,,
Sat Jan 12 2019,Lavrio Aegean Cargo,76,,Ifaistos Lemnos,80,,,
Sat Jan 12 2019,Panionios,73,,Holargos,74,,,
Sat Jan 12 2019,Peristeri Vikos Cola,73,,PAOK,87,,,
Sat Jan 12 2019,Aris,76,,Rethymno Cretan Kings,74,,,
Sun Jan 13 2019,Olympiacos,80,,Promitheas Patras,77,,,
Mon Jan 14 2019,Panathinaikos OPAP,87,,Kymis Seajets,62,,,
Sat Jan 19 2019,Lavrio Aegean Cargo,70,,Aris,84,,,
Sat Jan 19 2019,Panionios,82,,Kymis Seajets,92,,,
Sat Jan 19 2019,Kolossos H Hotels,95,,Promitheas Patras,101,,,
Sat Jan 19 2019,PAOK,88,,Rethymno Cretan Kings,78,,,
Sun Jan 20 2019,Peristeri Vikos Cola,70,,AEK Athens,96,,,
Sun Jan 20 2019,Olympiacos,73,,Holargos,68,,,
Mon Jan 21 2019,Panathinaikos OPAP,84,,Ifaistos Lemnos,62,,,
Sat Jan 26 2019,Rethymno Cretan Kings,94,,Lavrio Aegean Cargo,93,,,
Sat Jan 26 2019,Ifaistos Lemnos,93,,Panionios,76,,,
Sat Jan 26 2019,AEK Athens,79,,PAOK,88,,,
Sat Jan 26 2019,Holargos,81,,Kolossos H Hotels,75,,,
Sun Jan 27 2019,Kymis Seajets,69,,Olympiacos,92,,,
Sun Jan 27 2019,Promitheas Patras,86,,Peristeri Vikos Cola,79,,,
Mon Jan 28 2019,Aris,65,,Panathinaikos OPAP,85,,,
Sat Feb 2 2019,Rethymno Cretan Kings,62,,AEK Athens,82,,,
Sat Feb 2 2019,Panionios,56,,Aris,79,,,
Sat Feb 2 2019,Peristeri Vikos Cola,76,,Holargos,75,,,
Sat Feb 2 2019,Kolossos H Hotels,86,,Kymis Seajets,91,,,
Sat Feb 2 2019,PAOK,59,,Promitheas Patras,82,,,
Sun Feb 3 2019,Olympiacos,73,,Ifaistos Lemnos,53,,,
Mon Feb 4 2019,Panathinaikos OPAP,80,,Lavrio Aegean Cargo,55,,,
Mon Feb 25 2019,Panathinaikos OPAP,88,,Kolossos H Hotels,78,,,
Sat Mar 2 2019,Promitheas Patras,62,,AEK Athens,83,,,
Sat Mar 2 2019,Lavrio Aegean Cargo,91,,Panionios,101,,,
Sat Mar 2 2019,Holargos,73,,PAOK,80,,,
Sat Mar 2 2019,Kymis Seajets,93,,Peristeri Vikos Cola,94,,,
Sat Mar 2 2019,Ifaistos Lemnos,78,,Kolossos H Hotels,60,,,
Sun Mar 3 2019,Panathinaikos OPAP,87,,Rethymno Cretan Kings,75,,,
Mon Mar 4 2019,Aris,67,,Olympiacos,76,,,
Sat Mar 9 2019,Kolossos H Hotels,81,,Aris,75,,,
Sat Mar 9 2019,Peristeri Vikos Cola,73,,Ifaistos Lemnos,77,,,
Sat Mar 9 2019,AEK Athens,81,,Holargos,70,,,
Sat Mar 9 2019,PAOK,90,,Kymis Seajets,73,,,
Sat Mar 9 2019,Rethymno Cretan Kings,81,,Promitheas Patras,86,,,
Sun Mar 10 2019,Panionios,71,,Panathinaikos OPAP,96,,,
Mon Mar 11 2019,Olympiacos,81,,Lavrio Aegean Cargo,76,,,
Sat Mar 16 2019,Kymis Seajets,92,,AEK Athens,96,,,
Sat Mar 16 2019,Ifaistos Lemnos,75,,PAOK,73,,,
Sat Mar 16 2019,Aris,61,,Peristeri Vikos Cola,81,,,
Sat Mar 16 2019,Panionios,72,,Rethymno Cretan Kings,65,,,
