Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Sep 28 2019,Rethymno Cretan Kings,50,,Ifaistos Lemnos,66,,,
Sat Sep 28 2019,Lavrio Megabolt,94,,Ionikos Nikaias Affidea,90,,,
Sat Sep 28 2019,Promitheas Patras,96,,Larisa,69,,,
Sat Sep 28 2019,AEK Athens,68,,Panathinaikos OPAP,89,,,
Sat Sep 28 2019,Iraklis,59,,Peristeri Winmasters,75,,,
Sat Sep 28 2019,Panionios Su Casa,61,,Kolossos H Hotels,89,,,
Sun Sep 29 2019,PAOK,82,,Aris,85,,,
Sat Oct 5 2019,Aris,66,,Iraklis,82,,,
Sat Oct 5 2019,Ifaistos Lemnos,83,,Panionios Su Casa,69,,,
Sat Oct 5 2019,Larisa,61,,PAOK,87,,,
Sat Oct 5 2019,Ionikos Nikaias Affidea,80,,Promitheas Patras,87,,,
Sat Oct 5 2019,Peristeri Winmasters,79,,Rethymno Cretan Kings,60,,,
Sun Oct 6 2019,Kolossos H Hotels,69,,AEK Athens,93,,,
Sun Oct 6 2019,Panathinaikos OPAP,112,,Lavrio Megabolt,81,,,
Sat Oct 12 2019,AEK Athens,68,,Ifaistos Lemnos,72,,,
Sat Oct 12 2019,PAOK,66,,Ionikos Nikaias Affidea,83,,,
Sat Oct 12 2019,Rethymno Cretan Kings,56,,Iraklis,74,,,
Sat Oct 12 2019,Panionios Su Casa,69,,Peristeri Winmasters,95,,,
Sat Oct 12 2019,Lavrio Megabolt,74,,Kolossos H Hotels,73,,,
Sun Oct 13 2019,Aris,78,,Larisa,92,,,
Sun Oct 13 2019,Promitheas Patras,68,,Panathinaikos OPAP,99,,,
Sat Oct 19 2019,Peristeri Winmasters,91,,AEK Athens,90,,,
Sat Oct 19 2019,Ionikos Nikaias Affidea,77,,Aris,72,,,
Sat Oct 19 2019,Iraklis,87,,Larisa,74,,,
Sat Oct 19 2019,Rethymno Cretan Kings,67,,Panionios Su Casa,70,,,
Sat Oct 19 2019,Panathinaikos OPAP,104,,PAOK,88,,,
Sat Oct 19 2019,Kolossos H Hotels,80,,Promitheas Patras,81,,,
Sun Oct 20 2019,Ifaistos Lemnos,61,,Lavrio Megabolt,66,,,
Sat Oct 26 2019,Promitheas Patras,75,,Ifaistos Lemnos,72,,,
Sat Oct 26 2019,Larisa,64,,Ionikos Nikaias Affidea,68,,,
Sat Oct 26 2019,Panionios Su Casa,101,,Iraklis,96,,,
Sat Oct 26 2019,Aris,86,,Panathinaikos OPAP,108,,,
Sat Oct 26 2019,Lavrio Megabolt,62,,Peristeri Winmasters,88,,,
Sat Oct 26 2019,PAOK,66,,Kolossos H Hotels,87,,,
Sun Oct 27 2019,AEK Athens,67,,Rethymno Cretan Kings,75,,,
Sat Nov 2 2019,Panionios Su Casa,61,,AEK Athens,91,,,
Sat Nov 2 2019,Kolossos H Hotels,87,,Aris,85,,,
Sat Nov 2 2019,Iraklis,74,,Ionikos Nikaias Affidea,88,,,
Sat Nov 2 2019,Rethymno Cretan Kings,78,,Lavrio Megabolt,86,,,
Sat Nov 2 2019,Ifaistos Lemnos,74,,PAOK,94,,,
Sat Nov 2 2019,Peristeri Winmasters,60,,Promitheas Patras,64,,,
Sun Nov 3 2019,Panathinaikos OPAP,110,,Larisa,68,,,
Sat Nov 16 2019,Aris,59,,Ifaistos Lemnos,85,,,
Sat Nov 16 2019,AEK Athens,77,,Iraklis,68,,,
Sat Nov 16 2019,Ionikos Nikaias Affidea,71,,Panathinaikos OPAP,107,,,
Sat Nov 16 2019,Lavrio Megabolt,77,,Panionios Su Casa,71,,,
Sat Nov 16 2019,Promitheas Patras,63,,Rethymno Cretan Kings,70,,,
Sat Nov 16 2019,Larisa,83,,Kolossos H Hotels,80,,,
Sun Nov 17 2019,PAOK,75,,Peristeri Winmasters,80,,,
Sat Nov 23 2019,Kolossos H Hotels,86,,Ionikos Nikaias Affidea,79,,,
Sat Nov 23 2019,Ifaistos Lemnos,63,,Larisa,58,,,
Sat Nov 23 2019,AEK Athens,73,,Lavrio Megabolt,60,,,
Sat Nov 23 2019,Rethymno Cretan Kings,56,,PAOK,78,,,
Sat Nov 23 2019,Panionios Su Casa,76,,Promitheas Patras,87,,,
Sun Nov 24 2019,Peristeri Winmasters,59,,Aris,72,,,
Mon Nov 25 2019,Iraklis,81,,Panathinaikos OPAP,130,,,
Sat Nov 30 2019,Promitheas Patras,68,,AEK Athens,73,,,
Sat Nov 30 2019,Ionikos Nikaias Affidea,79,,Ifaistos Lemnos,68,,,
Sat Nov 30 2019,Lavrio Megabolt,62,,Iraklis,92,,,
Sat Nov 30 2019,PAOK,87,,Panionios Su Casa,97,,,
Sat Nov 30 2019,Larisa,63,,Peristeri Winmasters,101,,,
Sat Nov 30 2019,Aris,63,,Rethymno Cretan Kings,70,,,
Sun Dec 1 2019,Panathinaikos OPAP,103,,Kolossos H Hotels,69,,,
Sat Dec 7 2019,Peristeri Winmasters,95,,Ionikos Nikaias Affidea,100,,,
Sat Dec 7 2019,Rethymno Cretan Kings,65,,Larisa,82,,,
Sat Dec 7 2019,AEK Athens,71,,PAOK,67,,,
Sat Dec 7 2019,Lavrio Megabolt,66,,Promitheas Patras,77,,,
Sat Dec 7 2019,Iraklis,88,,Kolossos H Hotels,86,,,
Sun Dec 8 2019,Panionios Su Casa,86,,Aris,80,,,
Mon Dec 9 2019,Ifaistos Lemnos,74,,Panathinaikos OPAP,87,,,
Fri Dec 13 2019,Aris,79,,AEK Athens,92,,,
Sat Dec 14 2019,Kolossos H Hotels,64,,Ifaistos Lemnos,72,,,
Sat Dec 14 2019,Promitheas Patras,72,,Iraklis,70,,,
Sat Dec 14 2019,PAOK,88,,Lavrio Megabolt,92,,,
Sat Dec 14 2019,Larisa,71,,Panionios Su Casa,74,,,
Sat Dec 14 2019,Ionikos Nikaias Affidea,76,,Rethymno Cretan Kings,90,,,
Sun Dec 15 2019,Panathinaikos OPAP,78,,Peristeri Winmasters,82,,,
Sat Dec 21 2019,Lavrio Megabolt,70,,Aris,81,,,
Sat Dec 21 2019,Iraklis,65,,Ifaistos Lemnos,79,,,
Sat Dec 21 2019,Panionios Su Casa,74,,Ionikos Nikaias Affidea,108,,,
Sat Dec 21 2019,Promitheas Patras,90,,PAOK,86,,,
Sat Dec 21 2019,Peristeri Winmasters,84,,Kolossos H Hotels,101,,,
Sun Dec 22 2019,AEK Athens,86,,Larisa,76,,,
Sun Dec 22 2019,Rethymno Cretan Kings,74,,Panathinaikos OPAP,96,,,
Sat Dec 28 2019,Ionikos Nikaias Affidea,70,,AEK Athens,103,,,
Sat Dec 28 2019,PAOK,82,,Iraklis,99,,,
