Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 12 2013,Aris,66,,KAOD,58,,,
Sat Oct 12 2013,Kolossos Rodou,81,,PAOK,88,,,
Sat Oct 12 2013,Nea Kifissia,69,,Trikala Aries,64,,,
Sun Oct 13 2013,Ilysiakos,65,,Apollon Patras,80,,,
Sun Oct 13 2013,Panionios,74,,Panelefsiniakos,72,,,
Sun Oct 13 2013,Ikaros Chalkidas,77,,Rethymno Aegean,82,,,
Mon Oct 14 2013,Panathinaikos,45,,Olympiacos,55,,,
Sat Oct 19 2013,PAOK,79,,Aris,75,,9OT,
Sat Oct 19 2013,Trikala Aries,62,,Panionios,69,,,
Sat Oct 19 2013,Rethymno Aegean,76,,Kolossos Rodou,66,,,
Sun Oct 20 2013,Apollon Patras,64,,Ikaros Chalkidas,72,,,
Sun Oct 20 2013,Olympiacos,78,,Ilysiakos,57,,,
Sun Oct 20 2013,KAOD,95,,Nea Kifissia,84,,,
Mon Oct 21 2013,Panelefsiniakos,35,,Panathinaikos,74,,,
Sat Oct 26 2013,Nea Kifissia,65,,Aris,67,,,
Sat Oct 26 2013,Panionios,63,,KAOD,76,,,
Sat Oct 26 2013,Ikaros Chalkidas,61,,Olympiacos,99,,,
Sat Oct 26 2013,Ilysiakos,58,,Panelefsiniakos,73,,,
Sat Oct 26 2013,PAOK,81,,Rethymno Aegean,64,,,
Sun Oct 27 2013,Kolossos Rodou,66,,Apollon Patras,76,,,
Mon Oct 28 2013,Panathinaikos,88,,Trikala Aries,68,,,
Sat Nov 2 2013,Panelefsiniakos,84,,Ikaros Chalkidas,74,,,
Sat Nov 2 2013,Trikala Aries,59,,Ilysiakos,69,,,
Sat Nov 2 2013,Nea Kifissia,39,,Panionios,64,,,
Sun Nov 3 2013,Apollon Patras,74,,PAOK,78,,,
Sun Nov 3 2013,Aris,77,,Rethymno Aegean,84,,,
Sun Nov 3 2013,Olympiacos,94,,Kolossos Rodou,61,,,
Tue Nov 5 2013,KAOD,72,,Panathinaikos,93,,,
Sat Nov 9 2013,Rethymno Aegean,73,,Apollon Patras,82,,,
Sat Nov 9 2013,Ikaros Chalkidas,65,,Trikala Aries,100,,,
Sun Nov 10 2013,Panionios,65,,Aris,63,,,
Sun Nov 10 2013,Ilysiakos,73,,KAOD,76,,,
Sun Nov 10 2013,Panathinaikos,88,,Nea Kifissia,65,,,
Sun Nov 10 2013,Kolossos Rodou,69,,Panelefsiniakos,97,,,
Mon Nov 11 2013,PAOK,70,,Olympiacos,78,,,
Sat Nov 16 2013,Nea Kifissia,65,,Ilysiakos,71,,,
