Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri May 16 2014,San Antonio Silver Stars,75,Atlanta Dream,79,Box Score
Fri May 16 2014,Indiana Fever,71,Chicago Sky,74,Box Score
Fri May 16 2014,New York Liberty,75,Connecticut Sun,54,Box Score
Fri May 16 2014,Los Angeles Sparks,80,Seattle Storm,69,Box Score
Fri May 16 2014,Minnesota Lynx,89,Washington Mystics,77,Box Score
Sat May 17 2014,Atlanta Dream,90,Indiana Fever,88,Box Score
Sat May 17 2014,Chicago Sky,79,New York Liberty,65,Box Score
Sat May 17 2014,Seattle Storm,64,Phoenix Mercury,81,Box Score
Sat May 17 2014,Tulsa Shock,76,San Antonio Silver Stars,80,Box Score
Sun May 18 2014,Phoenix Mercury,74,Los Angeles Sparks,69,Box Score
Sun May 18 2014,Connecticut Sun,87,Minnesota Lynx,90,Box Score
Wed May 21 2014,Connecticut Sun,68,Chicago Sky,78,Box Score
Fri May 23 2014,Seattle Storm,59,Connecticut Sun,71,Box Score
Fri May 23 2014,Washington Mystics,79,Indiana Fever,63,Box Score
Fri May 23 2014,San Antonio Silver Stars,78,Phoenix Mercury,74,Box Score
Fri May 23 2014,Minnesota Lynx,94,Tulsa Shock,93,Box Score
Sat May 24 2014,Atlanta Dream,73,Chicago Sky,87,Box Score
Sat May 24 2014,New York Liberty,82,Minnesota Lynx,87,Box Score
Sat May 24 2014,Seattle Storm,73,Washington Mystics,65,Box Score
Sun May 25 2014,Indiana Fever,82,Atlanta Dream,77,Box Score
Sun May 25 2014,San Antonio Silver Stars,62,Los Angeles Sparks,83,Box Score
Mon May 26 2014,Minnesota Lynx,75,Chicago Sky,72,Box Score
Tue May 27 2014,Seattle Storm,64,New York Liberty,70,Box Score
Wed May 28 2014,Tulsa Shock,79,San Antonio Silver Stars,82,Box Score
Thu May 29 2014,Connecticut Sun,65,Indiana Fever,79,Box Score
Fri May 30 2014,Seattle Storm,69,Atlanta Dream,80,Box Score
Fri May 30 2014,Connecticut Sun,82,Chicago Sky,101,Box Score
Fri May 30 2014,San Antonio Silver Stars,72,Minnesota Lynx,88,Box Score
Fri May 30 2014,Tulsa Shock,78,Phoenix Mercury,100,Box Score
Fri May 30 2014,New York Liberty,60,Washington Mystics,68,Box Score
Sat May 31 2014,New York Liberty,66,Indiana Fever,70,Box Score
Sun Jun 1 2014,Atlanta Dream,76,Connecticut Sun,85,Box Score
Sun Jun 1 2014,Minnesota Lynx,87,San Antonio Silver Stars,79,Box Score
Sun Jun 1 2014,Tulsa Shock,60,Seattle Storm,62,Box Score
Sun Jun 1 2014,Los Angeles Sparks,84,Washington Mystics,92,Box Score
Tue Jun 3 2014,Los Angeles Sparks,85,Atlanta Dream,93,Box Score
Tue Jun 3 2014,Seattle Storm,72,Phoenix Mercury,87,Box Score
Thu Jun 5 2014,Washington Mystics,74,Connecticut Sun,66,Box Score
Thu Jun 5 2014,San Antonio Silver Stars,87,New York Liberty,75,Box Score
Fri Jun 6 2014,Los Angeles Sparks,102,Chicago Sky,88,Box Score
Fri Jun 6 2014,Minnesota Lynx,62,Seattle Storm,65,Box Score
Fri Jun 6 2014,Phoenix Mercury,78,Tulsa Shock,94,Box Score
Fri Jun 6 2014,Indiana Fever,64,Washington Mystics,61,Box Score
Sat Jun 7 2014,Chicago Sky,59,Atlanta Dream,97,Box Score
Sat Jun 7 2014,Indiana Fever,71,Connecticut Sun,88,Box Score
Sat Jun 7 2014,Phoenix Mercury,91,San Antonio Silver Stars,79,Box Score
Sun Jun 8 2014,Minnesota Lynx,85,Los Angeles Sparks,72,Box Score
Sun Jun 8 2014,Washington Mystics,64,New York Liberty,81,Box Score
Tue Jun 10 2014,Seattle Storm,80,Chicago Sky,76,Box Score
Tue Jun 10 2014,New York Liberty,57,Tulsa Shock,72,Box Score
Tue Jun 10 2014,Phoenix Mercury,81,Washington Mystics,66,Box Score
Wed Jun 11 2014,Seattle Storm,68,Indiana Fever,76,Box Score
Thu Jun 12 2014,Phoenix Mercury,95,Connecticut Sun,96,Box Score
Fri Jun 13 2014,Minnesota Lynx,82,Atlanta Dream,85,Box Score
Fri Jun 13 2014,Connecticut Sun,83,New York Liberty,75,Box Score
Fri Jun 13 2014,Seattle Storm,79,San Antonio Silver Stars,72,Box Score
Fri Jun 13 2014,Los Angeles Sparks,67,Tulsa Shock,69,Box Score
Fri Jun 13 2014,Chicago Sky,68,Washington Mystics,79,Box Score
Sat Jun 14 2014,Los Angeles Sparks,74,San Antonio Silver Stars,101,Box Score
Sun Jun 15 2014,New York Liberty,72,Connecticut Sun,76,Box Score
Sun Jun 15 2014,Phoenix Mercury,80,Minnesota Lynx,72,Box Score
Sun Jun 15 2014,Seattle Storm,79,Tulsa Shock,85,Box Score
Sun Jun 15 2014,Atlanta Dream,75,Washington Mystics,67,Box Score
Tue Jun 17 2014,Indiana Fever,67,Connecticut Sun,89,Box Score
Tue Jun 17 2014,Minnesota Lynx,94,Los Angeles Sparks,77,Box Score
Wed Jun 18 2014,Washington Mystics,73,Atlanta Dream,83,Box Score
Wed Jun 18 2014,New York Liberty,100,Chicago Sky,105,Box Score
Wed Jun 18 2014,Minnesota Lynx,79,Phoenix Mercury,92,Box Score
Thu Jun 19 2014,Tulsa Shock,77,Los Angeles Sparks,87,Box Score
Thu Jun 19 2014,San Antonio Silver Stars,87,Seattle Storm,82,Box Score
Fri Jun 20 2014,New York Liberty,64,Atlanta Dream,85,Box Score
Fri Jun 20 2014,Indiana Fever,83,Chicago Sky,75,Box Score
Fri Jun 20 2014,Washington Mystics,65,Minnesota Lynx,75,Box Score
Fri Jun 20 2014,Tulsa Shock,80,Phoenix Mercury,91,Box Score
Sun Jun 22 2014,Tulsa Shock,105,Chicago Sky,99,Box Score
Sun Jun 22 2014,San Antonio Silver Stars,72,Los Angeles Sparks,69,Box Score
Sun Jun 22 2014,Indiana Fever,77,Minnesota Lynx,83,Box Score
Sun Jun 22 2014,Atlanta Dream,78,New York Liberty,85,Box Score
Sun Jun 22 2014,Washington Mystics,86,Seattle Storm,89,Box Score
Tue Jun 24 2014,Seattle Storm,57,Los Angeles Sparks,65,Box Score
Tue Jun 24 2014,Washington Mystics,81,San Antonio Silver Stars,70,Box Score
Wed Jun 25 2014,Chicago Sky,69,Connecticut Sun,79,Box Score
Wed Jun 25 2014,Tulsa Shock,107,Indiana Fever,102,Box Score
Thu Jun 26 2014,Atlanta Dream,81,San Antonio Silver Stars,79,Box Score
Fri Jun 27 2014,Phoenix Mercury,81,Indiana Fever,76,Box Score
Fri Jun 27 2014,Chicago Sky,73,New York Liberty,69,Box Score
Fri Jun 27 2014,Minnesota Lynx,71,Seattle Storm,81,Box Score
Fri Jun 27 2014,Connecticut Sun,63,Washington Mystics,69,Box Score
Sat Jun 28 2014,Los Angeles Sparks,92,Tulsa Shock,89,Box Score
Sun Jun 29 2014,Atlanta Dream,76,Indiana Fever,68,Box Score
Sun Jun 29 2014,Seattle Storm,69,Minnesota Lynx,74,Box Score
Sun Jun 29 2014,Connecticut Sun,65,New York Liberty,67,Box Score
Sun Jun 29 2014,Phoenix Mercury,80,Tulsa Shock,77,Box Score
Sun Jun 29 2014,San Antonio Silver Stars,73,Washington Mystics,65,Box Score
Tue Jul 1 2014,Indiana Fever,77,Atlanta Dream,70,Box Score
Tue Jul 1 2014,San Antonio Silver Stars,74,Connecticut Sun,71,Box Score
Tue Jul 1 2014,Chicago Sky,90,Los Angeles Sparks,83,Box Score
Tue Jul 1 2014,Tulsa Shock,74,New York Liberty,90,Box Score
Wed Jul 2 2014,Chicago Sky,69,Phoenix Mercury,87,Box Score
Wed Jul 2 2014,Indiana Fever,80,Washington Mystics,77,Box Score
Thu Jul 3 2014,Tulsa Shock,96,Connecticut Sun,83,Box Score
Thu Jul 3 2014,San Antonio Silver Stars,84,Minnesota Lynx,91,Box Score
Thu Jul 3 2014,Los Angeles Sparks,70,Seattle Storm,56,Box Score
Sat Jul 5 2014,Washington Mystics,73,Atlanta Dream,86,Box Score
Sat Jul 5 2014,San Antonio Silver Stars,71,Indiana Fever,70,Box Score
Sat Jul 5 2014,Chicago Sky,73,Seattle Storm,80,Box Score
Sat Jul 5 2014,Connecticut Sun,78,Tulsa Shock,76,Box Score
Sun Jul 6 2014,Phoenix Mercury,94,Los Angeles Sparks,89,Box Score
Sun Jul 6 2014,Minnesota Lynx,80,New York Liberty,87,Box Score
Tue Jul 8 2014,Connecticut Sun,71,Atlanta Dream,83,Box Score
Tue Jul 8 2014,Los Angeles Sparks,72,Minnesota Lynx,83,Box Score
Tue Jul 8 2014,Indiana Fever,78,Tulsa Shock,76,Box Score
Wed Jul 9 2014,Washington Mystics,72,Chicago Sky,65,Box Score
Wed Jul 9 2014,Seattle Storm,58,Phoenix Mercury,78,Box Score
Wed Jul 9 2014,New York Liberty,66,San Antonio Silver Stars,80,Box Score
Thu Jul 10 2014,Connecticut Sun,68,Indiana Fever,72,Box Score
Thu Jul 10 2014,Minnesota Lynx,91,Tulsa Shock,85,Box Score
Fri Jul 11 2014,Phoenix Mercury,72,Chicago Sky,66,Box Score
Fri Jul 11 2014,Los Angeles Sparks,68,New York Liberty,54,Box Score
Fri Jul 11 2014,Seattle Storm,88,San Antonio Silver Stars,67,Box Score
