Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri May 24 2019,Dallas Wings,72,Atlanta Dream,76,Box Score
Fri May 24 2019,Indiana Fever,81,New York Liberty,80,Box Score
Sat May 25 2019,Washington Mystics,69,Connecticut Sun,84,Box Score
Sat May 25 2019,Chicago Sky,71,Minnesota Lynx,89,Box Score
Sat May 25 2019,Phoenix Mercury,68,Seattle Storm,77,Box Score
Sun May 26 2019,Los Angeles Sparks,70,Las Vegas Aces,83,Box Score
Tue May 28 2019,Indiana Fever,77,Connecticut Sun,88,Box Score
Wed May 29 2019,Seattle Storm,61,Minnesota Lynx,72,Box Score
Fri May 31 2019,Seattle Storm,82,Atlanta Dream,66,Box Score
Fri May 31 2019,Connecticut Sun,70,Los Angeles Sparks,77,Box Score
Fri May 31 2019,Las Vegas Aces,84,Phoenix Mercury,86,Box Score
Sat Jun 1 2019,Seattle Storm,79,Chicago Sky,83,Box Score
Sat Jun 1 2019,Minnesota Lynx,70,Dallas Wings,67,Box Score
Sat Jun 1 2019,New York Liberty,77,Indiana Fever,92,Box Score
Sat Jun 1 2019,Atlanta Dream,75,Washington Mystics,96,Box Score
Sun Jun 2 2019,Connecticut Sun,80,Las Vegas Aces,74,Box Score
Tue Jun 4 2019,Los Angeles Sparks,78,New York Liberty,73,Box Score
Tue Jun 4 2019,Minnesota Lynx,77,Seattle Storm,84,Box Score
Wed Jun 5 2019,Chicago Sky,85,Washington Mystics,103,Box Score
Thu Jun 6 2019,Las Vegas Aces,92,Atlanta Dream,69,Box Score
Thu Jun 6 2019,Los Angeles Sparks,77,Connecticut Sun,89,Box Score
Thu Jun 6 2019,Phoenix Mercury,56,Minnesota Lynx,58,Box Score
Fri Jun 7 2019,Dallas Wings,64,Indiana Fever,79,Box Score
Fri Jun 7 2019,Washington Mystics,94,New York Liberty,85,Box Score
Sat Jun 8 2019,Los Angeles Sparks,89,Minnesota Lynx,85,Box Score
Sun Jun 9 2019,Connecticut Sun,65,Atlanta Dream,59,Box Score
Sun Jun 9 2019,Seattle Storm,71,Chicago Sky,78,Box Score
Sun Jun 9 2019,Phoenix Mercury,94,Indiana Fever,87,Box Score
Sun Jun 9 2019,Las Vegas Aces,78,New York Liberty,88,Box Score
Sun Jun 9 2019,Dallas Wings,62,Washington Mystics,86,Box Score
Tue Jun 11 2019,Phoenix Mercury,75,Chicago Sky,82,Box Score
Tue Jun 11 2019,Washington Mystics,75,Connecticut Sun,83,Box Score
Tue Jun 11 2019,Seattle Storm,84,Indiana Fever,82,Box Score
Wed Jun 12 2019,Minnesota Lynx,69,New York Liberty,75,Box Score
Thu Jun 13 2019,Indiana Fever,76,Dallas Wings,72,Box Score
Fri Jun 14 2019,New York Liberty,65,Las Vegas Aces,100,Box Score
Fri Jun 14 2019,Connecticut Sun,85,Minnesota Lynx,81,Box Score
Fri Jun 14 2019,Los Angeles Sparks,85,Phoenix Mercury,68,Box Score
Fri Jun 14 2019,Seattle Storm,74,Washington Mystics,71,Box Score
Sat Jun 15 2019,Atlanta Dream,61,Dallas Wings,71,Box Score
Sat Jun 15 2019,Chicago Sky,70,Indiana Fever,64,Box Score
Sat Jun 15 2019,New York Liberty,98,Los Angeles Sparks,92,Box Score
Sun Jun 16 2019,Seattle Storm,67,Connecticut Sun,81,Box Score
Sun Jun 16 2019,Las Vegas Aces,80,Minnesota Lynx,75,Box Score
Tue Jun 18 2019,Washington Mystics,81,Los Angeles Sparks,52,Box Score
Wed Jun 19 2019,Indiana Fever,78,Atlanta Dream,88,Box Score
