ate,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sun Jun 24 2007,Indiana Fever,74,New York Liberty,63,Box Score
Sun Jun 24 2007,Houston Comets,85,Phoenix Mercury,90,Box Score
Tue Jun 26 2007,Washington Mystics,91,Connecticut Sun,75,Box Score
Tue Jun 26 2007,San Antonio Silver Stars,67,Houston Comets,75,Box Score
Tue Jun 26 2007,New York Liberty,46,Sacramento Monarchs,59,Box Score
Tue Jun 26 2007,Chicago Sky,76,Seattle Storm,94,Box Score
Wed Jun 27 2007,Connecticut Sun,74,Detroit Shock,77,Box Score
Wed Jun 27 2007,Sacramento Monarchs,66,Los Angeles Sparks,74,Box Score
Thu Jun 28 2007,Seattle Storm,76,Houston Comets,81,Box Score
Fri Jun 29 2007,Indiana Fever,67,Connecticut Sun,72,Box Score
Fri Jun 29 2007,New York Liberty,80,Los Angeles Sparks,68,Box Score
Fri Jun 29 2007,Chicago Sky,92,Sacramento Monarchs,84,Box Score
Fri Jun 29 2007,Minnesota Lynx,77,San Antonio Silver Stars,66,Box Score
Fri Jun 29 2007,Detroit Shock,64,Washington Mystics,65,Box Score
Sat Jun 30 2007,Phoenix Mercury,92,Houston Comets,75,Box Score
Sun Jul 1 2007,San Antonio Silver Stars,71,Detroit Shock,68,Box Score
Sun Jul 1 2007,Chicago Sky,74,Los Angeles Sparks,71,Box Score
Sun Jul 1 2007,Minnesota Lynx,68,Sacramento Monarchs,76,Box Score
Sun Jul 1 2007,New York Liberty,53,Seattle Storm,84,Box Score
Sun Jul 1 2007,Indiana Fever,69,Washington Mystics,62,Box Score
Tue Jul 3 2007,Phoenix Mercury,95,Minnesota Lynx,79,Box Score
Tue Jul 3 2007,Los Angeles Sparks,71,Seattle Storm,90,Box Score
Tue Jul 3 2007,San Antonio Silver Stars,84,Washington Mystics,79,Box Score
Thu Jul 5 2007,Indiana Fever,57,Los Angeles Sparks,56,Box Score
Fri Jul 6 2007,New York Liberty,82,Detroit Shock,81,Box Score
Fri Jul 6 2007,Seattle Storm,71,Houston Comets,55,Box Score
Fri Jul 6 2007,Sacramento Monarchs,85,Minnesota Lynx,80,Box Score
Fri Jul 6 2007,Connecticut Sun,109,Phoenix Mercury,111,Box Score
Sat Jul 7 2007,Washington Mystics,77,Chicago Sky,73,Box Score
Sat Jul 7 2007,Connecticut Sun,110,Los Angeles Sparks,89,Box Score
Sat Jul 7 2007,Seattle Storm,73,San Antonio Silver Stars,80,Box Score
Sun Jul 8 2007,Phoenix Mercury,82,Detroit Shock,111,Box Score
Sun Jul 8 2007,Chicago Sky,70,Indiana Fever,86,Box Score
Sun Jul 8 2007,Houston Comets,79,Minnesota Lynx,67,Box Score
Sun Jul 8 2007,Sacramento Monarchs,61,New York Liberty,71,Box Score
Tue Jul 10 2007,Chicago Sky,84,Detroit Shock,92,Box Score
Tue Jul 10 2007,Indiana Fever,79,Houston Comets,77,Box Score
Tue Jul 10 2007,Seattle Storm,82,Los Angeles Sparks,47,Box Score
Tue Jul 10 2007,Minnesota Lynx,83,Washington Mystics,91,Box Score
Wed Jul 11 2007,San Antonio Silver Stars,87,Phoenix Mercury,77,Box Score
Wed Jul 11 2007,Connecticut Sun,76,Seattle Storm,63,Box Score
Thu Jul 12 2007,Detroit Shock,78,Chicago Sky,65,Box Score
Thu Jul 12 2007,Minnesota Lynx,77,Houston Comets,87,Box Score
Thu Jul 12 2007,New York Liberty,63,Indiana Fever,79,Box Score
Thu Jul 12 2007,Connecticut Sun,82,Sacramento Monarchs,78,Box Score
Tue Jul 17 2007,Minnesota Lynx,79,Connecticut Sun,84,Box Score
Tue Jul 17 2007,San Antonio Silver Stars,63,Los Angeles Sparks,61,Box Score
Tue Jul 17 2007,Seattle Storm,79,Phoenix Mercury,89,Box Score
Wed Jul 18 2007,New York Liberty,82,Detroit Shock,87,Box Score
Wed Jul 18 2007,Chicago Sky,74,Indiana Fever,75,Box Score
Wed Jul 18 2007,Houston Comets,58,Washington Mystics,65,Box Score
Fri Jul 20 2007,Seattle Storm,58,Connecticut Sun,76,Box Score
Fri Jul 20 2007,Detroit Shock,89,Indiana Fever,80,Box Score
Fri Jul 20 2007,Washington Mystics,91,Minnesota Lynx,87,Box Score
Fri Jul 20 2007,Houston Comets,80,New York Liberty,74,Box Score
Fri Jul 20 2007,Los Angeles Sparks,87,Phoenix Mercury,77,Box Score
Fri Jul 20 2007,Sacramento Monarchs,71,San Antonio Silver Stars,81,Box Score
Sat Jul 21 2007,Indiana Fever,65,Chicago Sky,68,Box Score
Sat Jul 21 2007,Washington Mystics,58,Detroit Shock,66,Box Score
Sun Jul 22 2007,San Antonio Silver Stars,82,Chicago Sky,84,Box Score
Sun Jul 22 2007,Houston Comets,79,Connecticut Sun,81,Box Score
Sun Jul 22 2007,Seattle Storm,77,New York Liberty,75,Box Score
Sun Jul 22 2007,Minnesota Lynx,93,Phoenix Mercury,106,Box Score
Tue Jul 24 2007,Detroit Shock,92,Connecticut Sun,88,Box Score
Tue Jul 24 2007,San Antonio Silver Stars,71,Indiana Fever,63,Box Score
Tue Jul 24 2007,Los Angeles Sparks,59,Sacramento Monarchs,67,Box Score
Tue Jul 24 2007,Seattle Storm,96,Washington Mystics,97,Box Score
Wed Jul 25 2007,Phoenix Mercury,103,Minnesota Lynx,79,Box Score
Thu Jul 26 2007,New York Liberty,75,Connecticut Sun,79,Box Score
Thu Jul 26 2007,Chicago Sky,83,Detroit Shock,73,Box Score
Thu Jul 26 2007,Indiana Fever,50,Sacramento Monarchs,60,Box Score
Fri Jul 27 2007,Phoenix Mercury,98,Chicago Sky,96,Box Score
Fri Jul 27 2007,Los Angeles Sparks,76,Minnesota Lynx,85,Box Score
Fri Jul 27 2007,Houston Comets,69,San Antonio Silver Stars,63,Box Score
Fri Jul 27 2007,Indiana Fever,75,Seattle Storm,89,Box Score
Sat Jul 28 2007,Detroit Shock,76,Washington Mystics,64,Box Score
Sun Jul 29 2007,Houston Comets,70,Chicago Sky,88,Box Score
Sun Jul 29 2007,Los Angeles Sparks,73,Detroit Shock,75,Box Score
Sun Jul 29 2007,Connecticut Sun,67,New York Liberty,61,Box Score
Sun Jul 29 2007,Indiana Fever,75,Phoenix Mercury,80,Box Score
Sun Jul 29 2007,Minnesota Lynx,78,Sacramento Monarchs,73,Box Score
Sun Jul 29 2007,San Antonio Silver Stars,92,Seattle Storm,88,Box Score
Tue Jul 31 2007,Chicago Sky,56,Connecticut Sun,74,Box Score
Tue Jul 31 2007,Phoenix Mercury,76,Houston Comets,74,Box Score
Tue Jul 31 2007,Washington Mystics,57,Indiana Fever,66,Box Score
Tue Jul 31 2007,Los Angeles Sparks,73,New York Liberty,63,Box Score
Tue Jul 31 2007,Detroit Shock,84,San Antonio Silver Stars,79,Box Score
Tue Jul 31 2007,Sacramento Monarchs,78,Seattle Storm,74,Box Score
Thu Aug 2 2007,Minnesota Lynx,66,New York Liberty,71,Box Score
Thu Aug 2 2007,Phoenix Mercury,84,San Antonio Silver Stars,79,Box Score
Fri Aug 3 2007,Detroit Shock,66,Chicago Sky,60,Box Score
