Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat Jul 25 2020,Seattle Storm,87,New York Liberty,71,Box Score
Sat Jul 25 2020,Los Angeles Sparks,99,Phoenix Mercury,76,Box Score
Sat Jul 25 2020,Indiana Fever,76,Washington Mystics,101,Box Score
Sun Jul 26 2020,Dallas Wings,95,Atlanta Dream,105,Box Score
Sun Jul 26 2020,Chicago Sky,88,Las Vegas Aces,86,Box Score
Sun Jul 26 2020,Connecticut Sun,69,Minnesota Lynx,77,Box Score
Tue Jul 28 2020,Los Angeles Sparks,78,Chicago Sky,96,Box Score
Tue Jul 28 2020,Washington Mystics,94,Connecticut Sun,89,Box Score
Tue Jul 28 2020,Minnesota Lynx,66,Seattle Storm,90,Box Score
Wed Jul 29 2020,New York Liberty,80,Dallas Wings,93,Box Score
Wed Jul 29 2020,Phoenix Mercury,100,Indiana Fever,106,Box Score
Wed Jul 29 2020,Atlanta Dream,70,Las Vegas Aces,100,Box Score
Thu Jul 30 2020,Connecticut Sun,76,Los Angeles Sparks,81,Box Score
Thu Jul 30 2020,Chicago Sky,81,Minnesota Lynx,83,Box Score
Thu Jul 30 2020,Seattle Storm,71,Washington Mystics,89,Box Score
Fri Jul 31 2020,New York Liberty,78,Atlanta Dream,84,Box Score
Fri Jul 31 2020,Indiana Fever,73,Dallas Wings,76,Box Score
Fri Jul 31 2020,Las Vegas Aces,95,Phoenix Mercury,102,Box Score
Sat Aug 1 2020,Washington Mystics,86,Chicago Sky,88,Box Score
Sat Aug 1 2020,Minnesota Lynx,78,Connecticut Sun,69,Box Score
Sat Aug 1 2020,Los Angeles Sparks,75,Seattle Storm,81,Box Score
Sun Aug 2 2020,Atlanta Dream,77,Indiana Fever,93,Box Score
Sun Aug 2 2020,Dallas Wings,70,Las Vegas Aces,79,Box Score
Sun Aug 2 2020,Phoenix Mercury,96,New York Liberty,67,Box Score
Tue Aug 4 2020,Phoenix Mercury,81,Atlanta Dream,74,Box Score
Tue Aug 4 2020,Dallas Wings,79,Chicago Sky,82,Box Score
Tue Aug 4 2020,Connecticut Sun,74,Seattle Storm,87,Box Score
Wed Aug 5 2020,Indiana Fever,75,Los Angeles Sparks,86,Box Score
Wed Aug 5 2020,Minnesota Lynx,92,New York Liberty,66,Box Score
Wed Aug 5 2020,Las Vegas Aces,83,Washington Mystics,77,Box Score
Thu Aug 6 2020,Seattle Storm,93,Atlanta Dream,92,Box Score
Thu Aug 6 2020,Connecticut Sun,91,Dallas Wings,68,Box Score
Thu Aug 6 2020,Chicago Sky,86,Phoenix Mercury,96,Box Score
Fri Aug 7 2020,Los Angeles Sparks,82,Las Vegas Aces,86,Box Score
Fri Aug 7 2020,Indiana Fever,80,Minnesota Lynx,87,Box Score
Fri Aug 7 2020,New York Liberty,74,Washington Mystics,66,Box Score
Sat Aug 8 2020,Chicago Sky,100,Connecticut Sun,93,Box Score
Sat Aug 8 2020,Atlanta Dream,75,Dallas Wings,85,Box Score
Sat Aug 8 2020,Phoenix Mercury,68,Seattle Storm,74,Box Score
Sun Aug 9 2020,Washington Mystics,84,Indiana Fever,91,Box Score
Sun Aug 9 2020,Minnesota Lynx,81,Los Angeles Sparks,97,Box Score
Sun Aug 9 2020,Las Vegas Aces,78,New York Liberty,76,Box Score
