Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 17 2008,Atlanta Dream,67,Connecticut Sun,100,Box Score
Sat May 17 2008,Houston Comets,66,Detroit Shock,85,Box Score
Sat May 17 2008,Washington Mystics,53,Indiana Fever,64,Box Score
Sat May 17 2008,Los Angeles Sparks,99,Phoenix Mercury,94,Box Score
Sat May 17 2008,San Antonio Silver Stars,64,Sacramento Monarchs,73,Box Score
Sat May 17 2008,Chicago Sky,61,Seattle Storm,67,Box Score
Sun May 18 2008,Detroit Shock,70,Minnesota Lynx,84,Box Score
Sun May 18 2008,Connecticut Sun,77,New York Liberty,63,Box Score
Tue May 20 2008,Phoenix Mercury,76,San Antonio Silver Stars,81,Box Score
Tue May 20 2008,Sacramento Monarchs,62,Seattle Storm,74,Box Score
Wed May 21 2008,Indiana Fever,71,Detroit Shock,76,Box Score
Thu May 22 2008,Sacramento Monarchs,77,Chicago Sky,87,Box Score
Thu May 22 2008,Washington Mystics,60,New York Liberty,79,Box Score
Thu May 22 2008,Seattle Storm,87,Phoenix Mercury,83,Box Score
Fri May 23 2008,Detroit Shock,88,Atlanta Dream,76,Box Score
Sat May 24 2008,Sacramento Monarchs,64,Connecticut Sun,87,Box Score
Sat May 24 2008,Seattle Storm,72,San Antonio Silver Stars,87,Box Score
Sun May 25 2008,Los Angeles Sparks,74,Atlanta Dream,56,Box Score
Sun May 25 2008,New York Liberty,62,Detroit Shock,72,Box Score
Sun May 25 2008,Houston Comets,66,Washington Mystics,69,Box Score
Tue May 27 2008,Indiana Fever,75,Connecticut Sun,46,Box Score
Tue May 27 2008,Minnesota Lynx,98,Houston Comets,92,Box Score
Tue May 27 2008,Atlanta Dream,74,Washington Mystics,80,Box Score
Thu May 29 2008,Minnesota Lynx,75,Chicago Sky,69,Box Score
Thu May 29 2008,Los Angeles Sparks,78,Indiana Fever,82,Box Score
Fri May 30 2008,New York Liberty,84,Connecticut Sun,89,Box Score
Fri May 30 2008,Houston Comets,66,Sacramento Monarchs,73,Box Score
Fri May 30 2008,San Antonio Silver Stars,57,Seattle Storm,78,Box Score
Sat May 31 2008,Detroit Shock,74,Indiana Fever,65,Box Score
Sat May 31 2008,Phoenix Mercury,83,Minnesota Lynx,94,Box Score
Sat May 31 2008,Los Angeles Sparks,70,Washington Mystics,59,Box Score
Sun Jun 1 2008,Connecticut Sun,75,Chicago Sky,73,Box Score
Sun Jun 1 2008,Houston Comets,63,Seattle Storm,64,Box Score
Tue Jun 3 2008,Minnesota Lynx,85,Atlanta Dream,81,Box Score
Tue Jun 3 2008,Los Angeles Sparks,81,Chicago Sky,77,Box Score
Tue Jun 3 2008,San Antonio Silver Stars,72,Houston Comets,75,Box Score
Tue Jun 3 2008,Seattle Storm,63,New York Liberty,77,Box Score
Tue Jun 3 2008,Washington Mystics,93,Phoenix Mercury,98,Box Score
Wed Jun 4 2008,Seattle Storm,67,Detroit Shock,77,Box Score
Fri Jun 6 2008,Chicago Sky,86,Atlanta Dream,72,Box Score
Fri Jun 6 2008,Minnesota Lynx,77,Connecticut Sun,78,Box Score
Fri Jun 6 2008,Phoenix Mercury,85,Los Angeles Sparks,79,Box Score
Fri Jun 6 2008,Houston Comets,73,New York Liberty,81,Box Score
Fri Jun 6 2008,Detroit Shock,84,Sacramento Monarchs,70,Box Score
