Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri May 14 2021,Connecticut Sun,78,Atlanta Dream,67,Box Score,Commissioner's Cup Game
Fri May 14 2021,Dallas Wings,94,Los Angeles Sparks,71,Box Score,Commissioner's Cup Game
Fri May 14 2021,Phoenix Mercury,77,Minnesota Lynx,75,Box Score,Commissioner's Cup Game
Fri May 14 2021,Indiana Fever,87,New York Liberty,90,Box Score,Commissioner's Cup Game
Sat May 15 2021,Las Vegas Aces,83,Seattle Storm,97,Box Score,Commissioner's Cup Game
Sat May 15 2021,Chicago Sky,70,Washington Mystics,56,Box Score,Commissioner's Cup Game
Sun May 16 2021,Phoenix Mercury,78,Connecticut Sun,86,Box Score,
Sun May 16 2021,New York Liberty,73,Indiana Fever,65,Box Score,Commissioner's Cup Game
Tue May 18 2021,Minnesota Lynx,75,New York Liberty,86,Box Score,
Tue May 18 2021,Las Vegas Aces,96,Seattle Storm,80,Box Score,
Tue May 18 2021,Phoenix Mercury,91,Washington Mystics,70,Box Score,
Wed May 19 2021,Chicago Sky,85,Atlanta Dream,77,Box Score,Commissioner's Cup Game
Wed May 19 2021,Indiana Fever,67,Connecticut Sun,88,Box Score,Commissioner's Cup Game
Thu May 20 2021,Seattle Storm,90,Minnesota Lynx,78,Box Score,Commissioner's Cup Game
Fri May 21 2021,Atlanta Dream,83,Indiana Fever,79,Box Score,Commissioner's Cup Game
Fri May 21 2021,Los Angeles Sparks,69,Las Vegas Aces,97,Box Score,Commissioner's Cup Game
Fri May 21 2021,Connecticut Sun,84,Phoenix Mercury,67,Box Score,
Fri May 21 2021,New York Liberty,72,Washington Mystics,101,Box Score,Commissioner's Cup Game
Sat May 22 2021,Seattle Storm,100,Dallas Wings,97,Box Score,Commissioner's Cup Game
Sun May 23 2021,New York Liberty,93,Chicago Sky,85,Box Score,Commissioner's Cup Game
Sun May 23 2021,Washington Mystics,77,Indiana Fever,89,Box Score,Commissioner's Cup Game
Sun May 23 2021,Connecticut Sun,72,Las Vegas Aces,65,Box Score,
Mon May 24 2021,Dallas Wings,81,New York Liberty,88,Box Score,
Tue May 25 2021,Atlanta Dream,90,Chicago Sky,83,Box Score,Commissioner's Cup Game
Tue May 25 2021,Washington Mystics,85,Indiana Fever,69,Box Score,
Tue May 25 2021,Connecticut Sun,87,Seattle Storm,90,Box Score,
Wed May 26 2021,Las Vegas Aces,85,Phoenix Mercury,79,Box Score,Commissioner's Cup Game
Thu May 27 2021,Dallas Wings,95,Atlanta Dream,101,Box Score,
Fri May 28 2021,Los Angeles Sparks,76,Chicago Sky,61,Box Score,
Fri May 28 2021,Washington Mystics,81,Connecticut Sun,86,Box Score,Commissioner's Cup Game
Fri May 28 2021,Indiana Fever,77,Las Vegas Aces,113,Box Score,
Fri May 28 2021,Minnesota Lynx,72,Seattle Storm,82,Box Score,Commissioner's Cup Game
Sat May 29 2021,Phoenix Mercury,89,Dallas Wings,85,Box Score,Commissioner's Cup Game
Sat May 29 2021,Atlanta Dream,90,New York Liberty,87,Box Score,Commissioner's Cup Game
Sun May 30 2021,Los Angeles Sparks,82,Chicago Sky,79,Box Score,
Sun May 30 2021,Indiana Fever,78,Las Vegas Aces,101,Box Score,
Sun May 30 2021,Connecticut Sun,74,Minnesota Lynx,79,Box Score,
Tue Jun 1 2021,Phoenix Mercury,84,Chicago Sky,83,Box Score,
Tue Jun 1 2021,Las Vegas Aces,67,Connecticut Sun,74,Box Score,
Tue Jun 1 2021,Los Angeles Sparks,69,Dallas Wings,79,Box Score,Commissioner's Cup Game
Tue Jun 1 2021,Indiana Fever,73,Seattle Storm,88,Box Score,
Thu Jun 3 2021,Indiana Fever,63,Los Angeles Sparks,98,Box Score,
Thu Jun 3 2021,Las Vegas Aces,94,New York Liberty,82,Box Score,
Thu Jun 3 2021,Chicago Sky,74,Phoenix Mercury,77,Box Score,
Fri Jun 4 2021,Atlanta Dream,84,Minnesota Lynx,86,Box Score,
Fri Jun 4 2021,Dallas Wings,102,Seattle Storm,105,Box Score,Commissioner's Cup Game
Sat Jun 5 2021,New York Liberty,64,Connecticut Sun,85,Box Score,Commissioner's Cup Game
Sat Jun 5 2021,Chicago Sky,63,Los Angeles Sparks,68,Box Score,
Sat Jun 5 2021,Las Vegas Aces,96,Washington Mystics,93,Box Score,
Sun Jun 6 2021,Atlanta Dream,80,Minnesota Lynx,100,Box Score,
Sun Jun 6 2021,Dallas Wings,68,Seattle Storm,67,Box Score,
Tue Jun 8 2021,Dallas Wings,85,Phoenix Mercury,81,Box Score,Commissioner's Cup Game
Tue Jun 8 2021,Minnesota Lynx,81,Washington Mystics,85,Box Score,
Wed Jun 9 2021,Seattle Storm,95,Atlanta Dream,71,Box Score,
Wed Jun 9 2021,Indiana Fever,76,Chicago Sky,92,Box Score,Commissioner's Cup Game
Thu Jun 10 2021,Los Angeles Sparks,71,Washington Mystics,89,Box Score,
Fri Jun 11 2021,Seattle Storm,86,Atlanta Dream,75,Box Score,
Fri Jun 11 2021,Dallas Wings,77,Phoenix Mercury,59,Box Score,
Sat Jun 12 2021,Chicago Sky,83,Indiana Fever,79,Box Score,Commissioner's Cup Game
Sat Jun 12 2021,Los Angeles Sparks,64,Minnesota Lynx,80,Box Score,Commissioner's Cup Game
Sun Jun 13 2021,Washington Mystics,78,Atlanta Dream,101,Box Score,Commissioner's Cup Game
Sun Jun 13 2021,Seattle Storm,89,Connecticut Sun,66,Box Score,
Sun Jun 13 2021,Dallas Wings,78,Las Vegas Aces,85,Box Score,Commissioner's Cup Game
Sun Jun 13 2021,New York Liberty,85,Phoenix Mercury,83,Box Score,
Tue Jun 15 2021,Seattle Storm,87,Indiana Fever,70,Box Score,
Tue Jun 15 2021,New York Liberty,78,Las Vegas Aces,100,Box Score,
Tue Jun 15 2021,Chicago Sky,105,Minnesota Lynx,89,Box Score,
Wed Jun 16 2021,Phoenix Mercury,80,Los Angeles Sparks,85,Box Score,Commissioner's Cup Game
Thu Jun 17 2021,Connecticut Sun,75,Chicago Sky,81,Box Score,Commissioner's Cup Game
Thu Jun 17 2021,Minnesota Lynx,85,Dallas Wings,73,Box Score,Commissioner's Cup Game
Thu Jun 17 2021,Seattle Storm,79,Indiana Fever,69,Box Score,
Thu Jun 17 2021,New York Liberty,76,Las Vegas Aces,103,Box Score,
Thu Jun 17 2021,Atlanta Dream,93,Washington Mystics,96,Box Score,Commissioner's Cup Game
Fri Jun 18 2021,Phoenix Mercury,80,Los Angeles Sparks,66,Box Score,
Sat Jun 19 2021,Connecticut Sun,81,Chicago Sky,91,Box Score,
Sat Jun 19 2021,Minnesota Lynx,77,Dallas Wings,95,Box Score,
Sat Jun 19 2021,Indiana Fever,77,Washington Mystics,82,Box Score,Commissioner's Cup Game
Sun Jun 20 2021,New York Liberty,76,Los Angeles Sparks,73,Box Score,
Tue Jun 22 2021,Dallas Wings,70,Connecticut Sun,80,Box Score,
Tue Jun 22 2021,Chicago Sky,92,New York Liberty,72,Box Score,Commissioner's Cup Game
Tue Jun 22 2021,Washington Mystics,87,Seattle Storm,83,Box Score,
Wed Jun 23 2021,Minnesota Lynx,87,Atlanta Dream,85,Box Score,
Thu Jun 24 2021,Dallas Wings,89,Indiana Fever,64,Box Score,
Thu Jun 24 2021,Washington Mystics,82,Los Angeles Sparks,89,Box Score,
Thu Jun 24 2021,Chicago Sky,91,New York Liberty,68,Box Score,
Fri Jun 25 2021,Las Vegas Aces,89,Minnesota Lynx,90,Box Score,Commissioner's Cup Game
Sat Jun 26 2021,New York Liberty,101,Atlanta Dream,78,Box Score,Commissioner's Cup Game
Sat Jun 26 2021,Washington Mystics,74,Dallas Wings,85,Box Score,
Sun Jun 27 2021,Chicago Sky,58,Connecticut Sun,74,Box Score,Commissioner's Cup Game
Sun Jun 27 2021,Seattle Storm,92,Las Vegas Aces,95,Box Score,Commissioner's Cup Game
