Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri May 18 2018,Dallas Wings,78,Phoenix Mercury,86,Box Score
Sat May 19 2018,Chicago Sky,82,Indiana Fever,64,Box Score
Sun May 20 2018,New York Liberty,76,Chicago Sky,80,Box Score
Sun May 20 2018,Las Vegas Aces,65,Connecticut Sun,101,Box Score
Sun May 20 2018,Atlanta Dream,78,Dallas Wings,101,Box Score
Sun May 20 2018,Los Angeles Sparks,77,Minnesota Lynx,76,Box Score
Sun May 20 2018,Phoenix Mercury,87,Seattle Storm,82,Box Score
Sun May 20 2018,Indiana Fever,75,Washington Mystics,82,Box Score
Tue May 22 2018,Los Angeles Sparks,87,Indiana Fever,70,Box Score
Tue May 22 2018,Las Vegas Aces,70,Washington Mystics,75,Box Score
Wed May 23 2018,Atlanta Dream,81,Chicago Sky,63,Box Score
Wed May 23 2018,Dallas Wings,68,Minnesota Lynx,76,Box Score
Wed May 23 2018,Seattle Storm,87,Phoenix Mercury,71,Box Score
Thu May 24 2018,Los Angeles Sparks,94,Connecticut Sun,102,Box Score
Thu May 24 2018,Washington Mystics,93,Indiana Fever,84,Box Score
Fri May 25 2018,Minnesota Lynx,78,New York Liberty,72,Box Score
Fri May 25 2018,Chicago Sky,91,Seattle Storm,95,Box Score
Sat May 26 2018,Dallas Wings,78,Atlanta Dream,70,Box Score
Sat May 26 2018,Indiana Fever,77,Connecticut Sun,86,Box Score
Sun May 27 2018,Phoenix Mercury,72,Los Angeles Sparks,80,Box Score
Sun May 27 2018,Seattle Storm,105,Las Vegas Aces,98,Box Score
Sun May 27 2018,Minnesota Lynx,78,Washington Mystics,90,Box Score
Tue May 29 2018,Minnesota Lynx,74,Atlanta Dream,76,Box Score
Tue May 29 2018,Dallas Wings,89,New York Liberty,94,Box Score
Tue May 29 2018,Washington Mystics,77,Seattle Storm,81,Box Score
Wed May 30 2018,Washington Mystics,103,Phoenix Mercury,95,Box Score
Thu May 31 2018,Las Vegas Aces,74,Seattle Storm,101,Box Score
Fri Jun 1 2018,Connecticut Sun,110,Chicago Sky,72,Box Score
Fri Jun 1 2018,Washington Mystics,73,Las Vegas Aces,85,Box Score
Fri Jun 1 2018,Phoenix Mercury,95,Minnesota Lynx,85,Box Score
Sat Jun 2 2018,Seattle Storm,90,Dallas Wings,94,Box Score
Sat Jun 2 2018,New York Liberty,87,Indiana Fever,81,Box Score
Sun Jun 3 2018,Phoenix Mercury,78,Atlanta Dream,71,Box Score
Sun Jun 3 2018,Las Vegas Aces,90,Chicago Sky,95,Box Score
Sun Jun 3 2018,Minnesota Lynx,69,Los Angeles Sparks,77,Box Score
Sun Jun 3 2018,Connecticut Sun,88,Washington Mystics,64,Box Score
Tue Jun 5 2018,Connecticut Sun,77,Atlanta Dream,82,Box Score
Tue Jun 5 2018,Phoenix Mercury,80,New York Liberty,74,Box Score
Thu Jun 7 2018,Seattle Storm,88,Los Angeles Sparks,63,Box Score
Thu Jun 7 2018,Connecticut Sun,88,New York Liberty,86,Box Score
Thu Jun 7 2018,Minnesota Lynx,88,Washington Mystics,80,Box Score
Fri Jun 8 2018,Dallas Wings,89,Indiana Fever,83,Box Score
Fri Jun 8 2018,Atlanta Dream,87,Las Vegas Aces,83,Box Score
Fri Jun 8 2018,Chicago Sky,79,Phoenix Mercury,96,Box Score
Sat Jun 9 2018,Minnesota Lynx,75,Connecticut Sun,89,Box Score
Sun Jun 10 2018,Chicago Sky,59,Los Angeles Sparks,77,Box Score
Sun Jun 10 2018,Indiana Fever,75,New York Liberty,78,Box Score
Sun Jun 10 2018,Las Vegas Aces,66,Phoenix Mercury,72,Box Score
Sun Jun 10 2018,Atlanta Dream,67,Seattle Storm,64,Box Score
Tue Jun 12 2018,Phoenix Mercury,75,Dallas Wings,72,Box Score
Tue Jun 12 2018,Las Vegas Aces,101,Indiana Fever,92,Box Score
Tue Jun 12 2018,Atlanta Dream,64,Los Angeles Sparks,72,Box Score
Tue Jun 12 2018,Chicago Sky,85,Seattle Storm,96,Box Score
Wed Jun 13 2018,Washington Mystics,95,Connecticut Sun,91,Box Score
Wed Jun 13 2018,Las Vegas Aces,78,New York Liberty,63,Box Score
Thu Jun 14 2018,Indiana Fever,67,Atlanta Dream,72,Box Score
Fri Jun 15 2018,Las Vegas Aces,67,Dallas Wings,77,Box Score
Fri Jun 15 2018,Connecticut Sun,92,Seattle Storm,103,Box Score
Fri Jun 15 2018,Los Angeles Sparks,97,Washington Mystics,86,Box Score
Sat Jun 16 2018,Atlanta Dream,64,Indiana Fever,96,Box Score
Sat Jun 16 2018,New York Liberty,71,Minnesota Lynx,85,Box Score
Sat Jun 16 2018,Connecticut Sun,72,Phoenix Mercury,89,Box Score
Sun Jun 17 2018,Los Angeles Sparks,81,Chicago Sky,72,Box Score
Sun Jun 17 2018,Phoenix Mercury,92,Las Vegas Aces,80,Box Score
Tue Jun 19 2018,Indiana Fever,55,Los Angeles Sparks,74,Box Score
Tue Jun 19 2018,Dallas Wings,83,Minnesota Lynx,91,Box Score
Tue Jun 19 2018,Atlanta Dream,72,New York Liberty,79,Box Score
Tue Jun 19 2018,Las Vegas Aces,89,Seattle Storm,77,Box Score
Tue Jun 19 2018,Chicago Sky,60,Washington Mystics,88,Box Score
Fri Jun 22 2018,Connecticut Sun,70,Atlanta Dream,75,Box Score
Fri Jun 22 2018,Washington Mystics,93,Chicago Sky,77,Box Score
Fri Jun 22 2018,Los Angeles Sparks,72,Dallas Wings,101,Box Score
Fri Jun 22 2018,New York Liberty,78,Las Vegas Aces,88,Box Score
Fri Jun 22 2018,Minnesota Lynx,83,Phoenix Mercury,72,Box Score
Fri Jun 22 2018,Indiana Fever,63,Seattle Storm,72,Box Score
Sun Jun 24 2018,Phoenix Mercury,88,Chicago Sky,97,Box Score
Sun Jun 24 2018,Seattle Storm,97,Dallas Wings,76,Box Score
Sun Jun 24 2018,Connecticut Sun,87,Indiana Fever,78,Box Score
Sun Jun 24 2018,New York Liberty,54,Los Angeles Sparks,80,Box Score
Sun Jun 24 2018,Minnesota Lynx,88,Las Vegas Aces,73,Box Score
Tue Jun 26 2018,Dallas Wings,83,Los Angeles Sparks,87,Box Score
Tue Jun 26 2018,Seattle Storm,79,Minnesota Lynx,91,Box Score
Tue Jun 26 2018,Phoenix Mercury,83,New York Liberty,69,Box Score
Tue Jun 26 2018,Connecticut Sun,80,Washington Mystics,92,Box Score
Wed Jun 27 2018,Atlanta Dream,80,Chicago Sky,93,Box Score
Wed Jun 27 2018,Indiana Fever,89,Connecticut Sun,101,Box Score
Wed Jun 27 2018,Dallas Wings,97,Las Vegas Aces,91,Box Score
Thu Jun 28 2018,Los Angeles Sparks,72,Seattle Storm,81,Box Score
Thu Jun 28 2018,New York Liberty,77,Washington Mystics,80,Box Score
Fri Jun 29 2018,Phoenix Mercury,95,Indiana Fever,77,Box Score
Fri Jun 29 2018,Los Angeles Sparks,78,Las Vegas Aces,94,Box Score
Fri Jun 29 2018,Atlanta Dream,74,Minnesota Lynx,85,Box Score
Fri Jun 29 2018,Chicago Sky,103,New York Liberty,99,Box Score
Sat Jun 30 2018,Phoenix Mercury,84,Washington Mystics,74,Box Score
Sun Jul 1 2018,New York Liberty,97,Chicago Sky,94,Box Score
Sun Jul 1 2018,Minnesota Lynx,76,Dallas Wings,72,Box Score
Sun Jul 1 2018,Atlanta Dream,87,Indiana Fever,83,Box Score
Sun Jul 1 2018,Las Vegas Aces,71,Los Angeles Sparks,87,Box Score
Sun Jul 1 2018,Connecticut Sun,70,Seattle Storm,84,Box Score
Tue Jul 3 2018,Chicago Sky,85,Dallas Wings,108,Box Score
Tue Jul 3 2018,Connecticut Sun,73,Los Angeles Sparks,72,Box Score
Tue Jul 3 2018,Indiana Fever,71,Minnesota Lynx,59,Box Score
Tue Jul 3 2018,Seattle Storm,77,New York Liberty,62,Box Score
Thu Jul 5 2018,Indiana Fever,63,Dallas Wings,90,Box Score
Thu Jul 5 2018,Chicago Sky,80,Las Vegas Aces,84,Box Score
Thu Jul 5 2018,Los Angeles Sparks,72,Minnesota Lynx,83,Box Score
Thu Jul 5 2018,Connecticut Sun,77,Phoenix Mercury,84,Box Score
Thu Jul 5 2018,New York Liberty,67,Washington Mystics,86,Box Score
Fri Jul 6 2018,Seattle Storm,95,Atlanta Dream,86,Box Score
Sat Jul 7 2018,Minnesota Lynx,63,Chicago Sky,77,Box Score
Sat Jul 7 2018,Washington Mystics,83,Los Angeles Sparks,74,Box Score
Sat Jul 7 2018,Connecticut Sun,90,Las Vegas Aces,94,Box Score
Sun Jul 8 2018,Phoenix Mercury,70,Atlanta Dream,76,Box Score
Sun Jul 8 2018,Dallas Wings,97,New York Liberty,87,Box Score
Sun Jul 8 2018,Washington Mystics,91,Seattle Storm,97,Box Score
Tue Jul 10 2018,Las Vegas Aces,98,Chicago Sky,74,Box Score
Tue Jul 10 2018,Phoenix Mercury,72,Dallas Wings,101,Box Score
Tue Jul 10 2018,Los Angeles Sparks,77,Seattle Storm,75,Box Score
