Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri May 6 2022,Los Angeles Sparks,98,Chicago Sky,91,Box Score,
Fri May 6 2022,Las Vegas Aces,106,Phoenix Mercury,88,Box Score,Commissioner's Cup Game
Fri May 6 2022,Minnesota Lynx,74,Seattle Storm,97,Box Score,Commissioner's Cup Game
Fri May 6 2022,Indiana Fever,70,Washington Mystics,84,Box Score,Commissioner's Cup Game
Sat May 7 2022,Atlanta Dream,66,Dallas Wings,59,Box Score,
Sat May 7 2022,Connecticut Sun,79,New York Liberty,81,Box Score,Commissioner's Cup Game
Sun May 8 2022,Los Angeles Sparks,87,Indiana Fever,77,Box Score,
Sun May 8 2022,Seattle Storm,74,Las Vegas Aces,85,Box Score,Commissioner's Cup Game
Sun May 8 2022,Washington Mystics,78,Minnesota Lynx,66,Box Score,
Tue May 10 2022,Minnesota Lynx,76,Indiana Fever,82,Box Score,
Tue May 10 2022,Las Vegas Aces,76,Washington Mystics,89,Box Score,
Wed May 11 2022,Los Angeles Sparks,75,Atlanta Dream,77,Box Score,
Wed May 11 2022,New York Liberty,50,Chicago Sky,83,Box Score,Commissioner's Cup Game
Wed May 11 2022,Seattle Storm,77,Phoenix Mercury,97,Box Score,Commissioner's Cup Game
Fri May 13 2022,Las Vegas Aces,96,Atlanta Dream,73,Box Score,
Fri May 13 2022,Indiana Fever,92,New York Liberty,86,Box Score,Commissioner's Cup Game
Fri May 13 2022,Dallas Wings,94,Washington Mystics,86,Box Score,
Sat May 14 2022,Los Angeles Sparks,60,Connecticut Sun,77,Box Score,
Sat May 14 2022,Chicago Sky,82,Minnesota Lynx,78,Box Score,
Sat May 14 2022,Phoenix Mercury,69,Seattle Storm,64,Box Score,Commissioner's Cup Game
Sun May 15 2022,Atlanta Dream,85,Indiana Fever,79,Box Score,Commissioner's Cup Game
Sun May 15 2022,Dallas Wings,81,New York Liberty,71,Box Score,
Tue May 17 2022,Washington Mystics,84,Dallas Wings,68,Box Score,
Tue May 17 2022,Atlanta Dream,101,Indiana Fever,79,Box Score,
Tue May 17 2022,Minnesota Lynx,87,Los Angeles Sparks,84,Box Score,Commissioner's Cup Game
Tue May 17 2022,Phoenix Mercury,74,Las Vegas Aces,86,Box Score,Commissioner's Cup Game
Tue May 17 2022,Connecticut Sun,92,New York Liberty,65,Box Score,
Wed May 18 2022,Chicago Sky,71,Seattle Storm,74,Box Score,
Thu May 19 2022,Minnesota Lynx,87,Las Vegas Aces,93,Box Score,Commissioner's Cup Game
