Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 15 2010,Chicago Sky,61,Connecticut Sun,74,Box Score
Sat May 15 2010,Washington Mystics,72,Indiana Fever,65,Box Score
Sat May 15 2010,Los Angeles Sparks,77,Phoenix Mercury,78,Box Score
Sat May 15 2010,Atlanta Dream,75,San Antonio Silver Stars,70,Box Score
Sat May 15 2010,Minnesota Lynx,80,Tulsa Shock,74,Box Score
Sun May 16 2010,Indiana Fever,62,Atlanta Dream,66,Box Score
Sun May 16 2010,Washington Mystics,87,Minnesota Lynx,76,Box Score
Sun May 16 2010,Chicago Sky,82,New York Liberty,85,Box Score
Sun May 16 2010,Los Angeles Sparks,67,Seattle Storm,81,Box Score
Wed May 19 2010,Minnesota Lynx,76,Seattle Storm,79,Box Score
Thu May 20 2010,San Antonio Silver Stars,83,Tulsa Shock,74,Box Score
Fri May 21 2010,Connecticut Sun,82,Atlanta Dream,97,Box Score
Fri May 21 2010,New York Liberty,61,Washington Mystics,77,Box Score
Sat May 22 2010,Indiana Fever,92,Chicago Sky,86,Box Score
Sat May 22 2010,Seattle Storm,95,Phoenix Mercury,89,Box Score
Sat May 22 2010,Los Angeles Sparks,81,San Antonio Silver Stars,88,Box Score
Sun May 23 2010,Washington Mystics,65,Connecticut Sun,80,Box Score
Sun May 23 2010,Chicago Sky,61,Indiana Fever,69,Box Score
Sun May 23 2010,Tulsa Shock,94,Minnesota Lynx,82,Box Score
Sun May 23 2010,Atlanta Dream,86,New York Liberty,77,Box Score
Tue May 25 2010,Washington Mystics,76,Seattle Storm,82,Box Score
Tue May 25 2010,Phoenix Mercury,110,Tulsa Shock,96,Box Score
Thu May 27 2010,Seattle Storm,75,Chicago Sky,84,Box Score
Thu May 27 2010,Minnesota Lynx,79,Connecticut Sun,105,Box Score
Fri May 28 2010,Washington Mystics,75,Los Angeles Sparks,81,Box Score
Fri May 28 2010,Atlanta Dream,96,Phoenix Mercury,93,Box Score
Fri May 28 2010,New York Liberty,77,San Antonio Silver Stars,71,Box Score
Sat May 29 2010,Chicago Sky,73,Minnesota Lynx,58,Box Score
Sat May 29 2010,Indiana Fever,74,Tulsa Shock,79,Box Score
Sun May 30 2010,Atlanta Dream,101,Los Angeles Sparks,82,Box Score
Sun May 30 2010,Seattle Storm,84,San Antonio Silver Stars,56,Box Score
Sun May 30 2010,Connecticut Sun,65,Washington Mystics,69,Box Score
Tue Jun 1 2010,Phoenix Mercury,82,Minnesota Lynx,92,Box Score
Tue Jun 1 2010,Atlanta Dream,72,Seattle Storm,90,Box Score
Thu Jun 3 2010,San Antonio Silver Stars,57,Indiana Fever,79,Box Score
Fri Jun 4 2010,Chicago Sky,80,Atlanta Dream,70,Box Score
Fri Jun 4 2010,New York Liberty,68,Connecticut Sun,75,Box Score
Fri Jun 4 2010,Los Angeles Sparks,89,Phoenix Mercury,90,Box Score
Fri Jun 4 2010,Minnesota Lynx,79,Tulsa Shock,92,Box Score
Sat Jun 5 2010,Tulsa Shock,70,Chicago Sky,95,Box Score
Sat Jun 5 2010,New York Liberty,73,Indiana Fever,78,Box Score
Sat Jun 5 2010,Seattle Storm,79,Los Angeles Sparks,75,Box Score
Sat Jun 5 2010,Atlanta Dream,86,Washington Mystics,79,Box Score
Sun Jun 6 2010,San Antonio Silver Stars,68,Connecticut Sun,81,Box Score
Sun Jun 6 2010,Indiana Fever,89,Minnesota Lynx,51,Box Score
Sun Jun 6 2010,Phoenix Mercury,74,Seattle Storm,97,Box Score
Tue Jun 8 2010,New York Liberty,85,Chicago Sky,70,Box Score
Tue Jun 8 2010,Phoenix Mercury,91,Los Angeles Sparks,92,Box Score
Thu Jun 10 2010,Minnesota Lynx,88,Phoenix Mercury,99,Box Score
Fri Jun 11 2010,Washington Mystics,95,Chicago Sky,78,Box Score
Fri Jun 11 2010,Indiana Fever,77,Connecticut Sun,86,Box Score
Fri Jun 11 2010,Atlanta Dream,79,New York Liberty,91,Box Score
Fri Jun 11 2010,Tulsa Shock,75,San Antonio Silver Stars,87,Box Score
Fri Jun 11 2010,Los Angeles Sparks,60,Seattle Storm,82,Box Score
Sat Jun 12 2010,Tulsa Shock,84,Phoenix Mercury,116,Box Score
