Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Thu May 20 2004,San Antonio Silver Stars,64,Houston Comets,55,Box Score
Thu May 20 2004,Sacramento Monarchs,72,Phoenix Mercury,66,Box Score
Thu May 20 2004,Minnesota Lynx,85,Seattle Storm,88,Box Score
Fri May 21 2004,Houston Comets,60,Charlotte Sting,53,Box Score
Fri May 21 2004,New York Liberty,67,Indiana Fever,69,Box Score
Sat May 22 2004,Phoenix Mercury,65,Connecticut Sun,58,Box Score
Sat May 22 2004,Minnesota Lynx,69,Sacramento Monarchs,61,Box Score
Sat May 22 2004,Detroit Shock,73,San Antonio Silver Stars,60,Box Score
Sat May 22 2004,Los Angeles Sparks,67,Seattle Storm,93,Box Score
Sat May 22 2004,Charlotte Sting,71,Washington Mystics,68,Box Score
Sun May 23 2004,Washington Mystics,68,Indiana Fever,67,Box Score
Sun May 23 2004,Houston Comets,62,New York Liberty,68,Box Score
Tue May 25 2004,Houston Comets,68,Connecticut Sun,57,Box Score
Tue May 25 2004,Los Angeles Sparks,95,Washington Mystics,79,Box Score
Wed May 26 2004,Detroit Shock,52,New York Liberty,64,Box Score
Wed May 26 2004,Minnesota Lynx,44,San Antonio Silver Stars,56,Box Score
Thu May 27 2004,Los Angeles Sparks,73,Connecticut Sun,82,Box Score
Fri May 28 2004,Indiana Fever,41,Charlotte Sting,63,Box Score
Fri May 28 2004,Washington Mystics,62,Minnesota Lynx,73,Box Score
Fri May 28 2004,Seattle Storm,76,Phoenix Mercury,84,Box Score
Fri May 28 2004,Sacramento Monarchs,63,San Antonio Silver Stars,72,Box Score
Sat May 29 2004,Los Angeles Sparks,63,Detroit Shock,60,Box Score
Sun May 30 2004,Sacramento Monarchs,57,Houston Comets,63,Box Score
Sun May 30 2004,New York Liberty,68,Minnesota Lynx,64,Box Score
Tue Jun 1 2004,New York Liberty,63,Charlotte Sting,53,Box Score
Tue Jun 1 2004,Seattle Storm,70,Los Angeles Sparks,73,Box Score
Tue Jun 1 2004,Houston Comets,63,Phoenix Mercury,73,Box Score
Tue Jun 1 2004,Indiana Fever,79,San Antonio Silver Stars,60,Box Score
Wed Jun 2 2004,Washington Mystics,65,Detroit Shock,63,Box Score
Thu Jun 3 2004,Charlotte Sting,62,Connecticut Sun,71,Box Score
Thu Jun 3 2004,New York Liberty,71,Houston Comets,62,Box Score
Thu Jun 3 2004,San Antonio Silver Stars,47,Minnesota Lynx,55,Box Score
Thu Jun 3 2004,Los Angeles Sparks,51,Sacramento Monarchs,68,Box Score
Thu Jun 3 2004,Phoenix Mercury,45,Seattle Storm,72,Box Score
Fri Jun 4 2004,Connecticut Sun,72,Washington Mystics,63,Box Score
Sat Jun 5 2004,Los Angeles Sparks,71,Houston Comets,75,Box Score
Sat Jun 5 2004,Charlotte Sting,57,Indiana Fever,70,Box Score
Sat Jun 5 2004,Phoenix Mercury,68,Minnesota Lynx,76,Box Score
Sat Jun 5 2004,Seattle Storm,65,Sacramento Monarchs,63,Box Score
Sat Jun 5 2004,New York Liberty,62,San Antonio Silver Stars,57,Box Score
Sun Jun 6 2004,Detroit Shock,74,Connecticut Sun,73,Box Score
Wed Jun 9 2004,San Antonio Silver Stars,47,Houston Comets,59,Box Score
Wed Jun 9 2004,Detroit Shock,83,Indiana Fever,79,Box Score
Wed Jun 9 2004,Charlotte Sting,68,Los Angeles Sparks,82,Box Score
Wed Jun 9 2004,Connecticut Sun,59,Phoenix Mercury,75,Box Score
Fri Jun 11 2004,Minnesota Lynx,55,Los Angeles Sparks,69,Box Score
Fri Jun 11 2004,Indiana Fever,72,New York Liberty,68,Box Score
Fri Jun 11 2004,Charlotte Sting,59,Phoenix Mercury,51,Box Score
Fri Jun 11 2004,Connecticut Sun,63,Seattle Storm,68,Box Score
Fri Jun 11 2004,Detroit Shock,74,Washington Mystics,60,Box Score
Sat Jun 12 2004,Indiana Fever,68,Detroit Shock,72,Box Score
Sat Jun 12 2004,Connecticut Sun,83,Sacramento Monarchs,76,Box Score
Sat Jun 12 2004,Houston Comets,69,San Antonio Silver Stars,66,Box Score
Sun Jun 13 2004,New York Liberty,60,Washington Mystics,62,Box Score
Mon Jun 14 2004,Connecticut Sun,74,Los Angeles Sparks,76,Box Score
Tue Jun 15 2004,San Antonio Silver Stars,57,Charlotte Sting,59,Box Score
Tue Jun 15 2004,Seattle Storm,86,New York Liberty,62,Box Score
Wed Jun 16 2004,Sacramento Monarchs,50,Indiana Fever,63,Box Score
Thu Jun 17 2004,Sacramento Monarchs,60,Minnesota Lynx,50,Box Score
Thu Jun 17 2004,San Antonio Silver Stars,60,Washington Mystics,76,Box Score
Fri Jun 18 2004,Charlotte Sting,63,Connecticut Sun,58,Box Score
Fri Jun 18 2004,Seattle Storm,69,Houston Comets,63,Box Score
Fri Jun 18 2004,Los Angeles Sparks,76,Phoenix Mercury,74,Box Score
Sat Jun 19 2004,New York Liberty,65,Indiana Fever,70,Box Score
Sat Jun 19 2004,Houston Comets,58,Minnesota Lynx,66,Box Score
Sat Jun 19 2004,Detroit Shock,84,Sacramento Monarchs,74,Box Score
Sat Jun 19 2004,Seattle Storm,74,San Antonio Silver Stars,61,Box Score
Sun Jun 20 2004,Los Angeles Sparks,63,Charlotte Sting,68,Box Score
Sun Jun 20 2004,Washington Mystics,65,Connecticut Sun,75,Box Score
Tue Jun 22 2004,Washington Mystics,78,Detroit Shock,72,Box Score
Tue Jun 22 2004,Connecticut Sun,63,Indiana Fever,58,Box Score
Tue Jun 22 2004,Los Angeles Sparks,65,New York Liberty,49,Box Score
Tue Jun 22 2004,Minnesota Lynx,46,Phoenix Mercury,69,Box Score
Tue Jun 22 2004,Houston Comets,63,Seattle Storm,57,Box Score
Wed Jun 23 2004,Detroit Shock,65,Charlotte Sting,60,Box Score
Thu Jun 24 2004,New York Liberty,60,Phoenix Mercury,72,Box Score
Thu Jun 24 2004,Minnesota Lynx,57,San Antonio Silver Stars,70,Box Score
Fri Jun 25 2004,Detroit Shock,67,Connecticut Sun,71,Box Score
Fri Jun 25 2004,Los Angeles Sparks,67,Indiana Fever,71,Box Score
Fri Jun 25 2004,Houston Comets,55,Sacramento Monarchs,61,Box Score
Sat Jun 26 2004,Indiana Fever,37,Charlotte Sting,46,Box Score
Sat Jun 26 2004,San Antonio Silver Stars,80,Phoenix Mercury,72,Box Score
Sat Jun 26 2004,New York Liberty,67,Seattle Storm,62,Box Score
Sun Jun 27 2004,Connecticut Sun,74,Detroit Shock,72,Box Score
Sun Jun 27 2004,Washington Mystics,67,Houston Comets,72,Box Score
Sun Jun 27 2004,Los Angeles Sparks,83,Minnesota Lynx,67,Box Score
Sun Jun 27 2004,Phoenix Mercury,57,Sacramento Monarchs,63,Box Score
Tue Jun 29 2004,Indiana Fever,69,Detroit Shock,68,Box Score
Tue Jun 29 2004,New York Liberty,65,Los Angeles Sparks,69,Box Score
Tue Jun 29 2004,Phoenix Mercury,77,San Antonio Silver Stars,65,Box Score
Wed Jun 30 2004,Washington Mystics,69,Connecticut Sun,78,Box Score
Wed Jun 30 2004,Houston Comets,50,Minnesota Lynx,58,Box Score
Thu Jul 1 2004,Phoenix Mercury,71,Charlotte Sting,59,Box Score
Thu Jul 1 2004,New York Liberty,47,Sacramento Monarchs,73,Box Score
Thu Jul 1 2004,San Antonio Silver Stars,52,Seattle Storm,76,Box Score
Thu Jul 1 2004,Indiana Fever,64,Washington Mystics,69,Box Score
Fri Jul 2 2004,San Antonio Silver Stars,80,Los Angeles Sparks,87,Box Score
Sat Jul 3 2004,Charlotte Sting,62,Houston Comets,55,Box Score
Sat Jul 3 2004,Phoenix Mercury,60,Indiana Fever,61,Box Score
Sat Jul 3 2004,Detroit Shock,70,Minnesota Lynx,78,Box Score
Sat Jul 3 2004,Sacramento Monarchs,61,Seattle Storm,75,Box Score
Tue Jul 6 2004,Indiana Fever,77,Connecticut Sun,79,Box Score
Tue Jul 6 2004,Houston Comets,63,Detroit Shock,82,Box Score
Tue Jul 6 2004,Sacramento Monarchs,66,New York Liberty,73,Box Score
Wed Jul 7 2004,Phoenix Mercury,71,Los Angeles Sparks,73,Box Score
Wed Jul 7 2004,Seattle Storm,69,Washington Mystics,72,Box Score
Thu Jul 8 2004,Seattle Storm,67,Charlotte Sting,70,Box Score
Thu Jul 8 2004,Minnesota Lynx,56,Indiana Fever,58,Box Score
Thu Jul 8 2004,Washington Mystics,71,New York Liberty,54,Box Score
Fri Jul 9 2004,Sacramento Monarchs,85,Connecticut Sun,70,Box Score
Fri Jul 9 2004,Phoenix Mercury,59,Minnesota Lynx,61,Box Score
Fri Jul 9 2004,Los Angeles Sparks,66,San Antonio Silver Stars,61,Box Score
Sat Jul 10 2004,Washington Mystics,65,Charlotte Sting,67,Box Score
Sat Jul 10 2004,Seattle Storm,65,Detroit Shock,70,Box Score
Sat Jul 10 2004,Los Angeles Sparks,59,Houston Comets,56,Box Score
Sun Jul 11 2004,Connecticut Sun,65,Indiana Fever,61,Box Score
Sun Jul 11 2004,Sacramento Monarchs,73,Minnesota Lynx,83,Box Score
Sun Jul 11 2004,Phoenix Mercury,69,New York Liberty,77,Box Score
Mon Jul 12 2004,Sacramento Monarchs,67,Detroit Shock,51,Box Score
Mon Jul 12 2004,San Antonio Silver Stars,59,Seattle Storm,75,Box Score
Wed Jul 14 2004,Houston Comets,62,Indiana Fever,70,Box Score
Wed Jul 14 2004,Connecticut Sun,63,Minnesota Lynx,66,Box Score
Thu Jul 15 2004,Detroit Shock,61,Houston Comets,97,Box Score
Thu Jul 15 2004,Minnesota Lynx,69,New York Liberty,66,Box Score
Thu Jul 15 2004,Seattle Storm,66,Sacramento Monarchs,63,Box Score
Thu Jul 15 2004,Connecticut Sun,67,San Antonio Silver Stars,78,Box Score
Thu Jul 15 2004,Charlotte Sting,54,Washington Mystics,68,Box Score
Fri Jul 16 2004,Detroit Shock,73,Indiana Fever,85,Box Score
Sat Jul 17 2004,Connecticut Sun,56,Houston Comets,72,Box Score
Sat Jul 17 2004,Sacramento Monarchs,79,Los Angeles Sparks,70,Box Score
Sat Jul 17 2004,Washington Mystics,83,Seattle Storm,85,Box Score
Sun Jul 18 2004,San Antonio Silver Stars,71,Detroit Shock,77,Box Score
Sun Jul 18 2004,Charlotte Sting,58,New York Liberty,75,Box Score
Sun Jul 18 2004,Minnesota Lynx,63,Phoenix Mercury,60,Box Score
Sun Jul 18 2004,Washington Mystics,71,Sacramento Monarchs,81,Box Score
Mon Jul 19 2004,Indiana Fever,51,Los Angeles Sparks,82,Box Score
Tue Jul 20 2004,New York Liberty,80,Charlotte Sting,74,Box Score
Wed Jul 21 2004,Connecticut Sun,78,Detroit Shock,68,Box Score
Wed Jul 21 2004,Washington Mystics,76,Los Angeles Sparks,96,Box Score
Wed Jul 21 2004,San Antonio Silver Stars,55,Phoenix Mercury,87,Box Score
Thu Jul 22 2004,Minnesota Lynx,68,Connecticut Sun,52,Box Score
Thu Jul 22 2004,Phoenix Mercury,71,Sacramento Monarchs,69,Box Score
Thu Jul 22 2004,Indiana Fever,54,Seattle Storm,59,Box Score
Fri Jul 23 2004,Charlotte Sting,53,Detroit Shock,63,Box Score
Fri Jul 23 2004,Houston Comets,67,Los Angeles Sparks,70,Box Score
Fri Jul 23 2004,Minnesota Lynx,61,Washington Mystics,65,Box Score
Sat Jul 24 2004,Washington Mystics,41,Charlotte Sting,70,Box Score
Sat Jul 24 2004,San Antonio Silver Stars,55,Connecticut Sun,69,Box Score
Sat Jul 24 2004,Detroit Shock,69,New York Liberty,78,Box Score
