Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri May 18 2012,Los Angeles Sparks,72,Seattle Storm,66,Box Score
Sat May 19 2012,Atlanta Dream,84,Indiana Fever,92,Box Score
Sat May 19 2012,Connecticut Sun,78,New York Liberty,73,Box Score
Sat May 19 2012,San Antonio Silver Stars,88,Tulsa Shock,79,Box Score
Sat May 19 2012,Chicago Sky,69,Washington Mystics,57,Box Score
Sun May 20 2012,New York Liberty,77,Connecticut Sun,92,Box Score
Sun May 20 2012,Phoenix Mercury,83,Minnesota Lynx,105,Box Score
Tue May 22 2012,Seattle Storm,61,Los Angeles Sparks,74,Box Score
Tue May 22 2012,Minnesota Lynx,80,New York Liberty,62,Box Score
Tue May 22 2012,Phoenix Mercury,89,Tulsa Shock,87,Box Score
Thu May 24 2012,Los Angeles Sparks,84,Minnesota Lynx,92,Box Score
Fri May 25 2012,New York Liberty,74,Atlanta Dream,100,Box Score
Fri May 25 2012,Indiana Fever,83,Chicago Sky,72,Box Score
Fri May 25 2012,San Antonio Silver Stars,79,Connecticut Sun,83,Box Score
Sat May 26 2012,Los Angeles Sparks,99,Phoenix Mercury,88,Box Score
Sat May 26 2012,Tulsa Shock,61,Washington Mystics,64,Box Score
Sun May 27 2012,Indiana Fever,78,Atlanta Dream,62,Box Score
Sun May 27 2012,Seattle Storm,71,Minnesota Lynx,84,Box Score
Tue May 29 2012,Tulsa Shock,75,Los Angeles Sparks,76,Box Score
Wed May 30 2012,Chicago Sky,77,San Antonio Silver Stars,63,Box Score
Wed May 30 2012,Minnesota Lynx,79,Washington Mystics,77,Box Score
Thu May 31 2012,Phoenix Mercury,65,Atlanta Dream,81,Box Score
Fri Jun 1 2012,Washington Mystics,63,Chicago Sky,65,Box Score
Fri Jun 1 2012,Minnesota Lynx,85,Connecticut Sun,72,Box Score
Fri Jun 1 2012,Phoenix Mercury,66,San Antonio Silver Stars,85,Box Score
Fri Jun 1 2012,Tulsa Shock,58,Seattle Storm,76,Box Score
Sat Jun 2 2012,Chicago Sky,94,Atlanta Dream,92,Box Score
Sat Jun 2 2012,New York Liberty,68,Indiana Fever,91,Box Score
Sun Jun 3 2012,Washington Mystics,86,Connecticut Sun,94,Box Score
Sun Jun 3 2012,Seattle Storm,65,Los Angeles Sparks,67,Box Score
Sun Jun 3 2012,San Antonio Silver Stars,79,Minnesota Lynx,83,Box Score
Sun Jun 3 2012,Indiana Fever,72,New York Liberty,87,Box Score
Sun Jun 3 2012,Tulsa Shock,72,Phoenix Mercury,79,Box Score
Tue Jun 5 2012,Atlanta Dream,74,New York Liberty,79,Box Score
Wed Jun 6 2012,Seattle Storm,55,Minnesota Lynx,79,Box Score
Fri Jun 8 2012,San Antonio Silver Stars,57,Atlanta Dream,60,Box Score
Fri Jun 8 2012,Tulsa Shock,91,Chicago Sky,98,Box Score
Fri Jun 8 2012,Connecticut Sun,89,Indiana Fever,81,Box Score
Fri Jun 8 2012,Phoenix Mercury,74,Los Angeles Sparks,90,Box Score
Fri Jun 8 2012,New York Liberty,76,Washington Mystics,70,Box Score
Sat Jun 9 2012,Seattle Storm,67,San Antonio Silver Stars,80,Box Score
Sat Jun 9 2012,Minnesota Lynx,93,Tulsa Shock,73,Box Score
Sun Jun 10 2012,Atlanta Dream,73,Connecticut Sun,92,Box Score
Sun Jun 10 2012,Chicago Sky,73,New York Liberty,64,Box Score
Wed Jun 13 2012,Seattle Storm,58,Chicago Sky,74,Box Score
Wed Jun 13 2012,Los Angeles Sparks,87,Connecticut Sun,81,Box Score
Fri Jun 15 2012,Los Angeles Sparks,59,Atlanta Dream,92,Box Score
Fri Jun 15 2012,New York Liberty,55,Connecticut Sun,97,Box Score
Fri Jun 15 2012,Minnesota Lynx,78,Phoenix Mercury,60,Box Score
Fri Jun 15 2012,Seattle Storm,86,Tulsa Shock,73,Box Score
Fri Jun 15 2012,Indiana Fever,66,Washington Mystics,67,Box Score
Sat Jun 16 2012,Chicago Sky,70,Indiana Fever,84,Box Score
Sat Jun 16 2012,Los Angeles Sparks,85,San Antonio Silver Stars,98,Box Score
Sun Jun 17 2012,Connecticut Sun,75,Atlanta Dream,73,Box Score
Sun Jun 17 2012,Minnesota Lynx,62,Seattle Storm,65,Box Score
Sun Jun 17 2012,Phoenix Mercury,75,Tulsa Shock,87,Box Score
Mon Jun 18 2012,Washington Mystics,70,Los Angeles Sparks,101,Box Score
Tue Jun 19 2012,New York Liberty,73,Atlanta Dream,60,Box Score
Tue Jun 19 2012,Indiana Fever,85,Connecticut Sun,88,Box Score
Wed Jun 20 2012,Tulsa Shock,79,Los Angeles Sparks,95,Box Score
Wed Jun 20 2012,Washington Mystics,77,Phoenix Mercury,80,Box Score
Thu Jun 21 2012,Connecticut Sun,61,Indiana Fever,95,Box Score
Thu Jun 21 2012,New York Liberty,70,Minnesota Lynx,102,Box Score
Fri Jun 22 2012,San Antonio Silver Stars,76,Seattle Storm,82,Box Score
Sat Jun 23 2012,Chicago Sky,67,Minnesota Lynx,79,Box Score
Sat Jun 23 2012,Los Angeles Sparks,93,Phoenix Mercury,84,Box Score
Sat Jun 23 2012,Indiana Fever,73,Tulsa Shock,70,Box Score
Sun Jun 24 2012,San Antonio Silver Stars,91,Los Angeles Sparks,71,Box Score
Sun Jun 24 2012,Atlanta Dream,74,New York Liberty,64,Box Score
Sun Jun 24 2012,Washington Mystics,55,Seattle Storm,72,Box Score
Tue Jun 26 2012,Indiana Fever,58,Atlanta Dream,70,Box Score
Tue Jun 26 2012,Los Angeles Sparks,75,Tulsa Shock,91,Box Score
Tue Jun 26 2012,Seattle Storm,79,Washington Mystics,71,Box Score
Wed Jun 27 2012,Indiana Fever,81,Chicago Sky,72,Box Score
Wed Jun 27 2012,Phoenix Mercury,80,Minnesota Lynx,96,Box Score
Thu Jun 28 2012,Los Angeles Sparks,80,San Antonio Silver Stars,94,Box Score
Fri Jun 29 2012,Phoenix Mercury,84,Chicago Sky,81,Box Score
Fri Jun 29 2012,Atlanta Dream,102,Tulsa Shock,92,Box Score
Fri Jun 29 2012,Connecticut Sun,77,Washington Mystics,64,Box Score
Sat Jun 30 2012,Seattle Storm,59,New York Liberty,77,Box Score
Sun Jul 1 2012,Atlanta Dream,69,Chicago Sky,71,Box Score
Sun Jul 1 2012,Seattle Storm,89,Connecticut Sun,83,Box Score
Sun Jul 1 2012,Minnesota Lynx,84,San Antonio Silver Stars,93,Box Score
Sun Jul 1 2012,Phoenix Mercury,77,Washington Mystics,90,Box Score
Tue Jul 3 2012,Phoenix Mercury,81,San Antonio Silver Stars,82,Box Score
Thu Jul 5 2012,San Antonio Silver Stars,88,Indiana Fever,72,Box Score
Thu Jul 5 2012,Minnesota Lynx,90,Los Angeles Sparks,96,Box Score
Fri Jul 6 2012,New York Liberty,64,Chicago Sky,59,Box Score
Fri Jul 6 2012,Connecticut Sun,86,Tulsa Shock,75,Box Score
Fri Jul 6 2012,San Antonio Silver Stars,78,Washington Mystics,73,Box Score
Sat Jul 7 2012,Chicago Sky,86,Indiana Fever,88,Box Score
Sat Jul 7 2012,Seattle Storm,59,Los Angeles Sparks,83,Box Score
Sat Jul 7 2012,Connecticut Sun,86,Minnesota Lynx,80,Box Score
Sat Jul 7 2012,Atlanta Dream,100,Phoenix Mercury,93,Box Score
Sun Jul 8 2012,Atlanta Dream,63,Los Angeles Sparks,79,Box Score
Sun Jul 8 2012,San Antonio Silver Stars,94,New York Liberty,81,Box Score
Sun Jul 8 2012,Phoenix Mercury,68,Seattle Storm,83,Box Score
Sun Jul 8 2012,Washington Mystics,62,Tulsa Shock,78,Box Score
Tue Jul 10 2012,New York Liberty,82,Indiana Fever,84,Box Score
Tue Jul 10 2012,Los Angeles Sparks,90,Phoenix Mercury,71,Box Score
Tue Jul 10 2012,Minnesota Lynx,107,Tulsa Shock,86,Box Score
Tue Jul 10 2012,Connecticut Sun,77,Washington Mystics,70,Box Score
Wed Jul 11 2012,San Antonio Silver Stars,77,Chicago Sky,68,Box Score
Wed Jul 11 2012,Washington Mystics,73,Connecticut Sun,85,Box Score
Wed Jul 11 2012,Atlanta Dream,70,Seattle Storm,59,Box Score
Thu Jul 12 2012,Los Angeles Sparks,77,Indiana Fever,74,Box Score
Thu Jul 12 2012,Tulsa Shock,74,Minnesota Lynx,89,Box Score
Fri Jul 13 2012,Connecticut Sun,80,Chicago Sky,78,Box Score
Fri Jul 13 2012,Washington Mystics,70,New York Liberty,53,Box Score
Fri Jul 13 2012,Seattle Storm,83,Phoenix Mercury,64,Box Score
Fri Jul 13 2012,Atlanta Dream,70,San Antonio Silver Stars,91,Box Score
Thu Aug 16 2012,Washington Mystics,66,Indiana Fever,84,Box Score
Thu Aug 16 2012,Connecticut Sun,66,New York Liberty,79,Box Score
Thu Aug 16 2012,Phoenix Mercury,58,Seattle Storm,72,Box Score
Fri Aug 17 2012,Atlanta Dream,82,Chicago Sky,76,Box Score
Fri Aug 17 2012,Washington Mystics,69,Minnesota Lynx,98,Box Score
Fri Aug 17 2012,San Antonio Silver Stars,89,Tulsa Shock,79,Box Score
Sat Aug 18 2012,New York Liberty,74,Connecticut Sun,85,Box Score
Sat Aug 18 2012,Atlanta Dream,72,Indiana Fever,86,Box Score
Sat Aug 18 2012,Los Angeles Sparks,82,Seattle Storm,71,Box Score
Sun Aug 19 2012,Tulsa Shock,59,Minnesota Lynx,83,Box Score
Sun Aug 19 2012,San Antonio Silver Stars,89,Phoenix Mercury,47,Box Score
Sun Aug 19 2012,Chicago Sky,71,Washington Mystics,75,Box Score
Tue Aug 21 2012,New York Liberty,77,Chicago Sky,67,Box Score
Tue Aug 21 2012,Tulsa Shock,80,Connecticut Sun,82,Box Score
Tue Aug 21 2012,Indiana Fever,69,Los Angeles Sparks,79,Box Score
Tue Aug 21 2012,Washington Mystics,72,San Antonio Silver Stars,75,Box Score
Tue Aug 21 2012,Minnesota Lynx,86,Seattle Storm,73,Box Score
Wed Aug 22 2012,Chicago Sky,71,Atlanta Dream,82,Box Score
Thu Aug 23 2012,San Antonio Silver Stars,77,Los Angeles Sparks,101,Box Score
Thu Aug 23 2012,New York Liberty,89,Phoenix Mercury,77,Box Score
Thu Aug 23 2012,Indiana Fever,68,Seattle Storm,66,Box Score
Fri Aug 24 2012,Chicago Sky,78,Tulsa Shock,81,Box Score
Fri Aug 24 2012,Atlanta Dream,81,Washington Mystics,69,Box Score
Sat Aug 25 2012,Minnesota Lynx,84,Atlanta Dream,74,Box Score
Sat Aug 25 2012,New York Liberty,62,Los Angeles Sparks,87,Box Score
Sat Aug 25 2012,Indiana Fever,85,Phoenix Mercury,72,Box Score
Sat Aug 25 2012,Tulsa Shock,71,San Antonio Silver Stars,91,Box Score
Sun Aug 26 2012,Chicago Sky,82,Connecticut Sun,70,Box Score
Sun Aug 26 2012,New York Liberty,66,Seattle Storm,84,Box Score
Tue Aug 28 2012,Tulsa Shock,84,Atlanta Dream,80,Box Score
Tue Aug 28 2012,Connecticut Sun,83,Chicago Sky,72,Box Score
Tue Aug 28 2012,Washington Mystics,68,Indiana Fever,83,Box Score
Tue Aug 28 2012,San Antonio Silver Stars,84,Minnesota Lynx,96,Box Score
Thu Aug 30 2012,Washington Mystics,59,Atlanta Dream,82,Box Score
Thu Aug 30 2012,Indiana Fever,76,New York Liberty,63,Box Score
Thu Aug 30 2012,Connecticut Sun,84,San Antonio Silver Stars,73,Box Score
Thu Aug 30 2012,Phoenix Mercury,75,Seattle Storm,68,Box Score
Thu Aug 30 2012,Los Angeles Sparks,85,Tulsa Shock,99,Box Score
Fri Aug 31 2012,Tulsa Shock,83,Minnesota Lynx,92,Box Score
Sat Sep 1 2012,Chicago Sky,64,Indiana Fever,81,Box Score
Sat Sep 1 2012,Washington Mystics,73,New York Liberty,79,Box Score
Sat Sep 1 2012,San Antonio Silver Stars,90,Phoenix Mercury,94,Box Score
Sun Sep 2 2012,Connecticut Sun,80,Atlanta Dream,87,Box Score
Sun Sep 2 2012,Los Angeles Sparks,74,Chicago Sky,85,Box Score
Tue Sep 4 2012,Los Angeles Sparks,77,Minnesota Lynx,88,Box Score
Tue Sep 4 2012,Connecticut Sun,77,Washington Mystics,70,Box Score
Wed Sep 5 2012,Indiana Fever,64,Atlanta Dream,71,Box Score
Wed Sep 5 2012,Phoenix Mercury,59,New York Liberty,87,Box Score
Thu Sep 6 2012,Tulsa Shock,74,Seattle Storm,101,Box Score
Fri Sep 7 2012,Phoenix Mercury,91,Connecticut Sun,82,Box Score
Fri Sep 7 2012,Atlanta Dream,93,Minnesota Lynx,97,Box Score
Fri Sep 7 2012,Chicago Sky,92,New York Liberty,83,Box Score
Fri Sep 7 2012,Indiana Fever,82,San Antonio Silver Stars,78,Box Score
Fri Sep 7 2012,Los Angeles Sparks,96,Washington Mystics,68,Box Score
Sat Sep 8 2012,Seattle Storm,89,Tulsa Shock,66,Box Score
Sun Sep 9 2012,Washington Mystics,68,Atlanta Dream,93,Box Score
Sun Sep 9 2012,Chicago Sky,77,Connecticut Sun,82,Box Score
Sun Sep 9 2012,Phoenix Mercury,83,Indiana Fever,89,Box Score
Sun Sep 9 2012,Los Angeles Sparks,71,New York Liberty,73,Box Score
Sun Sep 9 2012,Minnesota Lynx,81,San Antonio Silver Stars,62,Box Score
Tue Sep 11 2012,Seattle Storm,61,Atlanta Dream,77,Box Score
Tue Sep 11 2012,Minnesota Lynx,70,Chicago Sky,83,Box Score
Wed Sep 12 2012,Seattle Storm,48,Indiana Fever,72,Box Score
Wed Sep 12 2012,Washington Mystics,62,New York Liberty,75,Box Score
Wed Sep 12 2012,Connecticut Sun,100,Phoenix Mercury,78,Box Score
Wed Sep 12 2012,San Antonio Silver Stars,78,Tulsa Shock,67,Box Score
