Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat Jun 6 2009,Indiana Fever,86,Atlanta Dream,87,Box Score
Sat Jun 6 2009,Washington Mystics,82,Connecticut Sun,70,Box Score
Sat Jun 6 2009,Detroit Shock,58,Los Angeles Sparks,78,Box Score
Sat Jun 6 2009,Chicago Sky,85,Minnesota Lynx,102,Box Score
Sat Jun 6 2009,San Antonio Silver Stars,79,Phoenix Mercury,90,Box Score
Sat Jun 6 2009,Seattle Storm,71,Sacramento Monarchs,61,Box Score
Sun Jun 7 2009,Minnesota Lynx,96,Indiana Fever,74,Box Score
Sun Jun 7 2009,Connecticut Sun,66,New York Liberty,57,Box Score
Sun Jun 7 2009,Sacramento Monarchs,70,Seattle Storm,80,Box Score
Sun Jun 7 2009,Atlanta Dream,71,Washington Mystics,77,Box Score
Mon Jun 8 2009,Los Angeles Sparks,52,Detroit Shock,81,Box Score
Tue Jun 9 2009,Seattle Storm,66,Indiana Fever,73,Box Score
Wed Jun 10 2009,Washington Mystics,75,Detroit Shock,69,Box Score
Wed Jun 10 2009,Los Angeles Sparks,76,Minnesota Lynx,87,Box Score
Wed Jun 10 2009,New York Liberty,84,Phoenix Mercury,91,Box Score
Fri Jun 12 2009,Atlanta Dream,73,Chicago Sky,81,Box Score
Fri Jun 12 2009,Los Angeles Sparks,61,Indiana Fever,73,Box Score
Fri Jun 12 2009,Seattle Storm,88,Minnesota Lynx,71,Box Score
Fri Jun 12 2009,Phoenix Mercury,71,Sacramento Monarchs,90,Box Score
Sat Jun 13 2009,Sacramento Monarchs,104,Phoenix Mercury,115,Box Score
Sat Jun 13 2009,New York Liberty,60,San Antonio Silver Stars,63,Box Score
Sun Jun 14 2009,Seattle Storm,57,Chicago Sky,64,Box Score
Sun Jun 14 2009,Atlanta Dream,67,Connecticut Sun,62,Box Score
Tue Jun 16 2009,Connecticut Sun,75,Chicago Sky,78,Box Score
Tue Jun 16 2009,Minnesota Lynx,86,Sacramento Monarchs,83,Box Score
Wed Jun 17 2009,Minnesota Lynx,80,Phoenix Mercury,104,Box Score
Fri Jun 19 2009,Washington Mystics,81,Atlanta Dream,93,Box Score
Fri Jun 19 2009,Chicago Sky,61,Connecticut Sun,91,Box Score
Fri Jun 19 2009,Indiana Fever,66,Detroit Shock,54,Box Score
Fri Jun 19 2009,San Antonio Silver Stars,61,New York Liberty,77,Box Score
Fri Jun 19 2009,Los Angeles Sparks,80,Phoenix Mercury,89,Box Score
Fri Jun 19 2009,Minnesota Lynx,62,Seattle Storm,90,Box Score
Sat Jun 20 2009,Chicago Sky,72,Washington Mystics,81,Box Score
Sun Jun 21 2009,New York Liberty,93,Atlanta Dream,81,Box Score
Sun Jun 21 2009,San Antonio Silver Stars,58,Connecticut Sun,71,Box Score
Sun Jun 21 2009,Detroit Shock,70,Indiana Fever,82,Box Score
Sun Jun 21 2009,Sacramento Monarchs,47,Los Angeles Sparks,67,Box Score
Sun Jun 21 2009,Seattle Storm,93,Phoenix Mercury,84,Box Score
Tue Jun 23 2009,Chicago Sky,99,Atlanta Dream,98,Box Score
Tue Jun 23 2009,New York Liberty,57,Minnesota Lynx,69,Box Score
