Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri May 24 2013,Indiana Fever,79,San Antonio Silver Stars,64,Box Score
Sat May 25 2013,Tulsa Shock,81,Atlanta Dream,98,Box Score
Sat May 25 2013,New York Liberty,69,Connecticut Sun,81,Box Score
Sun May 26 2013,Seattle Storm,69,Los Angeles Sparks,102,Box Score
Mon May 27 2013,Chicago Sky,102,Phoenix Mercury,80,Box Score
Mon May 27 2013,Washington Mystics,95,Tulsa Shock,90,Box Score
Fri May 31 2013,Connecticut Sun,75,Chicago Sky,86,Box Score
Fri May 31 2013,Atlanta Dream,86,Indiana Fever,77,Box Score
Fri May 31 2013,Tulsa Shock,76,New York Liberty,78,Box Score
Sat Jun 1 2013,Connecticut Sun,74,Minnesota Lynx,90,Box Score
Sat Jun 1 2013,Los Angeles Sparks,78,San Antonio Silver Stars,83,Box Score
Sun Jun 2 2013,Tulsa Shock,71,Chicago Sky,92,Box Score
Sun Jun 2 2013,Phoenix Mercury,72,Seattle Storm,75,Box Score
Sun Jun 2 2013,Atlanta Dream,73,Washington Mystics,63,Box Score
Wed Jun 5 2013,Indiana Fever,68,New York Liberty,75,Box Score
Thu Jun 6 2013,Phoenix Mercury,79,Minnesota Lynx,99,Box Score
Fri Jun 7 2013,New York Liberty,56,Atlanta Dream,75,Box Score
Fri Jun 7 2013,Washington Mystics,66,Connecticut Sun,62,Box Score
Fri Jun 7 2013,Chicago Sky,69,San Antonio Silver Stars,81,Box Score
Fri Jun 7 2013,Tulsa Shock,67,Seattle Storm,58,Box Score
Sat Jun 8 2013,Phoenix Mercury,82,Indiana Fever,67,Box Score
Sat Jun 8 2013,Tulsa Shock,69,Los Angeles Sparks,76,Box Score
Sat Jun 8 2013,Minnesota Lynx,80,Washington Mystics,85,Box Score
Sun Jun 9 2013,San Antonio Silver Stars,70,Chicago Sky,72,Box Score
Sun Jun 9 2013,Atlanta Dream,67,New York Liberty,76,Box Score
Tue Jun 11 2013,San Antonio Silver Stars,72,Minnesota Lynx,87,Box Score
Wed Jun 12 2013,Connecticut Sun,73,Indiana Fever,61,Box Score
Fri Jun 14 2013,Seattle Storm,59,Atlanta Dream,68,Box Score
Fri Jun 14 2013,Connecticut Sun,68,New York Liberty,78,Box Score
Fri Jun 14 2013,Los Angeles Sparks,81,Phoenix Mercury,97,Box Score
Fri Jun 14 2013,Minnesota Lynx,83,Tulsa Shock,74,Box Score
Sat Jun 15 2013,San Antonio Silver Stars,48,Los Angeles Sparks,84,Box Score
Sun Jun 16 2013,Chicago Sky,74,Atlanta Dream,88,Box Score
Sun Jun 16 2013,Seattle Storm,78,Connecticut Sun,66,Box Score
Sun Jun 16 2013,Phoenix Mercury,108,Tulsa Shock,103,Box Score
Sun Jun 16 2013,Indiana Fever,60,Washington Mystics,64,Box Score
Tue Jun 18 2013,Washington Mystics,86,Seattle Storm,96,Box Score
Wed Jun 19 2013,Minnesota Lynx,80,Phoenix Mercury,69,Box Score
Thu Jun 20 2013,Chicago Sky,74,Tulsa Shock,83,Box Score
Fri Jun 21 2013,Minnesota Lynx,59,Los Angeles Sparks,87,Box Score
Fri Jun 21 2013,Washington Mystics,82,Phoenix Mercury,90,Box Score
Fri Jun 21 2013,Seattle Storm,91,San Antonio Silver Stars,86,Box Score
Sat Jun 22 2013,Chicago Sky,71,Indiana Fever,61,Box Score
Sat Jun 22 2013,Seattle Storm,70,Tulsa Shock,92,Box Score
Sun Jun 23 2013,Atlanta Dream,78,Connecticut Sun,77,Box Score
Sun Jun 23 2013,Washington Mystics,69,Los Angeles Sparks,79,Box Score
Sun Jun 23 2013,Tulsa Shock,79,Minnesota Lynx,88,Box Score
Sun Jun 23 2013,San Antonio Silver Stars,78,New York Liberty,77,Box Score
Tue Jun 25 2013,Indiana Fever,60,Atlanta Dream,76,Box Score
Tue Jun 25 2013,Phoenix Mercury,83,San Antonio Silver Stars,77,Box Score
Wed Jun 26 2013,New York Liberty,74,Chicago Sky,87,Box Score
Thu Jun 27 2013,Phoenix Mercury,101,Washington Mystics,97,Box Score
Fri Jun 28 2013,Washington Mystics,75,Atlanta Dream,86,Box Score
Fri Jun 28 2013,Tulsa Shock,69,Indiana Fever,80,Box Score
