Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 21 2005,Washington Mystics,60,Charlotte Sting,42,Box Score
Sat May 21 2005,Connecticut Sun,67,Detroit Shock,78,Box Score
Sat May 21 2005,Sacramento Monarchs,77,Phoenix Mercury,72,Box Score
Sat May 21 2005,Houston Comets,78,San Antonio Silver Stars,70,Box Score
Sat May 21 2005,Los Angeles Sparks,68,Seattle Storm,50,Box Score
Sun May 22 2005,Minnesota Lynx,65,Houston Comets,79,Box Score
Sun May 22 2005,Charlotte Sting,58,Indiana Fever,68,Box Score
Sun May 22 2005,Detroit Shock,78,New York Liberty,71,Box Score
Sun May 22 2005,Connecticut Sun,69,Washington Mystics,67,Box Score
Tue May 24 2005,San Antonio Silver Stars,65,Detroit Shock,74,Box Score
Tue May 24 2005,Phoenix Mercury,76,Indiana Fever,83,Box Score
Wed May 25 2005,Los Angeles Sparks,65,Minnesota Lynx,68,Box Score
Thu May 26 2005,Phoenix Mercury,68,Charlotte Sting,58,Box Score
Thu May 26 2005,Indiana Fever,67,New York Liberty,59,Box Score
Thu May 26 2005,Los Angeles Sparks,84,Washington Mystics,75,Box Score
Fri May 27 2005,Sacramento Monarchs,71,San Antonio Silver Stars,67,Box Score
Fri May 27 2005,Houston Comets,69,Seattle Storm,79,Box Score
Sat May 28 2005,Los Angeles Sparks,75,Charlotte Sting,84,Box Score
Sat May 28 2005,Phoenix Mercury,68,Connecticut Sun,85,Box Score
Sun May 29 2005,Indiana Fever,78,Houston Comets,86,Box Score
Sun May 29 2005,Sacramento Monarchs,67,Minnesota Lynx,66,Box Score
Sun May 29 2005,San Antonio Silver Stars,51,Seattle Storm,79,Box Score
Tue May 31 2005,San Antonio Silver Stars,70,Los Angeles Sparks,81,Box Score
Wed Jun 1 2005,Sacramento Monarchs,60,Indiana Fever,61,Box Score
Wed Jun 1 2005,New York Liberty,77,Washington Mystics,68,Box Score
Thu Jun 2 2005,Seattle Storm,78,Phoenix Mercury,67,Box Score
Thu Jun 2 2005,Charlotte Sting,62,San Antonio Silver Stars,69,Box Score
Fri Jun 3 2005,New York Liberty,66,Detroit Shock,68,Box Score
Fri Jun 3 2005,Minnesota Lynx,71,Washington Mystics,74,Box Score
Sat Jun 4 2005,San Antonio Silver Stars,69,Connecticut Sun,80,Box Score
Sat Jun 4 2005,Phoenix Mercury,57,Houston Comets,59,Box Score
