Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Thu Jun 22 2023,Connecticut Sun,89,Minnesota Lynx,68,Box Score,
Thu Jun 22 2023,Indiana Fever,80,Seattle Storm,68,Box Score,
Fri Jun 23 2023,New York Liberty,110,Atlanta Dream,80,Box Score,
Fri Jun 23 2023,Dallas Wings,74,Los Angeles Sparks,76,Box Score,Commissioner's Cup Game
Sat Jun 24 2023,Indiana Fever,88,Las Vegas Aces,101,Box Score,
Sat Jun 24 2023,Phoenix Mercury,74,Seattle Storm,97,Box Score,Commissioner's Cup Game
Sun Jun 25 2023,Chicago Sky,72,Connecticut Sun,96,Box Score,Commissioner's Cup Game
Sun Jun 25 2023,Dallas Wings,83,Los Angeles Sparks,93,Box Score,
Sun Jun 25 2023,Washington Mystics,88,New York Liberty,89,Box Score,Commissioner's Cup Game
Mon Jun 26 2023,Indiana Fever,80,Las Vegas Aces,88,Box Score,
Tue Jun 27 2023,New York Liberty,89,Connecticut Sun,81,Box Score,Commissioner's Cup Game
Tue Jun 27 2023,Seattle Storm,93,Minnesota Lynx,104,Box Score,Commissioner's Cup Game
Tue Jun 27 2023,Dallas Wings,77,Phoenix Mercury,62,Box Score,Commissioner's Cup Game
Wed Jun 28 2023,Los Angeles Sparks,63,Chicago Sky,80,Box Score,
Wed Jun 28 2023,Atlanta Dream,86,Washington Mystics,109,Box Score,Commissioner's Cup Game
Thu Jun 29 2023,New York Liberty,81,Las Vegas Aces,98,Box Score,
Thu Jun 29 2023,Indiana Fever,63,Phoenix Mercury,85,Box Score,
Thu Jun 29 2023,Minnesota Lynx,99,Seattle Storm,97,Box Score,Commissioner's Cup Game
Fri Jun 30 2023,Washington Mystics,89,Atlanta Dream,94,Box Score,Commissioner's Cup Game
Fri Jun 30 2023,Los Angeles Sparks,78,Chicago Sky,86,Box Score,
Sat Jul 1 2023,Connecticut Sun,84,Las Vegas Aces,102,Box Score,
Sat Jul 1 2023,Minnesota Lynx,86,Phoenix Mercury,76,Box Score,
Sun Jul 2 2023,Los Angeles Sparks,84,Atlanta Dream,112,Box Score,
Sun Jul 2 2023,Washington Mystics,72,Dallas Wings,89,Box Score,
Sun Jul 2 2023,Chicago Sky,89,Indiana Fever,87,Box Score,Commissioner's Cup Game
Sun Jul 2 2023,New York Liberty,81,Seattle Storm,66,Box Score,
Wed Jul 5 2023,Atlanta Dream,90,Los Angeles Sparks,79,Box Score,
Wed Jul 5 2023,Dallas Wings,82,Las Vegas Aces,89,Box Score,Commissioner's Cup Game
Wed Jul 5 2023,Indiana Fever,83,Minnesota Lynx,90,Box Score,
Wed Jul 5 2023,Phoenix Mercury,95,New York Liberty,99,Box Score,
Thu Jul 6 2023,Seattle Storm,73,Connecticut Sun,93,Box Score,
Fri Jul 7 2023,Atlanta Dream,82,Chicago Sky,68,Box Score,Commissioner's Cup Game
Fri Jul 7 2023,Las Vegas Aces,78,Dallas Wings,80,Box Score,Commissioner's Cup Game
Fri Jul 7 2023,Phoenix Mercury,64,Minnesota Lynx,75,Box Score,Commissioner's Cup Game
Fri Jul 7 2023,Indiana Fever,88,Washington Mystics,96,Box Score,Commissioner's Cup Game
Sat Jul 8 2023,Seattle Storm,76,New York Liberty,80,Box Score,
Sun Jul 9 2023,Atlanta Dream,88,Chicago Sky,77,Box Score,
Sun Jul 9 2023,Washington Mystics,84,Connecticut Sun,92,Box Score,
Sun Jul 9 2023,Dallas Wings,77,Indiana Fever,76,Box Score,
Sun Jul 9 2023,Las Vegas Aces,113,Minnesota Lynx,89,Box Score,Commissioner's Cup Game
Sun Jul 9 2023,Los Angeles Sparks,72,Phoenix Mercury,78,Box Score,
Tue Jul 11 2023,Phoenix Mercury,,Las Vegas Aces,,,Commissioner's Cup Game
Tue Jul 11 2023,Seattle Storm,,Washington Mystics,,,
Wed Jul 12 2023,Seattle Storm,,Atlanta Dream,,,
Wed Jul 12 2023,Connecticut Sun,,Chicago Sky,,,Commissioner's Cup Game
Wed Jul 12 2023,New York Liberty,,Indiana Fever,,,Commissioner's Cup Game
Wed Jul 12 2023,Las Vegas Aces,,Los Angeles Sparks,,,
Wed Jul 12 2023,Dallas Wings,,Minnesota Lynx,,,Commissioner's Cup Game
Tue Jul 18 2023,Minnesota Lynx,,Atlanta Dream,,,
Tue Jul 18 2023,Connecticut Sun,,Phoenix Mercury,,,
Wed Jul 19 2023,Dallas Wings,,New York Liberty,,,
Wed Jul 19 2023,Indiana Fever,,Washington Mystics,,,
Thu Jul 20 2023,Atlanta Dream,,Connecticut Sun,,,
Thu Jul 20 2023,Los Angeles Sparks,,Minnesota Lynx,,,
Thu Jul 20 2023,Chicago Sky,,Phoenix Mercury,,,
Thu Jul 20 2023,Las Vegas Aces,,Seattle Storm,,,
Fri Jul 21 2023,New York Liberty,,Washington Mystics,,,
Sat Jul 22 2023,Connecticut Sun,,Atlanta Dream,,,
Sat Jul 22 2023,Los Angeles Sparks,,Dallas Wings,,,
Sat Jul 22 2023,Las Vegas Aces,,Minnesota Lynx,,,
Sat Jul 22 2023,Chicago Sky,,Seattle Storm,,,
Sun Jul 23 2023,Indiana Fever,,New York Liberty,,,
Sun Jul 23 2023,Phoenix Mercury,,Washington Mystics,,,
Tue Jul 25 2023,Phoenix Mercury,,Atlanta Dream,,,
Tue Jul 25 2023,Las Vegas Aces,,Chicago Sky,,,
Tue Jul 25 2023,Connecticut Sun,,Dallas Wings,,,
Tue Jul 25 2023,Indiana Fever,,Los Angeles Sparks,,,
Tue Jul 25 2023,Seattle Storm,,New York Liberty,,,
Wed Jul 26 2023,Washington Mystics,,Minnesota Lynx,,,
Thu Jul 27 2023,Indiana Fever,,Los Angeles Sparks,,,
Thu Jul 27 2023,Atlanta Dream,,New York Liberty,,,
Fri Jul 28 2023,Seattle Storm,,Chicago Sky,,,
Fri Jul 28 2023,Washington Mystics,,Dallas Wings,,,
Fri Jul 28 2023,Minnesota Lynx,,New York Liberty,,,
Sun Jul 30 2023,Washington Mystics,,Atlanta Dream,,,
Sun Jul 30 2023,Phoenix Mercury,,Chicago Sky,,,
Sun Jul 30 2023,Minnesota Lynx,,Connecticut Sun,,,
Sun Jul 30 2023,Seattle Storm,,Indiana Fever,,,
Sun Jul 30 2023,New York Liberty,,Los Angeles Sparks,,,
Sun Jul 30 2023,Dallas Wings,,Las Vegas Aces,,,
Tue Aug 1 2023,Minnesota Lynx,,Connecticut Sun,,,
Tue Aug 1 2023,Phoenix Mercury,,Indiana Fever,,,
Tue Aug 1 2023,New York Liberty,,Los Angeles Sparks,,,
Tue Aug 1 2023,Atlanta Dream,,Las Vegas Aces,,,
Wed Aug 2 2023,Dallas Wings,,Seattle Storm,,,
Thu Aug 3 2023,Atlanta Dream,,Phoenix Mercury,,,
Fri Aug 4 2023,Chicago Sky,,Dallas Wings,,,
Fri Aug 4 2023,Connecticut Sun,,Indiana Fever,,,
Fri Aug 4 2023,New York Liberty,,Minnesota Lynx,,,
Fri Aug 4 2023,Los Angeles Sparks,,Washington Mystics,,,
Sat Aug 5 2023,Seattle Storm,,Phoenix Mercury,,,
Sun Aug 6 2023,Indiana Fever,,Atlanta Dream,,,
Sun Aug 6 2023,Chicago Sky,,Dallas Wings,,,
Sun Aug 6 2023,Las Vegas Aces,,New York Liberty,,,
Sun Aug 6 2023,Los Angeles Sparks,,Washington Mystics,,,
Tue Aug 8 2023,Minnesota Lynx,,Chicago Sky,,,
Tue Aug 8 2023,Las Vegas Aces,,Dallas Wings,,,
Tue Aug 8 2023,Los Angeles Sparks,,Indiana Fever,,,
Tue Aug 8 2023,Washington Mystics,,Phoenix Mercury,,,
Tue Aug 8 2023,Connecticut Sun,,Seattle Storm,,,
Thu Aug 10 2023,Minnesota Lynx,,Indiana Fever,,,
Thu Aug 10 2023,Connecticut Sun,,Phoenix Mercury,,,
Thu Aug 10 2023,Atlanta Dream,,Seattle Storm,,,
Fri Aug 11 2023,Washington Mystics,,Las Vegas Aces,,,
Fri Aug 11 2023,Chicago Sky,,New York Liberty,,,
Sat Aug 12 2023,Connecticut Sun,,Dallas Wings,,,
Sat Aug 12 2023,Atlanta Dream,,Los Angeles Sparks,,,
Sun Aug 13 2023,New York Liberty,,Indiana Fever,,,
Sun Aug 13 2023,Atlanta Dream,,Las Vegas Aces,,,
Sun Aug 13 2023,Phoenix Mercury,,Seattle Storm,,,
Sun Aug 13 2023,Chicago Sky,,Washington Mystics,,,
Thu Aug 17 2023,New York Liberty,,Las Vegas Aces,,,
Fri Aug 18 2023,Chicago Sky,,Atlanta Dream,,,
Fri Aug 18 2023,Dallas Wings,,Connecticut Sun,,,
Fri Aug 18 2023,Washington Mystics,,Indiana Fever,,,
Fri Aug 18 2023,New York Liberty,,Phoenix Mercury,,,
Fri Aug 18 2023,Minnesota Lynx,,Seattle Storm,,,
Sat Aug 19 2023,Los Angeles Sparks,,Las Vegas Aces,,,
Sun Aug 20 2023,Connecticut Sun,,Chicago Sky,,,
Sun Aug 20 2023,Seattle Storm,,Minnesota Lynx,,,
Sun Aug 20 2023,Indiana Fever,,Phoenix Mercury,,,
Sun Aug 20 2023,Dallas Wings,,Washington Mystics,,,
Tue Aug 22 2023,Las Vegas Aces,,Atlanta Dream,,,
Tue Aug 22 2023,Seattle Storm,,Chicago Sky,,,
