Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 13 2017,Atlanta Dream,81,Connecticut Sun,74,Box Score
Sat May 13 2017,Seattle Storm,68,Los Angeles Sparks,78,Box Score
Sat May 13 2017,San Antonio Silver Stars,64,New York Liberty,73,Box Score
Sun May 14 2017,Chicago Sky,61,Minnesota Lynx,70,Box Score
Sun May 14 2017,Dallas Wings,68,Phoenix Mercury,58,Box Score
Sun May 14 2017,Indiana Fever,82,Seattle Storm,87,Box Score
Sun May 14 2017,San Antonio Silver Stars,74,Washington Mystics,89,Box Score
Wed May 17 2017,Indiana Fever,62,Phoenix Mercury,85,Box Score
Thu May 18 2017,Minnesota Lynx,90,New York Liberty,71,Box Score
Fri May 19 2017,Atlanta Dream,91,Chicago Sky,83,Box Score
Fri May 19 2017,Washington Mystics,89,Los Angeles Sparks,99,Box Score
Fri May 19 2017,Phoenix Mercury,78,San Antonio Silver Stars,72,Box Score
Sat May 20 2017,Minnesota Lynx,89,Dallas Wings,87,Box Score
Sat May 20 2017,Connecticut Sun,79,Indiana Fever,81,Box Score
Sun May 21 2017,Chicago Sky,75,Atlanta Dream,71,Box Score
Sun May 21 2017,Washington Mystics,71,Seattle Storm,81,Box Score
Tue May 23 2017,Connecticut Sun,78,Minnesota Lynx,80,Box Score
Tue May 23 2017,New York Liberty,69,Phoenix Mercury,67,Box Score
Wed May 24 2017,Washington Mystics,82,Chicago Sky,67,Box Score
Wed May 24 2017,Los Angeles Sparks,90,Indiana Fever,93,Box Score
Thu May 25 2017,Dallas Wings,94,San Antonio Silver Stars,82,Box Score
Fri May 26 2017,Minnesota Lynx,82,Connecticut Sun,68,Box Score
Fri May 26 2017,New York Liberty,81,Seattle Storm,87,Box Score
Fri May 26 2017,Chicago Sky,79,Washington Mystics,88,Box Score
Sat May 27 2017,Los Angeles Sparks,73,Atlanta Dream,75,Box Score
Sat May 27 2017,Dallas Wings,65,Phoenix Mercury,107,Box Score
Sun May 28 2017,Connecticut Sun,97,Chicago Sky,79,Box Score
Sun May 28 2017,San Antonio Silver Stars,66,Minnesota Lynx,80,Box Score
Sun May 28 2017,Indiana Fever,70,Seattle Storm,94,Box Score
Tue May 30 2017,Indiana Fever,62,Dallas Wings,89,Box Score
Tue May 30 2017,Los Angeles Sparks,90,New York Liberty,75,Box Score
Wed May 31 2017,San Antonio Silver Stars,70,Atlanta Dream,77,Box Score
Wed May 31 2017,Connecticut Sun,76,Washington Mystics,78,Box Score
Thu Jun 1 2017,Phoenix Mercury,99,Chicago Sky,91,Box Score
Fri Jun 2 2017,Dallas Wings,89,New York Liberty,93,Box Score
Sat Jun 3 2017,Dallas Wings,85,Indiana Fever,91,Box Score
Sat Jun 3 2017,Connecticut Sun,85,San Antonio Silver Stars,77,Box Score
Sat Jun 3 2017,Minnesota Lynx,100,Seattle Storm,77,Box Score
Sun Jun 4 2017,Phoenix Mercury,72,New York Liberty,88,Box Score
Sun Jun 4 2017,Atlanta Dream,72,Washington Mystics,78,Box Score
Tue Jun 6 2017,Washington Mystics,101,Dallas Wings,89,Box Score
Tue Jun 6 2017,Chicago Sky,70,Los Angeles Sparks,79,Box Score
Tue Jun 6 2017,Seattle Storm,85,San Antonio Silver Stars,76,Box Score
Wed Jun 7 2017,Phoenix Mercury,98,Indiana Fever,90,Box Score
Wed Jun 7 2017,Atlanta Dream,61,New York Liberty,76,Box Score
Fri Jun 9 2017,Los Angeles Sparks,90,Dallas Wings,96,Box Score
Fri Jun 9 2017,Seattle Storm,80,Indiana Fever,83,Box Score
Fri Jun 9 2017,Minnesota Lynx,98,Washington Mystics,73,Box Score
Sat Jun 10 2017,Atlanta Dream,71,Connecticut Sun,104,Box Score
Sat Jun 10 2017,Los Angeles Sparks,89,Phoenix Mercury,87,Box Score
Sat Jun 10 2017,Chicago Sky,85,San Antonio Silver Stars,81,Box Score
Sun Jun 11 2017,Minnesota Lynx,91,Dallas Wings,74,Box Score
Sun Jun 11 2017,Seattle Storm,86,New York Liberty,94,Box Score
Sun Jun 11 2017,Indiana Fever,70,Washington Mystics,88,Box Score
Tue Jun 13 2017,Dallas Wings,87,Los Angeles Sparks,97,Box Score
Tue Jun 13 2017,Atlanta Dream,91,Seattle Storm,86,Box Score
Wed Jun 14 2017,New York Liberty,76,Connecticut Sun,96,Box Score
Thu Jun 15 2017,Atlanta Dream,74,Indiana Fever,85,Box Score
Thu Jun 15 2017,San Antonio Silver Stars,75,Los Angeles Sparks,80,Box Score
Fri Jun 16 2017,New York Liberty,102,Dallas Wings,93,Box Score
Fri Jun 16 2017,Chicago Sky,78,Phoenix Mercury,86,Box Score
Sat Jun 17 2017,Connecticut Sun,98,Minnesota Lynx,93,Box Score
Sun Jun 18 2017,Indiana Fever,91,Chicago Sky,79,Box Score
Sun Jun 18 2017,Phoenix Mercury,59,Los Angeles Sparks,90,Box Score
Sun Jun 18 2017,San Antonio Silver Stars,57,Seattle Storm,75,Box Score
Sun Jun 18 2017,Dallas Wings,87,Washington Mystics,83,Box Score
Wed Jun 21 2017,San Antonio Silver Stars,78,Dallas Wings,81,Box Score
Fri Jun 23 2017,Chicago Sky,82,Atlanta Dream,78,Box Score
Fri Jun 23 2017,Washington Mystics,76,Minnesota Lynx,93,Box Score
Fri Jun 23 2017,Connecticut Sun,94,New York Liberty,89,Box Score
Fri Jun 23 2017,Dallas Wings,81,San Antonio Silver Stars,69,Box Score
