Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Fri Jun 3 2011,Minnesota Lynx,74,Los Angeles Sparks,82,Box Score
Sat Jun 4 2011,Washington Mystics,73,Connecticut Sun,89,Box Score
Sat Jun 4 2011,Chicago Sky,57,Indiana Fever,65,Box Score
Sat Jun 4 2011,Tulsa Shock,73,San Antonio Silver Stars,93,Box Score
Sat Jun 4 2011,Phoenix Mercury,71,Seattle Storm,78,Box Score
Sun Jun 5 2011,New York Liberty,94,Atlanta Dream,88,Box Score
Sun Jun 5 2011,Los Angeles Sparks,69,Minnesota Lynx,86,Box Score
Tue Jun 7 2011,Tulsa Shock,65,Minnesota Lynx,75,Box Score
Thu Jun 9 2011,Washington Mystics,98,Atlanta Dream,90,Box Score
Thu Jun 9 2011,Minnesota Lynx,81,Seattle Storm,74,Box Score
Fri Jun 10 2011,Connecticut Sun,75,Chicago Sky,78,Box Score
Fri Jun 10 2011,New York Liberty,81,Indiana Fever,80,Box Score
Fri Jun 10 2011,Phoenix Mercury,84,Los Angeles Sparks,98,Box Score
Fri Jun 10 2011,San Antonio Silver Stars,93,Tulsa Shock,62,Box Score
Sat Jun 11 2011,Indiana Fever,86,New York Liberty,80,Box Score
Sat Jun 11 2011,Atlanta Dream,74,San Antonio Silver Stars,86,Box Score
Sat Jun 11 2011,Chicago Sky,84,Washington Mystics,77,Box Score
Sun Jun 12 2011,Tulsa Shock,79,Connecticut Sun,90,Box Score
Tue Jun 14 2011,Tulsa Shock,74,Indiana Fever,82,Box Score
Tue Jun 14 2011,Atlanta Dream,79,New York Liberty,58,Box Score
Thu Jun 16 2011,Connecticut Sun,79,Washington Mystics,71,Box Score
Fri Jun 17 2011,New York Liberty,73,Chicago Sky,85,Box Score
Fri Jun 17 2011,Atlanta Dream,85,Minnesota Lynx,96,Box Score
Fri Jun 17 2011,San Antonio Silver Stars,101,Phoenix Mercury,99,Box Score
Fri Jun 17 2011,Indiana Fever,54,Seattle Storm,68,Box Score
Sat Jun 18 2011,Washington Mystics,59,Tulsa Shock,77,Box Score
Sun Jun 19 2011,Minnesota Lynx,77,Atlanta Dream,64,Box Score
Sun Jun 19 2011,Chicago Sky,68,Connecticut Sun,83,Box Score
Sun Jun 19 2011,Seattle Storm,50,Los Angeles Sparks,74,Box Score
Sun Jun 19 2011,Indiana Fever,89,Phoenix Mercury,93,Box Score
Tue Jun 21 2011,Chicago Sky,68,Atlanta Dream,71,Box Score
Tue Jun 21 2011,New York Liberty,91,Los Angeles Sparks,96,Box Score
Tue Jun 21 2011,Phoenix Mercury,105,San Antonio Silver Stars,98,Box Score
Tue Jun 21 2011,Seattle Storm,82,Tulsa Shock,77,Box Score
Tue Jun 21 2011,Indiana Fever,89,Washington Mystics,80,Box Score
Thu Jun 23 2011,Connecticut Sun,101,Chicago Sky,107,Box Score
Thu Jun 23 2011,New York Liberty,94,Tulsa Shock,82,Box Score
Fri Jun 24 2011,Phoenix Mercury,92,Atlanta Dream,83,Box Score
Fri Jun 24 2011,Los Angeles Sparks,80,San Antonio Silver Stars,90,Box Score
Fri Jun 24 2011,Minnesota Lynx,55,Seattle Storm,65,Box Score
Sat Jun 25 2011,Phoenix Mercury,86,Chicago Sky,78,Box Score
Sat Jun 25 2011,Connecticut Sun,70,Indiana Fever,75,Box Score
Sun Jun 26 2011,San Antonio Silver Stars,92,Atlanta Dream,86,Box Score
Sun Jun 26 2011,Indiana Fever,78,Minnesota Lynx,75,Box Score
Sun Jun 26 2011,Los Angeles Sparks,67,New York Liberty,77,Box Score
Sun Jun 26 2011,Tulsa Shock,63,Washington Mystics,83,Box Score
Tue Jun 28 2011,San Antonio Silver Stars,84,Chicago Sky,74,Box Score
Tue Jun 28 2011,Los Angeles Sparks,76,Connecticut Sun,79,Box Score
Tue Jun 28 2011,Phoenix Mercury,86,Indiana Fever,91,Box Score
Thu Jun 30 2011,New York Liberty,81,Atlanta Dream,87,Box Score
Thu Jun 30 2011,Minnesota Lynx,101,Tulsa Shock,71,Box Score
Fri Jul 1 2011,Seattle Storm,70,Connecticut Sun,75,Box Score
Fri Jul 1 2011,San Antonio Silver Stars,75,New York Liberty,81,Box Score
Fri Jul 1 2011,Chicago Sky,84,Phoenix Mercury,97,Box Score
Sun Jul 3 2011,Seattle Storm,73,Washington Mystics,63,Box Score
Tue Jul 5 2011,Washington Mystics,65,Chicago Sky,78,Box Score
Tue Jul 5 2011,Seattle Storm,61,Indiana Fever,78,Box Score
Tue Jul 5 2011,Los Angeles Sparks,82,Phoenix Mercury,101,Box Score
Fri Jul 8 2011,New York Liberty,76,San Antonio Silver Stars,73,Box Score
Fri Jul 8 2011,Phoenix Mercury,86,Tulsa Shock,78,Box Score
Sat Jul 9 2011,Atlanta Dream,69,Chicago Sky,81,Box Score
Sat Jul 9 2011,Washington Mystics,57,Indiana Fever,68,Box Score
Sat Jul 9 2011,Connecticut Sun,67,Minnesota Lynx,90,Box Score
Sat Jul 9 2011,Los Angeles Sparks,80,Seattle Storm,99,Box Score
Sun Jul 10 2011,Chicago Sky,73,New York Liberty,80,Box Score
Sun Jul 10 2011,Tulsa Shock,63,Phoenix Mercury,102,Box Score
Tue Jul 12 2011,Los Angeles Sparks,84,San Antonio Silver Stars,74,Box Score
Tue Jul 12 2011,Washington Mystics,71,Seattle Storm,79,Box Score
Wed Jul 13 2011,Tulsa Shock,54,Chicago Sky,72,Box Score
Wed Jul 13 2011,Connecticut Sun,78,Indiana Fever,90,Box Score
Wed Jul 13 2011,Phoenix Mercury,112,Minnesota Lynx,105,Box Score
