Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2016-04-16	19:00 (18:00)	Spirit	1–0	Boston		Maureen Hendricks Field at Maryland Socc...	Margaret Domka	Match Report	
Sun	2016-04-17	16:00 (18:00)	Reign	1–2	Sky Blue	3,987			Match Report	
Sat	2016-04-16	19:30 	Kansas City	0–1	Flash	8,022	Children's Mercy Park		Match Report	
Sat	2016-04-16	19:30 	Dash	3–1	Red Stars	7,740	BBVA Compass Stadium		Match Report	
Sun	2016-04-17	19:00 (21:00)	Thorns	2–1	Pride	16,073	Providence Park		Match Report	
Sat	2016-04-23	18:00 	Red Stars	1–0	Flash	2,529	Toyota Park		Match Report	
Sat	2016-04-23	19:30 (18:30)	Pride	3–1	Dash	23,403	Orlando Citrus Bowl		Match Report	
Sun	2016-04-24	18:00 (17:00)	Sky Blue	1–2	Spirit	2,571			Match Report	
Sun	2016-04-24	18:30 (17:30)	Boston	0–3	Reign	3,743			Match Report	
Sat	2016-04-23	19:30 	Kansas City	1–1	Thorns	3,022			Match Report	
Fri	2016-04-29	19:00 (18:00)	Flash	0–3	Spirit	3,615			Match Report	
Fri	2016-04-29	19:30 	Dash	0–0	Sky Blue	5,081	BBVA Compass Stadium		Match Report	
Sun	2016-05-01	16:00 (18:00)	Reign	1–0	Kansas City	4,083			Match Report	
Sun	2016-05-01	17:00 (16:00)	Boston	0–1	Thorns	3,698			Match Report	
Sun	2016-05-01	17:00 	Red Stars	1–0	Pride	4,024	Toyota Park		Match Report	
Sat	2016-05-07	19:00 (18:00)	Spirit	0–0	Thorns	4,333	Maureen Hendricks Field at Maryland Socc...		Match Report	
Sat	2016-05-07	19:00 (18:00)	Boston	0–1	Red Stars	3,622			Match Report	
Sat	2016-05-07	19:00 (18:00)	Sky Blue	1–2	Flash	1,252			Match Report	
Sun	2016-05-08	17:00 (16:00)	Pride	2–0	Reign	8,211	Camping World Stadium		Match Report	
Sat	2016-05-07	19:30 	Kansas City	1–2	Dash	3,282			Match Report	
Fri	2016-05-13	19:00 (18:00)	Sky Blue	1–0	Boston	1,275			Match Report	
Sat	2016-05-14	19:00 (18:00)	Spirit	1–0	Dash	3,545	Maureen Hendricks Field at Maryland Socc...		Match Report	
Fri	2016-05-13	19:30 	Kansas City	0–0	Red Stars	2,217			Match Report	
Sat	2016-05-14	19:30 (18:30)	Pride	1–0	Flash	7,841	Camping World Stadium		Match Report	
Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
