Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
8	Sat	2020-11-14	13:00 (06:00)	Le Havre	0–2	Bordeaux		Stade Océane	Justine Catania	Match Report	
8	Sat	2020-11-14	14:30 (07:30)	Dijon	1–0	Montpellier		Stade des Poussots 1	Maika Vanderstichel	Match Report	
8	Sat	2020-11-14	14:30 (07:30)	Stade de Reims	1–2	Fleury		Stade Louis Blériot N°2 	Victoria Beyer	Match Report	
8	Sat	2020-11-14	14:30 (07:30)	Guingamp	1–1	Paris FC		Stade Centre Formation EAG 1	Savina Elbour	Match Report	
8	Sat	2020-11-14	16:30 (09:30)	Issy	 0–14	Paris S-G		Stade Pierre Pibarot	Florence Guillemin	Match Report	
											
9	Fri	2020-11-20	21:00 (14:00)	Paris S-G	1–0	Lyon		Parc des Princes	Maika Vanderstichel	Match Report	
9	Sat	2020-11-21	14:30 (07:30)	Issy	1–6	Guingamp		Stade Le Gallo	Vanessa Cruchon	Match Report	
9	Sat	2020-11-21	14:30 (07:30)	Fleury	2–0	Dijon		Stade Auguste Gentelet N°2	Justine Catania	Match Report	
9	Sat	2020-11-21	14:30 (07:30)	Soyaux	1–2	Stade de Reims		Stade Léo Lagrange	Emeline Rochebiliere	Match Report	
9	Sat	2020-11-21	15:30 (08:30)	Montpellier	3–1	Le Havre		Stade Bernard Gasset Terrain n°7	Romy Fournier	Match Report	
9	Sun	2020-11-22	14:30 (07:30)	Paris FC	0–1	Bordeaux		Stade Robert Bobin	Gabrielle Guillot	Match Report	
											
10	Sat	2020-12-05	14:30 (07:30)	Dijon	0–0	Stade de Reims		Stade des Poussots 1	Savina Elbour	Match Report	
10	Sat	2020-12-05	14:30 (07:30)	Montpellier	3–1	Issy		Stade Bernard Gasset Terrain n°7	Emeline Rochebiliere	Match Report	
10	Sat	2020-12-05	14:30 (07:30)	Guingamp	0–1	Fleury		Stade Centre Formation EAG 1	Charlène Laur	Match Report	
10	Sat	2020-12-05	14:30 (07:30)	Le Havre	1–3	Lyon		Stade Océane	Gabrielle Guillot	Match Report	
10	Sat	2020-12-05	14:30 (07:30)	Bordeaux	2–1	Soyaux		Stade Sainte-Germaine	Alexandra Collin	Match Report	
10	Sun	2020-12-06	14:45 (07:45)	Paris S-G	4–1	Paris FC		Stade Municipal Georges Lefèvre	Victoria Beyer	Match Report	
											
