Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sun	2013-07-14	15:00 	Red Stars	3–3	Kansas City	1,549	Village of Lisle-Benedictine University ...	Josh Wilkens	Match Report	
Sun	2013-07-14	17:30 (19:30)	Reign	2–1	Spirit	3,855	Starfire Stadium	Katja Koroleva	Match Report	
Sat	2013-07-20	18:00 	Red Stars	1–0	Spirit	1,241	Village of Lisle-Benedictine University ...	Margaret Domka	Match Report	
Sun	2013-07-21	13:30 (12:30)	Flash	3–0	Sky Blue	4,664	Sahlen's Stadium	Kara Honthumb	Match Report	
Sun	2013-07-21	16:00 (15:00)	Boston	1–2	Thorns	2,978	Dilboy Stadium	Robert Sibiga	Match Report	
Sat	2013-07-20	19:35 	Kansas City	2–0	Reign	5,271	Shawnee Mission District Stadium	Boris Senic	Match Report	
Wed	2013-07-24	19:35 	Kansas City	3–0	Boston	5,024	Shawnee Mission District Stadium	Margaret Domka	Match Report	
Thu	2013-07-25	19:00 (21:00)	Reign	4–1	Red Stars	2,017	Starfire Stadium	Robert Sibiga	Match Report	
Sat	2013-07-27	19:00 (18:00)	Spirit	2–5	Boston	2,607	Maureen Hendricks Field at Maryland Socc...	Kara Honthumb	Match Report	
Sun	2013-07-28	16:00 (18:00)	Thorns	3–3	Red Stars	12,534	Jeld-Wen Field	Kari Seitz	Match Report	
Sun	2013-07-28	18:00 (17:00)	Sky Blue	0–1	Kansas City	1,302	Yurcak Field	Christina Unkel	Match Report	
Wed	2013-07-31	19:05 (18:05)	Flash	3–0	Spirit	3,967	Sahlen's Stadium	Miguel Panduro	Match Report	
Wed	2013-07-31	19:30 (21:30)	Thorns	3–1	Sky Blue	13,769	Jeld-Wen Field	Margaret Domka	Match Report	
Sat	2013-08-03	18:00 (17:00)	Boston	2–2	Flash	2,899	Dilboy Stadium	Christina Unkel	Match Report	
Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2013-08-03	18:00 	Red Stars	3–1	Reign	3,400	Village of Lisle-Benedictine University ...	Kara Honthumb	Match Report	
Sat	2013-08-03	19:00 (18:00)	Sky Blue	1–0	Spirit	2,172	Yurcak Field	Elvis Mahmutovic	Match Report	
Sun	2013-08-04	17:30 (19:30)	Thorns	2–3	Kansas City	17,619	Jeld-Wen Field	John McCloskey	Match Report	
Wed	2013-08-07	19:00 (18:00)	Boston	2–1	Thorns	3,012	Dilboy Stadium	Elvis Mahmutovic	Match Report	
Wed	2013-08-07	19:05 (18:05)	Flash	1–0	Reign	4,993	Sahlen's Stadium	Robert Sibiga	Match Report	
Wed	2013-08-07	19:30 (18:30)	Spirit	1–0	Red Stars	2,081	Maureen Hendricks Field at Maryland Socc...	Dimitar Chavdarov	Match Report	
Sat	2013-08-10	18:00 	Red Stars	3–3	Sky Blue	2,064	Village of Lisle-Benedictine University ...	Kristen Salazar	Match Report	
Sat	2013-08-10	18:00 (17:00)	Boston	1–0	Kansas City	2,116	Dilboy Stadium	Kara Honthumb	Match Report	
Sat	2013-08-10	19:00 (18:00)	Spirit	1–0	Reign	4,549	Maureen Hendricks Field at Maryland Socc...	Kari Seitz	Match Report	
Sat	2013-08-10	19:35 (18:35)	Flash	0–0	Thorns	7,606	Sahlen's Stadium	Margaret Domka	Match Report	
Sun	2013-08-18	15:10 	Kansas City	1–2	Red Stars	4,910	Shawnee Mission District Stadium	Elvis Mahmutovic	Match Report	
Sun	2013-08-18	17:00 (16:00)	Spirit	1–1	Sky Blue	4,241	Maureen Hendricks Field at Maryland Socc...	Kara Honthumb	Match Report	
Sat	2013-08-17	20:00 (22:00)	Reign	1–2	Thorns	3,855	Starfire Stadium	Christina Unkel	Match Report	
Sat	2013-08-17	20:00 (19:00)	Flash	2–1	Boston	6,311	Sahlen's Stadium	Dimitar Chavdarov	Match Report
