Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sun	2019-06-23	17:00 	Red Stars	0.7	0–1	2.0	Reign	2,023	SeatGeek Stadium	Ismir Pekmic	Match Report	
Sat	2019-06-29	19:00 (18:00)	Spirit	0.9	1–2	2.4	Courage	3,481	Maureen Hendricks Field Maryland SoccerP...	Robinson Khongsai	Match Report	
Fri	2019-06-28	20:00 (21:00)	Utah	1.0	0–2	1.8	Reign	6,910	Rio Tinto Stadium	Kevin Broadley	Match Report	
Sun	2019-06-30	17:00 (16:00)	Pride	1.9	2–3	2.3	Red Stars	3,906	Exploria Stadium	Jasmine Peralta	Match Report	
Sat	2019-06-29	19:30 	Dash	1.7	1–2	0.9	Thorns	3,379	BBVA Stadium	Michael Radchuk	Match Report	
Fri	2019-07-05	19:30 (18:30)	Courage	2.6	5–2	0.9	Dash	5,066	Sahlen's Stadium at WakeMed Soccer Park	Lukasz Szpala	Match Report	
Sat	2019-07-06	19:30 (18:30)	Pride	3.1	4–3	3.1	Spirit	3,703	Exploria Stadium	Greg Dopka	Match Report	
Fri	2019-07-05	20:00 (22:00)	Thorns	1.1	0–1	0.3	Reign	19,116	Providence Park	Farhad Dadkho	Match Report	
Sat	2019-07-06	19:00 	Red Stars	2.6	1–2	1.6	Sky Blue	2,374	SeatGeek Stadium	Samantha Martinez	Match Report	
Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Fri	2019-07-12	19:30 (18:30)	Sky Blue	1.5	1–0	0.8	Utah	1,842	The Soccer/Lacrosse Stadium at Yurcak Fi...	Karen Abt	Match Report	
Sat	2019-07-13	19:00 (18:00)	Courage	1.8	2–0	0.4	Reign	6,216	Sahlen's Stadium at WakeMed Soccer Park	Tori Penso	Match Report	
Sun	2019-07-14	12:00 (14:00)	Thorns	2.9	4–3	0.5	Pride	18,909	Providence Park	Matthew Franz	Match Report	
Sat	2019-07-13	19:30 	Dash	0.5	0–1	0.3	Red Stars	5,327	BBVA Stadium	Guido Gonzalez Jr.	Match Report	
Sat	2019-07-20	19:30 (18:30)	Pride	2.1	1–0	0.4	Sky Blue	9,415	Exploria Stadium	Robinson Khongsai	Match Report	
Fri	2019-07-19	20:00 (21:00)	Utah	1.9	2–2	0.2	Thorns	15,931	Rio Tinto Stadium	Elvis Osmanovic	Match Report	
Sun	2019-07-21	17:00 	Red Stars	1.7	2–1	3.2	Courage	17,388	SeatGeek Stadium	Luis Guardia	Match Report	
Sat	2019-07-20	20:00 (19:00)	Spirit	1.6	1–2	0.9	Dash	5,500	Maureen Hendricks Field Maryland SoccerP...	Karen Abt	Match Report	
Wed	2019-07-24	19:30 (18:30)	Sky Blue	0.3	0–1	1.3	Spirit	5,003	The Soccer/Lacrosse Stadium at Yurcak Fi...	Jasmine Peralta	Match Report	
Wed	2019-07-24	19:30 (21:30)	Thorns	3.6	5–0	0.8	Dash	22,329	Providence Park	Malik Badawi	Match Report	
Sun	2019-07-28	13:00 (15:00)	Reign	2.0	0–4	2.4	Red Stars	7,479	Cheney Stadium	Tim Ford	Match Report	
Sat	2019-07-27	20:00 (21:00)	Utah	0.4	1–2	1.1	Courage	10,545	Rio Tinto Stadium	Mark Allatin	Match Report	
Sun	2019-07-28	19:30 	Dash	1.8	1–0	0.5	Sky Blue	3,510	BBVA Stadium	Becky Pagan	Match Report	
Fri	2019-08-02	18:00 	Dash	1.6	0–1	0.9	Reign	3,621	BBVA Stadium	Ismir Pekmic	Match Report	
Fri	2019-08-02	19:00 (18:00)	Courage	2.5	1–0	0.7	Spirit	4,393	Sahlen's Stadium at WakeMed Soccer Park	Gustavo Solorio	Match Report	
Sat	2019-08-03	19:00 	Red Stars	3.0	2–0	1.7	Utah	4,335	SeatGeek Stadium	Matthew Franz	Match Report	
Sat	2019-08-03	20:00 (22:00)	Thorns	2.3	1–1	0.7	Sky Blue	19,070	Providence Park	Mark Allatin	Match Report	
Wed	2019-08-07	19:00 (21:00)	Reign	1.8	1–0	1.1	Thorns	5,865	Cheney Stadium	Robinson Khongsai	Match Report	
Wed	2019-08-07	20:00 (21:00)	Utah	3.5	3–0	0.5	Sky Blue	7,715	Rio Tinto Stadium	Reyna Fonseca	Match Report	
Sat	2019-08-10	19:00 (18:00)	Spirit	0.5	0–1	2.0	Red Stars	5,300	Maureen Hendricks Field Maryland SoccerP...	Katja Koroleva	Match Report	
Sat	2019-08-10	19:30 (18:30)	Pride	1.4	0–1	1.8	Dash	5,106	Exploria Stadium	Reyna Fonseca	Match Report	
Sun	2019-08-11	12:00 (14:00)	Thorns	1.7	2–1	2.9	Courage	25,218	Providence Park	Jon Freemon	Match Report	
Sun	2019-08-11	13:00 (15:00)	Reign	1.3	1–3	2.4	Utah	5,939	Cheney Stadium	Karen Abt	Match Report	
Wed	2019-08-14	19:00 (18:00)	Sky Blue	0.8	2–1	2.0	Red Stars	2,558	The Soccer/Lacrosse Stadium at Yurcak Fi...	Thomas Snyder	Match Report	
Sat	2019-08-17	19:30 (18:30)	Pride	1.2	0–2	2.4	Utah	5,279	Exploria Stadium	Malik Badawi	Match Report	
Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sun	2019-08-18	13:00 (12:00)	Sky Blue	0.7	1–1	2.0	Reign	9,415	Red Bull Arena	Luis Guardia	Match Report	
Sat	2019-08-17	19:30 (21:30)	Thorns	1.1	3–1	0.9	Spirit	20,895	Providence Park	Michael Radchuk	Match Report	
Wed	2019-08-21	18:30 	Red Stars	1.0	1–2	0.7	Pride	5,454	SeatGeek Stadium	Becky Pagan	Match Report	
