Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sun	2017-09-03	15:00 (08:00)	Marseille	0–0	Guingamp	289	Stade Roger Lebert 1	Stéphanie Di Benedetto	Match Report	
1	Sun	2017-09-03	15:00 (08:00)	Paris S-G	1–1	Soyaux	695	Stade Municipal Georges Lefèvre	Elodie Coppola	Match Report	
1	Sun	2017-09-03	15:00 (08:00)	Albi	0–7	Montpellier	386	Stade Maurice Rigaud N°1	Céline Bagrowski	Match Report	
1	Sun	2017-09-03	15:00 (08:00)	Fleury	1–5	Paris FC	573	Stade Auguste Gentelet	Anaëlle Loidon	Match Report	
1	Sun	2017-09-03	15:00 (08:00)	Lille	3–0	Bordeaux	625	Stadium Nord Lille Métropole - Terrain A...	Victoria Beyer	Match Report	
1	Sun	2017-09-03	16:00 (09:00)	Lyon	7–0	Rodez	725	Groupama OL Academy Décines-Charpieu 	Florence Guillemin	Match Report	
											
2	Sat	2017-09-09	18:00 (11:00)	Guingamp	0–5	Lyon	1,200	Stade Fred Aubert	Céline Bagrowski	Match Report	
2	Sat	2017-09-09	18:00 (11:00)	Rodez	0–3	Paris S-G	600	Stade Paul Lignon	Solenne Bartnik	Match Report	
2	Sun	2017-09-10	15:00 (08:00)	Paris FC	2–1	Marseille	250	Stade Robert Bobin	Elodie Coppola	Match Report	
2	Sun	2017-09-10	15:00 (08:00)	Soyaux	2–1	Lille	196	Stade Léo Lagrange	Stéphanie Di Benedetto	Match Report	
2	Sun	2017-09-10	15:00 (08:00)	Montpellier	8–0	Fleury	100	Stade Bernard Gasset Terrain n°7	Florence Guillemin	Match Report	
2	Sun	2017-09-10	15:00 (08:00)	Bordeaux	3–1	Albi	444	Stade Jean-Pierre Delhomme 1	Anaëlle Loidon	Match Report	
											
3	Sat	2017-09-23	18:00 (11:00)	Rodez	1–1	Guingamp	243	Stade Paul Lignon	Stéphanie Di Benedetto	Match Report	
3	Sun	2017-09-24	15:00 (08:00)	Lyon	9–2	Paris FC	805	Groupama OL Academy Décines-Charpieu 	Victoria Beyer	Match Report	
3	Sun	2017-09-24	15:00 (08:00)	Albi	0–1	Soyaux	287	Stade Maurice Rigaud N°1	Solenne Bartnik	Match Report	
3	Sun	2017-09-24	15:00 (08:00)	Paris S-G	6–1	Lille	600	Stade Municipal Georges Lefèvre	Florence Guillemin	Match Report	
