Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2018-08-25	14:30 (07:30)	Dijon	0–1	Montpellier	1,008	Stade des Poussots 1	Solenne Bartnik	Match Report	
1	Sat	2018-08-25	14:30 (07:30)	Paris FC	2–0	Guingamp	204	Stade Robert Bobin	Maika Vanderstichel 	Match Report	
1	Sat	2018-08-25	14:30 (07:30)	Soyaux	3–1	Rodez	281	Stade Léo Lagrange	Camille Soriano	Match Report	
1	Sat	2018-08-25	14:30 (07:30)	Fleury	0–1	Paris S-G	360	Stade Auguste Gentelet	Victoria Beyer	Match Report	
1	Sun	2018-08-26	14:45 (07:45)	Lille	0–8	Lyon	663	Complexe Sportif de Luchin	Elodie Coppola	Match Report	
											
2	Sat	2018-09-08	14:30 (07:30)	Guingamp	1–1	Dijon	306	Stade Centre Formation EAG 1	Camille Soriano	Match Report	
2	Sat	2018-09-08	14:30 (07:30)	Lyon	4–0	Soyaux	673	Groupama OL Academy Décines-Charpieu 	Victoria Beyer	Match Report	
2	Sat	2018-09-08	14:30 (07:30)	Metz	0–2	Fleury	278	Stade Saint-Symphorien	Marc Bollengier	Match Report	
2	Sat	2018-09-08	14:30 (07:30)	Montpellier	0–1	Bordeaux	211	Stade Bernard Gasset Terrain n°7	Florence Guillemin	Match Report	
2	Sat	2018-09-08	14:30 (07:30)	Rodez	2–3	Lille	583	Stade Paul Lignon	Maika Vanderstichel 	Match Report	
2	Sun	2018-09-09	15:00 (08:00)	Paris S-G	5–1	Paris FC	1,391	Stade Jean-Bouin	Elodie Coppola	Match Report	
											
3	Sat	2018-09-15	14:30 (07:30)	Fleury	1–0	Montpellier	311	Stade Auguste Gentelet	Camille Soriano	Match Report	
3	Sat	2018-09-15	14:30 (07:30)	Bordeaux	2–0	Rodez	453	Complexe Sportif Robert Monseau 1	Elodie Coppola	Match Report	
3	Sat	2018-09-15	14:30 (07:30)	Dijon	3–0	Metz	289	Stade des Poussots 1	Damien Rossini	Match Report	
3	Sat	2018-09-15	14:30 (07:30)	Soyaux	0–6	Paris S-G	660	Stade Lebon 1	Héléne Burban	Match Report	
