Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Fri	2020-09-04	19:15 (12:15)	Wolfsburg	3–0	Essen	500	AOK Stadion	Franziska Wildfeuer	Match Report	
1	Sun	2020-09-06	14:00 (07:00)	Turbine Potsdam	3–1	Hoffenheim	725	Karl-Liebknecht-Stadion	Christine Weigelt 	Match Report	
1	Sun	2020-09-06	14:00 (07:00)	Bayern Munich	6–0	Sand		FC Bayern Campus Platz 1	Melissa Joos	Match Report	
1	Sun	2020-09-06	14:00 (07:00)	Eint Frankfurt	5–1	Werder Bremen	250	Stadion am Brentanobad	Christina Biehl	Match Report	
1	Sun	2020-09-06	14:00 (07:00)	MSV Duisburg	0–0	SV Meppen	207	Schauinsland-Reisen-Arena	Nadine Westerhoff	Match Report	
1	Sun	2020-09-06	14:00 (07:00)	Freiburg	1–2	Leverkusen	110	Möslestadion	Fabienne Michel	Match Report	
											
2	Fri	2020-09-11	19:15 (12:15)	Leverkusen	2–0	MSV Duisburg		Ulrich-Haberland-Stadion	Kathrin Heimann	Match Report	
2	Sun	2020-09-13	14:00 (07:00)	Hoffenheim	1–4	Wolfsburg	230	Dietmar-Hopp-Stadion	Karoline Wacker	Match Report	
2	Sun	2020-09-13	14:00 (07:00)	Essen	1–3	Eint Frankfurt	300	Stadion Essen	Miriam Schwermer	Match Report	
2	Sun	2020-09-13	14:00 (07:00)	SV Meppen	2–2	Turbine Potsdam	500	Hänsch-Arena	Anna-Lena Heidenreich	Match Report	
2	Sun	2020-09-13	14:00 (07:00)	Sand	0–3	Freiburg	250	Orsay Stadion	Laura Duske	Match Report	
2	Sun	2020-09-13	14:00 (07:00)	Werder Bremen	0–4	Bayern Munich		Weserstadion Platz 11	Mirka Derlin	Match Report	
											
3	Sat	2020-09-26	18:00 (11:00)	Bayern Munich	1–0	Freiburg		FC Bayern Campus Platz 1	Ines Appelmann	Match Report	
3	Sun	2020-09-27	14:00 (07:00)	Wolfsburg	2–0	SV Meppen	550	AOK Stadion	Sina Diekmann	Match Report	
3	Sun	2020-09-27	14:00 (07:00)	Werder Bremen	1–3	Essen		Weserstadion Platz 11	Anna-Lena Heidenreich	Match Report	
3	Sun	2020-09-27	14:00 (07:00)	MSV Duisburg	0–1	Sand	169	Schauinsland-Reisen-Arena	Vanessa Arlt	Match Report	
3	Sun	2020-09-27	14:00 (07:00)	Eint Frankfurt	0–0	Hoffenheim	300	Stadion am Brentanobad	Laura Duske	Match Report	
3	Sun	2020-09-27	14:00 (07:00)	Turbine Potsdam	2–0	Leverkusen	752	Karl-Liebknecht-Stadion	Susann Kunkel	Match Report	
											
4	Fri	2020-10-02	19:15 (12:15)	Hoffenheim	3–1	Werder Bremen	220	Dietmar-Hopp-Stadion	Melissa Joos	Match Report	
4	Sun	2020-10-04	14:00 (07:00)	Leverkusen	0–4	Wolfsburg		Jugendleistungszentrum Kurtekotten	Mirka Derlin	Match Report	
4	Sun	2020-10-04	14:00 (07:00)	Freiburg	0–0	MSV Duisburg		Möslestadion	Christina Biehl	Match Report	
4	Sun	2020-10-04	14:00 (07:00)	Essen	0–2	Bayern Munich	580	Stadion Essen	Vanessa Arlt	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
4	Sun	2020-10-04	14:00 (07:00)	SV Meppen	0–4	Eint Frankfurt	506	Hänsch-Arena	Christine Weigelt 	Match Report	
4	Sun	2020-10-04	14:00 (07:00)	Sand	0–3	Turbine Potsdam	250	Orsay Stadion	Fabienne Michel	Match Report	
											
5	Wed	2020-10-07	17:00 (10:00)	Turbine Potsdam	3–0	Freiburg	749	Karl-Liebknecht-Stadion	Franziska Wildfeuer	Match Report	
5	Wed	2020-10-07	18:00 (11:00)	Essen	0–3	Hoffenheim	300	Stadion Essen	Kathrin Heimann	Match Report	
5	Wed	2020-10-07	18:00 (11:00)	Eint Frankfurt	2–2	Leverkusen	360	Stadion am Brentanobad	Katrin Rafalski	Match Report	
5	Wed	2020-10-07	18:00 (11:00)	Bayern Munich	3–0	MSV Duisburg		FC Bayern Campus Platz 1	Karoline Wacker	Match Report	
5	Wed	2020-10-07	18:00 (11:00)	Wolfsburg	4–0	Sand	625	AOK Stadion	Susann Kunkel	Match Report	
											
6	Sat	2020-10-10	18:00 (11:00)	MSV Duisburg	2–3	Turbine Potsdam		Schauinsland-Reisen-Arena	Miriam Schwermer	Match Report	
6	Sun	2020-10-11	14:00 (07:00)	Sand	3–2	Eint Frankfurt		Orsay Stadion	Ines Appelmann	Match Report	
6	Sun	2020-10-11	14:00 (07:00)	Freiburg	1–1	Wolfsburg	300	Möslestadion	Kathrin Heimann	Match Report	
6	Sun	2020-10-11	14:00 (07:00)	Hoffenheim	0–4	Bayern Munich		Dietmar-Hopp-Stadion	Susann Kunkel	Match Report	
6	Sun	2020-10-11	14:00 (07:00)	Leverkusen	3–0	Werder Bremen		Jugendleistungszentrum Kurtekotten	Sina Diekmann	Match Report	
6	Sun	2020-10-11	14:00 (07:00)	SV Meppen	1–3	Essen		Hänsch-Arena	Laura Duske	Match Report	
											
5	Wed	2020-10-14	18:00 (11:00)	Werder Bremen	2–1	SV Meppen		Weserstadion Platz 11	Nadine Westerhoff	Match Report	
											
7	Fri	2020-10-16	19:15 (12:15)	Eint Frankfurt	0–1	Freiburg		Stadion am Brentanobad	Karoline Wacker	Match Report	
7	Sun	2020-10-18	14:00 (07:00)	Werder Bremen	1–0	Sand		Weserstadion Platz 11	Miriam Schwermer	Match Report	
7	Sun	2020-10-18	14:00 (07:00)	Hoffenheim	1–0	SV Meppen	155	Dietmar-Hopp-Stadion	Fabienne Michel	Match Report	
7	Sun	2020-10-18	14:00 (07:00)	Wolfsburg	5–2	MSV Duisburg	615	AOK Stadion	Christine Weigelt 	Match Report	
7	Sun	2020-10-18	14:00 (07:00)	Bayern Munich	3–0	Turbine Potsdam		FC Bayern Campus Platz 1	Christina Biehl	Match Report	
7	Sun	2020-10-18	14:00 (07:00)	Essen	0–0	Leverkusen		Stadion Essen	Franziska Wildfeuer	Match Report	
											
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
8	Fri	2020-11-06	19:15 (12:15)	Turbine Potsdam	0–5	Wolfsburg		Karl-Liebknecht-Stadion	Vanessa Arlt	Match Report	
8	Sun	2020-11-08	14:00 (07:00)	MSV Duisburg	0–3	Eint Frankfurt		Schauinsland-Reisen-Arena	Anna-Lena Heidenreich	Match Report	
8	Sun	2020-11-08	14:00 (07:00)	Leverkusen	2–5	Hoffenheim		Ulrich-Haberland-Stadion	Katrin Rafalski	Match Report	
