Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Fri	2015-04-10	19:00 	Dash	2–0	Spirit	6,012	BBVA Compass Stadium	Katja Koroleva	Match Report	
Sat	2015-04-11	19:00 (21:00)	Thorns	4–1	Boston	13,386	Providence Park	Margaret Domka	Match Report	
Sun	2015-04-12	19:00 (21:00)	Reign	5–1	Flash	2,642		Christina Unkel	Match Report	
Sun	2015-04-12	19:00 	Kansas City	0–1	Sky Blue	8,489	Sporting Park	Christopher Spivey	Match Report	
Sat	2015-04-18	19:00 (18:00)	Sky Blue	1–1	Dash	1,742		Elvis Mahmutovic	Match Report	
Sat	2015-04-18	19:00 (18:00)	Spirit	3–1	Kansas City	4,136	Maureen Hendricks Field at Maryland Socc...	Mathew Richardson	Match Report	
Sat	2015-04-18	19:00 	Red Stars	3–2	Reign	2,368		David Mon	Match Report	
Sat	2015-04-18	19:00 (21:00)	Thorns	1–0	Flash	13,148	Providence Park	Karen Abt	Match Report	
Thu	2015-04-23	19:00 	Kansas City	1–0	Reign	2,466		Brandon Artis	Match Report	
Sun	2015-04-26	19:00 (18:00)	Boston	3–2	Dash	2,376		Danielle Chesky	Match Report	
Sat	2015-04-25	19:00 	Red Stars	2–2	Thorns	2,136		Levi Rippy	Match Report	
Sun	2015-04-26	19:00 (18:00)	Sky Blue	1–3	Spirit	953		Farhad Dadkho	Match Report	
Sat	2015-05-02	19:00 (18:00)	Flash	3–1	Boston	1,873		Greg Dopka	Match Report	
Sat	2015-05-02	19:00 (21:00)	Reign	3–1	Spirit	2,703		Karen Abt	Match Report	
Sat	2015-05-02	19:00 	Dash	0–2	Kansas City	4,186	BBVA Compass Stadium	Margaret Domka	Match Report	
Sat	2015-05-02	19:00 	Red Stars	1–0	Sky Blue	1,402		Matt Franz	Match Report	
Fri	2015-05-08	19:00 (18:00)	Flash	0–1	Kansas City	1,802		Christopher Spivey	Match Report	
Sat	2015-05-09	19:00 (18:00)	Sky Blue	1–1	Reign	1,562		Matthew Kreitzer	Match Report	
Sat	2015-05-09	19:00 (21:00)	Thorns	2–2	Spirit	14,236	Providence Park	Elvis Mahmutovic	Match Report	
Sat	2015-05-09	19:00 	Red Stars	3–0	Boston	16,017	Toyota Park	Margaret Domka	Match Report	
Thu	2015-05-14	19:00 	Kansas City	0–0	Flash	1,847		Danielle Chesky	Match Report	
Sat	2015-05-16	19:00 (18:00)	Spirit	1–0	Sky Blue	3,095	Maureen Hendricks Field at Maryland Socc...	Margaret Domka	Match Report	
Fri	2015-05-15	19:00 	Dash	2–2	Red Stars	3,527	BBVA Compass Stadium	Randall Kelley	Match Report	
Sat	2015-05-16	19:00 (18:00)	Boston	1–0	Thorns	2,669		Christopher Spivey	Match Report	
Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Fri	2015-05-22	19:00 (18:00)	Boston	1–1	Sky Blue	1,861		David Mon	Match Report	
Sat	2015-05-23	19:00 (18:00)	Flash	3–2	Spirit	2,110		Elvis Mahmutovic	Match Report	
Sat	2015-05-23	19:00 	Kansas City	1–2	Red Stars	1,592		Farhad Dadkho	Match Report	
Sat	2015-05-23	19:00 (21:00)	Thorns	0–1	Dash	14,409	Providence Park	Matthew Kreitzer	Match Report	
Sat	2015-05-30	19:00 (18:00)	Spirit	2–1	Thorns	3,519	Maureen Hendricks Field at Maryland Socc...	Farhad Dadkho	Match Report	
Sat	2015-05-30	19:00 (18:00)	Boston	1–0	Kansas City	3,176		Cedric Adams	Match Report	
Sun	2015-05-31	19:00 (18:00)	Sky Blue	1–1	Dash	958		Levi Rippy	Match Report	
Sat	2015-05-30	19:00 (21:00)	Reign	0–0	Red Stars	2,367		Brandon Artis	Match Report	
Sat	2015-06-06	19:00 (18:00)	Spirit	1–1	Boston	3,108	Maureen Hendricks Field at Maryland Socc...	Levi Rippy	Match Report	
Sat	2015-06-06	19:00 (18:00)	Flash	3–1	Red Stars	2,514		Christopher Spivey	Match Report	
Sat	2015-06-06	19:00 (21:00)	Reign	3–0	Sky Blue	2,225		Greg Dopka	Match Report	
Sat	2015-06-06	19:00 	Dash	0–0	Thorns	4,864	BBVA Compass Stadium	Danielle Chesky	Match Report	
Fri	2015-06-19	19:00 (21:00)	Thorns	1–1	Kansas City	15,214	Providence Park	Brandon Artis	Match Report	
Sat	2015-06-20	19:00 	Dash	2–0	Flash	3,499	BBVA Compass Stadium	Karen Abt	Match Report	
Sun	2015-06-21	19:00 (18:00)	Boston	2–3	Reign	2,145		Matthew Kreitzer	Match Report	
Sat	2015-06-27	19:00 (18:00)	Spirit	1–0	Dash	1,267	Maureen Hendricks Field at Maryland Socc...	Matt Franz	Match Report	
Sun	2015-06-28	19:00 (18:00)	Boston	0–2	Flash	2,011		Farhad Dadkho	Match Report	
Sat	2015-06-27	19:00 (21:00)	Reign	2–1	Kansas City	3,331		Katja Koroleva	Match Report	
