Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
8	Sat	2019-11-30	12:00 (05:00)	Sassuolo	1–0	Internazionale	200	Stadio Comunale Mirabello	Marco Russo	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
8	Sat	2019-11-30	14:30 (07:30)	Hellas Verona	3–0	Orobica Calcio	200	Stadio AGSM Olivieri	Samuele Andreano	Match Report	
8	Sat	2019-11-30	14:30 (07:30)	Pink Bari	0–0	Empoli	200	Stadio Antonio Antonacci	Andrea Ancora	Match Report	
8	Sat	2019-11-30	14:30 (07:30)	Florentia	2–1	Milan	300	Stadio Comunale Santa Lucia	Luca Capriuolo	Match Report	
8	Sat	2019-11-30	20:45 (13:45)	Juventus	1–0	Fiorentina	500	Stadio Silvio Piola	Marco Sicurello	Match Report	
8	Sun	2019-12-01	12:30 (05:30)	AS Roma	2–0	Tavagnacco	200	Stadio Tre Fontane	Giorgio Vergaro	Match Report	
											
9	Fri	2019-12-06	17:00 (10:00)	Sassuolo	3–0	Florentia	200	Stadio Enzo Ricci	Marco Campanella	Match Report	
9	Sat	2019-12-07	12:00 (05:00)	Empoli	0–3	Fiorentina	300	Centro Sportivo Monteboro	Kevin Bonacina	Match Report	
9	Sat	2019-12-07	14:30 (07:30)	Orobica Calcio	1–7	Juventus	300	Stadio Giacinto Facchetti	Adolfo Baratta	Match Report	
9	Sat	2019-12-07	14:30 (07:30)	Tavagnacco	0–3	Hellas Verona	150	Stadio Comunale di Tavagnacco	Daniele Cannata	Match Report	
9	Sun	2019-12-08	12:30 (05:30)	Internazionale	1–4	AS Roma	500	Stadio Felice Chinetti	Maria Sole Ferrieri Caputi	Match Report	
											
10	Sat	2019-12-14	12:00 (05:00)	Hellas Verona	0–1	Milan	300	Stadio AGSM Olivieri	Leonardo Tesi	Match Report	
10	Sat	2019-12-14	12:00 (05:00)	Juventus	2–0	Pink Bari	300	Juventus Training Center	William Villa	Match Report	
10	Sat	2019-12-14	14:30 (07:30)	Florentia	1–2	Tavagnacco	180	Stadio Comunale Santa Lucia	Matteo Mori	Match Report	
10	Sat	2019-12-14	14:30 (07:30)	AS Roma	6–0	Orobica Calcio	200	Stadio Tre Fontane	Ignazio Crescenti	Match Report	
10	Sat	2019-12-14	14:30 (07:30)	Empoli	2–2	Sassuolo	200	Centro Sportivo Monteboro	Francesco Lipizer	Match Report	
10	Sun	2019-12-15	12:30 (05:30)	Fiorentina	4–0	Internazionale	400	Stadio Comunale Gino Bozzi	Gianluca Grasso	Match Report	
											
11	Sat	2020-01-11	12:00 (05:00)	Pink Bari	0–3	AS Roma	200	Stadio Antonio Antonacci	Raimondo Borriello	Match Report	
11	Sat	2020-01-11	14:30 (07:30)	Orobica Calcio	1–4	Fiorentina	250	Stadio Giacinto Facchetti	Carlo Rinaldi	Match Report	
11	Sat	2020-01-11	14:30 (07:30)	Internazionale	0–0	Florentia	500	Stadio Felice Chinetti	Daniele Cannata	Match Report	
11	Sat	2020-01-11	14:30 (07:30)	Sassuolo	4–1	Hellas Verona	300	Stadio Comunale Mirabello	Valentina Finzi	Match Report	
11	Sun	2020-01-12	12:30 (05:30)	Tavagnacco	1–5	Juventus	500	Stadio Nereo Rocco	Simone Taricone	Match Report	
11	Sun	2020-01-12	14:30 (07:30)	Milan	1–2	Empoli	300	Centro Sportivo Peppino Vismara	Roberto Lovison	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
											
12	Sat	2020-01-18	12:00 (05:00)	Hellas Verona	0–3	Internazionale	300	Stadio AGSM Olivieri	Gabriele Restaldo	Match Report	
12	Sat	2020-01-18	14:30 (07:30)	Tavagnacco	1–0	Orobica Calcio	200	Stadio Comunale di Tavagnacco	Giuseppe Vingo	Match Report	
12	Sat	2020-01-18	14:30 (07:30)	Sassuolo	2–0	Pink Bari	250	Stadio Enzo Ricci	Daniel Cadirola	Match Report	
12	Sun	2020-01-19	12:30 (05:30)	Fiorentina	6–1	Florentia	600	Stadio Comunale Gino Bozzi	Mattia Ubaldi	Match Report	
12	Sun	2020-01-19	12:30 (05:30)	Empoli	1–2	Juventus	1,350	Stadio Carlo Castellani	Emanuele Bracaccini	Match Report	
12	Mon	2020-01-20	12:30 (05:30)	Milan	3–2	AS Roma	400	Centro Sportivo Peppino Vismara	Niccolò Turrini	Match Report	
											
13	Sat	2020-01-25	12:00 (05:00)	Orobica Calcio	0–1	Milan	400	Stadio Giacinto Facchetti	Stefano Milone	Match Report	
13	Sat	2020-01-25	14:30 (07:30)	Pink Bari	0–0	Tavagnacco	200	Stadio Antonio Antonacci	Francesco Cusumano	Match Report	
13	Sat	2020-01-25	14:30 (07:30)	Juventus	2–1	Sassuolo	400	Juventus Training Center	Giorgio Vergaro	Match Report	
13	Sun	2020-01-26	12:30 (05:30)	Florentia	2–1	Hellas Verona	200	Stadio Comunale Santa Lucia	William Villa	Match Report	
13	Sun	2020-01-26	12:30 (05:30)	AS Roma	2–2	Fiorentina	500	Stadio Tre Fontane	Maurizio Barbiero	Match Report	
13	Sun	2020-01-26	14:30 (07:30)	Internazionale	3–0	Empoli	250	Stadio Felice Chinetti	Ettore Longo	Match Report	
											
9	Wed	2020-01-29	12:00 (05:00)	Milan	6–3	Pink Bari	150	Centro Sportivo Peppino Vismara	Giuseppe Rispoli	Match Report	
											
14	Sat	2020-02-01	12:00 (05:00)	Tavagnacco	0–1	Fiorentina	300	Stadio Comunale di Tavagnacco	Andrea Rizzello	Match Report	
