Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
1	Sat	2016-09-03	14:00 (07:00)	MSV Duisburg	0–3	Essen	1,027	PCC-Stadion	Inka Müller-Schmäh	Match Report	
1	Sat	2016-09-03	16:00 (09:00)	Bayern Munich	1–1	Freiburg	1,022	Städtisches Stadion an der Grünwalder St...	Riem Hussein	Match Report	
1	Sun	2016-09-04	11:00 (04:00)	FFC Frankfurt	8–0	M'gladbach	1,410	Stadion am Brentanobad	Christina Biehl	Match Report	
1	Sun	2016-09-04	11:00 (04:00)	Sand	0–0	Wolfsburg	1,110	Orsay Stadion	Kathrin Heimann	Match Report	
1	Sun	2016-09-04	14:00 (07:00)	Hoffenheim	0–3	Turbine Potsdam	950	Dietmar-Hopp-Stadion	Sina Diekmann	Match Report	
1	Sun	2016-09-04	14:00 (07:00)	Leverkusen	0–2	USV Jena	343	Jugendleistungszentrum Kurtekotten	Katrin Rafalski	Match Report	
											
2	Sat	2016-09-10	14:00 (07:00)	Turbine Potsdam	3–0	FFC Frankfurt	1,821	Karl-Liebknecht-Stadion	Angelika Söder	Match Report	
2	Sat	2016-09-10	14:00 (07:00)	USV Jena	0–1	Bayern Munich	753	Ernst-Abbe-Sportfeld	Christine Baitinger	Match Report	
2	Sun	2016-09-11	11:00 (04:00)	M'gladbach	0–1	Sand	217	Grenzlandstadion	Christine Weigelt 	Match Report	
2	Sun	2016-09-11	14:00 (07:00)	Essen	1–0	Hoffenheim	1,131	Stadion Essen	Imke Lohmeyer	Match Report	
2	Sun	2016-09-11	14:00 (07:00)	Wolfsburg	2–0	Leverkusen	1,903	AOK Stadion	Susann Kunkel	Match Report	
2	Sun	2016-09-11	14:00 (07:00)	Freiburg	5–0	MSV Duisburg	863	Möslestadion	Karoline Wacker	Match Report	
											
3	Sun	2016-09-25	11:00 (04:00)	FFC Frankfurt	2–2	Essen	1,610	Stadion am Brentanobad	Mirka Derlin	Match Report	
3	Sun	2016-09-25	11:00 (04:00)	M'gladbach	1–3	Turbine Potsdam	364	Grenzlandstadion	Marina Wozniak	Match Report	
3	Sun	2016-09-25	11:00 (04:00)	Hoffenheim	1–2	Freiburg	1,020	Dietmar-Hopp-Stadion	Hanna Schlemmer	Match Report	
3	Sun	2016-09-25	14:00 (07:00)	MSV Duisburg	3–1	USV Jena	509	PCC-Stadion	Susann Kunkel	Match Report	
3	Sun	2016-09-25	14:00 (07:00)	Sand	2–0	Leverkusen	600	Orsay Stadion	Angelika Söder	Match Report	
3	Sun	2016-09-25	14:00 (07:00)	Bayern Munich	1–2	Wolfsburg	1,480	Städtisches Stadion an der Grünwalder St...	Katrin Rafalski	Match Report	
											
4	Sat	2016-10-01	14:00 (07:00)	Wolfsburg	2–0	MSV Duisburg	1,325	AOK Stadion	Ines Appelmann	Match Report	
4	Sat	2016-10-01	16:30 (09:30)	Freiburg	0–0	FFC Frankfurt	450	Möslestadion	Christine Baitinger	Match Report	
4	Sun	2016-10-02	14:00 (07:00)	Turbine Potsdam	1–0	Sand	2,038	Karl-Liebknecht-Stadion	Riem Hussein	Match Report	
4	Sun	2016-10-02	14:00 (07:00)	USV Jena	0–1	Hoffenheim	410	Ernst-Abbe-Sportfeld	Sina Diekmann	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
4	Sun	2016-10-02	14:00 (07:00)	Leverkusen	0–1	Bayern Munich	843	BayArena	Inka Müller-Schmäh	Match Report	
4	Sun	2016-10-02	14:00 (07:00)	Essen	3–0	M'gladbach	1,239	Stadion Essen	Karoline Wacker	Match Report	
											
5	Sat	2016-10-15	14:00 (07:00)	Turbine Potsdam	2–0	Essen	1,624	Karl-Liebknecht-Stadion	Susann Kunkel	Match Report	
5	Sun	2016-10-16	11:00 (04:00)	Sand	0–1	Bayern Munich	1,783	Orsay Stadion	Kathrin Heimann	Match Report	
5	Sun	2016-10-16	11:00 (04:00)	FFC Frankfurt	2–1	USV Jena	1,600	Stadion am Brentanobad	Franziska Haider	Match Report	
5	Sun	2016-10-16	11:00 (04:00)	M'gladbach	0–4	Freiburg	258	Grenzlandstadion	Mirka Derlin	Match Report	
5	Sun	2016-10-16	14:00 (07:00)	MSV Duisburg	0–1	Leverkusen	870	PCC-Stadion	Hanna Schlemmer	Match Report	
5	Sun	2016-10-16	14:00 (07:00)	Hoffenheim	1–2	Wolfsburg	1,150	Dietmar-Hopp-Stadion	Marina Wozniak	Match Report	
											
6	Sat	2016-10-29	14:00 (07:00)	Bayern Munich	3–1	MSV Duisburg	472	Städtisches Stadion an der Grünwalder St...	Imke Lohmeyer	Match Report	
6	Sun	2016-10-30	14:00 (08:00)	Wolfsburg	0–0	FFC Frankfurt	2,006	AOK Stadion	Angelika Söder	Match Report	
6	Sun	2016-10-30	14:00 (08:00)	Freiburg	2–1	Turbine Potsdam	1,125	Möslestadion	Ines Appelmann	Match Report	
