Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Fri	2022-04-29	16:30 (18:30)	Angel City	1.2	2–1	1.5	Courage	22,000	Banc of California Stadium	Samantha Martinez	Match Report	
Sat	2022-04-30	15:00 (17:00)	Thorns	2.1	3–0	0.5	Current	13,672	Providence Park	Brandon Stevis	Match Report	
Sun	2022-05-01	17:00 (16:00)	Spirit	2.2	2–1	1.6	Reign	10,177	Audi Field	Alex Billeter	Match Report	
Sun	2022-05-01	18:00 	Dash	0.6	0–1	1.0	Wave	7,722	PNC Stadium	Anya Voigt	Match Report	
Sat	2022-04-30	19:00 	Red Stars	1.3	2–1	1.3	Louisville	3,028	SeatGeek Stadium	Jeremy Scheer	Match Report	
Sun	2022-05-01	19:00 (18:00)	Pride	1.0	0–3	0.9	Gotham FC	4,304	Exploria Stadium	Natalie Simon	Match Report	
Sun	2022-05-08	15:00 (17:00)	Reign	2.4	2–2	0.9	Louisville	4,396	Lumen Field	Karen Callado	Match Report	
Sun	2022-05-08	16:00 	Current	1.5	0–2	1.7	Dash	6,140	Children's Mercy Park	Alyssa Nichols	Match Report	
Sat	2022-05-07	19:00 (21:00)	Wave	4.1	4–0	0.5	Gotham FC		Torero Stadium	Alex Billeter	Match Report	
Sun	2022-05-08	17:00 (19:00)	Angel City	0.9	0–1	1.0	Pride		Banc of California Stadium	Adorae Monroy	Match Report	
Sat	2022-05-14	18:30 (17:30)	Pride	1.5	2–2	1.8	Current	3,511	Exploria Stadium	Alex Billeter	Match Report	
Fri	2022-05-13	19:30 (21:30)	Thorns	1.1	0–0	0.8	Reign	14,496	Providence Park	Elvis Osmanovic	Match Report	
Sun	2022-05-15	14:00 (16:00)	Wave	2.7	2–1	0.4	Red Stars	5,000	Torero Stadium	Karen Callado	Match Report	
Sun	2022-05-15	17:00 (16:00)	Spirit	0.7	0–1	0.5	Angel City	7,433	Audi Field	Anya Voigt	Match Report	
Sat	2022-05-14	20:00 (19:00)	Louisville	1.0	1–1	0.9	Dash		Lynn Family Stadium	Samantha Martinez	Match Report	
Wed	2022-05-18	19:00 (18:00)	Courage	0.5	1–2	1.0	Pride	3,084	Sahlen's Stadium at WakeMed Soccer Park	Mark Allatin	Match Report	
Wed	2022-05-18	19:30 (18:30)	Louisville	0.4	1–0	0.7	Wave		Lynn Family Stadium	Joshua Encarnacion	Match Report	
Wed	2022-05-18	19:00 (21:00)	Thorns	1.4	1–1	1.6	Spirit	9,876	Providence Park	Brad Jensen	Match Report	
Sat	2022-05-21	15:00 (17:00)	Thorns	1.2	0–2	1.1	Dash	14,842	Providence Park	Michael Radchuk	Match Report	
Sun	2022-05-22	14:00 (13:00)	Courage	0.8	0–1	0.9	Wave	6,070	Sahlen's Stadium at WakeMed Soccer Park	Alyssa Nichols	Match Report	
Sun	2022-05-22	15:00 (17:00)	Reign	1.8	0–0	0.5	Spirit	5,846	Lumen Field	Samantha Martinez	Match Report	
Sun	2022-05-22	17:00 (16:00)	Gotham FC	1.2	0–1	1.0	Louisville	2,672	Red Bull Arena	Thomas Snyder	Match Report	
Sun	2022-05-22	19:00 (18:00)	Pride	1.0	2–4	2.7	Red Stars		Exploria Stadium	Danielle Chesky	Match Report	
Sat	2022-05-21	19:30 (21:30)	Angel City	0.9	1–0	0.5	Current	18,514	Banc of California Stadium	Ricardo Fierro	Match Report	
Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Wed	2022-05-25	19:00 (21:00)	Reign	1.8	1–0	0.3	Current	3,944	Lumen Field	Adorae Monroy	Match Report	
Fri	2022-05-27	19:00 (18:00)	Pride	0.9	2–2	1.1	Spirit	3,586	Exploria Stadium	Matthew Thompson	Match Report	
Sun	2022-05-29	12:00 (14:00)	Reign	1.8	1–0	0.3	Wave	5,712	Lumen Field	Brandon Stevis	Match Report	
Sun	2022-05-29	18:00 	Dash	1.4	1–1	0.4	Courage	4,852	PNC Stadium	Mathew Corrigan	Match Report	
Sat	2022-05-28	19:00 	Red Stars	1.0	2–2	0.9	Thorns	3,268	SeatGeek Stadium	Samantha Martinez	Match Report	
Mon	2022-05-30	14:00 	Current	1.0	1–0	1.1	Louisville	6,484	Children's Mercy Park	Danielle Chesky	Match Report	
Sun	2022-05-29	17:00 (19:00)	Angel City	1.4	0–1	0.5	Gotham FC	18,784	Banc of California Stadium	Malik Badawi	Match Report	
Wed	2022-06-01	19:30 (18:30)	Spirit	1.5	1–1	1.9	Red Stars	1,961	Segra Field	Adam Kilpatrick	Match Report	
Sat	2022-06-04	14:00 	Red Stars	0.9	1–0	0.2	Reign	3,002	SeatGeek Stadium	Alex Billeter	Match Report	
Sat	2022-06-04	19:00 (18:00)	Gotham FC	1.5	1–0	0.3	Spirit	6,433	Red Bull Arena	John Griggs	Match Report	
Fri	2022-06-03	19:30 	Dash	1.7	5–0	0.9	Pride	6,073	PNC Stadium	Danielle Chesky	Match Report	
Fri	2022-06-03	19:30 (21:30)	Thorns	1.8	3–0	0.9	Angel City	14,493	Providence Park	Elton Garcia	Match Report	
Sat	2022-06-04	19:30 	Current	1.2	2–2	1.9	Wave	7,954	Children's Mercy Park	Kevin Broadley	Match Report	
Sat	2022-06-04	20:00 (19:00)	Louisville	0.7	0–3	0.8	Courage	5,738	Lynn Family Stadium	Eric Tattersall	Match Report	
Tue	2022-06-07	19:00 (21:00)	Angel City	1.5	0–0	1.2	Dash	16,739	Banc of California Stadium	Danielle Chesky	Match Report	
Wed	2022-06-08	19:00 (21:00)	Wave	1.9	2–2	1.7	Thorns	6,100	Torero Stadium	Mark Allatin	Match Report	
Wed	2022-06-08	19:00 	Red Stars	0.8	0–0	1.3	Spirit	2,312	SeatGeek Stadium	Calin Radosav	Match Report	
Sat	2022-06-11	19:00 (18:00)	Spirit	2.2	2–3	1.9	Courage	4,236	Segra Field	Jeremy Scheer	Match Report	
Sun	2022-06-12	14:00 (16:00)	Wave	1.4	1–1	0.8	Reign	5,000	Torero Stadium	Calin Radosav	Match Report	
Sun	2022-06-12	17:00 	Red Stars	1.1	1–0	0.6	Pride	3,881	SeatGeek Stadium	Alyssa Nichols	Match Report	
Sun	2022-06-12	18:00 	Dash	0.5	0–4	2.6	Thorns		PNC Stadium	Karen Callado	Match Report	
Sat	2022-06-11	19:30 	Current	1.3	1–0	0.9	Gotham FC	5,695	Children's Mercy Park	Samantha Martinez	Match Report	
Sat	2022-06-11	20:00 (19:00)	Louisville	2.4	2–3	2.1	Angel City	6,139	Lynn Family Stadium	Matthew Thompson	Match Report	
Fri	2022-06-17	19:30 (18:30)	Spirit	3.1	2–2	0.7	Louisville	2,790	Segra Field	Matthew Franz	Match Report	
Sun	2022-06-19	12:00 (14:00)	Thorns	4.1	6–0	0.8	Pride	16,185	Providence Park	Samantha Martinez	Match Report	
Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sun	2022-06-19	16:00 (15:00)	Gotham FC	1.3	0–3	1.3	Wave	7,145	Red Bull Arena	Alyssa Nichols	Match Report	
Sun	2022-06-19	17:00 (16:00)	Courage	1.6	3–4	0.7	Dash	4,117	Sahlen's Stadium at WakeMed Soccer Park	Alex Billeter	Match Report	
Sat	2022-06-18	19:00 (21:00)	Reign	1.6	1–0	0.5	Angel City	6,367	Lumen Field	Karen Callado	Match Report	
