Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2018-03-24	15:30 (14:30)	Courage	1–0	Thorns	4,210	WakeMed Soccer Park	Ramy Touchan	Match Report	
Sat	2018-03-24	19:30 (18:30)	Pride	1–1	Utah	9,017	Orlando City Stadium	Robinson Khongsai	Match Report	
Sun	2018-03-25	16:00 	Dash	1–1	Red Stars	5,846	BBVA Compass Stadium	Jasmine Peralta	Match Report	
Sat	2018-03-24	19:00 (21:00)	Reign	2–1	Spirit	3,561	Seattle High School Memorial Stadium	Katja Koroleva	Match Report	
Sat	2018-03-31	15:00 (14:00)	Courage	1–0	Sky Blue	4,078	WakeMed Soccer Park	Robinson Khongsai	Match Report	
Sat	2018-03-31	15:30 (14:30)	Spirit	2–0	Pride	4,989	Maureen Hendricks Field at Maryland Socc...	Matthew Franz	Match Report	
Fri	2018-03-30	19:00 	Dash	0–0	Utah	3,433	BBVA Compass Stadium	Elton Garcia	Match Report	
Sat	2018-03-31	19:15 	Red Stars	2–3	Thorns	13,678	Toyota Park	Greg Dopka	Match Report	
Sat	2018-04-14	13:30 (14:30)	Utah	0–1	Red Stars	19,203	Rio Tinto Stadium	Karen Abt	Match Report	
Sat	2018-04-14	19:00 (18:00)	Spirit	2–4	Courage	3,458	Maureen Hendricks Field at Maryland Socc...	Jasmine Peralta	Match Report	
Sun	2018-04-15	15:00 (17:00)	Thorns	2–1	Pride	16,466	Providence Park	Farhad Dadkho	Match Report	
Sun	2018-04-15	17:00 (16:00)	Sky Blue	0–1	Reign	1,913	The Soccer/Lacrosse Stadium at Yurcak Fi...	Marco Vega	Match Report	
Wed	2018-04-18	18:30 	Red Stars	3–0	Dash	2,327	Toyota Park	Katja Koroleva	Match Report	
Wed	2018-04-18	19:00 (18:00)	Courage	1–0	Reign	3,011	WakeMed Soccer Park	Kevin Broadley	Match Report	
Sat	2018-04-21	15:30 (14:30)	Courage	2–2	Utah	3,958	WakeMed Soccer Park	Jon Freemon	Match Report	
Fri	2018-04-20	19:30 (21:30)	Thorns	1–1	Spirit	14,485	Providence Park	Matthew Franz	Match Report	
