Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sat	2017-06-24	16:00 (15:00)	Boston	0–1	Courage	3,209	Jordan Field	Rosendo Mendoza	Match Report	
Sat	2017-06-24	19:00 (18:00)	Spirit	1–0	Thorns	4,319	Maureen Hendricks Field at Maryland Socc...	Robinson Khongsai	Match Report	
Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Sun	2017-06-25	17:00 	Red Stars	2–1	Sky Blue	3,720	Toyota Park	Karen Abt	Match Report	
Sat	2017-06-24	19:00 (21:00)	Reign	1–1	Kansas City	3,919	Seattle High School Memorial Stadium	Katja Koroleva	Match Report	
Wed	2017-06-28	19:00 (18:00)	Sky Blue	2–3	Pride	3,065	The Soccer/Lacrosse Stadium at Yurcak Fi...	Robinson Khongsai	Match Report	
Wed	2017-06-28	19:00 (21:00)	Thorns	3–0	Kansas City	16,199	Providence Park	Chipalo Street	Match Report	
Wed	2017-06-28	19:30 (21:30)	Reign	2–1	Red Stars	3,586	Seattle High School Memorial Stadium	Chris Spivey	Match Report	
Wed	2017-06-28	20:00 	Dash	0–0	Boston	6,095	BBVA Compass Stadium	Kevin Broadley	Match Report	
Sat	2017-07-01	15:30 (14:30)	Courage	0–1	Sky Blue	3,056	WakeMed Soccer Park	Greg Dopka	Match Report	
Sat	2017-07-01	16:00 (15:00)	Boston	1–0	Spirit	2,523	Jordan Field	Elvis Osmanovic	Match Report	
Sat	2017-07-01	17:00 (16:00)	Pride	0–1	Red Stars	5,476	Orlando City Stadium	Guido Gonzalez Jr.	Match Report	
Sat	2017-07-01	19:30 (21:30)	Reign	2–0	Thorns	4,270	Seattle High School Memorial Stadium	Jon Freemon	Match Report	
Sun	2017-07-02	19:00 	Kansas City	1–2	Dash	1,703	Swope Soccer Village Main Field	Karen Abt	Match Report	
Fri	2017-07-07	19:00 (18:00)	Boston	0–0	Red Stars	2,435	Jordan Field	Robinson Khongsai	Match Report	
Sat	2017-07-08	15:30 (14:30)	Spirit	2–2	Pride	5,200	Maureen Hendricks Field at Maryland Socc...	Henrik Karlsson	Match Report	
Sat	2017-07-08	19:00 (18:00)	Sky Blue	3–2	Kansas City	2,091	The Soccer/Lacrosse Stadium at Yurcak Fi...	Amber O'Connor	Match Report	
Sat	2017-07-08	21:00 	Dash	1–1	Thorns	3,869	BBVA Compass Stadium	Christina Unkel	Match Report	
