Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
8	Sun	2017-11-12	11:00 (04:00)	USV Jena	0–3	Hoffenheim	213	Ernst-Abbe-Sportfeld	Kathrin Heimann	Match Report	
8	Sun	2017-11-12	13:35 (06:35)	Turbine Potsdam	2–2	Bayern Munich	1,837	Karl-Liebknecht-Stadion	Karoline Wacker	Match Report	
8	Sun	2017-11-12	14:00 (07:00)	MSV Duisburg	0–1	Köln	528	PCC-Stadion	Katrin Rafalski	Match Report	
8	Sun	2017-11-12	14:00 (07:00)	Werder Bremen	0–0	Essen	350	Weserstadion Platz 11	Franziska Wildfeuer	Match Report	
8	Sun	2017-11-12	15:30 (08:30)	Wolfsburg	1–0	FFC Frankfurt	1,312	AOK Stadion	Angelika Söder	Match Report	
											
9	Sun	2017-11-19	11:00 (04:00)	Sand	1–0	USV Jena	580	Orsay Stadion	Laura Duske	Match Report	
9	Sun	2017-11-19	11:00 (04:00)	Hoffenheim	1–0	MSV Duisburg	470	Dietmar-Hopp-Stadion	Sina Diekmann	Match Report	
9	Sun	2017-11-19	13:00 (06:00)	Bayern Munich	4–1	Werder Bremen	422	Städtisches Stadion an der Grünwalder St...	Sandra Stolz	Match Report	
9	Sun	2017-11-19	14:00 (07:00)	Freiburg	0–3	FFC Frankfurt	720	Möslestadion	Melissa Joos	Match Report	
9	Sun	2017-11-19	14:00 (07:00)	Köln	0–8	Turbine Potsdam	355	Südstadion	Miriam Schweinefuss	Match Report	
9	Sun	2017-11-19	15:00 (08:00)	Essen	0–4	Wolfsburg	961	Stadion Essen	Fabienne Michel	Match Report	
											
10	Sun	2017-12-10	11:00 (04:00)	Freiburg	5–0	USV Jena	520	Möslestadion	Hanna Schlemmer	Match Report	
10	Sun	2017-12-10	14:00 (07:00)	Werder Bremen	7–0	Köln	294	Weserstadion Platz 11	Sina Diekmann	Match Report	
