Day,Date,Time,HomeTeam,xG,Score,xG _1,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Sun,2019-11-24,12:30 (06:30),Everton,2.1,3–1,0.6,Tottenham,150,Walton Hall Park,Michael Barlow,Match Report,
Sun,2019-11-24,14:00 (08:00),Arsenal,1.2,1–0,0.4,Liverpool,"2,017",Meadow Park,Elizabeth Simms,Match Report,
Sun,2019-11-24,14:45 (08:45),Birmingham City,0.2,0–6,2.7,Chelsea,"1,159",Damson Park,Richard Walker,Match Report,
Sun,2019-11-24,15:00 (09:00),West Ham,0.9,2–3,1.3,Reading,"1,392",Rush Green Stadium,Lloyd Wood,Match Report,
Fri,2019-11-29,19:45 (13:45),Brighton,1.2,2–2,1.7,Reading,510,Checkatrade.com Stadium,Matthew Russell,Match Report,
Sun,2019-12-01,12:30 (06:30),Arsenal,8.3,11–1 ,1.1,Bristol City,"1,513",Meadow Park,Helen Conley,Match Report,
Sun,2019-12-01,14:00 (08:00),Manchester City,1.5,1–0,1.1,Liverpool,"2,293",Academy Stadium,Kirsty Dowle,Match Report,
Sun,2019-12-01,15:00 (09:00),West Ham,0.4,3–2,1.2,Manchester Utd,"1,736",Rush Green Stadium,Amy Fearn,Match Report,
Wed,2019-12-04,19:30 (13:30),Birmingham City,0.8,1–1,1.8,Tottenham,304,Damson Park,Jane Simms,Match Report,
Sun,2019-12-08,12:00 (06:00),Chelsea,2.4,2–1,0.6,Manchester City,"3,498",Cherry Red Records Fans' Stadium,Amy Fearn,Match Report,
Sun,2019-12-08,12:00 (06:00),Manchester Utd,2.2,3–1,0.6,Everton,"1,805",Leigh Sports Village Stadium,Joe Hull,Match Report,
Sun,2019-12-08,14:00 (08:00),Tottenham,2.0,1–0,0.8,Brighton,571,The Hive Stadium,Emily Heaslip,Match Report,
Day ,Date ,Time ,Home ,xG ,Score ,xG ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Sun,2019-12-08,14:00 (08:00),Liverpool,1.9,1–1,1.0,West Ham,565,Prenton Park,Peter Gibbons,Match Report,
Sun,2019-12-08,14:30 (08:30),Reading,1.4,0–3,1.7,Arsenal,943,Adams Park,Richard Holme,Match Report,
Sun,2019-12-08,15:00 (09:00),Bristol City,0.4,0–2,0.6,Birmingham City,404,Stoke Gifford Stadium,Samuel Allison,Match Report,
Sun,2019-12-15,12:30 (06:30),Manchester City,3.6,5–0,0.4,Brighton,"1,173",Academy Stadium,Lucy Oliver,Match Report,
