Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Nov 27 2011,FIATC Mutua Joventut,71,,Gran Canaria 2014,77,,9OT,
Sun Nov 27 2011,FC Barcelona Regal,89,,Blu:sens Monbús,83,,,
Sun Nov 27 2011,Lucentum Alicante,71,,Lagun Aro GBC,68,,,
Sun Nov 27 2011,Mad-Croc Fuenlabrada,99,,Banca Cívica,97,,9OT,
Sat Dec 3 2011,Gescrap Bizkaia,73,,Mad-Croc Fuenlabrada,82,,,
Sat Dec 3 2011,Banca Cívica,65,,FIATC Mutua Joventut,83,,,
Sun Dec 4 2011,CAI Zaragoza,75,,Lucentum Alicante,77,,,
Sun Dec 4 2011,Gran Canaria 2014,49,,FC Barcelona Regal,65,,,
Sun Dec 4 2011,Unicaja,84,,Asefa Estudiantes,75,,,
Sun Dec 4 2011,Blancos de Rueda Valladolid,75,,Assignia Manresa,80,,,
Sun Dec 4 2011,Blu:sens Monbús,85,,UCAM Murcia,60,,,
Sun Dec 4 2011,Valencia Basket,64,,Real Madrid,81,,,
Sun Dec 4 2011,Lagun Aro GBC,74,,Laboral Kutxa,86,,,
Sat Dec 10 2011,Valencia Basket,74,,Gescrap Bizkaia,85,,,
Sat Dec 10 2011,Blu:sens Monbús,73,,Gran Canaria 2014,84,,,
Sun Dec 11 2011,Unicaja,62,,FC Barcelona Regal,72,,,
Sun Dec 11 2011,Real Madrid,85,,Asefa Estudiantes,90,,,
Sun Dec 11 2011,CAI Zaragoza,95,,Mad-Croc Fuenlabrada,88,,9OT,
Sun Dec 11 2011,Lagun Aro GBC,93,,FIATC Mutua Joventut,70,,,
Sun Dec 11 2011,Lucentum Alicante,76,,Assignia Manresa,62,,,
Sun Dec 11 2011,Laboral Kutxa,75,,UCAM Murcia,67,,,
Sun Dec 11 2011,Blancos de Rueda Valladolid,73,,Banca Cívica,87,,,
Sat Dec 17 2011,Mad-Croc Fuenlabrada,70,,Lagun Aro GBC,86,,,
Sat Dec 17 2011,Banca Cívica,84,,Valencia Basket,80,,,
Sun Dec 18 2011,UCAM Murcia,62,,Lucentum Alicante,63,,,
Sun Dec 18 2011,Asefa Estudiantes,58,,Blu:sens Monbús,61,,,
Sun Dec 18 2011,Assignia Manresa,61,,Real Madrid,83,,,
Sun Dec 18 2011,FIATC Mutua Joventut,88,,Unicaja,89,,9OT,
Sun Dec 18 2011,Gran Canaria 2014,89,,Blancos de Rueda Valladolid,70,,,
Sun Dec 18 2011,FC Barcelona Regal,60,,Laboral Kutxa,71,,,
Wed Dec 28 2011,Assignia Manresa,61,,FC Barcelona Regal,74,,,
Wed Dec 28 2011,Asefa Estudiantes,75,,UCAM Murcia,88,,,
Wed Dec 28 2011,Unicaja,72,,Banca Cívica,68,,,
Wed Dec 28 2011,Blu:sens Monbús,71,,CAI Zaragoza,80,,,
Thu Dec 29 2011,Laboral Kutxa,80,,Gescrap Bizkaia,79,,,
Thu Dec 29 2011,Lucentum Alicante,64,,Mad-Croc Fuenlabrada,60,,,
Thu Dec 29 2011,Lagun Aro GBC,78,,Gran Canaria 2014,45,,,
Thu Dec 29 2011,Real Madrid,75,,FIATC Mutua Joventut,78,,,
Thu Dec 29 2011,Valencia Basket,65,,Blancos de Rueda Valladolid,74,,,
Tue Jan 3 2012,FIATC Mutua Joventut,78,,Lucentum Alicante,84,,9OT,
Tue Jan 3 2012,Blancos de Rueda Valladolid,62,,Asefa Estudiantes,69,,,
Tue Jan 3 2012,Banca Cívica,65,,Lagun Aro GBC,67,,,
Tue Jan 3 2012,Gescrap Bizkaia,73,,Unicaja,78,,,
Tue Jan 3 2012,Gran Canaria 2014,61,,CAI Zaragoza,63,,,
Wed Jan 4 2012,UCAM Murcia,74,,Assignia Manresa,83,,,
Wed Jan 4 2012,FC Barcelona Regal,74,,Real Madrid,78,,,
Wed Jan 4 2012,Blu:sens Monbús,71,,Valencia Basket,77,,,
Wed Jan 4 2012,Mad-Croc Fuenlabrada,51,,Laboral Kutxa,61,,,
Sat Jan 7 2012,Unicaja,78,,Mad-Croc Fuenlabrada,80,,,
Sun Jan 8 2012,Lucentum Alicante,49,,FC Barcelona Regal,65,,,
Sun Jan 8 2012,Lagun Aro GBC,93,,Gescrap Bizkaia,87,,9OT,
Sun Jan 8 2012,Assignia Manresa,70,,Asefa Estudiantes,76,,,
Sun Jan 8 2012,Valencia Basket,71,,Gran Canaria 2014,63,,,
Sun Jan 8 2012,Laboral Kutxa,74,,FIATC Mutua Joventut,57,,,
Sun Jan 8 2012,Real Madrid,91,,UCAM Murcia,60,,,
Sun Jan 8 2012,Blancos de Rueda Valladolid,72,,Blu:sens Monbús,63,,,
Sun Jan 8 2012,CAI Zaragoza,64,,Banca Cívica,77,,,
Thu Jan 12 2012,Gescrap Bizkaia,62,,CAI Zaragoza,59,,,
Sat Jan 14 2012,UCAM Murcia,79,,Unicaja,87,,,
Sat Jan 14 2012,Mad-Croc Fuenlabrada,76,,Valencia Basket,69,,,
Sat Jan 14 2012,Gescrap Bizkaia,81,,Blancos de Rueda Valladolid,73,,,
Sat Jan 14 2012,Assignia Manresa,76,,Laboral Kutxa,65,,,
Sun Jan 15 2012,Real Madrid,92,,Lucentum Alicante,86,,,
Sun Jan 15 2012,Asefa Estudiantes,65,,Gran Canaria 2014,73,,,
Sun Jan 15 2012,Banca Cívica,77,,Blu:sens Monbús,70,,,
Sun Jan 15 2012,FC Barcelona Regal,71,,Lagun Aro GBC,56,,,
