Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 12 2013,CAI Zaragoza,86,,Bilbao Basket,77,,,
Sat Oct 12 2013,Río Natura Monbús,74,,Iberostar Tenerife,76,,,
Sun Oct 13 2013,Valencia Basket,75,,FC Barcelona,76,,,
Sun Oct 13 2013,Tuenti Móvil Estudiantes,78,,Unicaja,97,,,
Sun Oct 13 2013,FIATC Joventut,78,,La Bruixa d'Or,90,,,
Sun Oct 13 2013,Baloncesto Fuenlabrada,73,,UCAM Murcia,93,,,
Sun Oct 13 2013,Cajasol,71,,Gipuzkoa Basket,76,,,
Sun Oct 13 2013,Herbalife Gran Canaria,99,,Laboral Kutxa,96,,9OT,
Tue Oct 15 2013,CB Valladolid,53,,Real Madrid,87,,,
Sat Oct 19 2013,CB Valladolid,66,,Tuenti Móvil Estudiantes,80,,,
Sat Oct 19 2013,La Bruixa d'Or,88,,Río Natura Monbús,71,,,
Sat Oct 19 2013,Gipuzkoa Basket,58,,Valencia Basket,87,,,
Sun Oct 20 2013,Unicaja,85,,Cajasol,65,,,
Sun Oct 20 2013,Bilbao Basket,72,,Baloncesto Fuenlabrada,75,,,
Sun Oct 20 2013,UCAM Murcia,69,,Herbalife Gran Canaria,86,,,
Sun Oct 20 2013,FC Barcelona,83,,FIATC Joventut,80,,,
Sun Oct 20 2013,Laboral Kutxa,72,,Real Madrid,105,,,
Sun Oct 20 2013,Iberostar Tenerife,66,,CAI Zaragoza,60,,,
Sat Oct 26 2013,Baloncesto Fuenlabrada,82,,Iberostar Tenerife,90,,,
Sat Oct 26 2013,FIATC Joventut,64,,Gipuzkoa Basket,62,,,
Sat Oct 26 2013,Cajasol,68,,CB Valladolid,81,,,
Sun Oct 27 2013,Herbalife Gran Canaria,83,,Bilbao Basket,72,,,
Sun Oct 27 2013,Valencia Basket,74,,Unicaja,71,,,
Sun Oct 27 2013,FC Barcelona,81,,La Bruixa d'Or,71,,,
Sun Oct 27 2013,Real Madrid,88,,UCAM Murcia,81,,,
Sun Oct 27 2013,CAI Zaragoza,86,,Río Natura Monbús,82,,,
Sun Oct 27 2013,Tuenti Móvil Estudiantes,66,,Laboral Kutxa,79,,,
Sat Nov 2 2013,Laboral Kutxa,62,,Cajasol,82,,,
Sat Nov 2 2013,UCAM Murcia,77,,Tuenti Móvil Estudiantes,69,,,
Sat Nov 2 2013,CB Valladolid,57,,Valencia Basket,108,,,
Sun Nov 3 2013,Gipuzkoa Basket,74,,FC Barcelona,81,,,
Sun Nov 3 2013,Río Natura Monbús,78,,Baloncesto Fuenlabrada,73,,,
Sun Nov 3 2013,Iberostar Tenerife,61,,Herbalife Gran Canaria,79,,,
Sun Nov 3 2013,Unicaja,65,,FIATC Joventut,63,,,
Sun Nov 3 2013,Bilbao Basket,75,,Real Madrid,92,,,
Sun Nov 3 2013,La Bruixa d'Or,52,,CAI Zaragoza,89,,,
Sat Nov 9 2013,Baloncesto Fuenlabrada,60,,Cajasol,74,,,
Sat Nov 9 2013,Río Natura Monbús,63,,FIATC Joventut,70,,,
Sat Nov 9 2013,Bilbao Basket,71,,Gipuzkoa Basket,83,,,
Sun Nov 10 2013,Iberostar Tenerife,71,,FC Barcelona,87,,,
Sun Nov 10 2013,Herbalife Gran Canaria,75,,Tuenti Móvil Estudiantes,63,,,
Sun Nov 10 2013,UCAM Murcia,72,,Unicaja,81,,,
Sun Nov 10 2013,La Bruixa d'Or,63,,Real Madrid,111,,,
Sun Nov 10 2013,CAI Zaragoza,76,,Valencia Basket,96,,,
Sun Nov 10 2013,Laboral Kutxa,87,,CB Valladolid,58,,,
Sat Nov 16 2013,FIATC Joventut,103,,Iberostar Tenerife,95,,,
Sat Nov 16 2013,Tuenti Móvil Estudiantes,72,,Baloncesto Fuenlabrada,82,,,
Sat Nov 16 2013,Gipuzkoa Basket,85,,UCAM Murcia,67,,,
Sat Nov 16 2013,Valencia Basket,102,,Río Natura Monbús,70,,,
Sun Nov 17 2013,FC Barcelona,72,,Bilbao Basket,80,,,
Sun Nov 17 2013,Real Madrid,75,,Herbalife Gran Canaria,70,,,
Sun Nov 17 2013,CB Valladolid,72,,La Bruixa d'Or,75,,,
Sun Nov 17 2013,Unicaja,75,,Laboral Kutxa,82,,,
Sun Nov 17 2013,Cajasol,74,,CAI Zaragoza,66,,,
Sat Nov 23 2013,Valencia Basket,90,,Baloncesto Fuenlabrada,76,,,
Sat Nov 23 2013,FC Barcelona,60,,Río Natura Monbús,77,,,
Sun Nov 24 2013,Unicaja,75,,Bilbao Basket,68,,,
Sun Nov 24 2013,Gipuzkoa Basket,75,,Iberostar Tenerife,76,,,
Sun Nov 24 2013,Cajasol,68,,Herbalife Gran Canaria,58,,,
Sun Nov 24 2013,Laboral Kutxa,69,,La Bruixa d'Or,64,,,
Sun Nov 24 2013,CB Valladolid,90,,UCAM Murcia,101,,,
Sun Nov 24 2013,Tuenti Móvil Estudiantes,57,,Real Madrid,72,,,
Sun Nov 24 2013,FIATC Joventut,83,,CAI Zaragoza,87,,,
