Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Sep 27 2018,Herbalife Gran Canaria,78,,FC Barcelona Lassa,98,,,
Fri Sep 28 2018,UCAM Murcia,76,,MoraBanc Andorra,78,,,
Fri Sep 28 2018,Valencia Basket,73,,Unicaja,86,,,
Sat Sep 29 2018,San Pablo Burgos,81,,Monbus Obradoiro,91,,,
Sat Sep 29 2018,Tecnyconta Zaragoza,76,,Kirolbet Baskonia,99,,,
Sun Sep 30 2018,Baxi Manresa,79,,Movistar Estudiantes,77,,,
Sun Sep 30 2018,Iberostar Tenerife,73,,Real Madrid,88,,,
Sun Sep 30 2018,Montakit Fuenlabrada,76,,Delteco GBC,60,,,
Wed Oct 3 2018,Kirolbet Baskonia,79,,San Pablo Burgos,82,,,
Wed Oct 3 2018,Delteco GBC,73,,Tecnyconta Zaragoza,76,,,
Thu Oct 4 2018,Cafés Candelas Breogán,78,,Iberostar Tenerife,90,,,
Thu Oct 4 2018,Unicaja,93,,Montakit Fuenlabrada,79,,,
Thu Oct 4 2018,Monbus Obradoiro,93,,Herbalife Gran Canaria,92,,,
Thu Oct 4 2018,FC Barcelona Lassa,88,,Baxi Manresa,78,,,
Fri Oct 5 2018,MoraBanc Andorra,75,,Divina Seguros Joventut,65,,,
Fri Oct 5 2018,Real Madrid,88,,Valencia Basket,70,,,
Sat Oct 6 2018,Monbus Obradoiro,52,,Iberostar Tenerife,78,,,
Sat Oct 6 2018,Tecnyconta Zaragoza,93,,San Pablo Burgos,79,,,
Sun Oct 7 2018,MoraBanc Andorra,63,,FC Barcelona Lassa,67,,,
Sun Oct 7 2018,Montakit Fuenlabrada,75,,Movistar Estudiantes,77,,,
Sun Oct 7 2018,Cafés Candelas Breogán,72,,Herbalife Gran Canaria,96,,,
Sun Oct 7 2018,Divina Seguros Joventut,67,,Baxi Manresa,66,,,
Sun Oct 7 2018,Valencia Basket,81,,UCAM Murcia,68,,,
Sun Oct 7 2018,Unicaja,82,,Real Madrid,89,,,
