Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 10 2015,ICL Manresa,60,,Montakit Fuenlabrada,78,,,
Sat Oct 10 2015,RETAbet.es GBC,64,,Herbalife Gran Canaria,97,,,
Sat Oct 10 2015,Iberostar Tenerife,75,,FIATC Joventut,83,,,
Sun Oct 11 2015,Bilbao Basket,79,,MoraBanc Andorra,69,,,
Sun Oct 11 2015,CAI Zaragoza,76,,FC Barcelona Lassa,84,,,
Sun Oct 11 2015,Laboral Kutxa Baskonia,85,,Movistar Estudiantes,58,,,
Sun Oct 11 2015,Unicaja,60,,UCAM Murcia,58,,,
Sun Oct 11 2015,Baloncesto Sevilla,53,,Rio Natura Monbus Obradoiro,88,,,
Sun Oct 11 2015,Valencia Basket,88,,Real Madrid,82,,,
Sun Oct 18 2015,Herbalife Gran Canaria,85,,Bilbao Basket,59,,,
Sun Oct 18 2015,MoraBanc Andorra,83,,Iberostar Tenerife,81,,,
Sun Oct 18 2015,Real Madrid,94,,RETAbet.es GBC,61,,,
Sun Oct 18 2015,Movistar Estudiantes,67,,ICL Manresa,85,,,
Sun Oct 18 2015,FC Barcelona Lassa,97,,Baloncesto Sevilla,58,,,
Sun Oct 18 2015,Montakit Fuenlabrada,59,,Unicaja,81,,,
Sun Oct 18 2015,FIATC Joventut,69,,Valencia Basket,76,,,
Sun Oct 18 2015,Rio Natura Monbus Obradoiro,75,,Laboral Kutxa Baskonia,82,,,
Sun Oct 18 2015,UCAM Murcia,64,,CAI Zaragoza,84,,,
Sat Oct 24 2015,CAI Zaragoza,67,,Rio Natura Monbus Obradoiro,82,,,
Sun Oct 25 2015,ICL Manresa,77,,MoraBanc Andorra,74,,,
Sun Oct 25 2015,Valencia Basket,81,,Movistar Estudiantes,73,,,
Sun Oct 25 2015,Bilbao Basket,75,,RETAbet.es GBC,63,,,
Sun Oct 25 2015,Baloncesto Sevilla,67,,Herbalife Gran Canaria,76,,,
Sun Oct 25 2015,Montakit Fuenlabrada,66,,FIATC Joventut,79,,,
Sun Oct 25 2015,FC Barcelona Lassa,82,,UCAM Murcia,74,,,
Sun Oct 25 2015,Iberostar Tenerife,89,,Real Madrid,112,,,
Sun Oct 25 2015,Laboral Kutxa Baskonia,74,,Unicaja,66,,,
Sat Oct 31 2015,Rio Natura Monbus Obradoiro,56,,Valencia Basket,76,,,
Sun Nov 1 2015,RETAbet.es GBC,61,,FC Barcelona Lassa,97,,,
Sun Nov 1 2015,Unicaja,70,,Bilbao Basket,88,,,
Sun Nov 1 2015,Movistar Estudiantes,75,,Iberostar Tenerife,73,,,
Sun Nov 1 2015,MoraBanc Andorra,72,,Montakit Fuenlabrada,78,,,
Sun Nov 1 2015,FIATC Joventut,85,,ICL Manresa,84,,,
Sun Nov 1 2015,UCAM Murcia,90,,Baloncesto Sevilla,85,,,
Sun Nov 1 2015,Herbalife Gran Canaria,67,,Laboral Kutxa Baskonia,77,,,
Sun Nov 1 2015,Real Madrid,88,,CAI Zaragoza,80,,,
Sat Nov 7 2015,Baloncesto Sevilla,81,,Montakit Fuenlabrada,79,,,
Sat Nov 7 2015,RETAbet.es GBC,68,,Rio Natura Monbus Obradoiro,81,,,
Sun Nov 8 2015,FC Barcelona Lassa,89,,MoraBanc Andorra,66,,,
Sun Nov 8 2015,Real Madrid,80,,Movistar Estudiantes,75,,,
Sun Nov 8 2015,ICL Manresa,59,,Herbalife Gran Canaria,88,,,
Sun Nov 8 2015,CAI Zaragoza,70,,FIATC Joventut,71,,,
Sun Nov 8 2015,Bilbao Basket,68,,UCAM Murcia,96,,,
Sun Nov 8 2015,Iberostar Tenerife,75,,Unicaja,85,,,
Sun Nov 8 2015,Laboral Kutxa Baskonia,78,,Valencia Basket,85,,,
Sun Nov 15 2015,Rio Natura Monbus Obradoiro,57,,FC Barcelona Lassa,67,,,
Sun Nov 15 2015,Valencia Basket,111,,Bilbao Basket,104,,,
