Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Nov 24 2012,Shanghai Sharks,78,,Beijing Ducks,94,,,
Sun Nov 25 2012,Tianjin Gold Lions,86,,Bayi Rockets,97,,,
Sun Nov 25 2012,Liaoning Flying Leopards,103,,Jilin Northeast Tigers,84,,,
Sun Nov 25 2012,Fujian Sturgeons,95,,Qingdao Eagles,92,,,
Sun Nov 25 2012,Foshan Dralions,85,,Shandong Gold Lions,97,,,
Sun Nov 25 2012,Dongguan Leopards,111,,Shanxi Brave Dragons,112,,OT,
Sun Nov 25 2012,Guangdong Southern Tigers,92,,Xinjiang Flying Tigers,103,,,
Mon Nov 26 2012,Zhejiang Golden Bulls,81,,Zhejiang Lions,95,,,
Tue Nov 27 2012,Zhejiang Golden Bulls,97,,Jiangsu Dragons,89,,,
Tue Nov 27 2012,Beijing Ducks,110,,Jilin Northeast Tigers,102,,,
Wed Nov 28 2012,Shandong Gold Lions,98,,Bayi Rockets,74,,,
Wed Nov 28 2012,Foshan Dralions,92,,Qingdao Eagles,80,,,
Wed Nov 28 2012,Guangdong Southern Tigers,114,,Shanxi Brave Dragons,107,,,
Wed Nov 28 2012,Zhejiang Lions,86,,Dongguan Leopards,91,,,
Wed Nov 28 2012,Shanghai Sharks,76,,Tianjin Gold Lions,95,,,
Wed Nov 28 2012,Fujian Sturgeons,87,,Xinjiang Flying Tigers,105,,,
Fri Nov 30 2012,Zhejiang Lions,110,,Guangdong Southern Tigers,113,,,
Fri Nov 30 2012,Xinjiang Flying Tigers,91,,Foshan Dralions,101,,,
Fri Nov 30 2012,Beijing Ducks,109,,Liaoning Flying Leopards,104,,,
Fri Nov 30 2012,Bayi Rockets,101,,Qingdao Eagles,99,,,
Fri Nov 30 2012,Shandong Gold Lions,89,,Shanghai Sharks,78,,,
Fri Nov 30 2012,Fujian Sturgeons,109,,Shanxi Brave Dragons,102,,,
Fri Nov 30 2012,Jiangsu Dragons,92,,Dongguan Leopards,98,,,
Fri Nov 30 2012,Jilin Northeast Tigers,83,,Tianjin Gold Lions,89,,,
Sun Dec 2 2012,Zhejiang Lions,88,,Fujian Sturgeons,93,,,
Sun Dec 2 2012,Jiangsu Dragons,87,,Guangdong Southern Tigers,113,,,
Sun Dec 2 2012,Shanxi Brave Dragons,120,,Foshan Dralions,112,,,
Sun Dec 2 2012,Tianjin Gold Lions,81,,Liaoning Flying Leopards,100,,,
Sun Dec 2 2012,Jilin Northeast Tigers,108,,Shandong Gold Lions,110,,,
Sun Dec 2 2012,Qingdao Eagles,77,,Shanghai Sharks,93,,,
Sun Dec 2 2012,Bayi Rockets,80,,Xinjiang Flying Tigers,89,,,
Sun Dec 2 2012,Dongguan Leopards,98,,Zhejiang Golden Bulls,103,,OT,
Tue Dec 4 2012,Jilin Northeast Tigers,95,,Qingdao Eagles,84,,,
Tue Dec 4 2012,Guangdong Southern Tigers,126,,Zhejiang Golden Bulls,124,,OT,
Wed Dec 5 2012,Tianjin Gold Lions,96,,Beijing Ducks,87,,,
Wed Dec 5 2012,Fujian Sturgeons,95,,Jiangsu Dragons,111,,,
Wed Dec 5 2012,Liaoning Flying Leopards,101,,Shandong Gold Lions,117,,,
Wed Dec 5 2012,Bayi Rockets,90,,Shanxi Brave Dragons,102,,,
Wed Dec 5 2012,Shanghai Sharks,99,,Xinjiang Flying Tigers,95,,,
Wed Dec 5 2012,Foshan Dralions,98,,Zhejiang Lions,111,,,
Fri Dec 7 2012,Zhejiang Lions,72,,Bayi Rockets,101,,,
Fri Dec 7 2012,Shandong Gold Lions,98,,Beijing Ducks,105,,,
Fri Dec 7 2012,Foshan Dralions,104,,Jiangsu Dragons,110,,,
Fri Dec 7 2012,Xinjiang Flying Tigers,74,,Jilin Northeast Tigers,77,,,
Fri Dec 7 2012,Liaoning Flying Leopards,114,,Qingdao Eagles,84,,,
Fri Dec 7 2012,Shanghai Sharks,106,,Shanxi Brave Dragons,123,,,
Fri Dec 7 2012,Guangdong Southern Tigers,107,,Dongguan Leopards,93,,,
Fri Dec 7 2012,Fujian Sturgeons,117,,Zhejiang Golden Bulls,110,,,
Sun Dec 9 2012,Jiangsu Dragons,101,,Bayi Rockets,107,,,
Sun Dec 9 2012,Qingdao Eagles,102,,Beijing Ducks,116,,,
Sun Dec 9 2012,Dongguan Leopards,105,,Fujian Sturgeons,93,,,
Sun Dec 9 2012,Zhejiang Golden Bulls,113,,Foshan Dralions,102,,,
Sun Dec 9 2012,Shanxi Brave Dragons,103,,Jilin Northeast Tigers,99,,,
Sun Dec 9 2012,Xinjiang Flying Tigers,99,,Liaoning Flying Leopards,121,,,
Sun Dec 9 2012,Shandong Gold Lions,87,,Tianjin Gold Lions,82,,,
Sun Dec 9 2012,Shanghai Sharks,89,,Zhejiang Lions,93,,,
Tue Dec 11 2012,Shanxi Brave Dragons,121,,Liaoning Flying Leopards,112,,,
Tue Dec 11 2012,Jiangsu Dragons,106,,Shanghai Sharks,92,,,
Wed Dec 12 2012,Zhejiang Golden Bulls,110,,Bayi Rockets,112,,OT,
Wed Dec 12 2012,Guangdong Southern Tigers,104,,Fujian Sturgeons,103,,,
Wed Dec 12 2012,Dongguan Leopards,97,,Foshan Dralions,86,,,
Wed Dec 12 2012,Qingdao Eagles,99,,Tianjin Gold Lions,104,,,
Wed Dec 12 2012,Beijing Ducks,112,,Xinjiang Flying Tigers,110,,,
Wed Dec 12 2012,Jilin Northeast Tigers,106,,Zhejiang Lions,111,,,
Fri Dec 14 2012,Foshan Dralions,102,,Guangdong Southern Tigers,94,,,
Fri Dec 14 2012,Jilin Northeast Tigers,120,,Jiangsu Dragons,130,,OT,
Fri Dec 14 2012,Shandong Gold Lions,102,,Qingdao Eagles,91,,,
