Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Oct 21 2018,Shanghai Sharks,87,,Bayi Rockets,83,,,
Sun Oct 21 2018,Guangdong Southern Tigers,87,,Beijing Ducks,84,,,
Sun Oct 21 2018,Zhejiang Guangsha Lions,119,,Fujian Sturgeons,105,,,
Sun Oct 21 2018,Qingdao Eagles,118,,Nanjing Monkey Kings,91,,,
Sun Oct 21 2018,Tianjin Gold Lions,89,,Jilin Northeast Tigers,108,,,
Sun Oct 21 2018,Shandong Golden Stars,92,,Liaoning Flying Leopards,113,,,
Sun Oct 21 2018,Sichuan Blue Whales,91,,Shanxi Loongs,97,,,
Sun Oct 21 2018,Guangzhou Long-Lions,107,,Shenzhen Leopards,123,,,
Sun Oct 21 2018,Jiangsu Dragons,93,,Xinjiang Flying Tigers,101,,,
Sun Oct 21 2018,Beikong Fly Dragons,107,,Zhejiang Golden Bulls,110,,,
Tue Oct 23 2018,Guangdong Southern Tigers,131,,Beikong Fly Dragons,109,,,
Tue Oct 23 2018,Qingdao Eagles,101,,Jiangsu Dragons,103,,,
Tue Oct 23 2018,Shandong Golden Stars,119,,Jilin Northeast Tigers,116,,,
Tue Oct 23 2018,Liaoning Flying Leopards,97,,Shanxi Loongs,93,,,
Tue Oct 23 2018,Beijing Ducks,111,,Shenzhen Leopards,100,,,
Tue Oct 23 2018,Guangzhou Long-Lions,114,,Tianjin Gold Lions,103,,,
Tue Oct 23 2018,Shanghai Sharks,92,,Zhejiang Guangsha Lions,108,,,
Wed Oct 24 2018,Bayi Rockets,81,,Fujian Sturgeons,120,,,
Wed Oct 24 2018,Zhejiang Golden Bulls,112,,Sichuan Blue Whales,119,,,
Wed Oct 24 2018,Nanjing Monkey Kings,95,,Xinjiang Flying Tigers,116,,,
Thu Oct 25 2018,Shenzhen Leopards,137,,Beikong Fly Dragons,136,,,
Thu Oct 25 2018,Guangzhou Long-Lions,105,,Qingdao Eagles,88,,,
Thu Oct 25 2018,Liaoning Flying Leopards,91,,Shanghai Sharks,104,,,
Thu Oct 25 2018,Jilin Northeast Tigers,89,,Shanxi Loongs,87,,,
Thu Oct 25 2018,Beijing Ducks,98,,Tianjin Gold Lions,77,,,
Fri Oct 26 2018,Sichuan Blue Whales,111,,Guangdong Southern Tigers,138,,,
Fri Oct 26 2018,Fujian Sturgeons,108,,Jiangsu Dragons,118,,,
Fri Oct 26 2018,Bayi Rockets,90,,Shandong Golden Stars,105,,,
Fri Oct 26 2018,Zhejiang Golden Bulls,97,,Xinjiang Flying Tigers,101,,,
Fri Oct 26 2018,Nanjing Monkey Kings,95,,Zhejiang Guangsha Lions,116,,,
Sat Oct 27 2018,Shenzhen Leopards,103,,Qingdao Eagles,92,,,
Sat Oct 27 2018,Jilin Northeast Tigers,102,,Shanghai Sharks,109,,,
Sat Oct 27 2018,Shanxi Loongs,92,,Tianjin Gold Lions,98,,,
Sun Oct 28 2018,Bayi Rockets,115,,Beikong Fly Dragons,110,,,
Sun Oct 28 2018,Xinjiang Flying Tigers,95,,Guangdong Southern Tigers,112,,,
Sun Oct 28 2018,Sichuan Blue Whales,95,,Guangzhou Long-Lions,110,,,
Sun Oct 28 2018,Fujian Sturgeons,113,,Nanjing Monkey Kings,97,,,
Sun Oct 28 2018,Beijing Ducks,98,,Liaoning Flying Leopards,104,,,
Sun Oct 28 2018,Zhejiang Golden Bulls,112,,Shandong Golden Stars,114,,,
Sun Oct 28 2018,Jiangsu Dragons,85,,Zhejiang Guangsha Lions,110,,,
Tue Oct 30 2018,Fujian Sturgeons,103,,Bayi Rockets,81,,,
Tue Oct 30 2018,Tianjin Gold Lions,109,,Nanjing Monkey Kings,121,,,
Tue Oct 30 2018,Beikong Fly Dragons,122,,Liaoning Flying Leopards,139,,,
Tue Oct 30 2018,Shanxi Loongs,120,,Qingdao Eagles,109,,,
Tue Oct 30 2018,Guangdong Southern Tigers,120,,Shandong Golden Stars,96,,,
Tue Oct 30 2018,Sichuan Blue Whales,121,,Shenzhen Leopards,115,,,
Tue Oct 30 2018,Jilin Northeast Tigers,103,,Zhejiang Golden Bulls,116,,,
Wed Oct 31 2018,Zhejiang Guangsha Lions,95,,Beijing Ducks,88,,,
Wed Oct 31 2018,Xinjiang Flying Tigers,101,,Guangzhou Long-Lions,106,,,
Wed Oct 31 2018,Jiangsu Dragons,103,,Shanghai Sharks,117,,,
Thu Nov 1 2018,Qingdao Eagles,106,,Bayi Rockets,110,,,
Thu Nov 1 2018,Shandong Golden Stars,92,,Fujian Sturgeons,108,,,
Thu Nov 1 2018,Beikong Fly Dragons,136,,Jilin Northeast Tigers,121,,,
Thu Nov 1 2018,Tianjin Gold Lions,99,,Sichuan Blue Whales,102,,,
Thu Nov 1 2018,Liaoning Flying Leopards,102,,Zhejiang Golden Bulls,119,,,
Fri Nov 2 2018,Shanghai Sharks,118,,Beijing Ducks,113,,,
Fri Nov 2 2018,Nanjing Monkey Kings,109,,Guangzhou Long-Lions,123,,,
Fri Nov 2 2018,Guangdong Southern Tigers,111,,Jiangsu Dragons,105,,,
Fri Nov 2 2018,Zhejiang Guangsha Lions,93,,Shanxi Loongs,89,,,
Fri Nov 2 2018,Xinjiang Flying Tigers,115,,Shenzhen Leopards,111,,,
Sat Nov 3 2018,Liaoning Flying Leopards,90,,Bayi Rockets,59,,,
Sat Nov 3 2018,Zhejiang Golden Bulls,122,,Fujian Sturgeons,114,,,
Sat Nov 3 2018,Shandong Golden Stars,103,,Sichuan Blue Whales,97,,,
Sat Nov 3 2018,Qingdao Eagles,93,,Tianjin Gold Lions,101,,,
Sun Nov 4 2018,Nanjing Monkey Kings,102,,Beijing Ducks,114,,,
Sun Nov 4 2018,Xinjiang Flying Tigers,127,,Guangdong Southern Tigers,129,,,
Sun Nov 4 2018,Guangzhou Long-Lions,102,,Jiangsu Dragons,112,,,
Sun Nov 4 2018,Shenzhen Leopards,122,,Jilin Northeast Tigers,112,,,
Sun Nov 4 2018,Shanghai Sharks,101,,Shanxi Loongs,88,,,
Sun Nov 4 2018,Beikong Fly Dragons,94,,Zhejiang Guangsha Lions,132,,,
Tue Nov 6 2018,Guangzhou Long-Lions,131,,Beikong Fly Dragons,132,,,
Tue Nov 6 2018,Fujian Sturgeons,129,,Guangdong Southern Tigers,142,,,
Tue Nov 6 2018,Shenzhen Leopards,125,,Nanjing Monkey Kings,100,,,
Tue Nov 6 2018,Sichuan Blue Whales,102,,Jilin Northeast Tigers,112,,,
Tue Nov 6 2018,Beijing Ducks,112,,Shanghai Sharks,93,,,
Tue Nov 6 2018,Zhejiang Golden Bulls,116,,Shanxi Loongs,117,,,
Tue Nov 6 2018,Jiangsu Dragons,109,,Tianjin Gold Lions,103,,,
Tue Nov 6 2018,Shandong Golden Stars,111,,Xinjiang Flying Tigers,118,,,
Wed Nov 7 2018,Qingdao Eagles,117,,Liaoning Flying Leopards,136,,,
Wed Nov 7 2018,Bayi Rockets,85,,Zhejiang Guangsha Lions,113,,,
Thu Nov 8 2018,Guangdong Southern Tigers,125,,Guangzhou Long-Lions,110,,,
Thu Nov 8 2018,Shanxi Loongs,97,,Nanjing Monkey Kings,98,,,
