Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Nov 1 2020,Shanghai Sharks,91,,Shenzhen Aviators,93,,,
Sun Nov 1 2020,Zhejiang Lions,97,,Sichuan Blue Whales,96,,,
Sun Nov 1 2020,Beijing Ducks,92,,Zhejiang Golden Bulls,94,,,
Mon Nov 2 2020,Shandong Heroes,106,,Jilin Northeast Tigers,93,,,
Mon Nov 2 2020,Fujian Sturgeons,80,,Sichuan Blue Whales,90,,,
Mon Nov 2 2020,Tianjin Pioneers,106,,Xinjiang Flying Tigers,117,,,
Tue Nov 3 2020,Guangdong Southern Tigers,111,,Beijing Ducks,107,,,
Tue Nov 3 2020,Guangzhou Loong Lions,104,,Jiangsu Dragons,86,,,
Tue Nov 3 2020,Shandong Heroes,114,,Nanjing Monkey Kings,96,,,
Tue Nov 3 2020,Zhejiang Lions,87,,Shenzhen Aviators,80,,,
Tue Nov 3 2020,Fujian Sturgeons,80,,Sichuan Blue Whales,90,,,
Tue Nov 3 2020,Beijing Royal Fighters,87,,Tianjin Pioneers,80,,,
Tue Nov 3 2020,Shanghai Sharks,84,,Zhejiang Golden Bulls,102,,,
Wed Nov 4 2020,Shandong Heroes,114,,Nanjing Monkey Kings,96,,,
Wed Nov 4 2020,Qingdao Eagles,84,,Jilin Northeast Tigers,105,,,
Wed Nov 4 2020,Beijing Ducks,80,,Sichuan Blue Whales,81,,,
Wed Nov 4 2020,Beijing Royal Fighters,87,,Tianjin Pioneers,80,,,
Wed Nov 4 2020,Liaoning Flying Leopards,121,,Xinjiang Flying Tigers,108,,,
Thu Nov 5 2020,Zhejiang Golden Bulls,99,,Fujian Sturgeons,83,,,
Thu Nov 5 2020,Shanxi Loongs,106,,Guangdong Southern Tigers,131,,,
Thu Nov 5 2020,Tianjin Pioneers,99,,Jilin Northeast Tigers,91,,,
Thu Nov 5 2020,Guangzhou Loong Lions,94,,Qingdao Eagles,97,,,
Thu Nov 5 2020,Beijing Ducks,80,,Sichuan Blue Whales,81,,,
Fri Nov 6 2020,Xinjiang Flying Tigers,78,,Beijing Royal Fighters,109,,,
Fri Nov 6 2020,Nanjing Monkey Kings,93,,Jiangsu Dragons,108,,,
Fri Nov 6 2020,Tianjin Pioneers,99,,Jilin Northeast Tigers,91,,,
Fri Nov 6 2020,Guangzhou Loong Lions,94,,Qingdao Eagles,97,,,
Fri Nov 6 2020,Liaoning Flying Leopards,127,,Shandong Heroes,128,,OT,
Fri Nov 6 2020,Zhejiang Lions,102,,Shanghai Sharks,98,,,
Sat Nov 7 2020,Shanxi Loongs,109,,Beijing Ducks,97,,,
Sat Nov 7 2020,Sichuan Blue Whales,90,,Guangdong Southern Tigers,121,,,
Sat Nov 7 2020,Xinjiang Flying Tigers,89,,Qingdao Eagles,112,,,
Sun Nov 8 2020,Jilin Northeast Tigers,118,,Nanjing Monkey Kings,103,,,
Sun Nov 8 2020,Xinjiang Flying Tigers,89,,Qingdao Eagles,112,,,
Sun Nov 8 2020,Beijing Royal Fighters,95,,Shandong Heroes,112,,,
Sun Nov 8 2020,Fujian Sturgeons,93,,Shanghai Sharks,117,,,
Sun Nov 8 2020,Jiangsu Dragons,108,,Tianjin Pioneers,105,,,
Mon Nov 9 2020,Qingdao Eagles,118,,Nanjing Monkey Kings,104,,,
Mon Nov 9 2020,Guangzhou Loong Lions,82,,Liaoning Flying Leopards,117,,,
Mon Nov 9 2020,Zhejiang Golden Bulls,106,,Shenzhen Aviators,104,,,
Mon Nov 9 2020,Jiangsu Dragons,108,,Tianjin Pioneers,105,,,
Tue Nov 10 2020,Xinjiang Flying Tigers,109,,Jiangsu Dragons,97,,,
Tue Nov 10 2020,Qingdao Eagles,118,,Nanjing Monkey Kings,104,,,
Tue Nov 10 2020,Sichuan Blue Whales,108,,Shanxi Loongs,103,,,
Tue Nov 10 2020,Shandong Heroes,120,,Tianjin Pioneers,102,,,
Tue Nov 10 2020,Beijing Ducks,101,,Zhejiang Lions,99,,,
Wed Nov 11 2020,Shenzhen Aviators,115,,Fujian Sturgeons,94,,,
Wed Nov 11 2020,Beijing Royal Fighters,80,,Guangzhou Loong Lions,92,,,
Wed Nov 11 2020,Xinjiang Flying Tigers,109,,Jiangsu Dragons,97,,,
Wed Nov 11 2020,Jilin Northeast Tigers,99,,Liaoning Flying Leopards,111,,,
Wed Nov 11 2020,Shandong Heroes,120,,Tianjin Pioneers,102,,,
Wed Nov 11 2020,Guangdong Southern Tigers,133,,Zhejiang Golden Bulls,125,,,
Thu Nov 12 2020,Zhejiang Lions,109,,Beijing Ducks,104,,OT,
Thu Nov 12 2020,Shanghai Sharks,118,,Shanxi Loongs,121,,,
Thu Nov 12 2020,Shenzhen Aviators,92,,Sichuan Blue Whales,100,,,
Fri Nov 13 2020,Jilin Northeast Tigers,101,,Guangzhou Loong Lions,94,,,
Fri Nov 13 2020,Xinjiang Flying Tigers,112,,Nanjing Monkey Kings,108,,,
Fri Nov 13 2020,Liaoning Flying Leopards,105,,Qingdao Eagles,99,,,
Fri Nov 13 2020,Shenzhen Aviators,92,,Sichuan Blue Whales,100,,,
Fri Nov 13 2020,Fujian Sturgeons,90,,Zhejiang Golden Bulls,143,,,
Sat Nov 14 2020,Beijing Royal Fighters,94,,Jiangsu Dragons,76,,,
Sat Nov 14 2020,Xinjiang Flying Tigers,112,,Nanjing Monkey Kings,108,,,
Sat Nov 14 2020,Tianjin Pioneers,100,,Shandong Heroes,131,,,
Sat Nov 14 2020,Fujian Sturgeons,90,,Zhejiang Golden Bulls,143,,,
Tue Dec 1 2020,Qingdao Eagles,92,,Beijing Royal Fighters,105,,,
Tue Dec 1 2020,Jilin Northeast Tigers,100,,Jiangsu Dragons,98,,OT,
Wed Dec 2 2020,Qingdao Eagles,92,,Beijing Royal Fighters,105,,,
Wed Dec 2 2020,Liaoning Flying Leopards,102,,Guangzhou Loong Lions,96,,,
Wed Dec 2 2020,Jilin Northeast Tigers,100,,Jiangsu Dragons,98,,,
Wed Dec 2 2020,Beijing Ducks,98,,Shenzhen Aviators,84,,,
Wed Dec 2 2020,Nanjing Monkey Kings,84,,Tianjin Pioneers,92,,,
Wed Dec 2 2020,Shandong Heroes,94,,Xinjiang Flying Tigers,111,,,
Wed Dec 2 2020,Fujian Sturgeons,118,,Zhejiang Lions,133,,,
Thu Dec 3 2020,Guangdong Southern Tigers,130,,Shanxi Loongs,91,,,
Thu Dec 3 2020,Beijing Ducks,98,,Shenzhen Aviators,84,,,
Thu Dec 3 2020,Shanghai Sharks,96,,Sichuan Blue Whales,102,,,
Thu Dec 3 2020,Qingdao Eagles,113,,Tianjin Pioneers,105,,,
Thu Dec 3 2020,Guangzhou Loong Lions,93,,Xinjiang Flying Tigers,90,,,
Thu Dec 3 2020,Fujian Sturgeons,118,,Zhejiang Lions,133,,,
Fri Dec 4 2020,Nanjing Monkey Kings,88,,Beijing Royal Fighters,120,,,
Fri Dec 4 2020,Liaoning Flying Leopards,112,,Jilin Northeast Tigers,91,,,
Fri Dec 4 2020,Shanxi Loongs,107,,Shenzhen Aviators,112,,,
Fri Dec 4 2020,Zhejiang Golden Bulls,130,,Sichuan Blue Whales,99,,,
Fri Dec 4 2020,Qingdao Eagles,113,,Tianjin Pioneers,105,,,
Fri Dec 4 2020,Guangzhou Loong Lions,93,,Xinjiang Flying Tigers,90,,,
Sat Dec 5 2020,Beijing Ducks,91,,Fujian Sturgeons,124,,,
Sat Dec 5 2020,Jiangsu Dragons,96,,Shandong Heroes,100,,OT,
Sat Dec 5 2020,Shanxi Loongs,107,,Shenzhen Aviators,112,,,
Sat Dec 5 2020,Zhejiang Golden Bulls,130,,Sichuan Blue Whales,99,,,
Sat Dec 5 2020,Guangdong Southern Tigers,131,,Zhejiang Lions,139,,,
Sun Dec 6 2020,Tianjin Pioneers,95,,Beijing Royal Fighters,111,,,
Sun Dec 6 2020,Guangzhou Loong Lions,100,,Nanjing Monkey Kings,79,,,
Sun Dec 6 2020,Jilin Northeast Tigers,105,,Shandong Heroes,111,,,
Sun Dec 6 2020,Qingdao Eagles,101,,Xinjiang Flying Tigers,113,,,
Sun Dec 6 2020,Sichuan Blue Whales,112,,Zhejiang Lions,110,,,
Mon Dec 7 2020,Guangdong Southern Tigers,153,,Fujian Sturgeons,145,,,
Mon Dec 7 2020,Jiangsu Dragons,80,,Liaoning Flying Leopards,123,,,
Mon Dec 7 2020,Jilin Northeast Tigers,105,,Shandong Heroes,111,,,
Mon Dec 7 2020,Sichuan Blue Whales,112,,Zhejiang Lions,110,,,
Tue Dec 8 2020,Shanghai Sharks,97,,Beijing Ducks,111,,,
Tue Dec 8 2020,Tianjin Pioneers,85,,Guangzhou Loong Lions,96,,,
Tue Dec 8 2020,Jiangsu Dragons,113,,Nanjing Monkey Kings,120,,OT,
Tue Dec 8 2020,Zhejiang Golden Bulls,102,,Shanxi Loongs,112,,,
Wed Dec 9 2020,Sichuan Blue Whales,113,,Beijing Ducks,111,,OT,
Wed Dec 9 2020,Tianjin Pioneers,85,,Guangzhou Loong Lions,96,,,
Wed Dec 9 2020,Jiangsu Dragons,113,,Nanjing Monkey Kings,120,,,
Wed Dec 9 2020,Beijing Royal Fighters,101,,Jilin Northeast Tigers,109,,,
Wed Dec 9 2020,Xinjiang Flying Tigers,118,,Liaoning Flying Leopards,111,,,
Wed Dec 9 2020,Qingdao Eagles,93,,Shandong Heroes,111,,,
Wed Dec 9 2020,Zhejiang Golden Bulls,124,,Shanghai Sharks,123,,,
Thu Dec 10 2020,Sichuan Blue Whales,113,,Beijing Ducks,111,,,
Thu Dec 10 2020,Shenzhen Aviators,104,,Guangdong Southern Tigers,132,,,
Thu Dec 10 2020,Shandong Heroes,111,,Guangzhou Loong Lions,94,,,
Thu Dec 10 2020,Beijing Royal Fighters,108,,Liaoning Flying Leopards,122,,,
Thu Dec 10 2020,Zhejiang Golden Bulls,124,,Shanghai Sharks,123,,,
Thu Dec 10 2020,Zhejiang Lions,111,,Shanxi Loongs,123,,,
Fri Dec 11 2020,Shandong Heroes,111,,Guangzhou Loong Lions,94,,,
Fri Dec 11 2020,Tianjin Pioneers,106,,Jiangsu Dragons,110,,,
Fri Dec 11 2020,Xinjiang Flying Tigers,97,,Jilin Northeast Tigers,90,,,
Fri Dec 11 2020,Beijing Royal Fighters,108,,Liaoning Flying Leopards,122,,,
Fri Dec 11 2020,Nanjing Monkey Kings,95,,Qingdao Eagles,116,,,
Fri Dec 11 2020,Guangdong Southern Tigers,136,,Shanghai Sharks,92,,,
Fri Dec 11 2020,Fujian Sturgeons,134,,Shenzhen Aviators,140,,,
Sat Dec 12 2020,Shandong Heroes,125,,Jiangsu Dragons,126,,OT,
Sat Dec 12 2020,Guangdong Southern Tigers,136,,Shanghai Sharks,92,,,
Sat Dec 12 2020,Beijing Ducks,95,,Shanxi Loongs,110,,,
Sat Dec 12 2020,Fujian Sturgeons,134,,Shenzhen Aviators,140,,,
Sat Dec 12 2020,Xinjiang Flying Tigers,121,,Tianjin Pioneers,112,,,
Sat Dec 12 2020,Zhejiang Lions,100,,Zhejiang Golden Bulls,125,,,
Sun Dec 13 2020,Guangzhou Loong Lions,114,,Beijing Royal Fighters,103,,,
Sun Dec 13 2020,Zhejiang Lions,125,,Fujian Sturgeons,100,,,
Sun Dec 13 2020,Shandong Heroes,125,,Jiangsu Dragons,126,,,
Sun Dec 13 2020,Liaoning Flying Leopards,111,,Nanjing Monkey Kings,105,,,
Sun Dec 13 2020,Jilin Northeast Tigers,88,,Qingdao Eagles,115,,,
Sun Dec 13 2020,Xinjiang Flying Tigers,121,,Tianjin Pioneers,112,,,
Mon Dec 14 2020,Zhejiang Lions,125,,Fujian Sturgeons,100,,,
Mon Dec 14 2020,Beijing Ducks,101,,Guangdong Southern Tigers,118,,,
Mon Dec 14 2020,Liaoning Flying Leopards,111,,Nanjing Monkey Kings,105,,,
Mon Dec 14 2020,Shenzhen Aviators,108,,Shanghai Sharks,117,,,
