Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Oct 31 2015,Xinjiang Flying Tigers,103,,Beijing Ducks,97,,,
Sun Nov 1 2015,Zhejiang Guangsha Lions,113,,Bayi Rockets,71,,,
Sun Nov 1 2015,Jilin Northeast Tigers,105,,Beikong Fly Dragons,88,,,
Sun Nov 1 2015,Shandong Golden Stars,98,,Guangdong Southern Tigers,95,,,
Sun Nov 1 2015,Fujian Sturgeons,104,,Jiangsu Dragons,103,,,
Sun Nov 1 2015,Qingdao Eagles,97,,Liaoning Flying Leopards,109,,,
Sun Nov 1 2015,Zhejiang Golden Bulls,88,,Shanghai Sharks,95,,,
Sun Nov 1 2015,Foshan Long-Lions,111,,Shenzhen Leopards,116,,,
Sun Nov 1 2015,Jiangsu Tongxi Monkey Kings,99,,Sichuan Blue Whales,131,,,
Sun Nov 1 2015,Shanxi Brave Dragons,106,,Tianjin Gold Lions,114,,,
Wed Nov 4 2015,Liaoning Flying Leopards,118,,Jiangsu Dragons,87,,,
Wed Nov 4 2015,Shenzhen Leopards,105,,Qingdao Eagles,101,,,
Wed Nov 4 2015,Bayi Rockets,64,,Shanghai Sharks,82,,,
Wed Nov 4 2015,Zhejiang Golden Bulls,104,,Sichuan Blue Whales,121,,,
Wed Nov 4 2015,Beikong Fly Dragons,94,,Tianjin Gold Lions,83,,,
Fri Nov 6 2015,Zhejiang Guangsha Lions,119,,Fujian Sturgeons,110,,,
Fri Nov 6 2015,Foshan Long-Lions,100,,Guangdong Southern Tigers,127,,,
Fri Nov 6 2015,Beijing Ducks,101,,Jilin Northeast Tigers,84,,,
Fri Nov 6 2015,Shandong Golden Stars,117,,Shanxi Brave Dragons,93,,,
Fri Nov 6 2015,Jiangsu Tongxi Monkey Kings,96,,Xinjiang Flying Tigers,120,,,
Sun Nov 8 2015,Xinjiang Flying Tigers,118,,Bayi Rockets,77,,,
Sun Nov 8 2015,Shenzhen Leopards,94,,Beijing Ducks,102,,,
Sun Nov 8 2015,Zhejiang Golden Bulls,116,,Fujian Sturgeons,106,,,
Sun Nov 8 2015,Shanghai Sharks,103,,Guangdong Southern Tigers,107,,,
Sun Nov 8 2015,Jilin Northeast Tigers,115,,Foshan Long-Lions,109,,,
Sun Nov 8 2015,Liaoning Flying Leopards,116,,Jiangsu Tongxi Monkey Kings,98,,,
Sun Nov 8 2015,Jiangsu Dragons,124,,Qingdao Eagles,125,,,
Sun Nov 8 2015,Sichuan Blue Whales,116,,Shandong Golden Stars,114,,,
Sun Nov 8 2015,Beikong Fly Dragons,107,,Shanxi Brave Dragons,97,,,
Sun Nov 8 2015,Tianjin Gold Lions,97,,Zhejiang Guangsha Lions,117,,,
Tue Nov 10 2015,Fujian Sturgeons,116,,Shenzhen Leopards,96,,,
Wed Nov 11 2015,Foshan Long-Lions,103,,Bayi Rockets,107,,,
Wed Nov 11 2015,Shandong Golden Stars,108,,Beikong Fly Dragons,102,,,
Wed Nov 11 2015,Jilin Northeast Tigers,86,,Guangdong Southern Tigers,107,,,
Wed Nov 11 2015,Tianjin Gold Lions,101,,Jiangsu Tongxi Monkey Kings,111,,,
Wed Nov 11 2015,Liaoning Flying Leopards,104,,Shanghai Sharks,99,,,
Wed Nov 11 2015,Jiangsu Dragons,87,,Shanxi Brave Dragons,105,,,
Wed Nov 11 2015,Qingdao Eagles,118,,Sichuan Blue Whales,134,,,
Wed Nov 11 2015,Beijing Ducks,107,,Zhejiang Golden Bulls,110,,,
Wed Nov 11 2015,Xinjiang Flying Tigers,118,,Zhejiang Guangsha Lions,116,,,
Fri Nov 13 2015,Shandong Golden Stars,103,,Beijing Ducks,112,,,
Fri Nov 13 2015,Qingdao Eagles,109,,Guangdong Southern Tigers,118,,,
Fri Nov 13 2015,Zhejiang Guangsha Lions,115,,Jiangsu Dragons,103,,,
Fri Nov 13 2015,Beikong Fly Dragons,93,,Jiangsu Tongxi Monkey Kings,99,,,
Fri Nov 13 2015,Fujian Sturgeons,102,,Liaoning Flying Leopards,100,,,
Fri Nov 13 2015,Foshan Long-Lions,78,,Shanghai Sharks,97,,,
Fri Nov 13 2015,Jilin Northeast Tigers,97,,Shenzhen Leopards,102,,,
Fri Nov 13 2015,Shanxi Brave Dragons,98,,Sichuan Blue Whales,117,,,
Fri Nov 13 2015,Bayi Rockets,102,,Tianjin Gold Lions,93,,,
Fri Nov 13 2015,Xinjiang Flying Tigers,109,,Zhejiang Golden Bulls,100,,,
Sun Nov 15 2015,Fujian Sturgeons,91,,Beikong Fly Dragons,103,,,
Sun Nov 15 2015,Liaoning Flying Leopards,119,,Jilin Northeast Tigers,100,,,
Sun Nov 15 2015,Tianjin Gold Lions,101,,Qingdao Eagles,117,,,
Sun Nov 15 2015,Bayi Rockets,81,,Shandong Golden Stars,105,,,
Sun Nov 15 2015,Beijing Ducks,93,,Shanghai Sharks,98,,OT,
Sun Nov 15 2015,Guangdong Southern Tigers,88,,Shenzhen Leopards,92,,,
Sun Nov 15 2015,Foshan Long-Lions,113,,Sichuan Blue Whales,124,,,
Sun Nov 15 2015,Jiangsu Dragons,101,,Xinjiang Flying Tigers,103,,,
Sun Nov 15 2015,Jiangsu Tongxi Monkey Kings,108,,Zhejiang Golden Bulls,113,,,
Sun Nov 15 2015,Shanxi Brave Dragons,91,,Zhejiang Guangsha Lions,105,,,
Wed Nov 18 2015,Bayi Rockets,91,,Beikong Fly Dragons,84,,,
Wed Nov 18 2015,Zhejiang Guangsha Lions,91,,Guangdong Southern Tigers,102,,,
