Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
8,Sat,2019-11-02,14:30 (08:30),Dijon,2–1,Metz,743,Stade des Poussots 1,Savina Elbour,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
8,Sat,2019-11-02,14:30 (08:30),Bordeaux,4–1,Soyaux,693,Stade Sainte-Germaine,Victoria Beyer,Match Report,
8,Sat,2019-11-02,14:30 (08:30),Stade de Reims,0–1,Paris FC,176,Stade Louis Blériot N°1,Maika Vanderstichel ,Match Report,
8,Sat,2019-11-02,14:30 (08:30),Fleury,4–1,Ol. Marseille,399,Stade Auguste Gentelet,Emeline Rochebiliere,Match Report,
8,Sat,2019-11-02,15:30 (09:30),Montpellier,0–3,Lyon,986,Stade Bernard Gasset Terrain n°7,Elodie Coppola,Match Report,
8,Sun,2019-11-03,14:45 (07:45),Paris S-G,1–1,Guingamp,885,Stade Jean-Bouin,Solenne Bartnik,Match Report,
,,,,,,,,,,,
9,Sat,2019-11-16,14:30 (07:30),Metz,0–4,Bordeaux,153,Stade Dezavelle,Anaelle Rehel,Match Report,
9,Sat,2019-11-16,14:30 (07:30),Fleury,1–1,Dijon,174,Stade Auguste Gentelet,Justine Catania,Match Report,
9,Sat,2019-11-16,14:30 (07:30),Ol. Marseille,0–3,Montpellier,126,Stade Paul Le Cesne,Solenne Bartnik,Match Report,
9,Sat,2019-11-16,14:30 (07:30),Soyaux,0–1,Stade de Reims,363,Stade Lebon 1,Elodie Coppola,Match Report,
9,Sat,2019-11-16,17:30 (10:30),Lyon,1–0,Paris S-G,"30,661",Groupama OL Academy Décines-Charpieu ,Victoria Beyer,Match Report,
9,Sun,2019-11-17,14:45 (07:45),Guingamp,2–0,Paris FC,427,Stade Centre Formation EAG 1,Maika Vanderstichel ,Match Report,
,,,,,,,,,,,
10,Sat,2019-11-23,14:30 (07:30),Metz,0–2,Fleury,152,Stade Dezavelle,Charlène Laur,Match Report,
10,Sat,2019-11-23,14:30 (07:30),Dijon,1–0,Ol. Marseille,718,Stade des Poussots 1,Stéphanie Di Benedetto,Match Report,
10,Sat,2019-11-23,14:30 (07:30),Paris FC,0–3,Bordeaux,349,Stade Robert Bobin,Jennifer Maubacq,Match Report,
10,Sat,2019-11-23,15:30 (08:30),Stade de Reims,1–3,Paris S-G,"2,009",Stade Auguste-Delaune II,Solenne Bartnik,Match Report,
10,Sun,2019-11-24,14:45 (07:45),Soyaux,0–4,Lyon,"1,149",Stade Lebon 1,Savina Elbour,Match Report,
10,Wed,2019-11-27,15:00 (08:00),Montpellier,1–1,Guingamp,250,Stade Bernard Gasset Terrain n°7,Azzedine Souifi,Match Report,
,,,,,,,,,,,
11,Sat,2019-12-07,14:30 (07:30),Ol. Marseille,1–3,Soyaux,193,Stade Paul Le Cesne,Jennifer Maubacq,Match Report,
11,Sat,2019-12-07,14:30 (07:30),Guingamp,1–1,Dijon,349,Stade Centre Formation EAG 1,Solenne Bartnik,Match Report,
11,Sat,2019-12-07,14:30 (07:30),Fleury,2–3,Paris FC,222,Stade Auguste Gentelet,Charlène Laur,Match Report,
11,Sat,2019-12-07,14:30 (07:30),Bordeaux,2–0,Stade de Reims,561,Stade Sainte-Germaine,Camille Soriano,Match Report,
11,Sat,2019-12-07,15:30 (08:30),Paris S-G,1–1,Montpellier,"3,280",Stade Jean-Bouin,Maika Vanderstichel ,Match Report,
