Date,Team,PTS,,Opp,PTS,,OT,Notes
Wed Sep 23 2020,Metropolitans 92,72,,AS Monaco,62,,,
Wed Sep 23 2020,JL Bourg,95,,Nanterre 92,82,,,
Fri Sep 25 2020,LDLC ASVEL,74,,JDA Dijon,81,,,
Sat Sep 26 2020,AS Monaco,,,Boulazac Dordogne,,,,Postponed
Sat Sep 26 2020,ÉB Pau-Lacq-Orthez,78,,Élan Chalon,76,,,
Sat Sep 26 2020,SIG Strasbourg,79,,Le Mans Sarthe,97,,,
Sat Sep 26 2020,Champagne Châlons Reims,,,ESSM Le Portel,,,,Postponed
Sat Sep 26 2020,Nanterre 92,85,,Limoges CSP,76,,,
Sat Sep 26 2020,Cholet,63,,Orléans Loiret,101,,,
Sat Sep 26 2020,BCM Gravelines-Dunkerque,57,,Metropolitans 92,89,,,
Sun Sep 27 2020,Roanne,63,,JL Bourg,80,,,
Mon Sep 28 2020,Le Mans Sarthe,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Tue Sep 29 2020,LDLC ASVEL,85,,,73,,,
Tue Sep 29 2020,LDLC ASVEL,85,,Champagne Châlons Reims,73,,,
Tue Sep 29 2020,Élan Chalon,73,,Cholet,91,,,
Tue Sep 29 2020,Limoges CSP,77,,BCM Gravelines-Dunkerque,65,,,
Tue Sep 29 2020,JDA Dijon,,,Roanne,,,,Postponed
Tue Sep 29 2020,Boulazac Dordogne,,,SIG Strasbourg,,,,Postponed
Fri Oct 2 2020,Cholet,68,,Metropolitans 92,72,,,
Sat Oct 3 2020,Nanterre 92,,,Boulazac Dordogne,,,,Postponed
Sat Oct 3 2020,SIG Strasbourg,76,,Élan Chalon,54,,,
Sat Oct 3 2020,BCM Gravelines-Dunkerque,64,,Le Mans Sarthe,69,,,
Sat Oct 3 2020,ESSM Le Portel,68,,Limoges CSP,91,,,
Sat Oct 3 2020,Roanne,61,,AS Monaco,86,,,
Sat Oct 3 2020,ÉB Pau-Lacq-Orthez,,,Orléans Loiret,,,,Postponed
Sun Oct 4 2020,JL Bourg,104,,LDLC ASVEL,102,,OT,
Wed Oct 7 2020,Orléans Loiret,91,,SIG Strasbourg,97,,,
Fri Oct 9 2020,Roanne,43,,BCM Gravelines-Dunkerque,77,,,
Fri Oct 9 2020,JDA Dijon,73,,ESSM Le Portel,65,,,
Fri Oct 9 2020,Boulazac Dordogne,,,Metropolitans 92,,,,Postponed
Sat Oct 10 2020,Le Mans Sarthe,,,JL Bourg,,,,Postponed
Sat Oct 10 2020,Orléans Loiret,80,,Élan Chalon,83,,,
Sat Oct 10 2020,Nanterre 92,83,,,74,,,
Sat Oct 10 2020,Nanterre 92,83,,Champagne Châlons Reims,74,,,
Sun Oct 11 2020,LDLC ASVEL,82,,Cholet,73,,,
Mon Oct 12 2020,AS Monaco,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Mon Oct 12 2020,Limoges CSP,74,,SIG Strasbourg,66,,,
Fri Oct 16 2020,Cholet,88,,Roanne,96,,,
Sat Oct 17 2020,ESSM Le Portel,71,,Boulazac Dordogne,70,,,
Sat Oct 17 2020,ÉB Pau-Lacq-Orthez,71,,JDA Dijon,87,,,
Sat Oct 17 2020,Metropolitans 92,,,Le Mans Sarthe,,,,Postponed
Sat Oct 17 2020,JL Bourg,,,Limoges CSP,,,,Postponed
Sat Oct 17 2020,Élan Chalon,60,,AS Monaco,90,,,
Sat Oct 17 2020,SIG Strasbourg,80,,Nanterre 92,89,,,
Sat Oct 17 2020,Champagne Châlons Reims,79,,Orléans Loiret,99,,,
Mon Oct 19 2020,AS Monaco,,,Boulazac Dordogne,,,,Postponed
Mon Oct 19 2020,Boulazac Dordogne,84,,SIG Strasbourg,100,,,
Mon Oct 19 2020,BCM Gravelines-Dunkerque,,,LDLC ASVEL,,,,Postponed
Wed Oct 21 2020,Champagne Châlons Reims,76,,ESSM Le Portel,78,,,
Sat Oct 24 2020,Orléans Loiret,,,JL Bourg,,,,Postponed
Sat Oct 24 2020,Roanne,,,Élan Chalon,,,,Postponed
Sat Oct 24 2020,AS Monaco,,,Cholet,,,,Postponed
Sat Oct 24 2020,JDA Dijon,81,,BCM Gravelines-Dunkerque,67,,,
Sat Oct 24 2020,Champagne Châlons Reims,87,,Le Mans Sarthe,84,,,
Sat Oct 24 2020,Boulazac Dordogne,60,,ÉB Pau-Lacq-Orthez,89,,,
Sat Oct 24 2020,ESSM Le Portel,94,,SIG Strasbourg,83,,,
Sun Oct 25 2020,Nanterre 92,,,LDLC ASVEL,,,,Postponed
Mon Oct 26 2020,Limoges CSP,76,,Metropolitans 92,82,,,
Tue Oct 27 2020,Champagne Châlons Reims,72,,JDA Dijon,87,,,
Wed Oct 28 2020,Orléans Loiret,,,ESSM Le Portel,,,,Postponed
Wed Oct 28 2020,Le Mans Sarthe,81,,ÉB Pau-Lacq-Orthez,90,,OT,
Fri Oct 30 2020,Le Mans Sarthe,,,Boulazac Dordogne,,,,Postponed
Sat Oct 31 2020,Élan Chalon,,,Champagne Châlons Reims,,,,Postponed
Sat Oct 31 2020,JL Bourg,,,JDA Dijon,,,,Postponed
Sat Oct 31 2020,LDLC ASVEL,,,ESSM Le Portel,,,,Postponed
Sat Oct 31 2020,ÉB Pau-Lacq-Orthez,,,Limoges CSP,,,,Postponed
Sat Oct 31 2020,SIG Strasbourg,,,AS Monaco,,,,Postponed
Sat Oct 31 2020,Cholet,,,Nanterre 92,,,,Postponed
Sat Oct 31 2020,BCM Gravelines-Dunkerque,,,Orléans Loiret,,,,Postponed
Sat Oct 31 2020,Metropolitans 92,,,Roanne,,,,Postponed
Mon Nov 2 2020,Boulazac Dordogne,,,JL Bourg,,,,Postponed
Mon Nov 2 2020,ESSM Le Portel,,,Élan Chalon,,,,Postponed
Mon Nov 2 2020,Limoges CSP,,,Le Mans Sarthe,,,,Postponed
Mon Nov 2 2020,Nanterre 92,,,Metropolitans 92,,,,Postponed
Mon Nov 2 2020,AS Monaco,,,LDLC ASVEL,,,,Postponed
Tue Nov 3 2020,Champagne Châlons Reims,,,BCM Gravelines-Dunkerque,,,,Postponed
Tue Nov 3 2020,Roanne,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Sat Nov 7 2020,ÉB Pau-Lacq-Orthez,77,,Metropolitans 92,84,,,
Sun Nov 8 2020,Orléans Loiret,83,,LDLC ASVEL,93,,,
Mon Nov 9 2020,Nanterre 92,,,Boulazac Dordogne,,,,Postponed
Fri Nov 13 2020,ESSM Le Portel,,,BCM Gravelines-Dunkerque,,,,Postponed
Fri Nov 13 2020,Boulazac Dordogne,,,Roanne,,,,Postponed
Sat Nov 14 2020,Nanterre 92,,,Élan Chalon,,,,Postponed
Sat Nov 14 2020,AS Monaco,,,JDA Dijon,,,,Postponed
Sat Nov 14 2020,JDA Dijon,62,,AS Monaco,70,,,
Sat Nov 14 2020,JL Bourg,79,,Metropolitans 92,76,,,
Sat Nov 14 2020,Champagne Châlons Reims,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Sat Nov 14 2020,Cholet,,,SIG Strasbourg,,,,Postponed
Sun Nov 15 2020,Orléans Loiret,,,Limoges CSP,,,,Postponed
Sun Nov 15 2020,Le Mans Sarthe,,,LDLC ASVEL,,,,Postponed
Fri Nov 20 2020,Roanne,,,Champagne Châlons Reims,,,,Postponed
Fri Nov 20 2020,Metropolitans 92,,,ESSM Le Portel,,,,Postponed
Sat Nov 21 2020,Cholet,,,Boulazac Dordogne,,,,Postponed
Sat Nov 21 2020,Élan Chalon,,,JL Bourg,,,,Postponed
Sat Nov 21 2020,JDA Dijon,,,Le Mans Sarthe,,,,Postponed
Sat Nov 21 2020,Limoges CSP,59,,AS Monaco,86,,,
Sat Nov 21 2020,BCM Gravelines-Dunkerque,,,Nanterre 92,,,,Postponed
Sat Nov 21 2020,AS Monaco,,,Orléans Loiret,,,,Postponed
Sat Nov 21 2020,ÉB Pau-Lacq-Orthez,,,SIG Strasbourg,,,,Postponed
Sun Nov 22 2020,Nanterre 92,67,,Metropolitans 92,73,,,
Sun Nov 22 2020,Limoges CSP,,,LDLC ASVEL,,,,Postponed
Fri Dec 4 2020,Orléans Loiret,,,JDA Dijon,,,,Postponed
Fri Dec 4 2020,Boulazac Dordogne,,,BCM Gravelines-Dunkerque,,,,Postponed
Fri Dec 4 2020,SIG Strasbourg,,,Metropolitans 92,,,,Postponed
Fri Dec 4 2020,ESSM Le Portel,,,Roanne,,,,Postponed
Sun Dec 6 2020,AS Monaco,,,Élan Chalon,,,,Postponed
Sun Dec 6 2020,AS Monaco,90,,ÉB Pau-Lacq-Orthez,86,,,
Tue Dec 8 2020,JDA Dijon,,,Cholet,,,,Postponed
Sat Dec 12 2020,Élan Chalon,87,,,78,,,
Sat Dec 12 2020,Élan Chalon,87,,Champagne Châlons Reims,78,,,
Sat Dec 12 2020,JDA Dijon,73,,Cholet,83,,,
Sat Dec 12 2020,ÉB Pau-Lacq-Orthez,75,,Orléans Loiret,85,,,
Mon Dec 14 2020,ESSM Le Portel,66,,LDLC ASVEL,101,,,
Tue Dec 15 2020,Roanne,85,,Élan Chalon,80,,,
Fri Dec 18 2020,JDA Dijon,,,Metropolitans 92,,,,Postponed
Sat Dec 19 2020,Orléans Loiret,,,Boulazac Dordogne,,,,Postponed
Sat Dec 19 2020,ESSM Le Portel,,,JL Bourg,,,,Postponed
Sat Dec 19 2020,Le Mans Sarthe,,,Élan Chalon,,,,Postponed
Sat Dec 19 2020,Champagne Châlons Reims,,,Cholet,,,,Postponed
Sat Dec 19 2020,Champagne Châlons Reims,80,,BCM Gravelines-Dunkerque,84,,,
Sat Dec 19 2020,Orléans Loiret,84,,ESSM Le Portel,85,,,
Sat Dec 19 2020,JL Bourg,72,,Limoges CSP,74,,,
Sat Dec 19 2020,Cholet,80,,Nanterre 92,76,,,
Sat Dec 19 2020,Boulazac Dordogne,79,,Metropolitans 92,98,,,
Sat Dec 19 2020,ÉB Pau-Lacq-Orthez,71,,SIG Strasbourg,94,,,
Sat Dec 19 2020,BCM Gravelines-Dunkerque,,,SIG Strasbourg,,,,Postponed
Sun Dec 20 2020,LDLC ASVEL,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Sun Dec 20 2020,JDA Dijon,91,,Roanne,81,,,
Tue Dec 22 2020,AS Monaco,,,JL Bourg,,,,Postponed
Tue Dec 22 2020,Le Mans Sarthe,78,,JL Bourg,98,,,
Tue Dec 22 2020,Boulazac Dordogne,,,Champagne Châlons Reims,,,,Postponed
Tue Dec 22 2020,SIG Strasbourg,,,JDA Dijon,,,,Postponed
Tue Dec 22 2020,Élan Chalon,,,BCM Gravelines-Dunkerque,,,,Postponed
Tue Dec 22 2020,Roanne,,,Le Mans Sarthe,,,,Postponed
Tue Dec 22 2020,ÉB Pau-Lacq-Orthez,,,ESSM Le Portel,,,,Postponed
Tue Dec 22 2020,Cholet,,,Limoges CSP,,,,Postponed
Tue Dec 22 2020,Orléans Loiret,,,Nanterre 92,,,,Postponed
Tue Dec 22 2020,Metropolitans 92,,,LDLC ASVEL,,,,Postponed
Sat Dec 26 2020,AS Monaco,77,,Boulazac Dordogne,71,,,
Sat Dec 26 2020,JL Bourg,71,,JDA Dijon,80,,,
Sat Dec 26 2020,Metropolitans 92,88,,Le Mans Sarthe,95,,,
Sat Dec 26 2020,BCM Gravelines-Dunkerque,68,,LDLC ASVEL,96,,,
Fri Jan 8 2021,AS Monaco,,,Champagne Châlons Reims,,,,Postponed
Fri Jan 8 2021,Élan Chalon,,,JDA Dijon,,,,Postponed
Fri Jan 8 2021,Cholet,,,BCM Gravelines-Dunkerque,,,,Postponed
Fri Jan 8 2021,Nanterre 92,,,ESSM Le Portel,,,,Postponed
Sat Jan 9 2021,SIG Strasbourg,,,JL Bourg,,,,Postponed
Sat Jan 9 2021,Orléans Loiret,,,Le Mans Sarthe,,,,Postponed
Sat Jan 9 2021,Boulazac Dordogne,,,Limoges CSP,,,,Postponed
Sun Jan 10 2021,Roanne,,,LDLC ASVEL,,,,Postponed
Fri Jan 15 2021,Limoges CSP,68,,Le Mans Sarthe,91,,,
Fri Jan 15 2021,AS Monaco,,,Roanne,,,,Postponed
Sat Jan 16 2021,BCM Gravelines-Dunkerque,,,Boulazac Dordogne,,,,Postponed
Sat Jan 16 2021,JDA Dijon,86,,Boulazac Dordogne,76,,,
Sat Jan 16 2021,JDA Dijon,,,JL Bourg,,,,Postponed
Sat Jan 16 2021,Champagne Châlons Reims,,,Élan Chalon,,,,Postponed
Sat Jan 16 2021,Cholet,96,,BCM Gravelines-Dunkerque,100,,OT,
Sat Jan 16 2021,Nanterre 92,75,,ESSM Le Portel,78,,,
Sat Jan 16 2021,Metropolitans 92,,,Nanterre 92,,,,Postponed
Sat Jan 16 2021,ESSM Le Portel,,,Orléans Loiret,,,,Postponed
Sat Jan 16 2021,Limoges CSP,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Sat Jan 16 2021,JL Bourg,83,,ÉB Pau-Lacq-Orthez,76,,,
Sat Jan 16 2021,SIG Strasbourg,82,,Roanne,78,,,
Sat Jan 16 2021,Le Mans Sarthe,,,SIG Strasbourg,,,,Postponed
Sun Jan 17 2021,LDLC ASVEL,75,,Élan Chalon,85,,,
Sun Jan 17 2021,Cholet,,,LDLC ASVEL,,,,Postponed
Fri Jan 22 2021,Orléans Loiret,,,Champagne Châlons Reims,,,,Postponed
Fri Jan 22 2021,Roanne,,,JDA Dijon,,,,Postponed
Fri Jan 22 2021,SIG Strasbourg,,,ESSM Le Portel,,,,Postponed
Fri Jan 22 2021,LDLC ASVEL,,,Metropolitans 92,,,,Postponed
Sat Jan 23 2021,Metropolitans 92,87,,,73,,,
Sat Jan 23 2021,Metropolitans 92,87,,Champagne Châlons Reims,73,,,
Sat Jan 23 2021,Nanterre 92,,,Cholet,,,,Postponed
Sat Jan 23 2021,Boulazac Dordogne,,,Le Mans Sarthe,,,,Postponed
Sat Jan 23 2021,BCM Gravelines-Dunkerque,,,Limoges CSP,,,,Postponed
Sat Jan 23 2021,JL Bourg,,,AS Monaco,,,,Postponed
Sat Jan 23 2021,Élan Chalon,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Fri Jan 29 2021,Le Mans Sarthe,85,,Élan Chalon,69,,,
Fri Jan 29 2021,Le Mans Sarthe,,,JDA Dijon,,,,Postponed
Fri Jan 29 2021,AS Monaco,,,BCM Gravelines-Dunkerque,,,,Postponed
Fri Jan 29 2021,Boulazac Dordogne,84,,BCM Gravelines-Dunkerque,100,,,
Fri Jan 29 2021,Élan Chalon,,,Roanne,,,,Postponed
Sat Jan 30 2021,ÉB Pau-Lacq-Orthez,,,Boulazac Dordogne,,,,Postponed
Sat Jan 30 2021,Champagne Châlons Reims,,,JL Bourg,,,,Postponed
Sat Jan 30 2021,Orléans Loiret,82,,JL Bourg,88,,,
Sat Jan 30 2021,ESSM Le Portel,,,Cholet,,,,Postponed
Sat Jan 30 2021,ESSM Le Portel,60,,AS Monaco,82,,,
Sat Jan 30 2021,LDLC ASVEL,,,Nanterre 92,,,,Postponed
Sat Jan 30 2021,Limoges CSP,,,Orléans Loiret,,,,Postponed
Sat Jan 30 2021,Champagne Châlons Reims,97,,ÉB Pau-Lacq-Orthez,86,,,
Sat Jan 30 2021,Metropolitans 92,67,,Roanne,80,,,
Sat Jan 30 2021,Metropolitans 92,,,SIG Strasbourg,,,,Postponed
Mon Feb 1 2021,Cholet,72,,SIG Strasbourg,75,,,
Fri Feb 5 2021,SIG Strasbourg,,,Champagne Châlons Reims,,,,Postponed
Fri Feb 5 2021,Élan Chalon,75,,JDA Dijon,85,,,
Fri Feb 5 2021,Roanne,84,,Le Mans Sarthe,97,,,
Fri Feb 5 2021,Limoges CSP,,,ESSM Le Portel,,,,Postponed
Fri Feb 5 2021,Roanne,,,Metropolitans 92,,,,Postponed
Sat Feb 6 2021,Nanterre 92,96,,Boulazac Dordogne,74,,,
Sat Feb 6 2021,BCM Gravelines-Dunkerque,,,JL Bourg,,,,Postponed
Sat Feb 6 2021,JDA Dijon,,,Élan Chalon,,,,Postponed
Sat Feb 6 2021,JL Bourg,103,,,108,,,
Sat Feb 6 2021,JL Bourg,103,,Champagne Châlons Reims,108,,OT,
Sat Feb 6 2021,AS Monaco,,,Cholet,,,,Postponed
Sat Feb 6 2021,Nanterre 92,,,Le Mans Sarthe,,,,Postponed
Sat Feb 6 2021,ÉB Pau-Lacq-Orthez,87,,Limoges CSP,96,,,
Sat Feb 6 2021,Boulazac Dordogne,,,AS Monaco,,,,Postponed
Sat Feb 6 2021,BCM Gravelines-Dunkerque,69,,Orléans Loiret,104,,,
Sat Feb 6 2021,SIG Strasbourg,71,,Metropolitans 92,63,,,
Sat Feb 6 2021,Cholet,,,ÉB Pau-Lacq-Orthez,,,,Postponed
Sun Feb 7 2021,LDLC ASVEL,,,ESSM Le Portel,,,,Postponed
Fri Feb 12 2021,Metropolitans 92,86,,ESSM Le Portel,73,,,
Fri Feb 12 2021,AS Monaco,86,,Orléans Loiret,85,,,
Fri Feb 12 2021,Limoges CSP,75,,LDLC ASVEL,84,,,
Sat Feb 13 2021,JDA Dijon,86,,Nanterre 92,77,,,
Fri Feb 26 2021,ÉB Pau-Lacq-Orthez,,,BCM Gravelines-Dunkerque,,,,Postponed
Sat Feb 27 2021,Champagne Châlons Reims,,,Boulazac Dordogne,,,,Postponed
Sat Feb 27 2021,Metropolitans 92,,,Cholet,,,,Postponed
Sat Feb 27 2021,Le Mans Sarthe,,,Limoges CSP,,,,Postponed
Sat Feb 27 2021,AS Monaco,,,Nanterre 92,,,,Postponed
Sat Feb 27 2021,Élan Chalon,,,Orléans Loiret,,,,Postponed
Sat Feb 27 2021,JL Bourg,,,SIG Strasbourg,,,,Postponed
Sun Feb 28 2021,LDLC ASVEL,,,Roanne,,,,Postponed
Fri Mar 5 2021,Le Mans Sarthe,77,,BCM Gravelines-Dunkerque,91,,,
Sat Mar 6 2021,Roanne,72,,Boulazac Dordogne,82,,,
Sat Mar 6 2021,Cholet,79,,Élan Chalon,84,,OT,
Sat Mar 6 2021,Limoges CSP,72,,,74,,,
Sat Mar 6 2021,Limoges CSP,72,,Champagne Châlons Reims,74,,,
Sat Mar 6 2021,ÉB Pau-Lacq-Orthez,95,,AS Monaco,102,,OT,
Sat Mar 6 2021,SIG Strasbourg,,,Orléans Loiret,,,,Postponed
Sat Mar 6 2021,ESSM Le Portel,60,,Metropolitans 92,85,,,
Sun Mar 7 2021,Nanterre 92,72,,JL Bourg,97,,,
Tue Mar 9 2021,Roanne,100,,Orléans Loiret,108,,,
Tue Mar 9 2021,JDA Dijon,84,,LDLC ASVEL,76,,,
Fri Mar 12 2021,JL Bourg,86,,Le Mans Sarthe,85,,,
Fri Mar 12 2021,AS Monaco,81,,ESSM Le Portel,71,,,
Sat Mar 13 2021,Boulazac Dordogne,,,Cholet,,,,Postponed
Sat Mar 13 2021,Metropolitans 92,64,,JDA Dijon,66,,,
Sat Mar 13 2021,LDLC ASVEL,83,,Limoges CSP,60,,,
Sat Mar 13 2021,Champagne Châlons Reims,71,,Nanterre 92,96,,,
Sat Mar 13 2021,Orléans Loiret,101,,ÉB Pau-Lacq-Orthez,72,,,
Sat Mar 13 2021,BCM Gravelines-Dunkerque,89,,Roanne,76,,,
Sat Mar 13 2021,Élan Chalon,92,,SIG Strasbourg,96,,,
Mon Mar 15 2021,Cholet,,,AS Monaco,,,,Postponed
Tue Mar 16 2021,ÉB Pau-Lacq-Orthez,58,,JL Bourg,88,,,
Tue Mar 16 2021,Boulazac Dordogne,68,,Élan Chalon,80,,,
Tue Mar 16 2021,LDLC ASVEL,96,,Le Mans Sarthe,105,,OT,
Tue Mar 16 2021,Metropolitans 92,79,,Limoges CSP,85,,,
Tue Mar 16 2021,Roanne,79,,Nanterre 92,74,,,
Tue Mar 16 2021,JDA Dijon,69,,Orléans Loiret,74,,,
Thu Mar 18 2021,ESSM Le Portel,82,,,88,,,
Thu Mar 18 2021,ESSM Le Portel,82,,Champagne Châlons Reims,88,,,
Thu Mar 18 2021,SIG Strasbourg,81,,BCM Gravelines-Dunkerque,78,,,
Sat Mar 20 2021,AS Monaco,87,,Cholet,76,,,
Sat Mar 20 2021,Roanne,81,,ÉB Pau-Lacq-Orthez,60,,,
Sun Mar 21 2021,ESSM Le Portel,75,,Élan Chalon,89,,,
Tue Mar 23 2021,Nanterre 92,92,,LDLC ASVEL,96,,OT,
Wed Mar 24 2021,BCM Gravelines-Dunkerque,84,,JL Bourg,67,,,
Fri Mar 26 2021,Le Mans Sarthe,,,Metropolitans 92,,,,Postponed
Sat Mar 27 2021,Limoges CSP,72,,Boulazac Dordogne,63,,,
Sat Mar 27 2021,Orléans Loiret,70,,Cholet,91,,,
Sat Mar 27 2021,Élan Chalon,83,,ESSM Le Portel,84,,,
Sat Mar 27 2021,Nanterre 92,79,,ÉB Pau-Lacq-Orthez,86,,,
Sat Mar 27 2021,JL Bourg,97,,Roanne,102,,,
Sat Mar 27 2021,AS Monaco,,,SIG Strasbourg,,,,Postponed
Sat Mar 27 2021,JDA Dijon,78,,SIG Strasbourg,84,,,
Sun Mar 28 2021,Champagne Châlons Reims,71,,LDLC ASVEL,97,,,
Mon Mar 29 2021,Cholet,97,,AS Monaco,76,,,
Tue Mar 30 2021,BCM Gravelines-Dunkerque,73,,JDA Dijon,83,,,
Tue Mar 30 2021,Metropolitans 92,,,Orléans Loiret,,,,Postponed
Wed Mar 31 2021,Le Mans Sarthe,,,ESSM Le Portel,,,,Postponed
Fri Apr 2 2021,JL Bourg,90,,Élan Chalon,96,,,
Fri Apr 2 2021,JL Bourg,90,,Élan Chalon,96,,,
Fri Apr 2 2021,ÉB Pau-Lacq-Orthez,86,,,102,,,
Fri Apr 2 2021,ÉB Pau-Lacq-Orthez,86,,Champagne Châlons Reims,102,,,
Sat Apr 3 2021,Metropolitans 92,61,,BCM Gravelines-Dunkerque,72,,,
Sat Apr 3 2021,Cholet,,,Le Mans Sarthe,,,,Postponed
Sat Apr 3 2021,Roanne,86,,Limoges CSP,62,,,
