Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Oct 2 2015,Rouen Métropole Basket,67,,BCM Gravelines-Dunkerque,89,,,
Fri Oct 2 2015,Limoges CSP,78,,STB Le Havre,73,,,
Fri Oct 2 2015,SLUC Nancy,85,,Nanterre 92,91,,,
Sat Oct 3 2015,Élan Chalon,73,,Cholet Basket,75,,,
Sat Oct 3 2015,Orléans Loiret Basket,68,,JDA Dijon,87,,,
Sat Oct 3 2015,Paris-Levallois Basket,59,,Le Mans Sarthe Basket,65,,,
Sat Oct 3 2015,Champagne Châlons-Reims,66,,Élan Béarnais Pau-Lacq-Orthez,75,,,
Sat Oct 3 2015,ASVEL Basket,87,,SIG Strasbourg,77,,,
Sun Oct 4 2015,AS Monaco Basket,67,,Antibes Sharks,80,,,
Mon Oct 5 2015,Nanterre 92,77,,Limoges CSP,68,,,
Tue Oct 6 2015,Le Mans Sarthe Basket,77,,Élan Chalon,95,,,
Tue Oct 6 2015,SIG Strasbourg,87,,Champagne Châlons-Reims,66,,,
Tue Oct 6 2015,STB Le Havre,69,,JDA Dijon,89,,,
Tue Oct 6 2015,Élan Béarnais Pau-Lacq-Orthez,82,,AS Monaco Basket,90,,,
Tue Oct 6 2015,BCM Gravelines-Dunkerque,81,,SLUC Nancy,75,,,
Tue Oct 6 2015,Rouen Métropole Basket,80,,Paris-Levallois Basket,68,,,
Tue Oct 6 2015,Cholet Basket,58,,ASVEL Basket,57,,,
Fri Oct 9 2015,JDA Dijon,70,,Rouen Métropole Basket,66,,,
Sat Oct 10 2015,STB Le Havre,72,,Élan Chalon,87,,,
Sat Oct 10 2015,Élan Béarnais Pau-Lacq-Orthez,90,,Cholet Basket,86,,,
Sat Oct 10 2015,Champagne Châlons-Reims,90,,BCM Gravelines-Dunkerque,82,,,
Sat Oct 10 2015,Limoges CSP,80,,Le Mans Sarthe Basket,65,,,
Sat Oct 10 2015,Nanterre 92,81,,AS Monaco Basket,83,,,
Sat Oct 10 2015,SLUC Nancy,76,,Orléans Loiret Basket,81,,,
Sat Oct 10 2015,Antibes Sharks,62,,SIG Strasbourg,71,,,
Mon Oct 12 2015,ASVEL Basket,70,,Paris-Levallois Basket,51,,,
Tue Oct 13 2015,Orléans Loiret Basket,64,,Antibes Sharks,66,,,
Fri Oct 16 2015,Paris-Levallois Basket,68,,Champagne Châlons-Reims,70,,,
Fri Oct 16 2015,Le Mans Sarthe Basket,79,,Rouen Métropole Basket,61,,,
Fri Oct 16 2015,Antibes Sharks,69,,ASVEL Basket,83,,,
Sat Oct 17 2015,AS Monaco Basket,90,,Cholet Basket,77,,,
Sat Oct 17 2015,Orléans Loiret Basket,93,,STB Le Havre,72,,,
Sat Oct 17 2015,Élan Chalon,99,,SLUC Nancy,89,,,
Sat Oct 17 2015,BCM Gravelines-Dunkerque,76,,Nanterre 92,56,,,
Sun Oct 18 2015,JDA Dijon,48,,Limoges CSP,82,,,
Mon Oct 19 2015,SIG Strasbourg,90,,Élan Béarnais Pau-Lacq-Orthez,79,,,
Fri Oct 23 2015,Champagne Châlons-Reims,65,,Antibes Sharks,89,,,
Sat Oct 24 2015,Limoges CSP,65,,Élan Chalon,67,,,
Sat Oct 24 2015,Nanterre 92,76,,JDA Dijon,84,,,
Sat Oct 24 2015,BCM Gravelines-Dunkerque,69,,Le Mans Sarthe Basket,73,,,
Sat Oct 24 2015,ASVEL Basket,83,,SLUC Nancy,73,,,
Sat Oct 24 2015,Cholet Basket,70,,Orléans Loiret Basket,72,,,
Sat Oct 24 2015,Élan Béarnais Pau-Lacq-Orthez,55,,Paris-Levallois Basket,79,,,
Sun Oct 25 2015,STB Le Havre,59,,SIG Strasbourg,77,,,
Mon Oct 26 2015,Rouen Métropole Basket,58,,AS Monaco Basket,90,,,
Fri Oct 30 2015,Élan Chalon,87,,Rouen Métropole Basket,92,,,
Fri Oct 30 2015,JDA Dijon,67,,ASVEL Basket,69,,,
Sat Oct 31 2015,Le Mans Sarthe Basket,92,,Champagne Châlons-Reims,65,,,
Sat Oct 31 2015,Antibes Sharks,84,,STB Le Havre,81,,,
Sat Oct 31 2015,Cholet Basket,55,,Limoges CSP,80,,,
Sat Oct 31 2015,Nanterre 92,58,,Paris-Levallois Basket,61,,,
Sat Oct 31 2015,SLUC Nancy,104,,Élan Béarnais Pau-Lacq-Orthez,108,,,
Sun Nov 1 2015,AS Monaco Basket,60,,SIG Strasbourg,85,,,
Mon Nov 2 2015,Orléans Loiret Basket,53,,BCM Gravelines-Dunkerque,71,,,
Fri Nov 6 2015,JDA Dijon,63,,Antibes Sharks,74,,,
Sat Nov 7 2015,BCM Gravelines-Dunkerque,78,,Élan Chalon,55,,,
Sat Nov 7 2015,Champagne Châlons-Reims,92,,Cholet Basket,79,,,
Sat Nov 7 2015,Élan Béarnais Pau-Lacq-Orthez,73,,Le Mans Sarthe Basket,76,,,
Sat Nov 7 2015,Paris-Levallois Basket,68,,AS Monaco Basket,81,,,
Sat Nov 7 2015,Rouen Métropole Basket,57,,Nanterre 92,76,,,
Sat Nov 7 2015,SIG Strasbourg,63,,Orléans Loiret Basket,69,,,
Sat Nov 7 2015,STB Le Havre,55,,ASVEL Basket,85,,,
Sun Nov 8 2015,Limoges CSP,54,,SLUC Nancy,58,,,
Fri Nov 13 2015,Le Mans Sarthe Basket,80,,Antibes Sharks,76,,,
Fri Nov 13 2015,AS Monaco Basket,57,,BCM Gravelines-Dunkerque,72,,,
Fri Nov 13 2015,Élan Chalon,86,,Paris-Levallois Basket,99,,,
Fri Nov 13 2015,Élan Béarnais Pau-Lacq-Orthez,73,,Rouen Métropole Basket,69,,,
Tue Nov 17 2015,Limoges CSP,58,,Champagne Châlons-Reims,73,,,
Fri Nov 20 2015,Rouen Métropole Basket,66,,ASVEL Basket,77,,,
Sat Nov 21 2015,STB Le Havre,84,,Champagne Châlons-Reims,87,,,
Sat Nov 21 2015,Orléans Loiret Basket,69,,Le Mans Sarthe Basket,65,,,
Sat Nov 21 2015,AS Monaco Basket,81,,SLUC Nancy,80,,,
Sat Nov 21 2015,Antibes Sharks,71,,Nanterre 92,74,,,
Sat Nov 21 2015,JDA Dijon,69,,Élan Béarnais Pau-Lacq-Orthez,66,,,
Sun Nov 22 2015,SIG Strasbourg,76,,Élan Chalon,88,,,
Sun Nov 22 2015,Paris-Levallois Basket,62,,Limoges CSP,84,,,
Mon Nov 23 2015,BCM Gravelines-Dunkerque,76,,Cholet Basket,64,,,
Fri Nov 27 2015,SLUC Nancy,77,,Antibes Sharks,93,,,
Sat Nov 28 2015,Cholet Basket,43,,JDA Dijon,68,,,
Sat Nov 28 2015,Le Mans Sarthe Basket,76,,STB Le Havre,73,,,
Sat Nov 28 2015,ASVEL Basket,64,,Limoges CSP,52,,,
Sat Nov 28 2015,Champagne Châlons-Reims,80,,AS Monaco Basket,86,,,
Sat Nov 28 2015,Élan Béarnais Pau-Lacq-Orthez,77,,Nanterre 92,81,,,
Sat Nov 28 2015,Élan Chalon,77,,Orléans Loiret Basket,71,,,
