Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Sep 23 2016,BCM Gravelines-Dunkerque,62,,HTV Basket,75,,,
Fri Sep 23 2016,Nanterre 92,84,,ESSM Le Portel,65,,,
Fri Sep 23 2016,SLUC Nancy,67,,Paris-Levallois Basket,75,,,
Sat Sep 24 2016,Orléans Loiret Basket,67,,Élan Chalon,87,,,
Sat Sep 24 2016,Antibes Sharks,92,,Champagne Châlons-Reims,77,,,
Sat Sep 24 2016,Cholet Basket,79,,Élan Béarnais Pau-Lacq-Orthez,81,,,
Sat Sep 24 2016,AS Monaco Basket,90,,ASVEL Basket,74,,,
Sun Sep 25 2016,SIG Strasbourg,71,,Le Mans Sarthe Basket,73,,,
Mon Sep 26 2016,JDA Dijon,70,,Limoges CSP,75,,,
Fri Sep 30 2016,HTV Basket,74,,Antibes Sharks,75,,,
Sat Oct 1 2016,Champagne Châlons-Reims,80,,Cholet Basket,72,,,
Sat Oct 1 2016,ESSM Le Portel,78,,JDA Dijon,95,,,
Sat Oct 1 2016,Élan Béarnais Pau-Lacq-Orthez,78,,Le Mans Sarthe Basket,92,,,
Sat Oct 1 2016,Élan Chalon,52,,AS Monaco Basket,68,,,
Sat Oct 1 2016,Limoges CSP,100,,SLUC Nancy,94,,,
Sat Oct 1 2016,Orléans Loiret Basket,62,,Nanterre 92,86,,,
Sun Oct 2 2016,ASVEL Basket,84,,SIG Strasbourg,76,,,
Mon Oct 3 2016,Paris-Levallois Basket,79,,BCM Gravelines-Dunkerque,81,,,
Fri Oct 7 2016,AS Monaco Basket,106,,Champagne Châlons-Reims,68,,,
Fri Oct 7 2016,Nanterre 92,79,,HTV Basket,76,,,
Fri Oct 7 2016,Le Mans Sarthe Basket,75,,ESSM Le Portel,81,,,
Sat Oct 8 2016,Antibes Sharks,65,,Élan Chalon,76,,,
Sat Oct 8 2016,Cholet Basket,91,,SLUC Nancy,85,,,
Sat Oct 8 2016,SIG Strasbourg,81,,Orléans Loiret Basket,83,,,
Sat Oct 8 2016,ASVEL Basket,77,,Élan Béarnais Pau-Lacq-Orthez,93,,,
Sun Oct 9 2016,Limoges CSP,73,,Paris-Levallois Basket,87,,,
Mon Oct 10 2016,BCM Gravelines-Dunkerque,79,,JDA Dijon,85,,,
Fri Oct 14 2016,Orléans Loiret Basket,70,,Antibes Sharks,76,,,
Fri Oct 14 2016,JDA Dijon,51,,Paris-Levallois Basket,77,,,
Fri Oct 14 2016,Champagne Châlons-Reims,77,,ASVEL Basket,73,,,
Sat Oct 15 2016,Élan Béarnais Pau-Lacq-Orthez,78,,BCM Gravelines-Dunkerque,65,,,
Sat Oct 15 2016,Le Mans Sarthe Basket,70,,Nanterre 92,90,,,
Sat Oct 15 2016,ESSM Le Portel,71,,SIG Strasbourg,75,,,
Sun Oct 16 2016,SLUC Nancy,69,,Élan Chalon,59,,,
Sun Oct 16 2016,HTV Basket,68,,AS Monaco Basket,84,,,
Mon Oct 17 2016,Cholet Basket,79,,Limoges CSP,72,,,
Fri Oct 21 2016,JDA Dijon,69,,Champagne Châlons-Reims,87,,,
Fri Oct 21 2016,HTV Basket,62,,ESSM Le Portel,75,,,
Sat Oct 22 2016,ASVEL Basket,74,,Antibes Sharks,70,,,
Sat Oct 22 2016,AS Monaco Basket,83,,Le Mans Sarthe Basket,81,,,
Sat Oct 22 2016,BCM Gravelines-Dunkerque,70,,SLUC Nancy,65,,,
Sat Oct 22 2016,Élan Chalon,92,,Nanterre 92,77,,,
Sat Oct 22 2016,Limoges CSP,74,,Orléans Loiret Basket,80,,,
Sun Oct 23 2016,SIG Strasbourg,74,,Élan Béarnais Pau-Lacq-Orthez,82,,,
Mon Oct 24 2016,Paris-Levallois Basket,87,,Cholet Basket,95,,,
Fri Oct 28 2016,Le Mans Sarthe Basket,60,,HTV Basket,76,,,
Fri Oct 28 2016,Champagne Châlons-Reims,78,,Paris-Levallois Basket,88,,,
Sat Oct 29 2016,Nanterre 92,64,,Limoges CSP,70,,,
Sat Oct 29 2016,BCM Gravelines-Dunkerque,71,,AS Monaco Basket,79,,,
Sat Oct 29 2016,Orléans Loiret Basket,91,,Élan Béarnais Pau-Lacq-Orthez,95,,,
Sat Oct 29 2016,Antibes Sharks,74,,SIG Strasbourg,85,,,
Sat Oct 29 2016,ESSM Le Portel,64,,ASVEL Basket,75,,,
Sun Oct 30 2016,Élan Chalon,90,,Cholet Basket,84,,,
Mon Oct 31 2016,SLUC Nancy,69,,JDA Dijon,74,,,
Fri Nov 4 2016,JDA Dijon,63,,Antibes Sharks,48,,,
Sat Nov 5 2016,Paris-Levallois Basket,70,,Élan Chalon,85,,,
Sat Nov 5 2016,SIG Strasbourg,72,,BCM Gravelines-Dunkerque,73,,,
Sat Nov 5 2016,Cholet Basket,65,,Le Mans Sarthe Basket,71,,,
Sat Nov 5 2016,Champagne Châlons-Reims,62,,Limoges CSP,87,,,
Sat Nov 5 2016,AS Monaco Basket,71,,SLUC Nancy,76,,,
Sat Nov 5 2016,HTV Basket,70,,Orléans Loiret Basket,67,,,
Sun Nov 6 2016,ASVEL Basket,100,,Nanterre 92,103,,,
Mon Nov 7 2016,Élan Béarnais Pau-Lacq-Orthez,72,,ESSM Le Portel,63,,,
Fri Nov 11 2016,Nanterre 92,73,,JDA Dijon,72,,,
Fri Nov 11 2016,Élan Béarnais Pau-Lacq-Orthez,70,,HTV Basket,85,,,
Sat Nov 12 2016,Limoges CSP,66,,Élan Chalon,90,,,
Sat Nov 12 2016,SLUC Nancy,90,,Champagne Châlons-Reims,94,,,
Sat Nov 12 2016,SIG Strasbourg,90,,Cholet Basket,86,,,
Sat Nov 12 2016,Antibes Sharks,64,,AS Monaco Basket,88,,,
Sat Nov 12 2016,ESSM Le Portel,60,,Orléans Loiret Basket,67,,,
Sat Nov 12 2016,BCM Gravelines-Dunkerque,70,,ASVEL Basket,73,,,
Sun Nov 13 2016,Le Mans Sarthe Basket,57,,Paris-Levallois Basket,50,,,
Fri Nov 18 2016,Élan Chalon,69,,HTV Basket,59,,,
Sat Nov 19 2016,Orléans Loiret Basket,57,,BCM Gravelines-Dunkerque,99,,,
Sat Nov 19 2016,JDA Dijon,60,,Le Mans Sarthe Basket,65,,,
Sat Nov 19 2016,Champagne Châlons-Reims,84,,Nanterre 92,104,,,
Sat Nov 19 2016,Antibes Sharks,79,,Élan Béarnais Pau-Lacq-Orthez,84,,,
Sat Nov 19 2016,Paris-Levallois Basket,66,,ASVEL Basket,60,,,
Sun Nov 20 2016,Limoges CSP,60,,SIG Strasbourg,79,,,
Mon Nov 21 2016,Cholet Basket,68,,AS Monaco Basket,93,,,
Mon Nov 21 2016,ESSM Le Portel,80,,SLUC Nancy,74,,,
Fri Nov 25 2016,Nanterre 92,70,,Antibes Sharks,55,,,
Fri Nov 25 2016,Le Mans Sarthe Basket,89,,Champagne Châlons-Reims,98,,,
Fri Nov 25 2016,ASVEL Basket,79,,JDA Dijon,72,,,
Fri Nov 25 2016,Orléans Loiret Basket,53,,Paris-Levallois Basket,51,,,
Sat Nov 26 2016,BCM Gravelines-Dunkerque,99,,Cholet Basket,101,,,
Sat Nov 26 2016,AS Monaco Basket,66,,ESSM Le Portel,62,,,
Sat Nov 26 2016,HTV Basket,68,,Limoges CSP,80,,,
Sun Nov 27 2016,SLUC Nancy,75,,SIG Strasbourg,106,,,
Mon Nov 28 2016,Élan Béarnais Pau-Lacq-Orthez,76,,Élan Chalon,96,,,
Fri Dec 2 2016,Élan Chalon,85,,BCM Gravelines-Dunkerque,88,,,
Fri Dec 2 2016,JDA Dijon,74,,HTV Basket,76,,,
Fri Dec 2 2016,Cholet Basket,63,,ESSM Le Portel,71,,,
Fri Dec 2 2016,Champagne Châlons-Reims,60,,Élan Béarnais Pau-Lacq-Orthez,70,,,
Sat Dec 3 2016,Antibes Sharks,70,,SLUC Nancy,67,,,
Sat Dec 3 2016,Le Mans Sarthe Basket,72,,Orléans Loiret Basket,46,,,
Sat Dec 3 2016,Limoges CSP,69,,ASVEL Basket,72,,,
Sun Dec 4 2016,Paris-Levallois Basket,98,,AS Monaco Basket,83,,,
