Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Sep 22 2017,SIG Strasbourg,57,,Antibes Sharks,79,,,
Fri Sep 22 2017,Champagne Châlons-Reims,61,,JDA Dijon,86,,,
Fri Sep 22 2017,Cholet Basket,62,,ESSM Le Portel,73,,,
Sat Sep 23 2017,Élan Béarnais Pau-Lacq-Orthez,82,,Élan Chalon,62,,,
Sat Sep 23 2017,Boulazac Basket Dordogne,63,,HTV Basket,70,,,
Sat Sep 23 2017,BCM Gravelines-Dunkerque,63,,Le Mans Sarthe Basket,103,,,
Sat Sep 23 2017,JL Bourg,86,,Nanterre 92,92,,,
Sat Sep 23 2017,AS Monaco Basket,77,,Levallois Metropolitans,71,,,
Sun Sep 24 2017,Limoges CSP,68,,ASVEL Basket,71,,,
Tue Sep 26 2017,ASVEL Basket,76,,Boulazac Basket Dordogne,67,,,
Tue Sep 26 2017,ESSM Le Portel,53,,JL Bourg,91,,,
Tue Sep 26 2017,Antibes Sharks,78,,Champagne Châlons-Reims,86,,,
Tue Sep 26 2017,HTV Basket,79,,Cholet Basket,73,,,
Tue Sep 26 2017,JDA Dijon,80,,BCM Gravelines-Dunkerque,70,,,
Tue Sep 26 2017,SIG Strasbourg,83,,Levallois Metropolitans,81,,,
Tue Sep 26 2017,Nanterre 92,75,,Élan Béarnais Pau-Lacq-Orthez,89,,,
Wed Sep 27 2017,Élan Chalon,65,,Limoges CSP,90,,,
Wed Sep 27 2017,Le Mans Sarthe Basket,67,,AS Monaco Basket,66,,,
Fri Sep 29 2017,ESSM Le Portel,63,,Antibes Sharks,70,,,
Fri Sep 29 2017,JL Bourg,87,,JDA Dijon,74,,,
Sat Sep 30 2017,Levallois Metropolitans,79,,Élan Chalon,77,,,
Sat Sep 30 2017,Limoges CSP,70,,HTV Basket,85,,,
Sat Sep 30 2017,Élan Béarnais Pau-Lacq-Orthez,58,,Le Mans Sarthe Basket,67,,,
Sat Sep 30 2017,Cholet Basket,59,,ASVEL Basket,77,,,
Mon Oct 2 2017,AS Monaco Basket,61,,BCM Gravelines-Dunkerque,55,,,
Tue Oct 3 2017,Champagne Châlons-Reims,72,,SIG Strasbourg,93,,,
Wed Oct 4 2017,Boulazac Basket Dordogne,68,,Nanterre 92,98,,,
Fri Oct 6 2017,Antibes Sharks,81,,JL Bourg,94,,,
Sat Oct 7 2017,Élan Chalon,97,,Champagne Châlons-Reims,103,,,
Sat Oct 7 2017,JDA Dijon,73,,Cholet Basket,75,,,
Sat Oct 7 2017,Nanterre 92,73,,ESSM Le Portel,87,,,
Sat Oct 7 2017,Limoges CSP,87,,Levallois Metropolitans,81,,,
Sat Oct 7 2017,HTV Basket,56,,Élan Béarnais Pau-Lacq-Orthez,84,,,
Sun Oct 8 2017,ASVEL Basket,68,,AS Monaco Basket,83,,,
Mon Oct 9 2017,Le Mans Sarthe Basket,78,,SIG Strasbourg,76,,,
Tue Oct 10 2017,BCM Gravelines-Dunkerque,68,,Boulazac Basket Dordogne,75,,,
Fri Oct 13 2017,Élan Chalon,86,,JDA Dijon,88,,,
Sat Oct 14 2017,Champagne Châlons-Reims,73,,Boulazac Basket Dordogne,70,,,
Sat Oct 14 2017,Levallois Metropolitans,72,,HTV Basket,78,,,
Sat Oct 14 2017,JL Bourg,70,,Le Mans Sarthe Basket,91,,,
Sat Oct 14 2017,Cholet Basket,62,,AS Monaco Basket,86,,,
Sat Oct 14 2017,Antibes Sharks,77,,Nanterre 92,93,,,
Sat Oct 14 2017,ESSM Le Portel,69,,ASVEL Basket,83,,,
Sun Oct 15 2017,SIG Strasbourg,74,,Limoges CSP,80,,,
Mon Oct 16 2017,Élan Béarnais Pau-Lacq-Orthez,57,,BCM Gravelines-Dunkerque,65,,,
Fri Oct 20 2017,Limoges CSP,79,,Champagne Châlons-Reims,89,,,
Sat Oct 21 2017,AS Monaco Basket,83,,JL Bourg,89,,,
Sat Oct 21 2017,BCM Gravelines-Dunkerque,75,,Élan Chalon,74,,,
Sat Oct 21 2017,Nanterre 92,80,,Cholet Basket,77,,,
Sat Oct 21 2017,JDA Dijon,58,,ESSM Le Portel,74,,,
Sat Oct 21 2017,Boulazac Basket Dordogne,71,,Levallois Metropolitans,81,,,
Sat Oct 21 2017,HTV Basket,60,,SIG Strasbourg,90,,,
Sun Oct 22 2017,ASVEL Basket,82,,Élan Béarnais Pau-Lacq-Orthez,94,,,
Mon Oct 23 2017,Le Mans Sarthe Basket,72,,Antibes Sharks,69,,,
Fri Oct 27 2017,Antibes Sharks,66,,BCM Gravelines-Dunkerque,79,,,
Fri Oct 27 2017,HTV Basket,62,,ESSM Le Portel,75,,,
Sat Oct 28 2017,Cholet Basket,77,,JL Bourg,76,,,
Sat Oct 28 2017,Élan Chalon,66,,Le Mans Sarthe Basket,63,,,
Sat Oct 28 2017,Boulazac Basket Dordogne,64,,AS Monaco Basket,91,,,
Sat Oct 28 2017,Champagne Châlons-Reims,80,,ASVEL Basket,93,,,
Sun Oct 29 2017,Levallois Metropolitans,85,,JDA Dijon,93,,,
Sun Oct 29 2017,Élan Béarnais Pau-Lacq-Orthez,82,,Limoges CSP,71,,,
Mon Oct 30 2017,SIG Strasbourg,100,,Nanterre 92,102,,,
Fri Nov 3 2017,AS Monaco Basket,96,,Champagne Châlons-Reims,86,,,
Sat Nov 4 2017,ASVEL Basket,73,,Antibes Sharks,91,,,
Sat Nov 4 2017,ESSM Le Portel,87,,Boulazac Basket Dordogne,88,,,
Sat Nov 4 2017,JL Bourg,99,,Élan Chalon,93,,,
