Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2018,03/03/2018,18:00,Toronto FC,Columbus Crew,0,2,A,1.56,4.4,6.46,1.61,4.4,6.51,1.54,4.12,5.85
USA,MLS,2018,03/03/2018,20:30,Houston Dynamo,Atlanta Utd,4,0,H,2.57,3.63,2.78,2.58,3.63,2.95,2.49,3.4,2.72
USA,MLS,2018,04/03/2018,00:00,Philadelphia Union,New England Revolution,2,0,H,1.96,3.67,4.13,2,3.67,4.15,1.92,3.54,3.85
USA,MLS,2018,04/03/2018,00:30,Orlando City,DC United,1,1,D,2.38,3.49,3.14,2.38,3.75,3.6,2.23,3.37,3.15
USA,MLS,2018,04/03/2018,01:00,FC Dallas,Real Salt Lake,1,1,D,1.71,4.11,5.05,1.74,4.11,5.05,1.68,3.86,4.75
USA,MLS,2018,04/03/2018,03:30,San Jose Earthquakes,Minnesota United,3,2,H,1.59,4.28,6.11,1.65,4.3,6.2,1.57,4.08,5.5
USA,MLS,2018,04/03/2018,22:00,Seattle Sounders,Los Angeles FC,0,1,A,1.69,4.17,5.11,1.72,4.17,5.5,1.66,3.95,4.83
USA,MLS,2018,04/03/2018,23:00,Vancouver Whitecaps,CF Montreal,2,1,H,1.85,3.82,4.48,1.88,3.9,4.48,1.83,3.64,4.16
USA,MLS,2018,05/03/2018,00:30,Sporting Kansas City,New York City,0,2,A,2.13,3.49,3.72,2.15,3.6,3.8,2.07,3.35,3.56
USA,MLS,2018,05/03/2018,03:00,Los Angeles Galaxy,Portland Timbers,2,1,H,2.11,3.62,3.65,2.2,3.69,3.65,2.09,3.46,3.38
USA,MLS,2018,10/03/2018,18:00,Columbus Crew,CF Montreal,3,2,H,1.57,4.47,5.99,1.6,4.6,6.1,1.55,4.24,5.54
USA,MLS,2018,10/03/2018,18:30,New England Revolution,Colorado Rapids,2,1,H,1.83,3.87,4.58,1.87,3.9,4.66,1.79,3.66,4.34
USA,MLS,2018,10/03/2018,20:30,Real Salt Lake,Los Angeles FC,1,5,A,1.81,4.12,4.37,1.85,4.12,4.5,1.78,3.84,4.16
