Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2015,07/03/2015,03:00,Los Angeles Galaxy,Chicago Fire,2,0,H,1.44,4.63,8.54,1.5,4.7,8.54,1.45,4.26,6.95
USA,MLS,2015,07/03/2015,20:00,DC United,CF Montreal,1,0,H,2.05,3.47,4.01,2.07,3.5,4.33,1.98,3.32,3.81
USA,MLS,2015,07/03/2015,21:00,Philadelphia Union,Colorado Rapids,0,0,D,1.83,3.64,4.85,2,3.64,4.85,1.86,3.41,4.21
USA,MLS,2015,07/03/2015,23:00,Vancouver Whitecaps,Toronto FC,1,3,A,2.13,3.5,3.69,2.18,3.55,3.8,2.07,3.32,3.5
USA,MLS,2015,08/03/2015,01:30,FC Dallas,San Jose Earthquakes,1,0,H,1.84,3.68,4.76,1.88,3.75,4.76,1.83,3.46,4.25
USA,MLS,2015,08/03/2015,01:30,Houston Dynamo,Columbus Crew,1,0,H,2.39,3.46,3.15,2.41,3.46,3.3,2.28,3.24,3.11
USA,MLS,2015,08/03/2015,03:30,Portland Timbers,Real Salt Lake,0,0,D,2.08,3.43,3.87,2.27,3.6,3.9,2.1,3.29,3.45
USA,MLS,2015,08/03/2015,21:00,Orlando City,New York City,1,1,D,2.1,3.45,3.83,2.16,3.45,4,2.05,3.27,3.6
USA,MLS,2015,08/03/2015,23:00,Sporting Kansas City,New York Red Bulls,1,1,D,2.11,3.53,3.73,2.16,3.55,3.8,2.04,3.33,3.58
USA,MLS,2015,09/03/2015,01:30,Seattle Sounders,New England Revolution,3,0,H,1.73,3.95,5.16,1.8,3.95,5.2,1.71,3.64,4.75
USA,MLS,2015,13/03/2015,23:00,Houston Dynamo,Orlando City,0,1,A,2.22,3.49,3.46,2.24,3.49,3.95,2.08,3.28,3.53
USA,MLS,2015,14/03/2015,22:00,Chicago Fire,Vancouver Whitecaps,0,1,A,2.48,3.33,3.1,2.52,3.4,3.3,2.34,3.19,3.04
USA,MLS,2015,14/03/2015,23:30,Columbus Crew,Toronto FC,2,0,H,2.22,3.58,3.4,2.3,3.6,3.5,2.13,3.4,3.25
