Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2019,02/03/2019,18:00,Philadelphia Union,Toronto FC,1,3,A,1.75,4.23,4.42,1.8,4.23,4.6,1.74,3.92,4.31
USA,MLS,2019,02/03/2019,19:30,Orlando City,New York City,2,2,D,3.04,3.63,2.34,3.1,3.75,2.6,2.92,3.5,2.3
USA,MLS,2019,02/03/2019,21:30,Columbus Crew,New York Red Bulls,1,1,D,1.54,4.72,5.6,1.62,4.75,6.25,1.55,4.3,5.43
USA,MLS,2019,02/03/2019,21:30,FC Dallas,New England Revolution,1,1,D,1.76,4.06,4.54,1.77,4.1,4.75,1.74,3.87,4.38
USA,MLS,2019,02/03/2019,23:00,Colorado Rapids,Portland Timbers,3,3,D,2.69,3.39,2.75,2.75,3.45,2.75,2.61,3.32,2.63
USA,MLS,2019,02/03/2019,23:00,Houston Dynamo,Real Salt Lake,1,1,D,1.81,4.28,4.04,1.84,4.28,4.2,1.79,3.98,3.96
USA,MLS,2019,02/03/2019,23:00,Vancouver Whitecaps,Minnesota United,2,3,A,2.2,3.56,3.37,2.2,3.6,3.6,2.13,3.45,3.28
USA,MLS,2019,03/03/2019,01:00,Los Angeles Galaxy,Chicago Fire,2,1,H,1.84,3.81,4.4,1.86,4,4.4,1.8,3.76,4.12
USA,MLS,2019,03/03/2019,03:00,San Jose Earthquakes,CF Montreal,1,2,A,2.43,3.62,2.92,2.51,3.62,2.93,2.36,3.46,2.85
USA,MLS,2019,03/03/2019,03:00,Seattle Sounders,FC Cincinnati,4,1,H,1.59,4.19,5.83,1.63,4.2,6,1.58,4.02,5.49
USA,MLS,2019,03/03/2019,23:00,DC United,Atlanta Utd,2,0,H,2.48,3.57,2.88,2.5,3.6,2.9,2.43,3.45,2.74
USA,MLS,2019,04/03/2019,01:30,Los Angeles FC,Sporting Kansas City,2,1,H,2.17,3.68,3.34,2.26,3.8,3.34,2.14,3.56,3.17
USA,MLS,2019,09/03/2019,18:00,Chicago Fire,Orlando City,1,1,D,1.78,4.1,4.36,1.78,4.15,4.5,1.75,3.94,4.24
USA,MLS,2019,09/03/2019,19:00,New England Revolution,Columbus Crew,0,2,A,2.44,3.56,2.94,2.44,3.6,2.94,2.37,3.44,2.84
USA,MLS,2019,09/03/2019,20:30,FC Dallas,Los Angeles Galaxy,2,0,H,1.61,4.44,5.19,1.63,4.54,5.5,1.58,4.24,5.07
USA,MLS,2019,09/03/2019,22:00,Houston Dynamo,CF Montreal,2,1,H,2.31,3.6,3.13,2.38,3.6,3.2,2.25,3.46,3.03
USA,MLS,2019,09/03/2019,23:00,Real Salt Lake,Vancouver Whitecaps,1,0,H,1.61,4.56,5.08,1.65,4.56,5.25,1.6,4.22,4.93
USA,MLS,2019,10/03/2019,01:00,San Jose Earthquakes,Minnesota United,0,3,A,2.45,3.62,2.89,2.5,3.7,2.95,2.36,3.52,2.82
USA,MLS,2019,10/03/2019,03:00,Seattle Sounders,Colorado Rapids,2,0,H,1.43,4.74,7.53,1.46,4.85,8,1.42,4.61,7.05
USA,MLS,2019,10/03/2019,19:00,New York City,DC United,0,0,D,1.93,3.74,4.06,1.95,4,4.06,1.9,3.7,3.78
USA,MLS,2019,10/03/2019,19:00,Sporting Kansas City,Philadelphia Union,2,0,H,1.76,4.16,4.44,1.78,4.16,4.75,1.72,3.95,4.36
USA,MLS,2019,10/03/2019,21:00,Atlanta Utd,FC Cincinnati,1,1,D,1.28,6.3,9.52,1.3,6.3,12,1.26,5.92,9.85
USA,MLS,2019,10/03/2019,23:30,Los Angeles FC,Portland Timbers,4,1,H,1.65,4.34,5.04,1.68,4.4,5.04,1.63,4.15,4.77
USA,MLS,2019,16/03/2019,17:00,Chicago Fire,Seattle Sounders,2,4,A,2.47,3.49,2.94,2.5,3.5,3,2.41,3.31,2.87
USA,MLS,2019,16/03/2019,18:00,Columbus Crew,FC Dallas,1,0,H,1.7,3.99,5.03,1.73,3.99,5.5,1.68,3.74,4.97
USA,MLS,2019,16/03/2019,19:00,Houston Dynamo,Vancouver Whitecaps,3,2,H,1.69,4.14,4.91,1.7,4.2,5,1.66,4,4.72
USA,MLS,2019,16/03/2019,19:30,New York Red Bulls,San Jose Earthquakes,4,1,H,1.34,5.46,8.91,1.35,5.75,12,1.32,5.22,8.82
USA,MLS,2019,16/03/2019,20:00,Orlando City,CF Montreal,1,3,A,2.18,3.89,3.16,2.65,4.3,3.25,2.15,3.66,3.08
USA,MLS,2019,17/03/2019,00:00,DC United,Real Salt Lake,5,0,H,1.65,4.21,5.15,1.66,4.22,5.25,1.63,4.06,4.94
USA,MLS,2019,17/03/2019,02:30,Los Angeles Galaxy,Minnesota United,3,2,H,2.62,3.56,2.71,3.1,4.3,2.71,2.54,3.51,2.6
USA,MLS,2019,17/03/2019,19:00,New York City,Los Angeles FC,2,2,D,2.1,3.8,3.4,3,4.3,3.6,2.07,3.66,3.3
USA,MLS,2019,17/03/2019,21:00,FC Cincinnati,Portland Timbers,3,0,H,2.21,3.85,3.14,2.5,4,3.25,2.18,3.64,3.03
USA,MLS,2019,17/03/2019,23:00,Atlanta Utd,Philadelphia Union,1,1,D,1.53,4.77,5.72,1.56,4.77,6.5,1.5,4.47,5.77
USA,MLS,2019,17/03/2019,23:30,Toronto FC,New England Revolution,3,2,H,1.69,4.16,4.85,1.75,4.2,5,1.68,3.99,4.6
USA,MLS,2019,18/03/2019,01:00,Colorado Rapids,Sporting Kansas City,1,1,D,3.17,3.66,2.26,3.17,4.3,2.55,3.03,3.54,2.22
USA,MLS,2019,23/03/2019,21:45,FC Dallas,Colorado Rapids,2,1,H,1.62,4.12,5.62,1.63,4.25,6,1.59,4.03,5.41
USA,MLS,2019,23/03/2019,23:30,New York Red Bulls,Orlando City,0,1,A,1.46,4.67,7.15,1.48,5,7.5,1.43,4.7,6.64
USA,MLS,2019,23/03/2019,23:30,Philadelphia Union,Columbus Crew,3,0,H,2.28,3.64,3.13,2.28,3.64,3.21,2.22,3.46,3.08
USA,MLS,2019,24/03/2019,02:30,Los Angeles FC,Real Salt Lake,2,1,H,1.3,6.61,8.31,1.33,6.65,11,1.27,6.13,8.95
USA,MLS,2019,24/03/2019,20:00,New England Revolution,FC Cincinnati,0,2,A,1.62,4.42,5.13,1.64,4.48,5.5,1.59,4.24,5.05
USA,MLS,2019,30/03/2019,00:00,Toronto FC,New York City,4,0,H,1.93,3.94,3.83,1.94,4.2,4.25,1.78,3.96,4.02
USA,MLS,2019,30/03/2019,17:00,Chicago Fire,New York Red Bulls,1,0,H,2.9,3.55,2.47,2.9,3.55,2.7,2.75,3.37,2.47
USA,MLS,2019,30/03/2019,18:00,New England Revolution,Minnesota United,2,1,H,2.13,3.72,3.4,2.15,3.8,3.4,2.09,3.62,3.25
USA,MLS,2019,30/03/2019,19:00,Sporting Kansas City,CF Montreal,7,1,H,1.58,4.37,5.6,1.6,4.5,5.75,1.55,4.28,5.41
USA,MLS,2019,30/03/2019,19:30,San Jose Earthquakes,Los Angeles FC,0,5,A,3.61,3.95,1.99,3.7,4.1,2,3.42,3.87,1.95
USA,MLS,2019,30/03/2019,23:30,FC Cincinnati,Philadelphia Union,0,2,A,2.4,3.54,3.02,2.47,3.57,3.04,2.33,3.42,2.92
USA,MLS,2019,30/03/2019,23:30,Columbus Crew,Atlanta Utd,2,0,H,2.14,3.46,3.63,2.15,3.52,3.65,2.08,3.39,3.47
USA,MLS,2019,31/03/2019,02:00,Colorado Rapids,Houston Dynamo,1,4,A,2.65,3.42,2.77,2.66,3.52,2.8,2.54,3.35,2.68
USA,MLS,2019,31/03/2019,02:00,Real Salt Lake,FC Dallas,2,4,A,2.27,3.37,3.4,2.27,3.5,3.4,2.21,3.37,3.18
USA,MLS,2019,31/03/2019,03:00,Vancouver Whitecaps,Seattle Sounders,0,0,D,3.48,3.53,2.17,3.6,3.85,2.17,3.31,3.54,2.09
USA,MLS,2019,31/03/2019,23:30,Orlando City,DC United,1,2,A,2.42,3.79,2.82,2.51,3.79,2.82,2.41,3.57,2.71
USA,MLS,2019,01/04/2019,02:00,Los Angeles Galaxy,Portland Timbers,2,1,H,1.72,4.45,4.32,1.8,4.45,4.45,1.74,4.1,4.11
USA,MLS,2019,06/04/2019,03:00,Vancouver Whitecaps,Los Angeles Galaxy,0,2,A,2.75,3.85,2.45,2.8,3.85,2.6,2.67,3.65,2.41
USA,MLS,2019,06/04/2019,18:00,New York City,CF Montreal,0,0,D,2.09,3.38,3.88,2.09,3.83,4.33,1.94,3.58,3.76
USA,MLS,2019,06/04/2019,20:00,DC United,Los Angeles FC,0,4,A,2.38,3.73,2.92,2.4,3.8,2.93,2.3,3.62,2.83
USA,MLS,2019,06/04/2019,20:00,Toronto FC,Chicago Fire,2,2,D,1.61,4.31,5.46,1.62,4.4,5.5,1.59,4.23,5.07
USA,MLS,2019,07/04/2019,00:00,New York Red Bulls,Minnesota United,1,2,A,1.53,4.48,6.11,1.57,4.6,6.11,1.52,4.32,5.67
USA,MLS,2019,07/04/2019,00:30,Columbus Crew,New England Revolution,1,0,H,1.68,3.9,5.36,1.72,4.1,5.5,1.66,3.89,4.88
USA,MLS,2019,07/04/2019,00:30,Orlando City,Colorado Rapids,4,3,H,1.51,5.04,5.63,1.6,5.04,7,1.5,4.63,5.55
USA,MLS,2019,07/04/2019,00:30,Philadelphia Union,FC Dallas,2,1,H,1.65,4.29,5.06,1.8,4.29,5.75,1.64,3.98,4.98
USA,MLS,2019,07/04/2019,01:00,San Jose Earthquakes,Portland Timbers,3,0,H,3.32,3.78,2.15,3.32,4,2.2,3.12,3.64,2.14
USA,MLS,2019,07/04/2019,03:00,Seattle Sounders,Real Salt Lake,1,0,H,1.42,4.77,7.92,1.45,4.95,8,1.41,4.67,7.18
USA,MLS,2019,07/04/2019,20:00,FC Cincinnati,Sporting Kansas City,1,1,D,2.18,3.73,3.28,2.5,3.73,3.28,2.19,3.54,3.09
USA,MLS,2019,10/04/2019,01:00,DC United,CF Montreal,0,0,D,1.75,4,4.66,1.78,4,4.75,1.74,3.77,4.46
USA,MLS,2019,13/04/2019,01:30,Chicago Fire,Vancouver Whitecaps,1,1,D,1.52,4.56,6.17,1.58,4.75,6.4,1.5,4.44,5.76
USA,MLS,2019,13/04/2019,18:00,CF Montreal,Columbus Crew,1,0,H,2.32,3.41,3.25,2.45,3.43,3.25,2.29,3.31,3.07
USA,MLS,2019,13/04/2019,20:00,Houston Dynamo,San Jose Earthquakes,2,1,H,1.49,4.67,6.45,1.51,5,7.5,1.46,4.66,6.14
USA,MLS,2019,13/04/2019,21:00,Seattle Sounders,Toronto FC,3,2,H,1.76,3.92,4.74,1.77,4.02,4.8,1.74,3.82,4.42
USA,MLS,2019,13/04/2019,22:00,Minnesota United,New York City,3,3,D,1.88,3.8,4.15,1.97,4,4.15,1.89,3.74,3.75
USA,MLS,2019,14/04/2019,00:30,New England Revolution,Atlanta Utd,0,2,A,2.55,3.53,2.81,2.55,3.55,3.03,2.38,3.42,2.84
USA,MLS,2019,14/04/2019,01:00,FC Dallas,Portland Timbers,2,1,H,1.73,4.03,4.76,1.78,4.2,4.91,1.7,3.91,4.58
USA,MLS,2019,14/04/2019,02:00,Colorado Rapids,DC United,2,3,A,2.28,3.58,3.19,2.4,3.62,3.19,2.23,3.48,3.05
USA,MLS,2019,14/04/2019,02:00,Real Salt Lake,Orlando City,2,1,H,1.92,3.94,3.86,1.92,4.2,3.95,1.88,3.85,3.66
USA,MLS,2019,14/04/2019,03:30,Los Angeles FC,FC Cincinnati,2,0,H,1.31,5.76,9.47,1.34,6,10,1.3,5.71,8.64
USA,MLS,2019,14/04/2019,03:30,Los Angeles Galaxy,Philadelphia Union,2,0,H,2.07,3.71,3.58,2.07,3.88,3.7,2,3.68,3.42
USA,MLS,2019,15/04/2019,00:00,Sporting Kansas City,New York Red Bulls,2,2,D,1.63,4.42,5.05,1.68,4.42,5.3,1.62,4.18,4.82
USA,MLS,2019,18/04/2019,03:00,Vancouver Whitecaps,Los Angeles FC,1,0,H,3.63,3.74,2.04,3.85,3.9,2.11,3.43,3.69,2
USA,MLS,2019,20/04/2019,00:30,FC Cincinnati,Real Salt Lake,0,3,A,1.76,4.14,4.44,1.8,4.14,4.5,1.74,3.88,4.29
USA,MLS,2019,20/04/2019,01:00,Toronto FC,Minnesota United,4,3,H,1.56,4.71,5.37,1.62,4.8,5.75,1.55,4.49,5.13
USA,MLS,2019,20/04/2019,04:00,Los Angeles Galaxy,Houston Dynamo,2,1,H,1.85,3.78,4.33,1.86,4,4.33,1.8,3.8,4.04
USA,MLS,2019,20/04/2019,18:00,Chicago Fire,Colorado Rapids,4,1,H,1.64,4.11,5.42,1.66,4.2,5.5,1.62,4.01,5.03
USA,MLS,2019,20/04/2019,18:00,Philadelphia Union,CF Montreal,3,0,H,1.77,3.78,4.85,1.9,3.83,5,1.77,3.61,4.52
USA,MLS,2019,20/04/2019,20:00,Orlando City,Vancouver Whitecaps,1,0,H,1.63,4.04,5.62,1.66,4.23,6,1.61,4.01,5.13
USA,MLS,2019,20/04/2019,21:00,Atlanta Utd,FC Dallas,1,2,A,1.53,4.46,6.16,1.57,4.46,6.3,1.52,4.22,5.87
USA,MLS,2019,21/04/2019,00:30,Columbus Crew,Portland Timbers,1,3,A,1.6,4.21,5.67,1.63,4.21,6,1.59,4.03,5.32
USA,MLS,2019,21/04/2019,00:30,New England Revolution,New York Red Bulls,1,0,H,2.3,3.68,3.08,2.4,3.68,3.1,2.25,3.52,2.97
USA,MLS,2019,21/04/2019,03:00,San Jose Earthquakes,Sporting Kansas City,4,1,H,3.84,4.34,1.84,3.9,4.34,1.93,3.73,4.05,1.82
USA,MLS,2019,21/04/2019,21:00,DC United,New York City,0,2,A,2.25,3.63,3.21,2.27,3.75,3.32,2.15,3.56,3.15
USA,MLS,2019,22/04/2019,00:00,Los Angeles FC,Seattle Sounders,4,1,H,1.69,4.26,4.72,1.72,4.26,4.8,1.67,4.05,4.54
USA,MLS,2019,25/04/2019,00:00,New York City,Chicago Fire,1,0,H,1.68,4.17,5,1.69,4.17,5.5,1.65,4.01,4.83
USA,MLS,2019,25/04/2019,00:30,Columbus Crew,DC United,0,1,A,1.65,4.12,5.3,1.72,4.2,5.4,1.64,3.92,4.99
USA,MLS,2019,25/04/2019,00:30,New England Revolution,CF Montreal,0,3,A,1.85,3.81,4.36,1.87,3.84,4.5,1.81,3.64,4.22
USA,MLS,2019,25/04/2019,01:00,Minnesota United,Los Angeles Galaxy,0,0,D,2.08,3.95,3.34,2.19,3.95,3.34,2.08,3.78,3.12
USA,MLS,2019,25/04/2019,03:30,Seattle Sounders,San Jose Earthquakes,2,2,D,1.39,4.87,8.47,1.42,5.5,8.6,1.38,4.85,7.55
USA,MLS,2019,27/04/2019,18:00,New York City,Orlando City,1,1,D,1.71,3.95,5.01,1.73,4.1,5.2,1.66,3.89,4.83
USA,MLS,2019,27/04/2019,20:00,Toronto FC,Portland Timbers,1,2,A,1.69,4.1,4.97,1.71,4.25,5,1.66,4.07,4.65
USA,MLS,2019,27/04/2019,20:30,FC Dallas,San Jose Earthquakes,0,0,D,1.57,4.32,5.87,1.59,4.75,6,1.54,4.33,5.41
USA,MLS,2019,27/04/2019,22:00,Vancouver Whitecaps,Philadelphia Union,1,1,D,2.5,3.37,2.99,2.68,3.5,2.99,2.46,3.29,2.82
USA,MLS,2019,27/04/2019,23:00,Atlanta Utd,Colorado Rapids,1,0,H,1.25,6.83,10.27,1.29,6.83,11.5,1.24,6.26,10.01
USA,MLS,2019,28/04/2019,00:00,New York Red Bulls,FC Cincinnati,1,0,H,1.76,3.71,5.08,1.78,4.2,5.25,1.71,3.76,4.71
USA,MLS,2019,28/04/2019,01:30,Houston Dynamo,Columbus Crew,2,0,H,1.77,4.02,4.5,1.85,4.02,4.5,1.76,3.81,4.25
USA,MLS,2019,28/04/2019,01:30,Sporting Kansas City,New England Revolution,4,4,D,1.39,5.23,7.73,1.44,5.23,8.5,1.38,4.9,7.29
