Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2021,17/04/2021,01:00,Houston Dynamo,San Jose Earthquakes,2,1,H,1.87,4.04,4.04,1.91,4.16,4.2,1.82,3.91,3.97
USA,MLS,2021,17/04/2021,02:30,Seattle Sounders,Minnesota United,4,0,H,1.84,3.85,4.42,1.87,4.2,4.42,1.77,3.9,4.18
USA,MLS,2021,17/04/2021,19:00,CF Montreal,Toronto FC,4,2,H,3.07,3.63,2.35,3.1,3.74,2.41,2.91,3.5,2.32
USA,MLS,2021,17/04/2021,20:00,Orlando City,Atlanta Utd,0,0,D,1.87,3.92,4.16,2,3.94,4.16,1.87,3.71,3.89
USA,MLS,2021,17/04/2021,23:00,Los Angeles FC,Austin FC,2,0,H,1.4,5.1,8.1,1.42,5.8,8.1,1.38,5.1,7.29
USA,MLS,2021,18/04/2021,01:00,DC United,New York City,2,1,H,4.05,3.84,1.92,4.2,3.86,1.92,3.9,3.71,1.88
USA,MLS,2021,18/04/2021,01:00,FC Dallas,Colorado Rapids,0,0,D,2.23,3.65,3.28,2.25,3.72,3.39,2.16,3.54,3.18
USA,MLS,2021,18/04/2021,01:00,New York Red Bulls,Sporting Kansas City,1,2,A,2.17,3.66,3.39,2.2,3.88,3.44,2.13,3.57,3.23
USA,MLS,2021,18/04/2021,01:30,Chicago Fire,New England Revolution,2,2,D,2.46,3.66,2.87,2.55,3.72,2.89,2.44,3.55,2.72
USA,MLS,2021,18/04/2021,01:30,Nashville SC,FC Cincinnati,2,2,D,1.75,3.59,5.57,1.91,3.61,5.7,1.78,3.37,4.99
USA,MLS,2021,18/04/2021,20:00,Inter Miami,Los Angeles Galaxy,2,3,A,1.6,4.4,5.58,1.63,4.5,5.88,1.58,4.24,5.22
USA,MLS,2021,18/04/2021,22:30,Columbus Crew,Philadelphia Union,0,0,D,1.87,3.86,4.25,1.91,3.86,4.25,1.85,3.7,3.99
USA,MLS,2021,19/04/2021,03:00,Vancouver Whitecaps,Portland Timbers,1,0,H,4.44,4.08,1.79,4.84,4.2,1.82,4.47,3.88,1.73
USA,MLS,2021,24/04/2021,00:30,Sporting Kansas City,Orlando City,1,1,D,2.14,3.68,3.46,2.17,3.93,3.6,2.05,3.67,3.39
USA,MLS,2021,24/04/2021,18:00,New York City,FC Cincinnati,5,0,H,1.41,5.08,7.88,1.43,5.33,8.98,1.38,4.93,7.52
USA,MLS,2021,24/04/2021,19:00,Nashville SC,CF Montreal,2,2,D,1.59,3.98,6.58,1.7,4.15,6.73,1.58,3.94,5.8
USA,MLS,2021,24/04/2021,20:00,Toronto FC,Vancouver Whitecaps,2,2,D,1.85,3.91,4.28,1.9,4.07,4.38,1.83,3.82,4.02
USA,MLS,2021,24/04/2021,20:30,San Jose Earthquakes,FC Dallas,3,1,H,2.23,3.58,3.34,2.3,3.88,3.34,2.19,3.48,3.18
USA,MLS,2021,24/04/2021,23:00,Los Angeles FC,Seattle Sounders,1,1,D,1.82,4.07,4.25,1.84,4.19,4.47,1.8,3.96,4
