Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2014,08/03/2014,20:00,Seattle Sounders,Sporting Kansas City,1,0,H,2.2,3.29,3.77,2.25,3.4,3.77,2.16,3.19,3.33
USA,MLS,2014,09/03/2014,00:00,DC United,Columbus Crew,0,3,A,2.26,3.41,3.45,2.88,3.41,3.6,2.25,3.21,3.13
USA,MLS,2014,09/03/2014,00:30,Vancouver Whitecaps,New York Red Bulls,4,1,H,2.18,3.43,3.57,2.5,3.43,3.57,2.23,3.25,3.13
USA,MLS,2014,09/03/2014,01:30,FC Dallas,CF Montreal,3,2,H,1.83,3.69,4.84,1.95,3.69,4.84,1.84,3.43,4.05
USA,MLS,2014,09/03/2014,01:30,Houston Dynamo,New England Revolution,4,0,H,2.01,3.46,4.21,2.15,3.46,4.21,2.01,3.26,3.63
USA,MLS,2014,09/03/2014,03:30,Los Angeles Galaxy,Real Salt Lake,0,1,A,1.66,3.94,5.92,1.8,3.94,5.92,1.68,3.58,4.97
USA,MLS,2014,09/03/2014,03:30,Portland Timbers,Philadelphia Union,1,1,D,1.55,4.16,7.2,1.6,4.17,7.23,1.53,3.81,6.16
USA,MLS,2014,09/03/2014,19:00,Chivas USA,Chicago Fire,3,2,H,3.08,3.46,2.43,3.3,3.46,2.43,3.06,3.25,2.25
USA,MLS,2014,15/03/2014,20:00,New York Red Bulls,Colorado Rapids,1,1,D,1.81,3.79,4.83,1.83,3.8,5.2,1.74,3.55,4.54
USA,MLS,2014,15/03/2014,20:00,Philadelphia Union,New England Revolution,1,0,H,2.01,3.57,4.09,2.05,3.57,4.1,1.97,3.32,3.74
USA,MLS,2014,15/03/2014,20:30,Seattle Sounders,Toronto FC,1,2,A,1.79,3.78,4.91,1.82,3.78,5.2,1.74,3.56,4.5
USA,MLS,2014,16/03/2014,00:30,Houston Dynamo,CF Montreal,1,0,H,1.78,3.77,5.04,1.79,3.85,6.22,1.7,3.57,4.88
USA,MLS,2014,16/03/2014,00:30,Sporting Kansas City,FC Dallas,1,1,D,1.79,3.58,5.38,1.8,3.75,5.38,1.74,3.44,4.74
