Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2013,02/03/2013,21:00,Philadelphia Union,Sporting Kansas City,1,3,A,2.87,3.18,2.75,2.87,3.35,2.8,2.63,3.09,2.64
USA,MLS,2013,02/03/2013,23:30,Vancouver Whitecaps,Toronto FC,1,0,H,1.69,3.8,5.73,1.75,3.81,5.74,1.67,3.55,4.96
USA,MLS,2013,03/03/2013,01:00,Houston Dynamo,DC United,2,0,H,1.96,3.52,4.32,2,3.53,4.55,1.91,3.28,3.92
USA,MLS,2013,03/03/2013,01:30,FC Dallas,Colorado Rapids,1,0,H,1.8,3.67,5.07,1.9,3.67,5.07,1.79,3.42,4.34
USA,MLS,2013,03/03/2013,03:30,Chivas USA,Columbus Crew,0,3,A,2.83,3.19,2.77,2.88,3.2,2.8,2.67,3.1,2.58
USA,MLS,2013,03/03/2013,03:30,Seattle Sounders,CF Montreal,0,1,A,1.99,3.42,4.34,2,3.6,5.5,1.78,3.4,4.5
USA,MLS,2013,03/03/2013,22:00,Los Angeles Galaxy,Chicago Fire,4,0,H,1.85,3.72,4.59,1.95,3.75,4.65,1.83,3.44,4.13
USA,MLS,2013,04/03/2013,00:30,Portland Timbers,New York Red Bulls,3,3,D,2.66,3.4,2.81,2.9,3.4,2.81,2.69,3.2,2.51
USA,MLS,2013,04/03/2013,03:00,San Jose Earthquakes,Real Salt Lake,0,2,A,1.81,3.76,4.9,1.85,3.76,5,1.78,3.44,4.37
USA,MLS,2013,09/03/2013,18:30,Toronto FC,Sporting Kansas City,2,1,H,4.09,3.56,2,4.09,3.56,2.25,3.38,3.26,2.09
USA,MLS,2013,10/03/2013,00:00,DC United,Real Salt Lake,1,0,H,2.31,3.34,3.39,2.38,3.45,3.39,2.22,3.21,3.13
USA,MLS,2013,10/03/2013,00:30,Chicago Fire,New England Revolution,0,1,A,1.92,3.62,4.4,1.95,3.62,4.4,1.88,3.39,3.96
