Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2017,04/03/2017,02:30,Portland Timbers,Minnesota United,5,1,H,1.53,4.63,6.36,1.59,4.75,7.5,1.5,4.25,6.03
USA,MLS,2017,04/03/2017,19:00,Columbus Crew,Chicago Fire,1,1,D,1.83,3.9,4.52,1.86,3.97,4.86,1.8,3.7,4.21
USA,MLS,2017,04/03/2017,21:00,Los Angeles Galaxy,FC Dallas,1,2,A,2.39,3.47,3.14,2.47,3.47,3.2,2.35,3.28,2.98
USA,MLS,2017,04/03/2017,21:30,Real Salt Lake,Toronto FC,0,0,D,2.71,3.33,2.81,2.72,3.4,2.9,2.59,3.23,2.71
USA,MLS,2017,04/03/2017,23:00,Colorado Rapids,New England Revolution,1,0,H,2.08,3.36,4.06,2.1,3.5,4.35,1.98,3.31,3.88
USA,MLS,2017,05/03/2017,00:00,DC United,Sporting Kansas City,0,0,D,2.36,3.28,3.37,2.44,3.44,3.6,2.29,3.21,3.17
USA,MLS,2017,05/03/2017,01:30,Houston Dynamo,Seattle Sounders,2,1,H,2.48,3.48,3,2.5,3.48,3.1,2.41,3.25,2.93
USA,MLS,2017,05/03/2017,03:00,San Jose Earthquakes,CF Montreal,1,0,H,2.11,3.51,3.74,2.16,3.52,3.82,2.07,3.32,3.59
USA,MLS,2017,05/03/2017,22:00,Orlando City,New York City,1,0,H,2.13,3.85,3.39,2.3,3.92,3.48,2.09,3.63,3.2
USA,MLS,2017,06/03/2017,00:30,Atlanta Utd,New York Red Bulls,1,2,A,2.5,3.6,2.88,2.8,3.68,2.98,2.44,3.39,2.77
USA,MLS,2017,06/03/2017,02:30,Vancouver Whitecaps,Philadelphia Union,0,0,D,2.06,3.66,3.75,2.07,3.7,3.95,2,3.46,3.61
USA,MLS,2017,11/03/2017,19:00,Chicago Fire,Real Salt Lake,2,0,H,1.8,3.91,4.7,1.9,4,4.7,1.79,3.66,4.3
USA,MLS,2017,11/03/2017,21:00,New York Red Bulls,Colorado Rapids,1,0,H,1.68,3.92,5.67,1.75,3.92,5.75,1.67,3.67,5.18
USA,MLS,2017,11/03/2017,21:30,Philadelphia Union,Toronto FC,2,2,D,2.96,3.25,2.63,2.98,3.4,2.67,2.83,3.2,2.49
USA,MLS,2017,12/03/2017,00:00,CF Montreal,Seattle Sounders,2,2,D,2.31,3.43,3.34,2.33,3.52,3.4,2.23,3.3,3.19
USA,MLS,2017,12/03/2017,01:30,Houston Dynamo,Columbus Crew,3,1,H,2.27,3.59,3.27,2.3,3.62,3.5,2.17,3.43,3.2
USA,MLS,2017,12/03/2017,02:00,Sporting Kansas City,FC Dallas,0,0,D,1.84,3.78,4.59,1.9,3.82,4.66,1.81,3.59,4.29
USA,MLS,2017,12/03/2017,03:00,San Jose Earthquakes,Vancouver Whitecaps,3,2,H,1.73,3.71,5.61,1.85,3.8,5.61,1.72,3.53,5.02
USA,MLS,2017,12/03/2017,18:00,New York City,DC United,4,0,H,1.79,4.14,4.47,1.8,4.15,4.75,1.75,3.85,4.28
USA,MLS,2017,12/03/2017,21:00,Minnesota United,Atlanta Utd,1,6,A,2.6,3.28,2.98,2.68,3.28,2.98,2.52,3.17,2.83
USA,MLS,2017,12/03/2017,23:00,Los Angeles Galaxy,Portland Timbers,0,1,A,2.18,3.5,3.58,2.18,3.57,3.7,2.09,3.39,3.42
USA,MLS,2017,18/03/2017,18:00,New York City,CF Montreal,1,1,D,1.77,4.14,4.57,1.83,4.5,4.75,1.75,3.87,4.26
USA,MLS,2017,18/03/2017,20:00,Atlanta Utd,Chicago Fire,4,0,H,1.9,3.97,4.04,1.9,4.06,4.33,1.86,3.75,3.83
USA,MLS,2017,18/03/2017,20:00,Vancouver Whitecaps,Toronto FC,0,2,A,2.52,3.34,3.04,2.54,3.38,3.09,2.43,3.22,2.91
USA,MLS,2017,18/03/2017,23:00,DC United,Columbus Crew,0,2,A,2.23,3.56,3.39,2.27,3.6,3.42,2.17,3.4,3.24
USA,MLS,2017,18/03/2017,23:30,Orlando City,Philadelphia Union,2,1,H,2.14,3.56,3.61,2.15,3.67,3.75,2.07,3.41,3.47
USA,MLS,2017,19/03/2017,00:00,FC Dallas,New England Revolution,2,1,H,1.61,4.13,6.16,1.68,4.45,6.16,1.62,3.87,5.38
USA,MLS,2017,19/03/2017,00:30,Sporting Kansas City,San Jose Earthquakes,2,1,H,1.79,3.73,5.01,1.87,3.78,5.1,1.79,3.52,4.52
USA,MLS,2017,19/03/2017,01:00,Colorado Rapids,Minnesota United,2,2,D,1.42,4.77,8.88,1.48,5,8.88,1.42,4.45,7.43
USA,MLS,2017,19/03/2017,01:30,Real Salt Lake,Los Angeles Galaxy,1,2,A,2.04,3.57,3.91,2.06,3.57,3.98,2,3.39,3.7
USA,MLS,2017,19/03/2017,02:30,Portland Timbers,Houston Dynamo,4,2,H,1.67,4.27,5.14,1.76,4.27,5.14,1.71,3.83,4.56
USA,MLS,2017,19/03/2017,23:00,Seattle Sounders,New York Red Bulls,3,1,H,2.09,3.69,3.62,2.15,3.69,3.65,2.09,3.47,3.37
USA,MLS,2017,25/03/2017,18:00,New England Revolution,Minnesota United,5,2,H,1.43,4.88,8.09,1.47,5.4,8.4,1.4,4.64,7.28
