Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2023,25/02/2023,21:30,Nashville SC,New York City,2,0,H,2.03,3.35,3.9,2.2,3.5,4.04,2.08,3.29,3.67
USA,MLS,2023,26/02/2023,00:30,Atlanta Utd,San Jose Earthquakes,2,1,H,1.69,4.27,4.91,1.72,4.35,5.25,1.65,4.13,4.75
USA,MLS,2023,26/02/2023,00:30,Charlotte,New England Revolution,0,1,A,2.01,3.76,3.78,2.12,3.78,3.83,2,3.61,3.6
USA,MLS,2023,26/02/2023,00:30,DC United,Toronto FC,3,2,H,2.65,3.83,2.49,2.85,3.85,2.63,2.64,3.63,2.48
USA,MLS,2023,26/02/2023,00:30,FC Cincinnati,Houston Dynamo,2,1,H,1.56,4.45,5.94,1.58,4.7,6,1.54,4.31,5.67
USA,MLS,2023,26/02/2023,00:30,Inter Miami,CF Montreal,2,0,H,2.35,3.54,3.12,2.5,3.63,3.14,2.33,3.44,2.97
USA,MLS,2023,26/02/2023,00:30,Orlando City,New York Red Bulls,1,0,H,2.42,3.27,3.23,2.45,3.34,3.25,2.36,3.19,3.12
USA,MLS,2023,26/02/2023,00:30,Philadelphia Union,Columbus Crew,4,1,H,1.56,4.62,6.14,1.57,4.63,6.54,1.52,4.34,5.97
USA,MLS,2023,26/02/2023,01:30,Austin FC,St. Louis City,2,3,A,1.46,4.69,7.39,1.53,4.7,7.39,1.49,4.42,6.34
USA,MLS,2023,26/02/2023,01:30,FC Dallas,Minnesota United,0,1,A,1.83,3.66,4.79,1.87,3.77,4.82,1.81,3.54,4.51
USA,MLS,2023,26/02/2023,03:30,Vancouver Whitecaps,Real Salt Lake,1,2,A,2.27,3.49,3.34,2.32,3.5,3.34,2.25,3.36,3.17
USA,MLS,2023,27/02/2023,01:00,Seattle Sounders,Colorado Rapids,4,0,H,1.66,4.04,6.07,1.66,4.04,6.1,1.61,3.87,5.72
USA,MLS,2023,28/02/2023,03:00,Portland Timbers,Sporting Kansas City,1,0,H,1.91,4.1,3.83,1.95,4.1,4.07,1.9,3.85,3.73
USA,MLS,2023,04/03/2023,21:30,Los Angeles FC,Portland Timbers,3,2,H,1.46,5.08,6.69,1.48,5.2,7.1,1.43,4.92,6.52
USA,MLS,2023,05/03/2023,00:30,Atlanta Utd,Toronto FC,1,1,D,1.78,4.24,4.3,1.78,4.4,4.5,1.73,4.11,4.2
USA,MLS,2023,05/03/2023,00:30,Columbus Crew,DC United,2,0,H,1.92,3.73,4.15,1.94,3.78,4.33,1.87,3.61,3.99
USA,MLS,2023,05/03/2023,00:30,Inter Miami,Philadelphia Union,2,0,H,3.07,3.7,2.32,3.08,3.74,2.36,2.99,3.5,2.26
USA,MLS,2023,05/03/2023,00:30,New England Revolution,Houston Dynamo,3,0,H,1.81,3.86,4.6,1.86,4,5,1.79,3.75,4.29
USA,MLS,2023,05/03/2023,00:30,New York Red Bulls,Nashville SC,0,0,D,1.93,3.39,4.61,1.98,3.55,4.62,1.89,3.33,4.34
