Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
USA,MLS,2016,06/03/2016,18:30,New York Red Bulls,Toronto FC,0,2,A,1.75,3.88,5.09,1.8,3.95,5.5,1.71,3.75,4.6
USA,MLS,2016,06/03/2016,19:00,Chicago Fire,New York City,3,4,A,1.93,3.86,4,2.3,3.86,4.1,1.94,3.58,3.7
USA,MLS,2016,06/03/2016,19:00,Orlando City,Real Salt Lake,2,2,D,2.47,3.24,3.2,2.51,3.35,3.8,2.33,3.19,3.07
USA,MLS,2016,06/03/2016,20:00,FC Dallas,Philadelphia Union,2,0,H,1.57,4.29,6.47,1.67,4.29,6.5,1.55,4.01,5.85
USA,MLS,2016,06/03/2016,20:00,Houston Dynamo,New England Revolution,3,3,D,2.33,3.39,3.32,2.4,3.4,3.32,2.29,3.25,3.11
USA,MLS,2016,06/03/2016,20:00,San Jose Earthquakes,Colorado Rapids,1,0,H,1.93,3.37,4.77,1.95,3.45,4.77,1.89,3.29,4.27
USA,MLS,2016,06/03/2016,21:30,Portland Timbers,Columbus Crew,2,1,H,1.81,4.02,4.45,2,4.02,4.58,1.87,3.6,3.96
USA,MLS,2016,06/03/2016,22:30,Vancouver Whitecaps,CF Montreal,2,3,A,1.85,3.63,4.73,1.9,3.75,4.85,1.82,3.44,4.44
USA,MLS,2016,07/03/2016,00:00,Seattle Sounders,Sporting Kansas City,0,1,A,1.87,3.61,4.69,1.95,3.65,4.7,1.85,3.45,4.25
USA,MLS,2016,07/03/2016,03:00,Los Angeles Galaxy,DC United,4,1,H,1.34,5.57,9.8,1.45,5.57,10.5,1.34,5.02,8.45
USA,MLS,2016,12/03/2016,00:00,Orlando City,Chicago Fire,1,1,D,1.97,3.8,4.01,2.01,3.8,4.01,1.94,3.59,3.65
USA,MLS,2016,12/03/2016,20:00,New England Revolution,DC United,0,0,D,1.49,4.53,7.52,1.67,4.53,7.52,1.5,4.14,6.42
USA,MLS,2016,12/03/2016,21:00,CF Montreal,New York Red Bulls,3,0,H,2.61,3.43,2.85,2.61,3.6,2.9,2.47,3.31,2.78
USA,MLS,2016,12/03/2016,21:00,Real Salt Lake,Seattle Sounders,2,1,H,2.14,3.45,3.75,2.35,3.53,3.75,2.11,3.33,3.44
USA,MLS,2016,13/03/2016,00:00,Colorado Rapids,Los Angeles Galaxy,1,0,H,2.61,3.45,2.83,3,3.55,2.83,2.67,3.27,2.59
USA,MLS,2016,13/03/2016,00:30,Columbus Crew,Philadelphia Union,1,2,A,1.44,4.91,7.79,1.57,4.91,7.79,1.44,4.46,6.76
USA,MLS,2016,13/03/2016,01:30,Houston Dynamo,FC Dallas,5,0,H,3.47,3.46,2.23,3.47,3.5,2.6,3.09,3.27,2.3
USA,MLS,2016,13/03/2016,01:30,Sporting Kansas City,Vancouver Whitecaps,2,1,H,2.12,3.55,3.69,2.35,3.55,3.8,2.13,3.33,3.37
USA,MLS,2016,13/03/2016,21:00,New York City,Toronto FC,2,2,D,2.71,3.76,2.57,2.71,3.8,2.75,2.54,3.56,2.54
USA,MLS,2016,13/03/2016,23:00,San Jose Earthquakes,Portland Timbers,2,1,H,2.57,3.43,2.9,2.62,3.5,2.95,2.46,3.26,2.82
USA,MLS,2016,18/03/2016,23:00,New York City,Orlando City,0,1,A,1.93,3.92,3.96,1.93,4.1,4.25,1.85,3.8,3.82
USA,MLS,2016,19/03/2016,21:00,Chicago Fire,Columbus Crew,0,0,D,3.09,3.52,2.4,3.09,3.6,2.75,2.82,3.41,2.39
USA,MLS,2016,19/03/2016,23:00,New York Red Bulls,Houston Dynamo,4,3,H,1.52,4.47,7.05,1.65,4.47,7.05,1.56,4.03,5.76
USA,MLS,2016,20/03/2016,01:00,FC Dallas,CF Montreal,2,0,H,1.74,3.97,5.01,1.95,3.97,5.1,1.72,3.74,4.66
USA,MLS,2016,20/03/2016,02:00,Seattle Sounders,Vancouver Whitecaps,1,2,A,2.36,3.3,3.36,2.36,3.4,3.55,2.22,3.23,3.27
USA,MLS,2016,20/03/2016,02:30,Los Angeles Galaxy,San Jose Earthquakes,3,1,H,1.6,4.35,5.89,1.64,4.35,5.89,1.58,4.08,5.35
USA,MLS,2016,20/03/2016,02:30,Portland Timbers,Real Salt Lake,2,2,D,1.65,3.9,6.13,1.8,4,6.13,1.67,3.68,5.19
USA,MLS,2016,20/03/2016,18:30,Philadelphia Union,New England Revolution,3,0,H,2.58,3.48,2.86,2.58,3.6,2.9,2.48,3.34,2.74
USA,MLS,2016,20/03/2016,21:00,DC United,Colorado Rapids,1,1,D,2.32,3.36,3.38,2.35,3.38,3.41,2.26,3.22,3.18
USA,MLS,2016,20/03/2016,23:00,Sporting Kansas City,Toronto FC,1,0,H,2.11,3.63,3.63,2.11,3.68,3.9,2.04,3.48,3.46
USA,MLS,2016,26/03/2016,19:00,New York City,New England Revolution,1,1,D,2.24,3.71,3.23,2.3,3.71,3.4,2.19,3.47,3.12
USA,MLS,2016,26/03/2016,21:30,DC United,FC Dallas,0,3,A,3.16,3.57,2.31,3.19,3.57,2.5,3,3.36,2.29
USA,MLS,2016,27/03/2016,03:00,Vancouver Whitecaps,Houston Dynamo,1,0,H,1.92,3.64,4.37,1.95,3.75,4.5,1.85,3.57,4.09
USA,MLS,2016,02/04/2016,00:00,New England Revolution,New York Red Bulls,1,0,H,1.96,3.9,3.86,2,3.95,3.98,1.93,3.67,3.64
USA,MLS,2016,02/04/2016,22:00,Chicago Fire,Philadelphia Union,1,0,H,2.15,3.6,3.53,2.16,3.6,3.85,2.09,3.41,3.39
USA,MLS,2016,03/04/2016,01:00,Colorado Rapids,Toronto FC,1,0,H,2.31,3.39,3.37,2.31,3.6,3.37,2.23,3.28,3.19
USA,MLS,2016,03/04/2016,01:30,Sporting Kansas City,Real Salt Lake,1,2,A,1.58,4.25,6.3,1.8,4.33,6.5,1.58,3.95,5.67
USA,MLS,2016,03/04/2016,02:00,FC Dallas,Columbus Crew,1,1,D,2.07,3.68,3.69,2.09,3.75,4.2,1.98,3.54,3.6
USA,MLS,2016,03/04/2016,03:00,Seattle Sounders,CF Montreal,1,0,H,1.86,3.6,4.74,1.88,3.68,4.74,1.83,3.46,4.35
USA,MLS,2016,03/04/2016,03:00,Vancouver Whitecaps,Los Angeles Galaxy,0,0,D,2.16,3.57,3.56,2.2,3.57,3.7,2.11,3.32,3.42
USA,MLS,2016,03/04/2016,03:30,San Jose Earthquakes,DC United,1,1,D,1.72,3.84,5.43,1.76,3.86,5.43,1.7,3.68,4.87
USA,MLS,2016,04/04/2016,01:00,Orlando City,Portland Timbers,4,1,H,2.36,3.56,3.11,2.4,3.62,3.11,2.33,3.39,2.92
USA,MLS,2016,09/04/2016,00:00,Philadelphia Union,Orlando City,2,1,H,2.14,3.65,3.52,2.21,3.7,3.65,2.08,3.4,3.44
USA,MLS,2016,09/04/2016,21:00,CF Montreal,Columbus Crew,2,0,H,2.42,3.53,3.04,2.45,3.54,3.3,2.34,3.32,2.96
USA,MLS,2016,09/04/2016,21:00,New England Revolution,Toronto FC,1,1,D,2.05,3.6,3.84,2.07,3.64,4.1,1.97,3.43,3.76
USA,MLS,2016,09/04/2016,22:30,DC United,Vancouver Whitecaps,4,0,H,2.35,3.39,3.29,2.35,3.4,3.4,2.25,3.25,3.17
USA,MLS,2016,10/04/2016,00:00,New York Red Bulls,Sporting Kansas City,0,2,A,1.74,3.91,5.12,1.8,3.91,5.12,1.74,3.64,4.62
USA,MLS,2016,10/04/2016,02:00,FC Dallas,San Jose Earthquakes,2,2,D,1.66,4.01,5.73,1.85,4.01,5.8,1.65,3.75,5.19
USA,MLS,2016,10/04/2016,02:30,Real Salt Lake,Colorado Rapids,1,0,H,1.93,3.6,4.39,1.95,3.6,4.55,1.87,3.42,4.16
USA,MLS,2016,10/04/2016,21:00,Houston Dynamo,Seattle Sounders,1,1,D,2.25,3.51,3.38,2.25,3.52,3.6,2.17,3.33,3.25
USA,MLS,2016,11/04/2016,00:00,New York City,Chicago Fire,0,0,D,1.94,3.87,3.95,1.95,4,4.25,1.88,3.71,3.79
USA,MLS,2016,11/04/2016,02:30,Los Angeles Galaxy,Portland Timbers,1,1,D,2.01,3.78,3.8,2.05,3.85,4.15,1.94,3.59,3.68
USA,MLS,2016,14/04/2016,01:30,Sporting Kansas City,Colorado Rapids,1,2,A,2.19,3.36,3.69,2.23,3.4,4.5,2.1,3.29,3.54
USA,MLS,2016,14/04/2016,03:30,Portland Timbers,FC Dallas,1,3,A,2.17,3.64,3.46,2.17,3.64,4,2.01,3.44,3.6
USA,MLS,2016,14/04/2016,03:30,San Jose Earthquakes,New York Red Bulls,2,0,H,2,3.57,4.08,2.35,3.58,4.08,2.03,3.4,3.64
USA,MLS,2016,16/04/2016,00:00,Houston Dynamo,Los Angeles Galaxy,1,4,A,2.36,3.54,3.13,2.4,3.56,3.2,2.28,3.39,3.01
USA,MLS,2016,16/04/2016,22:00,Chicago Fire,CF Montreal,1,2,A,2.77,3.34,2.74,2.81,3.36,2.75,2.65,3.22,2.64
USA,MLS,2016,16/04/2016,22:00,DC United,Toronto FC,0,1,A,2.68,3.43,2.77,2.69,3.43,3.06,2.54,3.27,2.73
USA,MLS,2016,17/04/2016,00:30,Columbus Crew,New York City,3,2,H,1.6,4.47,5.72,1.73,4.47,6,1.61,4.05,5.14
USA,MLS,2016,17/04/2016,02:00,Colorado Rapids,New York Red Bulls,2,1,H,2.41,3.39,3.17,2.41,3.42,3.35,2.29,3.27,3.06
USA,MLS,2016,17/04/2016,03:00,Real Salt Lake,Vancouver Whitecaps,1,0,H,2.03,3.54,4.01,2.05,3.6,4.25,1.98,3.41,3.72
USA,MLS,2016,17/04/2016,03:00,Seattle Sounders,Philadelphia Union,2,1,H,1.74,3.78,5.45,1.77,3.8,5.45,1.7,3.6,4.98
USA,MLS,2016,17/04/2016,03:30,Portland Timbers,San Jose Earthquakes,3,1,H,1.74,3.77,5.34,1.95,3.8,5.34,1.8,3.58,4.39
USA,MLS,2016,17/04/2016,20:30,Orlando City,New England Revolution,2,2,D,2.24,3.61,3.32,2.25,3.61,3.45,2.17,3.38,3.21
USA,MLS,2016,18/04/2016,00:00,FC Dallas,Sporting Kansas City,2,1,H,1.78,3.83,4.95,1.9,3.83,4.96,1.76,3.64,4.46
USA,MLS,2016,23/04/2016,21:00,CF Montreal,Toronto FC,0,2,A,1.96,3.75,4.03,2,3.75,4.25,1.92,3.46,3.92
USA,MLS,2016,23/04/2016,21:00,Philadelphia Union,New York City,2,0,H,1.82,3.91,4.57,2,4.01,4.57,1.81,3.72,4.11
USA,MLS,2016,23/04/2016,22:30,DC United,New England Revolution,3,0,H,2.78,3.38,2.7,2.85,3.38,2.75,2.68,3.23,2.61
USA,MLS,2016,24/04/2016,00:30,Columbus Crew,Houston Dynamo,1,0,H,1.67,4.26,5.26,1.7,4.26,5.5,1.63,3.97,4.96
USA,MLS,2016,24/04/2016,02:00,Colorado Rapids,Seattle Sounders,3,1,H,2.13,3.33,3.91,2.25,3.4,3.93,2.07,3.23,3.64
USA,MLS,2016,24/04/2016,03:30,Los Angeles Galaxy,Real Salt Lake,5,2,H,1.72,4.02,5.12,1.76,4.02,5.25,1.68,3.8,4.84
USA,MLS,2016,24/04/2016,03:30,Vancouver Whitecaps,FC Dallas,3,0,H,2.3,3.46,3.31,2.55,3.46,3.31,2.31,3.28,3.04
USA,MLS,2016,24/04/2016,20:30,San Jose Earthquakes,Sporting Kansas City,1,0,H,2.02,3.52,4.06,2.15,3.52,4.13,1.98,3.34,3.81
USA,MLS,2016,25/04/2016,00:30,New York Red Bulls,Orlando City,3,2,H,1.56,4.61,6.02,1.74,4.61,6.02,1.55,4.23,5.45
USA,MLS,2016,28/04/2016,00:00,New York City,CF Montreal,1,1,D,2.45,3.61,2.94,2.45,3.65,3.15,2.3,3.45,2.93
