Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Wed,2014-07-30,19:00 (18:00),Spirit,2–1,Kansas City,"2,744",Maureen Hendricks Field at Maryland Socc...,Kristen Salazar,Match Report,
Thu,2014-07-31,19:00 (18:00),Sky Blue,1–0,Flash,"3,471",,Josh Wilkens,Match Report,
Wed,2014-07-30,19:00 ,Dash,1–4,Reign,"4,862",BBVA Compass Stadium,Timon Berry,Match Report,
Sat,2014-08-02,19:00 (18:00),Spirit,2–1,Red Stars,"3,102",Maureen Hendricks Field at Maryland Socc...,Christopher Spivey,Match Report,
Sat,2014-08-02,19:00 ,Kansas City,1–1,Reign,"3,029",,Bernhard Hosu,Match Report,
Sun,2014-08-03,19:00 (18:00),Boston,3–4,Flash,"3,754",,Mark Allatin,Match Report,
Sun,2014-08-03,19:00 (21:00),Thorns,1–0,Dash,"19,123",Providence Park,Katja Koroleva,Match Report,
Wed,2014-08-06,19:00 (21:00),Reign,4–1,Dash,"3,875",,Michael Zapata,Match Report,
Wed,2014-08-06,19:00 ,Kansas City,2–1,Boston,"1,212",,David Mon,Match Report,
Sat,2014-08-09,19:00 ,Red Stars,2–1,Kansas City,"2,111",,Katja Koroleva,Match Report,
Sun,2014-08-10,19:00 (18:00),Boston,2–0,Thorns,"4,191",,Timon Berry,Match Report,
Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
Sat,2014-08-09,19:00 ,Dash,1–3,Sky Blue,"5,143",BBVA Compass Stadium,Mark Allatin,Match Report,
Sat,2014-08-09,19:00 (21:00),Reign,1–1,Spirit,"3,479",,Elvis Mahmutovic,Match Report,
Wed,2014-08-13,19:00 (18:00),Flash,2–3,Sky Blue,"4,339",,Christopher Spivey,Match Report,
Wed,2014-08-13,19:00 ,Red Stars,2–0,Boston,"1,311",,Bernhard Hosu,Match Report,
Sat,2014-08-16,19:00 (18:00),Spirit,0–1,Sky Blue,"4,282",Maureen Hendricks Field at Maryland Socc...,David Mon,Match Report,
Sun,2014-08-17,19:00 (18:00),Boston,1–0,Dash,"3,006",,Matt Franz,Match Report,
Sat,2014-08-16,19:00 ,Red Stars,3–3,Flash,"2,065",,Boris Senic,Match Report,
Sun,2014-08-17,19:00 (21:00),Thorns,1–0,Reign,"17,109",Providence Park,Elvis Mahmutovic,Match Report,
Wed,2014-08-20,19:00 (18:00),Sky Blue,1–0,Dash,"1,328",,Bernhard Hosu,Match Report,
