Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Oct 5 2012,Sydney Kings,76,,Wollongong Hawks,79,,,
Fri Oct 5 2012,Perth Wildcats,93,,New Zealand Breakers,72,,,
Sat Oct 6 2012,Townsville Crocodiles,72,,Cairns Taipans,84,,,
Sun Oct 7 2012,Melbourne Tigers,61,,Adelaide 36ers,84,,,
Fri Oct 12 2012,Wollongong Hawks,68,,Cairns Taipans,58,,,
Fri Oct 12 2012,Adelaide 36ers,59,,New Zealand Breakers,73,,,
Fri Oct 12 2012,Melbourne Tigers,82,,Sydney Kings,85,,,
Sun Oct 14 2012,Perth Wildcats,82,,Townsville Crocodiles,58,,,
Fri Oct 19 2012,Townsville Crocodiles,71,,New Zealand Breakers,73,,,
Fri Oct 19 2012,Cairns Taipans,88,,Sydney Kings,68,,,
Sat Oct 20 2012,Cairns Taipans,81,,Adelaide 36ers,85,,,
Sun Oct 21 2012,Townsville Crocodiles,66,,Wollongong Hawks,84,,,
Sun Oct 21 2012,Perth Wildcats,74,,Melbourne Tigers,65,,,
Fri Oct 26 2012,New Zealand Breakers,75,,Melbourne Tigers,64,,,
Fri Oct 26 2012,Sydney Kings,92,,Townsville Crocodiles,87,,,
Sun Oct 28 2012,Wollongong Hawks,77,,Adelaide 36ers,63,,,
Sun Oct 28 2012,Sydney Kings,71,,Cairns Taipans,69,,,
Fri Nov 2 2012,Sydney Kings,76,,New Zealand Breakers,79,,,
Fri Nov 2 2012,Cairns Taipans,92,,Townsville Crocodiles,80,,,
Sun Nov 4 2012,Perth Wildcats,67,,Wollongong Hawks,100,,,
Sun Nov 4 2012,Townsville Crocodiles,66,,Melbourne Tigers,91,,,
Sun Nov 4 2012,Adelaide 36ers,88,,Sydney Kings,81,,,
Fri Nov 9 2012,Adelaide 36ers,66,,Melbourne Tigers,96,,,
Fri Nov 9 2012,Wollongong Hawks,51,,Sydney Kings,65,,,
Fri Nov 9 2012,New Zealand Breakers,81,,Townsville Crocodiles,72,,,
Sat Nov 10 2012,New Zealand Breakers,73,,Cairns Taipans,54,,,
Sun Nov 11 2012,Perth Wildcats,65,,Adelaide 36ers,77,,,
Fri Nov 16 2012,Townsville Crocodiles,63,,New Zealand Breakers,93,,,
Fri Nov 16 2012,Adelaide 36ers,69,,Perth Wildcats,65,,,
Sat Nov 17 2012,Cairns Taipans,59,,Wollongong Hawks,73,,,
Sun Nov 18 2012,Sydney Kings,72,,Melbourne Tigers,67,,,
Thu Nov 22 2012,New Zealand Breakers,64,,Perth Wildcats,89,,,
Fri Nov 23 2012,Sydney Kings,83,,Cairns Taipans,76,,,
Sat Nov 24 2012,Perth Wildcats,68,,Townsville Crocodiles,63,,,
Sun Nov 25 2012,Wollongong Hawks,74,,Melbourne Tigers,66,,,
Fri Nov 30 2012,Melbourne Tigers,64,,New Zealand Breakers,94,,,
Fri Nov 30 2012,Sydney Kings,56,,Perth Wildcats,75,,,
Fri Nov 30 2012,Adelaide 36ers,73,,Townsville Crocodiles,75,,,
Sun Dec 2 2012,Sydney Kings,88,,Adelaide 36ers,85,,,
Sun Dec 2 2012,Wollongong Hawks,66,,Cairns Taipans,76,,,
Fri Dec 7 2012,Wollongong Hawks,68,,Perth Wildcats,80,,,
Sat Dec 8 2012,New Zealand Breakers,62,,Sydney Kings,75,,,
Sat Dec 8 2012,Melbourne Tigers,84,,Townsville Crocodiles,85,,,
Sun Dec 9 2012,Perth Wildcats,91,,Adelaide 36ers,85,,,
Thu Dec 13 2012,Cairns Taipans,76,,New Zealand Breakers,97,,,
Fri Dec 14 2012,Perth Wildcats,75,,Wollongong Hawks,78,,,
Sat Dec 15 2012,Townsville Crocodiles,80,,Adelaide 36ers,75,,,
Sat Dec 15 2012,Wollongong Hawks,63,,Sydney Kings,70,,,
Sun Dec 16 2012,Cairns Taipans,77,,Melbourne Tigers,83,,,
Fri Dec 28 2012,New Zealand Breakers,71,,Adelaide 36ers,66,,,
Sun Dec 30 2012,Perth Wildcats,95,,Sydney Kings,61,,,
Mon Dec 31 2012,New Zealand Breakers,66,,Cairns Taipans,61,,,
Mon Dec 31 2012,Melbourne Tigers,80,,Wollongong Hawks,72,,,
Mon Dec 31 2012,Adelaide 36ers,82,,Townsville Crocodiles,86,,,
Fri Jan 4 2013,Townsville Crocodiles,75,,Adelaide 36ers,61,,,
Sat Jan 5 2013,Perth Wildcats,85,,Cairns Taipans,66,,,
Sat Jan 5 2013,New Zealand Breakers,78,,Wollongong Hawks,76,,,
Sat Jan 5 2013,Adelaide 36ers,82,,Sydney Kings,86,,,
Sun Jan 6 2013,Sydney Kings,71,,Melbourne Tigers,74,,,
Fri Jan 11 2013,Cairns Taipans,94,,Wollongong Hawks,81,,,
Fri Jan 11 2013,New Zealand Breakers,82,,Townsville Crocodiles,78,,,
Sun Jan 13 2013,Sydney Kings,64,,Adelaide 36ers,82,,,
Sun Jan 13 2013,Melbourne Tigers,58,,Perth Wildcats,73,,,
Thu Jan 17 2013,Wollongong Hawks,71,,New Zealand Breakers,72,,,
Fri Jan 18 2013,Cairns Taipans,64,,Perth Wildcats,86,,,
Fri Jan 18 2013,Melbourne Tigers,77,,Sydney Kings,74,,,
Sat Jan 19 2013,Wollongong Hawks,74,,Townsville Crocodiles,82,,,
Sun Jan 20 2013,New Zealand Breakers,84,,Adelaide 36ers,66,,,
Thu Jan 24 2013,Sydney Kings,76,,New Zealand Breakers,95,,,
Fri Jan 25 2013,Melbourne Tigers,71,,Cairns Taipans,85,,,
Fri Jan 25 2013,Townsville Crocodiles,59,,Perth Wildcats,62,,,
