Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Oct 11 2018,Perth Wildcats,99,,Adelaide 36ers,91,,,
Thu Oct 11 2018,Brisbane Bullets,86,,New Zealand Breakers,73,,,
Fri Oct 12 2018,Melbourne United,123,,Illawarra Hawks,122,,,
Sat Oct 13 2018,Cairns Taipans,88,,Brisbane Bullets,70,,,
Sat Oct 13 2018,Adelaide 36ers,94,,Sydney Kings,83,,,
Sun Oct 14 2018,New Zealand Breakers,88,,Melbourne United,81,,,
Sun Oct 14 2018,Illawarra Hawks,61,,Perth Wildcats,101,,,
Fri Oct 19 2018,Sydney Kings,101,,Adelaide 36ers,106,,,
Fri Oct 19 2018,Adelaide 36ers,72,,Melbourne United,75,,,
Sat Oct 20 2018,Brisbane Bullets,73,,Perth Wildcats,88,,,
Sun Oct 21 2018,Illawarra Hawks,104,,Cairns Taipans,93,,,
Sun Oct 21 2018,Sydney Kings,101,,New Zealand Breakers,78,,,
Thu Oct 25 2018,Perth Wildcats,96,,Brisbane Bullets,100,,,
Fri Oct 26 2018,Adelaide 36ers,91,,Cairns Taipans,83,,,
Sat Oct 27 2018,Brisbane Bullets,78,,Illawarra Hawks,86,,,
Sat Oct 27 2018,Melbourne United,96,,Perth Wildcats,101,,,
Sun Oct 28 2018,Adelaide 36ers,94,,New Zealand Breakers,114,,,
Sun Oct 28 2018,Cairns Taipans,90,,Sydney Kings,98,,,
Mon Oct 29 2018,Illawarra Hawks,93,,Melbourne United,99,,,
Thu Nov 1 2018,Adelaide 36ers,98,,Brisbane Bullets,108,,,
Fri Nov 2 2018,Illawarra Hawks,79,,Sydney Kings,86,,,
Sat Nov 3 2018,Melbourne United,98,,Cairns Taipans,85,,,
Sat Nov 3 2018,New Zealand Breakers,78,,Perth Wildcats,92,,,
Sun Nov 4 2018,Brisbane Bullets,93,,Adelaide 36ers,90,,,
Mon Nov 5 2018,Sydney Kings,70,,Melbourne United,77,,,
Thu Nov 8 2018,Melbourne United,81,,Illawarra Hawks,87,,,
Fri Nov 9 2018,Cairns Taipans,81,,New Zealand Breakers,104,,,
Fri Nov 9 2018,Brisbane Bullets,87,,Perth Wildcats,90,,,
Sat Nov 10 2018,Sydney Kings,93,,Adelaide 36ers,81,,,
Sun Nov 11 2018,New Zealand Breakers,85,,Brisbane Bullets,84,,,
