Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Oct 10 2014,Cairns Taipans,97,,Adelaide 36ers,87,,,
Fri Oct 10 2014,Townsville Crocodiles,83,,Wollongong Hawks,92,,,
Fri Oct 10 2014,New Zealand Breakers,80,,Perth Wildcats,70,,,
Sat Oct 11 2014,Wollongong Hawks,83,,Sydney Kings,86,,,
Sun Oct 12 2014,Cairns Taipans,89,,Melbourne United,61,,,
Sun Oct 12 2014,Adelaide 36ers,97,,Townsville Crocodiles,83,,,
Fri Oct 17 2014,Melbourne United,73,,Cairns Taipans,88,,,
Fri Oct 17 2014,Adelaide 36ers,80,,New Zealand Breakers,101,,,
Fri Oct 17 2014,Wollongong Hawks,59,,Perth Wildcats,69,,,
Fri Oct 17 2014,Townsville Crocodiles,86,,Sydney Kings,81,,,
Sun Oct 19 2014,Cairns Taipans,91,,Wollongong Hawks,89,,,
Sun Oct 19 2014,New Zealand Breakers,74,,Melbourne United,95,,,
Thu Oct 23 2014,Wollongong Hawks,73,,Adelaide 36ers,94,,,
Thu Oct 23 2014,Cairns Taipans,85,,New Zealand Breakers,76,,,
Fri Oct 24 2014,Sydney Kings,63,,Perth Wildcats,84,,,
Sat Oct 25 2014,Melbourne United,81,,Townsville Crocodiles,92,,,
Sun Oct 26 2014,New Zealand Breakers,79,,Wollongong Hawks,77,,,
Fri Oct 31 2014,Perth Wildcats,83,,Wollongong Hawks,64,,,
Fri Oct 31 2014,Townsville Crocodiles,70,,New Zealand Breakers,84,,,
Sat Nov 1 2014,Sydney Kings,62,,Cairns Taipans,74,,,
Sun Nov 2 2014,New Zealand Breakers,86,,Adelaide 36ers,93,,,
Sun Nov 2 2014,Wollongong Hawks,75,,Melbourne United,88,,,
Sun Nov 2 2014,Perth Wildcats,80,,Townsville Crocodiles,102,,,
Fri Nov 7 2014,New Zealand Breakers,79,,Cairns Taipans,71,,,
Fri Nov 7 2014,Sydney Kings,82,,Wollongong Hawks,53,,,
