Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Jan 10 2021,South East Melbourne Phoenix,,,Melbourne United,,,,Cancelled
Tue Jan 12 2021,New Zealand Breakers,,,Melbourne United,,,,Cancelled
Wed Jan 13 2021,Illawarra Hawks,,,South East Melbourne Phoenix,,,,Cancelled
Thu Jan 14 2021,Sydney Kings,,,Perth Wildcats,,,,Cancelled
Fri Jan 15 2021,Melbourne United,89,,Adelaide 36ers,65,,,
Fri Jan 15 2021,Cairns Taipans,,,Brisbane Bullets,,,,Cancelled
Fri Jan 15 2021,South East Melbourne Phoenix,,,Illawarra Hawks,,,,Cancelled
Fri Jan 15 2021,Melbourne United,,,Perth Wildcats,,,,Cancelled
Sat Jan 16 2021,Sydney Kings,,,Adelaide 36ers,,,,Cancelled
Sat Jan 16 2021,South East Melbourne Phoenix,108,,Adelaide 36ers,116,,OT,
Sat Jan 16 2021,Illawarra Hawks,90,,Brisbane Bullets,84,,,
Sat Jan 16 2021,Sydney Kings,,,Brisbane Bullets,,,,Cancelled
Sat Jan 16 2021,Sydney Kings,86,,Cairns Taipans,87,,,
Sun Jan 17 2021,South East Melbourne Phoenix,108,,Adelaide 36ers,116,,,
Sun Jan 17 2021,New Zealand Breakers,,,Perth Wildcats,,,,Cancelled
Mon Jan 18 2021,Illawarra Hawks,92,,Cairns Taipans,76,,,
Tue Jan 19 2021,Perth Wildcats,,,Adelaide 36ers,,,,Cancelled
Wed Jan 20 2021,New Zealand Breakers,,,Adelaide 36ers,,,,Cancelled
Wed Jan 20 2021,South East Melbourne Phoenix,89,,Adelaide 36ers,83,,,
Wed Jan 20 2021,South East Melbourne Phoenix,,,Brisbane Bullets,,,,Cancelled
Thu Jan 21 2021,Illawarra Hawks,90,,Brisbane Bullets,82,,,
Fri Jan 22 2021,New Zealand Breakers,91,,Adelaide 36ers,94,,OT,
Fri Jan 22 2021,Perth Wildcats,,,Cairns Taipans,,,,Cancelled
Fri Jan 22 2021,Melbourne United,,,Illawarra Hawks,,,,Cancelled
Sat Jan 23 2021,Sydney Kings,99,,Cairns Taipans,91,,,
Sat Jan 23 2021,Brisbane Bullets,,,South East Melbourne Phoenix,,,,Cancelled
Sat Jan 23 2021,New Zealand Breakers,,,Sydney Kings,,,,Cancelled
Sun Jan 24 2021,South East Melbourne Phoenix,76,,Perth Wildcats,88,,,
Mon Jan 25 2021,Sydney Kings,87,,Brisbane Bullets,90,,,
Mon Jan 25 2021,Melbourne United,87,,Cairns Taipans,85,,,
Mon Jan 25 2021,South East Melbourne Phoenix,,,Cairns Taipans,,,,Cancelled
Tue Jan 26 2021,Sydney Kings,87,,Brisbane Bullets,90,,,
Wed Jan 27 2021,New Zealand Breakers,78,,Adelaide 36ers,88,,,
Wed Jan 27 2021,Melbourne United,,,Cairns Taipans,,,,Cancelled
Thu Jan 28 2021,Illawarra Hawks,90,,Cairns Taipans,70,,,
Fri Jan 29 2021,South East Melbourne Phoenix,90,,Perth Wildcats,89,,,
Fri Jan 29 2021,Melbourne United,,,Sydney Kings,,,,Cancelled
Sat Jan 30 2021,Sydney Kings,80,,Adelaide 36ers,85,,,
Sat Jan 30 2021,Cairns Taipans,103,,Brisbane Bullets,105,,OT,
Sat Jan 30 2021,South East Melbourne Phoenix,90,,Melbourne United,96,,,
Sun Jan 31 2021,South East Melbourne Phoenix,90,,Melbourne United,96,,,
Sun Jan 31 2021,New Zealand Breakers,,,Perth Wildcats,,,,Cancelled
Fri Feb 5 2021,Melbourne United,109,,Brisbane Bullets,96,,,
Fri Feb 5 2021,New Zealand Breakers,,,Perth Wildcats,,,,Cancelled
Sat Feb 6 2021,Sydney Kings,94,,Adelaide 36ers,75,,,
Sat Feb 6 2021,Brisbane Bullets,,,Cairns Taipans,,,,Cancelled
Sat Feb 6 2021,New Zealand Breakers,85,,Cairns Taipans,79,,,
Sat Feb 6 2021,Illawarra Hawks,82,,South East Melbourne Phoenix,98,,,
Sun Feb 7 2021,Perth Wildcats,71,,Melbourne United,75,,,
Sun Feb 7 2021,Illawarra Hawks,82,,South East Melbourne Phoenix,98,,,
Mon Feb 8 2021,New Zealand Breakers,69,,Cairns Taipans,84,,,
Wed Feb 10 2021,Melbourne United,91,,Illawarra Hawks,88,,,
Thu Feb 11 2021,Perth Wildcats,106,,South East Melbourne Phoenix,75,,,
Fri Feb 12 2021,New Zealand Breakers,74,,Sydney Kings,84,,,
Sat Feb 13 2021,Adelaide 36ers,85,,Brisbane Bullets,70,,,
Sat Feb 13 2021,Cairns Taipans,,,Melbourne United,,,,Cancelled
Sat Feb 13 2021,Illawarra Hawks,85,,Sydney Kings,82,,,
Sun Feb 14 2021,Perth Wildcats,71,,South East Melbourne Phoenix,96,,,
Sun Feb 14 2021,Illawarra Hawks,85,,Sydney Kings,82,,,
Mon Feb 15 2021,Brisbane Bullets,93,,Adelaide 36ers,74,,,
Fri Feb 19 2021,Illawarra Hawks,95,,Cairns Taipans,101,,,
Sat Feb 20 2021,Illawarra Hawks,95,,Cairns Taipans,101,,,
Sat Feb 20 2021,Perth Wildcats,89,,Melbourne United,85,,,
Sat Feb 20 2021,Brisbane Bullets,83,,South East Melbourne Phoenix,99,,,
Sun Feb 21 2021,Brisbane Bullets,83,,South East Melbourne Phoenix,99,,,
Sun Feb 21 2021,Adelaide 36ers,77,,Sydney Kings,94,,,
Mon Feb 22 2021,New Zealand Breakers,88,,Illawarra Hawks,102,,,
Mon Feb 22 2021,Cairns Taipans,81,,Melbourne United,88,,,
Tue Feb 23 2021,South East Melbourne Phoenix,94,,Adelaide 36ers,99,,,
Tue Feb 23 2021,Perth Wildcats,113,,Sydney Kings,106,,,
Thu Feb 25 2021,Melbourne United,82,,Adelaide 36ers,73,,,
Thu Feb 25 2021,New Zealand Breakers,78,,Sydney Kings,96,,,
Fri Feb 26 2021,Illawarra Hawks,91,,Brisbane Bullets,97,,,
Fri Feb 26 2021,Perth Wildcats,89,,Cairns Taipans,69,,,
Sat Feb 27 2021,New Zealand Breakers,106,,Adelaide 36ers,62,,,
