Date,Team,PTS,,Opp,PTS,,OT,Notes
Fri Oct 7 2011,New Zealand Breakers,102,,Gold Coast Blaze,87,,,
Fri Oct 7 2011,Sydney Kings,76,,Melbourne Tigers,82,,,
Sat Oct 8 2011,Perth Wildcats,102,,Adelaide 36ers,69,,,
Sat Oct 8 2011,Townsville Crocodiles,76,,Cairns Taipans,81,,,
Sun Oct 9 2011,New Zealand Breakers,98,,Wollongong Hawks,82,,,
Fri Oct 14 2011,Melbourne Tigers,76,,Perth Wildcats,92,,,
Fri Oct 14 2011,Cairns Taipans,67,,Townsville Crocodiles,95,,,
Sat Oct 15 2011,New Zealand Breakers,98,,Sydney Kings,61,,,
Sun Oct 16 2011,Cairns Taipans,91,,Gold Coast Blaze,82,,,
Sun Oct 16 2011,Adelaide 36ers,89,,Wollongong Hawks,97,,,
Fri Oct 21 2011,Sydney Kings,94,,Adelaide 36ers,71,,,
Fri Oct 21 2011,Gold Coast Blaze,83,,Wollongong Hawks,58,,,
Sat Oct 22 2011,New Zealand Breakers,64,,Melbourne Tigers,67,,,
Sat Oct 22 2011,Perth Wildcats,93,,Townsville Crocodiles,85,,,
Sun Oct 23 2011,Wollongong Hawks,89,,Sydney Kings,95,,,
Fri Oct 28 2011,Wollongong Hawks,69,,Cairns Taipans,64,,,
Fri Oct 28 2011,Sydney Kings,59,,New Zealand Breakers,76,,,
Fri Oct 28 2011,Adelaide 36ers,100,,Perth Wildcats,92,,,
Sat Oct 29 2011,Gold Coast Blaze,70,,Townsville Crocodiles,78,,,
Sun Oct 30 2011,Melbourne Tigers,82,,Wollongong Hawks,74,,,
Thu Nov 3 2011,Adelaide 36ers,90,,New Zealand Breakers,99,,,
Fri Nov 4 2011,Melbourne Tigers,94,,Sydney Kings,76,,,
Sat Nov 5 2011,Wollongong Hawks,71,,Perth Wildcats,87,,,
Sun Nov 6 2011,Cairns Taipans,63,,Melbourne Tigers,80,,,
Fri Nov 11 2011,Townsville Crocodiles,95,,Melbourne Tigers,88,,,
Fri Nov 11 2011,Wollongong Hawks,81,,New Zealand Breakers,63,,,
Sat Nov 12 2011,Sydney Kings,113,,Adelaide 36ers,104,,,
Sat Nov 12 2011,Perth Wildcats,92,,Gold Coast Blaze,107,,,
Sun Nov 13 2011,Perth Wildcats,70,,Cairns Taipans,64,,,
Thu Nov 17 2011,Cairns Taipans,85,,Sydney Kings,67,,,
Fri Nov 18 2011,Perth Wildcats,82,,Melbourne Tigers,87,,,
Sat Nov 19 2011,Melbourne Tigers,89,,Adelaide 36ers,95,,,
Sat Nov 19 2011,Townsville Crocodiles,75,,Gold Coast Blaze,87,,,
Sun Nov 20 2011,New Zealand Breakers,78,,Cairns Taipans,80,,,
Sun Nov 20 2011,Perth Wildcats,86,,Wollongong Hawks,70,,,
Thu Nov 24 2011,Townsville Crocodiles,74,,New Zealand Breakers,88,,,
Fri Nov 25 2011,Sydney Kings,89,,Melbourne Tigers,80,,,
Sat Nov 26 2011,Gold Coast Blaze,95,,Adelaide 36ers,82,,,
Sun Nov 27 2011,Sydney Kings,92,,Perth Wildcats,103,,,
