Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Oct 3 2019,South East Melbourne Phoenix,91,,Melbourne United,88,,,
Fri Oct 4 2019,Sydney Kings,79,,Cairns Taipans,71,,,
Sat Oct 5 2019,Melbourne United,93,,Perth Wildcats,94,,,
Sun Oct 6 2019,Brisbane Bullets,90,,Illawarra Hawks,81,,,
Fri Oct 11 2019,Cairns Taipans,74,,Brisbane Bullets,90,,,
Fri Oct 11 2019,Illawarra Hawks,76,,Perth Wildcats,103,,,
Sat Oct 12 2019,Adelaide 36ers,80,,Sydney Kings,102,,,
Sun Oct 13 2019,Brisbane Bullets,93,,South East Melbourne Phoenix,113,,,
Mon Oct 14 2019,Cairns Taipans,88,,Illawarra Hawks,89,,,
Fri Oct 18 2019,Cairns Taipans,99,,Perth Wildcats,76,,,
Fri Oct 18 2019,New Zealand Breakers,91,,Sydney Kings,96,,,
Sat Oct 19 2019,Brisbane Bullets,98,,Adelaide 36ers,104,,,
Sat Oct 19 2019,Illawarra Hawks,102,,South East Melbourne Phoenix,106,,,
Sun Oct 20 2019,Perth Wildcats,95,,Melbourne United,93,,,
Sun Oct 20 2019,Sydney Kings,76,,New Zealand Breakers,66,,,
Mon Oct 21 2019,Adelaide 36ers,98,,Illawarra Hawks,92,,,
Thu Oct 24 2019,Illawarra Hawks,72,,New Zealand Breakers,103,,,
Fri Oct 25 2019,Cairns Taipans,97,,Adelaide 36ers,101,,,
Fri Oct 25 2019,South East Melbourne Phoenix,79,,Perth Wildcats,110,,,
Sat Oct 26 2019,New Zealand Breakers,98,,Melbourne United,104,,,
Sat Oct 26 2019,Brisbane Bullets,79,,Sydney Kings,94,,,
Sun Oct 27 2019,Perth Wildcats,81,,Illawarra Hawks,76,,,
Sun Oct 27 2019,Adelaide 36ers,91,,South East Melbourne Phoenix,101,,,
Mon Oct 28 2019,Melbourne United,85,,Cairns Taipans,90,,,
Thu Oct 31 2019,Cairns Taipans,85,,New Zealand Breakers,93,,,
Fri Nov 1 2019,Perth Wildcats,78,,Brisbane Bullets,87,,,
Sat Nov 2 2019,Sydney Kings,98,,Adelaide 36ers,96,,,
Sat Nov 2 2019,Melbourne United,110,,South East Melbourne Phoenix,98,,,
Sun Nov 3 2019,Brisbane Bullets,83,,Illawarra Hawks,69,,,
Sun Nov 3 2019,Perth Wildcats,84,,New Zealand Breakers,79,,,
Mon Nov 4 2019,Sydney Kings,104,,Melbourne United,107,,,
Thu Nov 7 2019,Melbourne United,104,,New Zealand Breakers,101,,,
Fri Nov 8 2019,Sydney Kings,95,,Brisbane Bullets,85,,,
Sat Nov 9 2019,Illawarra Hawks,101,,Cairns Taipans,91,,,
Sat Nov 9 2019,New Zealand Breakers,78,,South East Melbourne Phoenix,103,,,
Sun Nov 10 2019,Adelaide 36ers,90,,Melbourne United,109,,,
Sun Nov 10 2019,Perth Wildcats,85,,Sydney Kings,104,,,
Fri Nov 15 2019,Perth Wildcats,99,,Adelaide 36ers,95,,,
Sat Nov 16 2019,Brisbane Bullets,85,,Cairns Taipans,94,,,
Sat Nov 16 2019,South East Melbourne Phoenix,95,,Melbourne United,96,,,
Sun Nov 17 2019,New Zealand Breakers,77,,Perth Wildcats,88,,,
Sun Nov 17 2019,Illawarra Hawks,87,,Sydney Kings,92,,,
Mon Nov 18 2019,Adelaide 36ers,103,,South East Melbourne Phoenix,91,,,
Fri Nov 22 2019,Adelaide 36ers,104,,Brisbane Bullets,106,,,
Sat Nov 23 2019,Perth Wildcats,84,,Cairns Taipans,91,,,
Sat Nov 23 2019,Sydney Kings,90,,South East Melbourne Phoenix,86,,,
Sun Nov 24 2019,New Zealand Breakers,100,,Adelaide 36ers,117,,,
Sun Nov 24 2019,Brisbane Bullets,94,,Melbourne United,108,,,
Mon Nov 25 2019,Cairns Taipans,106,,Illawarra Hawks,114,,,
Fri Nov 29 2019,Melbourne United,86,,Cairns Taipans,93,,,
Sat Nov 30 2019,South East Melbourne Phoenix,110,,Brisbane Bullets,95,,,
Sat Nov 30 2019,Illawarra Hawks,79,,New Zealand Breakers,91,,,
Sun Dec 1 2019,Adelaide 36ers,99,,Perth Wildcats,88,,,
Sun Dec 1 2019,Melbourne United,101,,Sydney Kings,111,,,
Fri Dec 6 2019,New Zealand Breakers,90,,Cairns Taipans,108,,,
Fri Dec 6 2019,Sydney Kings,77,,Perth Wildcats,96,,,
Sat Dec 7 2019,Illawarra Hawks,91,,Brisbane Bullets,101,,,
Sat Dec 7 2019,Adelaide 36ers,90,,Melbourne United,112,,,
Sun Dec 8 2019,Perth Wildcats,108,,South East Melbourne Phoenix,98,,,
Sun Dec 8 2019,Cairns Taipans,109,,Sydney Kings,98,,,
Mon Dec 9 2019,Brisbane Bullets,85,,New Zealand Breakers,96,,,
Thu Dec 12 2019,Perth Wildcats,88,,Cairns Taipans,84,,,
Fri Dec 13 2019,South East Melbourne Phoenix,111,,Adelaide 36ers,113,,,
Sat Dec 14 2019,Sydney Kings,104,,Melbourne United,81,,,
Sat Dec 14 2019,Brisbane Bullets,78,,Perth Wildcats,86,,,
Sun Dec 15 2019,Adelaide 36ers,99,,New Zealand Breakers,96,,,
Sun Dec 15 2019,Cairns Taipans,105,,South East Melbourne Phoenix,112,,,
Mon Dec 16 2019,Melbourne United,94,,Illawarra Hawks,73,,,
Fri Dec 20 2019,Illawarra Hawks,93,,Adelaide 36ers,84,,,
Fri Dec 20 2019,South East Melbourne Phoenix,84,,New Zealand Breakers,90,,,
Sat Dec 21 2019,Sydney Kings,80,,Brisbane Bullets,87,,,
Sat Dec 21 2019,Melbourne United,87,,Perth Wildcats,74,,,
Sun Dec 22 2019,Adelaide 36ers,86,,Cairns Taipans,94,,,
Sun Dec 22 2019,New Zealand Breakers,91,,Illawarra Hawks,89,,,
Mon Dec 23 2019,South East Melbourne Phoenix,98,,Sydney Kings,110,,,
Thu Dec 26 2019,Cairns Taipans,77,,Melbourne United,75,,,
Fri Dec 27 2019,New Zealand Breakers,99,,Brisbane Bullets,96,,,
Sat Dec 28 2019,Illawarra Hawks,102,,South East Melbourne Phoenix,112,,,
Sat Dec 28 2019,Perth Wildcats,98,,Sydney Kings,85,,,
Sun Dec 29 2019,New Zealand Breakers,96,,Adelaide 36ers,87,,,
Sun Dec 29 2019,Brisbane Bullets,102,,Melbourne United,96,,,
Tue Dec 31 2019,South East Melbourne Phoenix,84,,Cairns Taipans,92,,,
Tue Dec 31 2019,Sydney Kings,80,,Illawarra Hawks,85,,,
Wed Jan 1 2020,Perth Wildcats,97,,Adelaide 36ers,100,,,
Fri Jan 3 2020,Brisbane Bullets,89,,Cairns Taipans,91,,,
Sat Jan 4 2020,Melbourne United,104,,Illawarra Hawks,91,,,
Sat Jan 4 2020,Adelaide 36ers,77,,Sydney Kings,91,,,
Sun Jan 5 2020,Perth Wildcats,85,,Brisbane Bullets,97,,,
Sun Jan 5 2020,New Zealand Breakers,97,,South East Melbourne Phoenix,92,,,
Mon Jan 6 2020,Illawarra Hawks,96,,Adelaide 36ers,102,,,
Thu Jan 9 2020,New Zealand Breakers,79,,Cairns Taipans,85,,,
Fri Jan 10 2020,Perth Wildcats,99,,Illawarra Hawks,77,,,
Sat Jan 11 2020,Melbourne United,86,,Adelaide 36ers,100,,,
Sat Jan 11 2020,Cairns Taipans,83,,Sydney Kings,92,,,
Sun Jan 12 2020,South East Melbourne Phoenix,90,,Illawarra Hawks,82,,,
Sun Jan 12 2020,Brisbane Bullets,95,,New Zealand Breakers,85,,,
Fri Jan 17 2020,Sydney Kings,81,,New Zealand Breakers,88,,,
Fri Jan 17 2020,South East Melbourne Phoenix,71,,Perth Wildcats,97,,,
Sat Jan 18 2020,Illawarra Hawks,77,,Brisbane Bullets,106,,,
Sat Jan 18 2020,Adelaide 36ers,91,,Cairns Taipans,108,,,
Sun Jan 19 2020,Melbourne United,68,,New Zealand Breakers,90,,,
Sun Jan 19 2020,South East Melbourne Phoenix,81,,Sydney Kings,98,,,
Thu Jan 23 2020,South East Melbourne Phoenix,101,,Brisbane Bullets,108,,,
Fri Jan 24 2020,Sydney Kings,102,,Illawarra Hawks,79,,,
Sat Jan 25 2020,Brisbane Bullets,108,,Adelaide 36ers,99,,,
Sat Jan 25 2020,New Zealand Breakers,79,,Perth Wildcats,80,,,
Sun Jan 26 2020,Cairns Taipans,103,,South East Melbourne Phoenix,102,,,
Sun Jan 26 2020,Melbourne United,88,,Sydney Kings,106,,,
Wed Jan 29 2020,Perth Wildcats,67,,Melbourne United,77,,,
Fri Jan 31 2020,Illawarra Hawks,75,,Cairns Taipans,99,,,
Fri Jan 31 2020,Adelaide 36ers,89,,New Zealand Breakers,113,,,
Sat Feb 1 2020,Melbourne United,83,,Brisbane Bullets,87,,,
Sat Feb 1 2020,Sydney Kings,100,,Perth Wildcats,110,,,
Sun Feb 2 2020,South East Melbourne Phoenix,93,,Adelaide 36ers,100,,,
Sun Feb 2 2020,New Zealand Breakers,65,,Illawarra Hawks,52,,,
Fri Feb 7 2020,New Zealand Breakers,91,,Brisbane Bullets,87,,,
Sat Feb 8 2020,Cairns Taipans,99,,Adelaide 36ers,80,,,
Sat Feb 8 2020,Illawarra Hawks,72,,Melbourne United,95,,,
Sun Feb 9 2020,Brisbane Bullets,72,,Perth Wildcats,85,,,
Sun Feb 9 2020,Sydney Kings,99,,South East Melbourne Phoenix,96,,,
Thu Feb 13 2020,Cairns Taipans,83,,Melbourne United,99,,,
Fri Feb 14 2020,South East Melbourne Phoenix,83,,New Zealand Breakers,92,,,
Fri Feb 14 2020,Illawarra Hawks,82,,Sydney Kings,98,,,
Sat Feb 15 2020,Cairns Taipans,88,,Brisbane Bullets,124,,,
Sat Feb 15 2020,Adelaide 36ers,79,,Perth Wildcats,94,,,
Sun Feb 16 2020,Melbourne United,109,,South East Melbourne Phoenix,90,,,
